id	2941c84e-71ef-4908-9980-1627a0cd780f	3ee9c2b1-54f2-422c-82c6-e6e32817acf9
1084	11.0	6.0
440278	162.0	122.0
1082	0.0	1.0
403294	0.0	1.0
440275	2406.0	4550.0
1081	1.0	0.0
85397	391.0	10.0
85395	243.0	291.0
403285	0.0	0.0
1091	0.0	0.0
1090	0.0	0.0
403288	0.0	0.0
403289	0.0	0.0
1098	0.0	0.0
1097	0.0	0.0
1096	0.0	0.0
1095	0.0	0.0
403281	0.0	0.0
403282	0.0	0.0
1094	0.0	0.0
1093	0.0	0.0
403283	2.0	0.0
403284	0.0	0.0
1092	1.0	0.0
440270	1868.0	6059.0
1089	121.0	94.0
85388	0.0	0.0
85389	0.0	0.0
128718	1.0	0.0
285596	27.0	12.0
285598	400.0	726.0
126133	1629.0	1797.0
128790	1.0	0.0
126129	74.0	1827.0
126123	16.0	3.0
442862	0.0	0.0
126119	1130.0	1097.0
442863	0.0	0.0
442864	0.0	0.0
442865	0.0	0.0
442866	0.0	0.0
442867	0.0	0.0
442868	0.0	0.0
128770	0.0	1.0
128774	0.0	0.0
442893	0.0	0.0
442894	0.0	0.0
442895	0.0	0.0
114131	0.0	0.0
442896	0.0	0.0
114132	18.0	13.0
442897	0.0	1.0
442898	2.0	1.0
114134	234.0	1571.0
442899	0.0	0.0
100128790	0.0	0.0
128760	8.0	11.0
100128788	47.0	97.0
100128787	0.0	0.0
440225	0.0	0.0
440224	0.0	0.0
442890	0.0	0.0
442891	0.0	8.0
442892	0.0	0.0
128756	2.0	0.0
100128782	287.0	375.0
100128781	1.0	3.0
403230	0.0	0.0
403231	0.0	0.0
403232	0.0	0.0
645560	3.0	3.0
403234	0.0	0.0
403235	1.0	1.0
403236	0.0	0.0
63982	48.0	58.0
102466616	0.0	0.0
126052	1.0	0.0
151009	37.0	91.0
403227	1.0	0.0
403228	0.0	0.0
138046	8.0	1.0
645558	0.0	0.0
403229	0.0	0.0
645573	5.0	2.0
645572	0.0	0.0
645571	16.0	1.0
403223	0.0	0.0
403224	0.0	0.0
403226	0.0	0.0
200634	488.0	773.0
107131122	2.0	0.0
138050	4675.0	11722.0
403219	0.0	0.0
151011	2405.0	3478.0
645587	1.0	1.0
165679	9.0	25.0
126037	60.0	64.0
114049	3191.0	5274.0
106481479	1.0	1.0
100033818	0.0	0.0
100033819	0.0	0.0
85319	0.0	0.0
106481484	0.0	0.0
106481485	0.0	3.0
106481482	0.0	0.0
106481483	0.0	0.0
85315	1305.0	1227.0
100033821	2.0	0.0
106481488	0.0	0.0
100033822	0.0	0.0
106481489	0.0	0.0
85313	1923.0	3730.0
106481486	0.0	0.0
106481487	0.0	0.0
645579	262.0	300.0
100033820	0.0	0.0
106481480	0.0	2.0
106481481	0.0	0.0
138065	3.0	176.0
645598	0.0	0.0
163007	0.0	5.0
114038	0.0	5.0
645591	0.0	1.0
106481495	0.0	0.0
114041	77.0	9.0
106481496	0.0	0.0
114042	1.0	0.0
106481493	0.0	0.0
114043	13.0	33.0
106481494	0.0	0.0
106481499	1.0	0.0
114044	130.0	207.0
126017	532.0	601.0
106481497	1.0	2.0
106481498	0.0	0.0
85303	0.0	0.0
85300	16.0	1.0
85301	1701.0	1728.0
106481491	0.0	0.0
106481492	0.0	0.0
106481490	0.0	0.0
403274	0.0	0.0
102466657	0.0	0.0
403275	0.0	0.0
102466656	0.0	0.0
403276	0.0	0.0
403277	0.0	0.0
403278	0.0	0.0
26996	430.0	338.0
106481459	0.0	0.0
26994	6444.0	9556.0
106481457	2.0	2.0
26995	1583.0	2590.0
106481458	0.0	0.0
403271	0.0	0.0
26998	0.0	2.0
403272	0.0	1.0
102466659	0.0	0.0
26999	3415.0	3726.0
403273	0.0	0.0
102466658	0.0	0.0
106481462	0.0	0.0
106481463	0.0	0.0
104310353	0.0	0.0
106481460	2.0	2.0
106481461	0.0	0.0
104310350	0.0	0.0
106481466	0.0	0.0
26993	2063.0	4509.0
106481467	0.0	0.0
106481464	1.0	1.0
106481465	0.0	0.0
104310351	0.0	0.0
403263	0.0	0.0
403264	0.0	0.0
403265	0.0	1.0
403266	0.0	1.0
138009	0.0	0.0
106481468	0.0	0.0
106481469	0.0	0.0
403260	0.0	0.0
106481473	0.0	0.0
106481474	0.0	0.0
106481471	0.0	0.0
85329	6.0	6.0
106481472	0.0	0.0
106481477	1.0	1.0
106481478	0.0	0.0
106481475	0.0	0.0
106481476	0.0	0.0
85320	19.0	667.0
106481470	0.0	0.0
403252	0.0	0.0
403253	0.0	0.0
403254	0.0	0.0
126070	450.0	473.0
403255	0.0	0.0
403256	0.0	0.0
403257	0.0	0.0
344471	13.0	21.0
106481437	0.0	0.0
26974	278.0	400.0
153657	47.0	41.0
106481438	2.0	0.0
106481435	0.0	0.0
26973	1250.0	1425.0
165631	599.0	246.0
106481436	0.0	0.0
26978	10.0	26.0
126075	766.0	1505.0
106481439	0.0	0.0
403250	0.0	0.0
126074	181.0	224.0
403251	0.0	0.0
106481440	0.0	0.0
106481441	0.0	0.0
85359	1884.0	1817.0
106481444	3.0	17.0
106481445	0.0	0.0
106481442	0.0	0.0
106481443	0.0	0.0
85358	1663.0	2633.0
85354	0.0	0.0
85352	83.0	84.0
403241	3.0	1.0
344462	0.0	4.0
403244	0.0	0.0
403245	0.0	0.0
153642	506.0	556.0
153643	61.0	46.0
403247	0.0	0.0
403248	0.0	0.0
26985	2485.0	3804.0
106481448	0.0	0.0
26986	33873.0	54245.0
126069	61.0	71.0
106481449	0.0	0.0
126068	762.0	1074.0
106481446	0.0	0.0
26983	0.0	0.0
26984	697.0	1211.0
106481447	0.0	0.0
106481451	2.0	7.0
106481452	0.0	0.0
106481450	0.0	0.0
114088	25.0	47.0
106481455	0.0	0.0
85349	53.0	82.0
106481456	0.0	0.0
26982	0.0	0.0
106481453	0.0	0.0
85347	0.0	0.0
26980	6.0	4.0
106481454	0.0	0.0
403238	0.0	0.0
85344	51.0	5.0
403239	0.0	0.0
85345	0.0	0.0
85343	0.0	0.0
344454	1.0	0.0
85340	0.0	0.0
100873394	0.0	1.0
100873393	0.0	0.0
100873392	4.0	2.0
100873391	0.0	0.0
100873398	0.0	0.0
100873397	0.0	0.0
100873396	0.0	0.0
100873395	0.0	0.0
100128811	1.0	0.0
106481415	0.0	1.0
106481416	0.0	1.0
106481413	0.0	1.0
106481414	0.0	1.0
63901	2178.0	6462.0
100873390	0.0	0.0
728556	25.0	65.0
106481419	0.0	0.0
100128817	1.0	0.0
728558	93.0	146.0
106481417	0.0	0.0
106481418	0.0	0.0
106481422	0.0	0.0
163081	401.0	562.0
106481423	0.0	0.0
106481420	0.0	0.0
106481421	0.0	0.0
100873399	0.0	0.0
100873383	0.0	0.0
100873382	0.0	0.0
100873381	1.0	18.0
100873380	0.0	0.0
100128804	0.0	0.0
100873387	0.0	0.0
100873386	0.0	0.0
100873385	0.0	0.0
100128801	0.0	0.0
285600	208.0	309.0
100873384	0.0	0.0
285601	18.0	32.0
106481426	0.0	0.0
106481427	0.0	2.0
222005	7.0	0.0
63910	361.0	474.0
106481424	0.0	2.0
106481425	0.0	0.0
285605	478.0	465.0
222008	20.0	2.0
106481428	0.0	1.0
106481429	0.0	0.0
63905	2868.0	4981.0
63904	0.0	0.0
106481430	0.0	0.0
163071	296.0	544.0
63906	705.0	1172.0
106481433	0.0	0.0
63908	738.0	1038.0
106481434	0.0	0.0
106481431	0.0	0.0
106481432	0.0	0.0
100873389	0.0	0.0
100873388	2.0	12.0
285613	73.0	103.0
63920	405.0	416.0
63923	12.0	71.0
63922	337.0	742.0
728577	34.0	22.0
63925	1350.0	2727.0
63924	14.0	1.0
63916	2193.0	4871.0
63917	3040.0	4698.0
106481400	0.0	0.0
106481401	0.0	0.0
728562	7.0	5.0
728564	5.0	19.0
285622	0.0	0.0
106481404	0.0	1.0
106481405	0.0	0.0
63932	1428.0	2335.0
106481402	0.0	0.0
63931	1449.0	1654.0
106481403	0.0	0.0
63934	574.0	1289.0
728567	4.0	8.0
106481408	1.0	0.0
163088	2.0	9.0
63933	1801.0	2996.0
106481409	0.0	0.0
106481406	0.0	0.0
63935	3316.0	5276.0
163087	768.0	858.0
728568	430.0	513.0
106481407	7.0	11.0
3704	2223.0	3064.0
3705	2781.0	7447.0
63926	748.0	466.0
3706	16.0	50.0
63929	720.0	573.0
3707	2843.0	4066.0
63928	0.0	0.0
3708	10727.0	1667.0
106481411	1.0	1.0
3709	1904.0	8052.0
106481412	0.0	0.0
106481410	0.0	0.0
3700	18.0	38.0
3702	1836.0	587.0
3703	9590.0	11165.0
645506	1.0	0.0
151050	1414.0	1438.0
645520	0.0	0.0
63941	922.0	1755.0
63940	2329.0	1327.0
63943	532.0	670.0
728517	0.0	0.0
163033	510.0	1196.0
258010	2712.0	4439.0
63947	0.0	0.0
63946	0.0	0.0
728513	9.0	14.0
100033803	0.0	0.0
3716	10767.0	16117.0
100033804	0.0	0.0
3717	1082.0	823.0
100033805	0.0	0.0
3718	1984.0	2028.0
63939	983.0	1761.0
100033806	0.0	0.0
100190799	10.0	6.0
100033800	0.0	0.0
100033801	0.0	0.0
100033802	0.0	0.0
344405	72.0	215.0
3710	9572.0	17886.0
3712	21361.0	9683.0
3713	2.0	2532.0
3714	339.0	2151.0
63950	6.0	2.0
728505	0.0	1.0
63951	272.0	334.0
100033807	0.0	0.0
728501	36.0	38.0
100033808	0.0	0.0
100033809	0.0	0.0
3726	16561.0	20325.0
100033814	0.0	0.0
3727	11030.0	14063.0
63948	14.0	0.0
100033815	0.0	0.0
222052	5.0	2.0
3728	13874.0	22431.0
100033816	0.0	0.0
100033817	0.0	0.0
100033810	0.0	0.0
100033811	0.0	0.0
100033812	0.0	0.0
100033813	0.0	0.0
3720	883.0	1241.0
151056	308.0	203.0
3725	38021.0	21610.0
645528	2.0	0.0
728532	42.0	86.0
163059	418.0	453.0
728538	3.0	1.0
728537	116.0	318.0
63967	118.0	197.0
3737	76.0	5.0
3738	243.0	58.0
3739	3.0	0.0
645538	0.0	0.0
3730	1466.0	3880.0
3732	2712.0	4673.0
3734	0.0	0.0
3735	5583.0	9223.0
3736	138.0	8.0
63970	3.0	24.0
3750	161.0	280.0
63971	3329.0	7411.0
63974	0.0	0.0
163049	2558.0	3054.0
63973	1.0	1.0
63976	1585.0	1908.0
222068	10122.0	15700.0
63978	0.0	0.0
63977	557.0	537.0
63979	358.0	629.0
728524	0.0	0.0
3748	1262.0	3307.0
163051	46.0	42.0
3749	341.0	673.0
163050	52.0	65.0
3741	75.0	286.0
645548	6.0	11.0
3743	1.0	120.0
3744	0.0	0.0
3745	85.0	180.0
3746	10.0	4.0
3747	0.0	0.0
285671	1175.0	857.0
285672	1286.0	1819.0
100873431	0.0	0.0
100873430	0.0	0.0
3760	3.0	10.0
285676	65.0	180.0
3761	0.0	1.0
100128657	0.0	0.0
285679	0.0	0.0
100861449	1.0	0.0
100861443	1.0	0.0
100861445	0.0	0.0
3759	204.0	4721.0
283008	0.0	2.0
3751	40.0	168.0
100873435	0.0	0.0
3752	242.0	67.0
100873434	0.0	0.0
3753	20.0	45.0
100873433	0.0	0.0
3754	12.0	21.0
100873432	0.0	0.0
3755	18.0	34.0
100873439	0.0	0.0
3756	5.0	7.0
100873438	0.0	0.0
3757	59.0	25.0
100873437	0.0	0.0
3758	8.0	17.0
100873436	0.0	0.0
100873420	0.0	0.0
3770	78.0	131.0
3772	6164.0	14944.0
100861458	0.0	1.0
100861453	12.0	14.0
100861455	0.0	0.0
1107	10101.0	12105.0
1106	7125.0	9877.0
1105	1848.0	3915.0
1104	966.0	1992.0
100873429	0.0	0.0
1103	0.0	13.0
1102	1682.0	1556.0
1101	49.0	147.0
3762	166.0	947.0
100873424	0.0	0.0
3763	15.0	54.0
100128640	88.0	155.0
100873423	0.0	0.0
3764	432.0	674.0
100873422	0.0	0.0
3765	3.0	4.0
100873421	1.0	0.0
3766	72.0	56.0
100873428	0.0	0.0
3767	433.0	714.0
100873427	0.0	0.0
3768	310.0	604.0
1109	0.0	1.0
100873426	0.0	0.0
1108	12649.0	40200.0
3769	89.0	17.0
100873425	0.0	3.0
100128637	5.0	4.0
100128639	0.0	0.0
3780	14.0	14.0
100873453	0.0	0.0
3781	5.0	25.0
100873452	0.0	0.0
3782	465.0	1291.0
100873451	0.0	0.0
3783	398.0	3127.0
100873450	0.0	0.0
1121	1419.0	1908.0
100861468	0.0	0.0
1120	184.0	228.0
100861469	0.0	1.0
1118	773.0	1490.0
1117	1942.0	1064.0
1116	1879.0	30960.0
1114	1001.0	197.0
1113	892.0	2.0
1112	3009.0	3855.0
1111	286.0	499.0
3773	22387.0	34368.0
100873457	1.0	2.0
100873456	0.0	0.0
3775	503.0	1386.0
100873455	0.0	0.0
3776	411.0	67.0
100873454	0.0	0.0
3777	361.0	931.0
3778	467.0	561.0
3779	103.0	373.0
100873459	0.0	0.0
1119	1793.0	2640.0
100128627	1.0	2.0
100128626	0.0	0.0
3790	115.0	646.0
100128628	7.0	9.0
3791	3719.0	2396.0
100873442	0.0	0.0
3792	116.0	58.0
100873441	0.0	0.0
100873440	0.0	0.0
100128625	0.0	0.0
1132	5.0	21.0
1131	106.0	480.0
1130	2793.0	4857.0
100861476	0.0	0.0
1129	0.0	1.0
1128	14.0	3.0
1124	520.0	1396.0
1123	667.0	1409.0
1122	846.0	693.0
100861470	0.0	0.0
3784	9607.0	5903.0
100873446	0.0	0.0
3785	1.0	2.0
100873445	0.0	0.0
3786	87.0	1751.0
100873444	0.0	0.0
3787	18.0	7.0
100873443	0.0	0.0
3788	14.0	4.0
100873449	7.0	7.0
100873448	1.0	0.0
100873447	0.0	0.0
100873471	0.0	0.0
100873470	0.0	0.0
283050	153.0	137.0
100128618	1.0	0.0
728597	2.0	0.0
100128617	4.0	0.0
100873475	0.0	0.0
100873474	0.0	0.0
728591	22.0	10.0
100873473	0.0	0.0
100873472	0.0	0.0
1143	11.0	17.0
285634	9.0	8.0
1142	4.0	0.0
1141	13.0	15.0
285636	2241.0	3088.0
1140	950.0	2913.0
728599	3.0	2.0
1139	45.0	17.0
1138	17.0	20.0
1137	234.0	10.0
100861485	0.0	0.0
1136	44.0	11.0
1135	16.0	4.0
1134	36.0	323.0
1133	9.0	7.0
3795	105.0	139.0
100873479	4.0	10.0
3796	1314.0	1574.0
100873478	0.0	0.0
3797	740.0	1172.0
100873477	1.0	3.0
3798	170.0	676.0
100873476	0.0	0.0
3799	6978.0	12217.0
100873460	0.0	0.0
728586	7.0	25.0
285641	1.0	0.0
100873464	4.0	5.0
100873463	0.0	0.0
100873462	2.0	2.0
285643	0.0	1.0
100128603	0.0	0.0
100873461	0.0	0.0
1154	3638.0	4624.0
1153	19610.0	34607.0
1152	7010.0	5956.0
285647	28.0	21.0
728589	9.0	19.0
728588	0.0	0.0
1149	3.0	2.0
1147	1174.0	1114.0
1146	4.0	34.0
1145	50.0	140.0
1144	1.0	200.0
100873468	0.0	0.0
100873467	1.0	0.0
100873466	0.0	0.0
100873465	0.0	0.0
283033	0.0	0.0
100873469	0.0	0.0
100873493	0.0	0.0
100873492	0.0	0.0
100873491	1.0	0.0
100873490	0.0	0.0
100873497	0.0	0.0
100873496	0.0	0.0
100873495	0.0	0.0
100873494	0.0	0.0
1164	390.0	885.0
1163	410.0	737.0
285659	0.0	0.0
1161	381.0	409.0
1160	145.0	1591.0
1159	81.0	36.0
1158	2.0	36895.0
1157	0.0	0.0
1155	2017.0	4019.0
550643	1717.0	2845.0
283025	0.0	0.0
100873499	0.0	0.0
100873498	0.0	0.0
100873482	0.0	0.0
100873481	0.0	0.0
100873480	0.0	0.0
100873486	0.0	0.0
100873485	0.0	0.0
100873484	0.0	0.0
100873483	0.0	0.0
1176	2474.0	3266.0
1175	1747.0	2727.0
285668	5.0	2.0
1174	1100.0	2696.0
1173	11942.0	24534.0
550631	237.0	221.0
100873489	0.0	0.0
283014	10.0	32.0
100873488	0.0	0.0
100873487	0.0	0.0
283093	0.0	0.0
283092	0.0	0.0
1187	334.0	38.0
1186	3014.0	5583.0
1185	1116.0	1975.0
1184	391.0	418.0
1183	1038.0	1691.0
1182	3838.0	4756.0
1181	280.0	401.0
440375	33.0	55.0
1180	6.0	48.0
1179	0.0	1.0
1178	1.0	2.0
283089	18.0	7.0
85495	0.0	0.0
85480	71.0	75.0
283080	0.0	1.0
1198	2445.0	4523.0
1197	1.0	3.0
1196	1946.0	3746.0
1195	5798.0	9693.0
440366	0.0	2.0
1193	2666.0	2964.0
1192	9516.0	20708.0
1191	158349.0	339178.0
1188	719.0	116.0
283078	24.0	257.0
85486	18.0	1.0
128615	0.0	0.0
85481	0.0	0.0
128611	1248.0	232.0
440396	32.0	70.0
128609	0.0	0.0
128602	0.0	3.0
440387	1.0	0.0
128674	32.0	1.0
128676	2.0	0.0
114026	0.0	1.0
100861402	1.0	3.0
126014	119.0	242.0
440335	17.0	9.0
100128690	0.0	0.0
114034	837.0	1536.0
126006	34.0	79.0
114036	52.0	92.0
100128696	1.0	0.0
100128688	0.0	0.0
126003	45.0	81.0
100861412	0.0	2.0
105180390	0.0	1.0
100128685	0.0	0.0
100128681	0.0	0.0
105180391	0.0	0.0
100128682	1.0	0.0
100128678	0.0	1.0
100861429	0.0	0.0
128653	2.0	0.0
200728	269.0	508.0
440356	3.0	13.0
440354	72.0	77.0
440352	1.0	2.0
100873419	1.0	0.0
100873418	0.0	0.0
100873413	0.0	0.0
128646	7.0	9.0
100873412	0.0	1.0
100873411	0.0	0.0
100128675	4.0	24.0
100873410	0.0	0.0
100873417	0.0	2.0
100873416	0.0	0.0
100873415	0.0	0.0
100873414	0.0	0.0
440348	238.0	454.0
100861435	1.0	0.0
100861436	0.0	0.0
440345	45.0	80.0
200734	2107.0	5338.0
100861431	0.0	0.0
100861434	0.0	0.0
100873409	0.0	0.0
440350	3.0	1.0
100873408	0.0	0.0
100873407	0.0	0.0
100861430	2.0	1.0
100873402	0.0	0.0
100873401	0.0	1.0
100873400	0.0	0.0
100128665	0.0	0.0
128637	2680.0	5082.0
100873406	0.0	0.0
100873405	0.0	0.0
100873404	0.0	0.0
100873403	0.0	0.0
645440	0.0	0.0
645443	9.0	5.0
165530	18.0	45.0
85409	78.0	367.0
106481385	0.0	0.0
106481386	0.0	0.0
85416	0.0	1.0
106481383	4.0	3.0
85417	28.0	44.0
106481384	0.0	0.0
103106903	0.0	0.0
85414	132.0	80.0
106481389	0.0	0.0
85415	563.0	564.0
106481387	0.0	0.0
85413	2.0	1.0
106481388	3.0	2.0
645436	1.0	1.0
106481381	1.0	0.0
106481382	0.0	0.0
10	1.0	1.0
106481380	0.0	0.0
11	0.0	0.0
403341	938.0	1753.0
12	13.0	144.0
13	8.0	0.0
14	6284.0	7760.0
15	12.0	11.0
16	7651.0	8547.0
645455	19.0	21.0
18	4320.0	11744.0
19	1593.0	4469.0
128580	18.0	22.0
85407	43.0	152.0
106481396	0.0	0.0
106481397	0.0	0.0
106481394	0.0	0.0
85406	1324.0	1840.0
106481395	0.0	0.0
85403	1316.0	2598.0
106481398	0.0	0.0
106481399	0.0	0.0
403339	0.0	0.0
106481392	0.0	1.0
106481393	0.0	0.0
20	6592.0	14762.0
106481390	0.0	0.0
21	8206.0	9270.0
106481391	0.0	0.0
22	975.0	1427.0
153571	104.0	41.0
153572	54.0	79.0
23	3281.0	4880.0
24	49.0	130.0
25	7118.0	15027.0
26	88.0	324.0
27	1322.0	3005.0
28	3277.0	5835.0
29	2779.0	9676.0
153579	503.0	740.0
728615	0.0	0.0
728614	0.0	0.0
200765	184.0	373.0
106481358	0.0	0.0
106481359	0.0	0.0
728611	41.0	49.0
102466518	0.0	0.0
102466516	16.0	30.0
102466515	0.0	0.0
106481363	0.0	0.0
106481364	0.0	0.0
85438	0.0	0.0
106481361	0.0	0.0
85439	1051.0	901.0
106481362	0.0	0.0
106481367	0.0	0.0
85437	1856.0	3805.0
106481368	0.0	0.0
106481365	0.0	0.0
728609	217.0	495.0
106481366	0.0	0.0
30	2470.0	4048.0
106481360	0.0	0.0
31	1589.0	3260.0
32	3560.0	2421.0
33	1750.0	129.0
34	2034.0	1712.0
35	1302.0	1383.0
153562	2893.0	2742.0
36	1562.0	1357.0
37	10546.0	22156.0
38	3370.0	3808.0
440307	6.0	18.0
39	508.0	745.0
165545	8.0	4.0
106481369	0.0	0.0
728606	15.0	7.0
106481374	0.0	0.0
106481375	0.0	0.0
106481372	0.0	0.0
106481373	1.0	0.0
106481378	0.0	3.0
106481379	0.0	0.0
106481376	0.0	0.0
106481377	0.0	0.0
403315	1.0	0.0
40	3.0	7.0
106481370	0.0	0.0
41	24.0	119.0
106481371	0.0	0.0
43	174.0	376.0
645486	1.0	0.0
47	4845.0	8208.0
48	2730.0	5891.0
49	10.0	22.0
106481338	0.0	0.0
106481339	0.0	1.0
106481336	0.0	1.0
106481337	1.0	4.0
106481341	0.0	0.0
106481342	1.0	5.0
106481340	1.0	0.0
85458	1636.0	1447.0
