id	40061da3-4d17-4319-a4a8-22b0fbad9fd9	c09b3169-05dc-4a2a-881a-05b4d2296d0a
728492	19.0	20.0
100873375	1.0	0.0
100128710	0.0	0.0
285533	28.0	49.0
100873374	0.0	0.0
728495	0.0	0.0
100873373	0.0	0.0
100128712	0.0	0.0
1044	17.0	4.0
1043	6111.0	1356.0
1041	3.0	142.0
1040	7541.0	4841.0
1039	7465.0	2726.0
1038	1.0	3.0
1036	627.0	658.0
3696	1665.0	1681.0
3697	9.0	2.0
100873379	0.0	0.0
3698	19.0	67.0
100873378	4.0	4.0
3699	65.0	8.0
100873377	0.0	0.0
728486	17.0	9.0
100873361	0.0	0.0
105373869	0.0	11.0
100873360	0.0	1.0
285540	252.0	99.0
100128705	4.0	0.0
100873365	0.0	0.0
100873364	0.0	0.0
728481	0.0	0.0
100873363	0.0	0.0
728484	2.0	0.0
100873362	0.0	0.0
100128701	0.0	1.0
1054	2603.0	1172.0
285547	0.0	0.0
1053	3.0	5.0
285548	0.0	2.0
1052	2178.0	2766.0
1051	2589.0	1907.0
728489	18.0	10.0
1050	496.0	356.0
100128707	1.0	1.0
1048	0.0	8.0
1047	53.0	86.0
1046	0.0	0.0
1045	4.0	0.0
100873369	19.0	0.0
100873368	0.0	0.0
100873367	0.0	0.0
100873366	0.0	0.0
105373877	3.0	0.0
1066	85.0	39.0
1063	2375.0	367.0
1062	1097.0	142.0
1061	16.0	4.0
1060	3373.0	1300.0
440253	360.0	108.0
1059	5049.0	5813.0
1058	186.0	28.0
1057	3.0	1.0
85379	14710.0	7013.0
114112	789.0	330.0
1056	28.0	29.0
85377	3393.0	2221.0
85378	4179.0	3128.0
128745	1.0	0.0
85376	22.0	42.0
440248	667.0	336.0
1075	5077.0	32973.0
1074	13.0	7.0
1073	4797.0	2032.0
1072	35581.0	32884.0
1071	506.0	32.0
440243	1.0	0.0
1070	1136.0	508.0
1069	5482.0	2715.0
1068	0.0	0.0
85369	2307.0	1775.0
85366	21.0	6.0
85364	2260.0	1272.0
85365	3842.0	2499.0
85363	1815.0	1350.0
85360	617.0	489.0
1080	37.0	110.0
85391	3.0	3.0
403296	1.0	0.0
403297	0.0	0.0
85390	0.0	0.0
403299	0.0	0.0
1088	0.0	0.0
153733	501.0	379.0
1087	0.0	1.0
1086	0.0	4.0
440279	598.0	157.0
1085	1.0	11.0
1084	16.0	12.0
440278	310.0	127.0
1082	0.0	0.0
403294	0.0	0.0
440275	5735.0	3456.0
1081	1.0	1.0
85397	790.0	9.0
85395	413.0	417.0
403285	0.0	0.0
1091	0.0	0.0
1090	0.0	0.0
403288	0.0	0.0
403289	0.0	0.0
1098	0.0	0.0
1097	0.0	0.0
1096	0.0	1.0
1095	0.0	0.0
403281	0.0	0.0
403282	0.0	0.0
1094	0.0	1.0
1093	0.0	0.0
403283	0.0	0.0
403284	0.0	0.0
1092	0.0	0.0
440270	5361.0	3671.0
1089	12.0	14.0
85388	0.0	0.0
85389	0.0	0.0
128718	0.0	0.0
285596	152.0	76.0
285598	724.0	302.0
126133	2076.0	1572.0
128790	0.0	0.0
126129	48.0	77.0
126123	4.0	8.0
442862	0.0	0.0
126119	991.0	1000.0
442863	0.0	0.0
442864	0.0	0.0
442865	0.0	0.0
442866	0.0	0.0
442867	0.0	0.0
442868	0.0	0.0
128770	0.0	0.0
128774	0.0	0.0
442893	0.0	0.0
442894	0.0	0.0
442895	3.0	0.0
114131	0.0	0.0
442896	0.0	0.0
114132	46.0	12.0
442897	0.0	0.0
442898	2.0	2.0
114134	520.0	928.0
442899	0.0	0.0
100128790	0.0	0.0
128760	8.0	3.0
100128788	71.0	29.0
100128787	0.0	0.0
440225	1.0	0.0
440224	0.0	0.0
442890	0.0	0.0
442891	9.0	6.0
442892	3.0	0.0
128756	0.0	0.0
100128782	585.0	221.0
100128781	2.0	0.0
403230	0.0	0.0
403231	0.0	0.0
403232	0.0	0.0
645560	1.0	1.0
403234	0.0	0.0
403235	3.0	1.0
403236	0.0	0.0
63982	100.0	57.0
102466616	0.0	0.0
126052	1.0	0.0
151009	73.0	38.0
403227	0.0	1.0
403228	0.0	0.0
138046	1.0	0.0
645558	0.0	0.0
403229	0.0	0.0
645573	1.0	0.0
645572	0.0	0.0
645571	5.0	2.0
403223	0.0	0.0
403224	0.0	0.0
403226	0.0	0.0
200634	719.0	591.0
107131122	1.0	1.0
138050	8653.0	10001.0
403219	0.0	0.0
151011	4956.0	3031.0
645587	2.0	2.0
165679	10.0	4.0
126037	9.0	16.0
114049	4970.0	3218.0
106481479	0.0	0.0
100033818	0.0	0.0
100033819	0.0	0.0
85319	0.0	0.0
106481484	0.0	0.0
106481485	8.0	0.0
106481482	0.0	0.0
106481483	0.0	0.0
85315	1027.0	434.0
100033821	1.0	0.0
106481488	0.0	0.0
100033822	0.0	0.0
106481489	0.0	0.0
85313	4762.0	2088.0
106481486	0.0	0.0
106481487	0.0	0.0
645579	327.0	209.0
100033820	0.0	0.0
106481480	1.0	0.0
106481481	0.0	0.0
138065	11.0	77.0
645598	0.0	0.0
163007	1.0	4.0
114038	0.0	0.0
645591	0.0	0.0
106481495	2.0	0.0
114041	41.0	2.0
106481496	0.0	0.0
114042	3.0	0.0
106481493	0.0	0.0
114043	13.0	15.0
106481494	0.0	0.0
106481499	0.0	0.0
114044	258.0	125.0
126017	453.0	337.0
106481497	0.0	1.0
106481498	2.0	0.0
85303	0.0	0.0
85300	1.0	0.0
85301	2990.0	380.0
106481491	0.0	0.0
106481492	0.0	0.0
106481490	0.0	0.0
403274	0.0	0.0
102466657	0.0	0.0
403275	0.0	0.0
102466656	0.0	0.0
403276	0.0	0.0
403277	0.0	0.0
403278	0.0	0.0
26996	1019.0	333.0
106481459	0.0	0.0
26994	13502.0	8009.0
106481457	10.0	4.0
26995	2286.0	1566.0
106481458	0.0	0.0
403271	0.0	0.0
26998	1.0	2.0
403272	0.0	0.0
102466659	0.0	0.0
26999	7439.0	3307.0
403273	0.0	0.0
102466658	0.0	0.0
106481462	0.0	0.0
106481463	0.0	0.0
104310353	3.0	0.0
106481460	1.0	1.0
106481461	0.0	0.0
104310350	0.0	0.0
106481466	0.0	0.0
26993	3804.0	2240.0
106481467	0.0	0.0
106481464	1.0	0.0
106481465	0.0	0.0
104310351	1.0	0.0
403263	0.0	0.0
403264	0.0	0.0
403265	0.0	0.0
403266	0.0	0.0
138009	0.0	0.0
106481468	0.0	0.0
106481469	0.0	0.0
403260	0.0	0.0
106481473	0.0	0.0
106481474	0.0	0.0
106481471	0.0	0.0
85329	13.0	9.0
106481472	0.0	0.0
106481477	3.0	0.0
106481478	0.0	0.0
106481475	0.0	0.0
106481476	0.0	0.0
85320	42.0	40.0
106481470	1.0	0.0
403252	0.0	0.0
403253	0.0	1.0
403254	0.0	0.0
126070	672.0	402.0
403255	0.0	0.0
403256	0.0	0.0
403257	0.0	0.0
344471	2.0	2.0
106481437	0.0	0.0
26974	222.0	166.0
153657	114.0	8.0
106481438	0.0	0.0
106481435	0.0	0.0
26973	2500.0	1062.0
165631	1184.0	236.0
106481436	2.0	0.0
26978	10.0	13.0
126075	1054.0	1081.0
106481439	0.0	0.0
403250	0.0	0.0
126074	197.0	134.0
403251	0.0	0.0
106481440	2.0	0.0
106481441	0.0	0.0
85359	2229.0	2158.0
106481444	26.0	9.0
106481445	0.0	0.0
106481442	0.0	0.0
106481443	0.0	0.0
85358	2048.0	1727.0
85354	0.0	0.0
85352	146.0	96.0
403241	3.0	0.0
344462	3.0	2.0
403244	0.0	0.0
403245	0.0	0.0
153642	866.0	336.0
153643	166.0	26.0
403247	0.0	0.0
403248	0.0	0.0
26985	4785.0	3182.0
106481448	0.0	0.0
26986	53447.0	47037.0
126069	135.0	73.0
106481449	0.0	0.0
126068	1111.0	700.0
106481446	0.0	0.0
26983	0.0	0.0
26984	1240.0	765.0
106481447	0.0	0.0
106481451	2.0	3.0
106481452	1.0	0.0
106481450	4.0	0.0
114088	75.0	26.0
106481455	0.0	1.0
85349	1071.0	31.0
106481456	0.0	0.0
26982	0.0	0.0
106481453	0.0	0.0
85347	0.0	0.0
26980	2.0	1.0
106481454	0.0	2.0
403238	0.0	0.0
85344	73.0	3.0
403239	0.0	0.0
85345	0.0	0.0
85343	0.0	0.0
344454	0.0	0.0
85340	0.0	0.0
100873394	0.0	0.0
100873393	0.0	1.0
100873392	1.0	2.0
100873391	0.0	0.0
100873398	0.0	0.0
100873397	0.0	0.0
100873396	0.0	0.0
100873395	0.0	0.0
100128811	0.0	0.0
106481415	0.0	0.0
106481416	2.0	0.0
106481413	0.0	0.0
106481414	1.0	2.0
63901	4522.0	5323.0
100873390	0.0	0.0
728556	58.0	36.0
106481419	0.0	0.0
100128817	0.0	0.0
728558	211.0	80.0
106481417	0.0	0.0
106481418	0.0	0.0
106481422	0.0	0.0
163081	557.0	379.0
106481423	0.0	0.0
106481420	0.0	0.0
106481421	0.0	0.0
100873399	1.0	0.0
100873383	0.0	0.0
100873382	0.0	0.0
100873381	8.0	0.0
100873380	0.0	0.0
100128804	0.0	0.0
100873387	0.0	0.0
100873386	0.0	0.0
100873385	0.0	0.0
100128801	0.0	0.0
285600	457.0	194.0
100873384	0.0	0.0
285601	3.0	27.0
106481426	0.0	0.0
106481427	3.0	0.0
222005	1.0	0.0
63910	493.0	584.0
106481424	0.0	0.0
106481425	0.0	0.0
285605	1296.0	486.0
222008	3.0	0.0
106481428	0.0	1.0
106481429	0.0	0.0
63905	4244.0	2646.0
63904	0.0	0.0
106481430	1.0	2.0
163071	361.0	890.0
63906	706.0	744.0
106481433	0.0	0.0
63908	1323.0	626.0
106481434	0.0	0.0
106481431	0.0	1.0
106481432	0.0	0.0
100873389	0.0	0.0
100873388	11.0	5.0
285613	102.0	94.0
63920	468.0	337.0
63923	241.0	124.0
63922	658.0	511.0
728577	20.0	10.0
63925	2454.0	1154.0
63924	35.0	0.0
63916	3224.0	3737.0
63917	5329.0	3692.0
106481400	0.0	0.0
106481401	0.0	0.0
728562	2.0	1.0
728564	4.0	2.0
285622	0.0	0.0
106481404	0.0	0.0
106481405	0.0	0.0
63932	1979.0	1506.0
106481402	1.0	0.0
63931	2548.0	1074.0
106481403	0.0	0.0
63934	1076.0	824.0
728567	0.0	4.0
106481408	0.0	0.0
163088	7.0	4.0
63933	3998.0	3215.0
106481409	0.0	0.0
106481406	0.0	0.0
63935	4785.0	3088.0
163087	887.0	552.0
728568	351.0	276.0
106481407	15.0	2.0
3704	2858.0	2313.0
3705	2874.0	3066.0
63926	1614.0	671.0
3706	14.0	20.0
63929	1437.0	737.0
3707	4297.0	1891.0
63928	3.0	1.0
3708	15140.0	838.0
106481411	0.0	0.0
3709	4386.0	2858.0
106481412	1.0	0.0
106481410	0.0	1.0
3700	35.0	15.0
3702	1386.0	355.0
3703	13389.0	8082.0
645506	1.0	0.0
151050	2659.0	1270.0
645520	0.0	0.0
63941	1116.0	966.0
63940	3170.0	1029.0
63943	893.0	399.0
728517	0.0	0.0
163033	492.0	942.0
258010	6013.0	3821.0
63947	0.0	0.0
63946	1.0	0.0
728513	8.0	9.0
100033803	0.0	0.0
3716	19244.0	13246.0
100033804	0.0	0.0
3717	1999.0	986.0
100033805	0.0	0.0
3718	2820.0	1110.0
63939	1247.0	1040.0
100033806	0.0	0.0
100190799	12.0	6.0
100033800	0.0	0.0
100033801	0.0	0.0
100033802	0.0	0.0
344405	120.0	99.0
3710	15576.0	24129.0
3712	19676.0	7054.0
3713	0.0	1409.0
3714	773.0	1928.0
63950	33.0	0.0
728505	0.0	3.0
63951	431.0	314.0
100033807	0.0	0.0
728501	28.0	24.0
100033808	0.0	0.0
100033809	0.0	0.0
3726	20376.0	13023.0
100033814	0.0	0.0
3727	42380.0	10868.0
63948	1.0	0.0
100033815	0.0	0.0
222052	30.0	0.0
3728	21917.0	26501.0
100033816	0.0	0.0
100033817	0.0	1.0
100033810	0.0	0.0
100033811	0.0	0.0
100033812	0.0	0.0
100033813	0.0	0.0
3720	1612.0	787.0
151056	210.0	161.0
3725	45716.0	9760.0
645528	8.0	4.0
728532	18.0	36.0
163059	604.0	403.0
728538	0.0	0.0
728537	279.0	138.0
63967	509.0	162.0
3737	102.0	22.0
3738	329.0	164.0
3739	2.0	0.0
645538	0.0	0.0
3730	2723.0	3105.0
3732	4904.0	2961.0
3734	0.0	0.0
3735	8025.0	6063.0
3736	352.0	2.0
63970	6.0	0.0
3750	223.0	252.0
63971	7732.0	4808.0
63974	0.0	0.0
163049	4630.0	2376.0
63973	2.0	1.0
63976	3239.0	816.0
222068	14300.0	9393.0
63978	0.0	0.0
63977	954.0	533.0
63979	742.0	640.0
728524	0.0	0.0
3748	3423.0	2180.0
163051	52.0	34.0
3749	828.0	315.0
163050	102.0	39.0
3741	39.0	45.0
645548	13.0	5.0
3743	4.0	2.0
3744	0.0	0.0
3745	65.0	3.0
3746	9.0	1.0
3747	0.0	1.0
285671	2537.0	788.0
285672	2126.0	1359.0
100873431	1.0	0.0
100873430	0.0	0.0
3760	0.0	0.0
285676	100.0	141.0
3761	0.0	2.0
100128657	0.0	0.0
285679	5.0	3.0
100861449	0.0	0.0
100861443	0.0	0.0
100861445	0.0	0.0
3759	156.0	777.0
283008	0.0	0.0
3751	38.0	28.0
100873435	0.0	0.0
3752	128.0	106.0
100873434	0.0	0.0
3753	4.0	3.0
100873433	0.0	0.0
3754	64.0	11.0
100873432	0.0	0.0
3755	41.0	24.0
100873439	0.0	0.0
3756	12.0	40.0
100873438	0.0	0.0
3757	29.0	36.0
100873437	0.0	0.0
3758	82.0	25.0
100873436	0.0	0.0
100873420	3.0	0.0
3770	136.0	48.0
3772	19203.0	14292.0
100861458	1.0	0.0
100861453	36.0	16.0
100861455	0.0	0.0
1107	20288.0	7820.0
1106	16581.0	8397.0
1105	4523.0	2388.0
1104	1613.0	1471.0
100873429	0.0	0.0
1103	0.0	84.0
1102	3592.0	1777.0
1101	135.0	55.0
3762	306.0	286.0
100873424	0.0	0.0
3763	13.0	4.0
100128640	207.0	99.0
100873423	0.0	0.0
3764	625.0	317.0
100873422	0.0	0.0
3765	5.0	4.0
100873421	2.0	2.0
3766	160.0	21.0
100873428	0.0	0.0
3767	380.0	428.0
100873427	0.0	0.0
3768	125.0	91.0
1109	0.0	1.0
100873426	1.0	0.0
1108	29940.0	26004.0
3769	323.0	1.0
100873425	1.0	0.0
100128637	1.0	0.0
100128639	0.0	0.0
3780	10.0	11.0
100873453	0.0	0.0
3781	20.0	24.0
100873452	0.0	0.0
3782	1034.0	872.0
100873451	0.0	0.0
3783	919.0	6027.0
100873450	0.0	0.0
1121	2997.0	2011.0
100861468	0.0	0.0
1120	285.0	233.0
100861469	1.0	1.0
1118	727.0	6295.0
1117	1748.0	2391.0
1116	892.0	53801.0
1114	165.0	2778.0
1113	7.0	23.0
1112	5356.0	3539.0
1111	757.0	457.0
3773	30052.0	14699.0
100873457	3.0	0.0
100873456	0.0	0.0
3775	1086.0	1875.0
100873455	0.0	0.0
3776	1806.0	41.0
100873454	0.0	0.0
3777	759.0	158.0
3778	620.0	322.0
3779	55.0	160.0
100873459	0.0	0.0
1119	4818.0	1720.0
100128627	0.0	0.0
100128626	0.0	0.0
3790	107.0	499.0
100128628	15.0	2.0
3791	5975.0	1921.0
100873442	0.0	0.0
3792	243.0	21.0
100873441	0.0	0.0
100873440	0.0	0.0
100128625	0.0	0.0
1132	9.0	3.0
1131	241.0	36.0
1130	4402.0	5543.0
100861476	2.0	0.0
1129	1.0	0.0
1128	5.0	0.0
1124	991.0	810.0
1123	1179.0	673.0
1122	1460.0	1074.0
100861470	0.0	0.0
3784	9871.0	4434.0
100873446	0.0	0.0
3785	1.0	0.0
100873445	0.0	0.0
3786	77.0	3938.0
100873444	0.0	0.0
3787	6.0	14.0
100873443	0.0	0.0
3788	5.0	12.0
100873449	8.0	6.0
100873448	0.0	0.0
100873447	0.0	0.0
100873471	0.0	0.0
100873470	0.0	0.0
283050	213.0	222.0
100128618	0.0	2.0
728597	8.0	0.0
100128617	12.0	1.0
100873475	0.0	0.0
100873474	0.0	0.0
728591	37.0	57.0
100873473	0.0	0.0
100873472	0.0	0.0
1143	33.0	3.0
285634	10.0	2.0
1142	0.0	0.0
1141	2.0	9.0
285636	3094.0	2120.0
1140	1479.0	1124.0
728599	2.0	1.0
1139	103.0	34.0
1138	11.0	8.0
1137	520.0	9.0
100861485	0.0	0.0
1136	39.0	21.0
1135	1.0	1.0
1134	97.0	9.0
1133	12.0	3.0
3795	171.0	96.0
100873479	14.0	19.0
3796	2600.0	1215.0
100873478	0.0	0.0
3797	633.0	1034.0
100873477	3.0	1.0
3798	477.0	27.0
100873476	0.0	0.0
3799	14204.0	11121.0
100873460	0.0	0.0
728586	27.0	17.0
285641	1.0	0.0
100873464	6.0	5.0
100873463	0.0	0.0
100873462	1.0	0.0
285643	1.0	0.0
100128603	0.0	0.0
100873461	0.0	0.0
1154	971.0	2907.0
1153	34020.0	18317.0
1152	12673.0	5129.0
285647	49.0	18.0
728589	19.0	20.0
728588	0.0	0.0
1149	8.0	0.0
1147	2609.0	1396.0
1146	0.0	2.0
1145	37.0	26.0
1144	1.0	1.0
100873468	0.0	0.0
100873467	0.0	0.0
100873466	0.0	0.0
100873465	0.0	0.0
283033	0.0	0.0
100873469	0.0	0.0
100873493	0.0	0.0
100873492	0.0	0.0
100873491	0.0	0.0
100873490	0.0	0.0
100873497	0.0	0.0
100873496	0.0	0.0
100873495	0.0	0.0
100873494	0.0	0.0
1164	944.0	1385.0
1163	766.0	482.0
285659	0.0	0.0
1161	553.0	320.0
1160	87.0	60.0
1159	92.0	69.0
1158	1.0	1.0
1157	0.0	0.0
1155	2552.0	3239.0
550643	2462.0	1988.0
283025	1.0	0.0
100873499	0.0	0.0
100873498	0.0	0.0
100873482	1.0	0.0
100873481	0.0	0.0
100873480	0.0	0.0
100873486	0.0	0.0
100873485	0.0	0.0
100873484	0.0	0.0
100873483	0.0	0.0
1176	3361.0	3670.0
1175	1955.0	2093.0
285668	8.0	3.0
1174	1704.0	2712.0
1173	16616.0	18177.0
550631	458.0	146.0
100873489	0.0	0.0
283014	19.0	9.0
100873488	0.0	0.0
100873487	0.0	2.0
283093	0.0	0.0
283092	0.0	0.0
1187	252.0	6.0
1186	4722.0	4486.0
1185	2152.0	1390.0
1184	924.0	540.0
1183	1724.0	812.0
1182	7565.0	5027.0
1181	443.0	267.0
440375	76.0	51.0
1180	8.0	6.0
1179	0.0	0.0
1178	4.0	2.0
283089	33.0	1.0
85495	0.0	0.0
85480	159.0	62.0
283080	0.0	0.0
1198	4128.0	2465.0
1197	1.0	2.0
1196	2481.0	1888.0
1195	11519.0	4693.0
440366	0.0	2.0
1193	5861.0	3710.0
1192	14947.0	18492.0
1191	148361.0	214544.0
1188	1797.0	63.0
283078	80.0	40.0
85486	6.0	0.0
128615	0.0	0.0
85481	0.0	0.0
128611	717.0	105.0
440396	66.0	37.0
128609	0.0	0.0
128602	0.0	0.0
440387	1.0	0.0
128674	1.0	0.0
128676	1.0	0.0
114026	1.0	0.0
100861402	1.0	1.0
126014	82.0	524.0
440335	5.0	53.0
100128690	0.0	0.0
114034	1503.0	949.0
126006	31.0	29.0
114036	225.0	36.0
100128696	0.0	0.0
100128688	0.0	0.0
126003	56.0	34.0
100861412	0.0	0.0
105180390	0.0	0.0
100128685	0.0	0.0
100128681	0.0	0.0
105180391	0.0	0.0
100128682	3.0	0.0
100128678	0.0	0.0
100861429	0.0	0.0
128653	0.0	0.0
200728	351.0	445.0
440356	5.0	3.0
440354	112.0	54.0
440352	4.0	1.0
100873419	0.0	0.0
100873418	2.0	0.0
100873413	1.0	0.0
128646	7.0	3.0
100873412	0.0	0.0
100873411	0.0	0.0
100128675	5.0	12.0
100873410	0.0	0.0
100873417	1.0	0.0
100873416	0.0	0.0
100873415	1.0	0.0
100873414	0.0	0.0
440348	147.0	103.0
100861435	0.0	0.0
100861436	0.0	0.0
440345	218.0	49.0
200734	4506.0	4115.0
100861431	0.0	0.0
100861434	0.0	0.0
100873409	0.0	0.0
440350	6.0	1.0
100873408	0.0	0.0
100873407	0.0	0.0
100861430	5.0	1.0
100873402	0.0	0.0
100873401	1.0	0.0
100873400	0.0	0.0
100128665	0.0	0.0
128637	4460.0	2944.0
100873406	0.0	0.0
100873405	0.0	0.0
100873404	0.0	0.0
100873403	0.0	0.0
645440	1.0	0.0
645443	5.0	3.0
165530	32.0	48.0
85409	40.0	221.0
106481385	0.0	3.0
106481386	0.0	0.0
85416	0.0	0.0
106481383	12.0	7.0
85417	94.0	20.0
106481384	0.0	0.0
103106903	3.0	2.0
85414	231.0	111.0
106481389	0.0	0.0
85415	1299.0	487.0
106481387	0.0	0.0
85413	3.0	8.0
106481388	7.0	3.0
645436	0.0	1.0
106481381	0.0	0.0
106481382	0.0	0.0
10	4.0	0.0
106481380	0.0	0.0
11	0.0	0.0
403341	1112.0	870.0
12	10.0	3.0
13	10.0	0.0
14	9533.0	6201.0
15	26.0	4.0
16	13038.0	7039.0
645455	19.0	5.0
18	10095.0	4284.0
19	5000.0	1825.0
128580	5.0	11.0
85407	92.0	33.0
106481396	0.0	0.0
106481397	0.0	0.0
106481394	0.0	0.0
85406	1855.0	1278.0
106481395	0.0	0.0
85403	2287.0	1650.0
106481398	0.0	0.0
106481399	0.0	0.0
403339	0.0	0.0
106481392	1.0	0.0
106481393	0.0	0.0
20	9321.0	5302.0
106481390	0.0	0.0
21	7900.0	5682.0
106481391	0.0	0.0
22	1765.0	1231.0
153571	257.0	23.0
153572	208.0	36.0
23	5835.0	3644.0
24	74.0	133.0
25	10835.0	6838.0
26	55.0	113.0
27	2511.0	2652.0
28	5006.0	4032.0
29	3237.0	10484.0
153579	811.0	149.0
728615	1.0	0.0
728614	0.0	0.0
200765	308.0	158.0
106481358	0.0	1.0
106481359	0.0	0.0
728611	49.0	24.0
102466518	1.0	1.0
102466516	16.0	3.0
102466515	0.0	0.0
106481363	0.0	0.0
106481364	0.0	0.0
85438	0.0	1.0
106481361	0.0	0.0
85439	1831.0	1195.0
106481362	0.0	0.0
106481367	1.0	0.0
85437	3336.0	2105.0
106481368	0.0	0.0
106481365	0.0	0.0
728609	385.0	245.0
106481366	0.0	0.0
30	2958.0	3396.0
106481360	0.0	0.0
31	3422.0	2206.0
32	5543.0	977.0
33	2365.0	882.0
34	5166.0	1762.0
35	1693.0	1390.0
153562	5767.0	2364.0
36	3533.0	1308.0
37	16106.0	15971.0
38	4068.0	2354.0
440307	24.0	4.0
39	1092.0	781.0
165545	20.0	8.0
106481369	0.0	0.0
728606	30.0	1.0
106481374	0.0	0.0
106481375	0.0	0.0
106481372	0.0	1.0
106481373	0.0	0.0
106481378	2.0	1.0
106481379	0.0	0.0
106481376	3.0	0.0
106481377	0.0	0.0
403315	0.0	0.0
40	2.0	10.0
106481370	0.0	0.0
41	28.0	28.0
106481371	0.0	0.0
43	292.0	59.0
645486	1.0	0.0
47	9212.0	6033.0
48	4911.0	6975.0
49	4.0	9.0
106481338	0.0	0.0
106481339	0.0	1.0
106481336	1.0	0.0
106481337	2.0	0.0
106481341	0.0	0.0
106481342	1.0	2.0
106481340	0.0	0.0
