id	731af067-9958-4967-b638-fc2a8a6bcf1f	527459cd-e8a6-44ce-850c-4fe2346059a7
3678	2552.0	4886.0
3679	1940.0	5376.0
100873359	0.0	0.0
728464	100.0	0.0
728463	14.0	1.0
100128725	1.0	0.0
3690	4726.0	1728.0
3691	2360.0	6166.0
100873343	0.0	0.0
3692	6109.0	7175.0
3693	8043.0	12084.0
285521	1423.0	1544.0
100873342	0.0	0.0
3694	1760.0	682.0
100873341	0.0	0.0
3695	191.0	277.0
100873340	0.0	0.0
100128723	1.0	0.0
1033	15.0	135.0
1032	210.0	385.0
285525	10.0	5.0
1031	1142.0	1340.0
285527	3624.0	2341.0
1030	93.0	584.0
728468	0.0	1.0
440288	120.0	70.0
1029	16.0	534.0
440295	77.0	78.0
1028	945.0	1318.0
1027	7201.0	6771.0
1026	6533.0	1823.0
1025	3467.0	6966.0
1024	989.0	688.0
3685	20161.0	12944.0
100873347	1.0	0.0
100873346	0.0	0.0
3687	246.0	325.0
100873345	0.0	0.0
3688	14112.0	13396.0
100873344	0.0	0.0
3689	1602.0	875.0
100873349	1.0	0.0
100873348	0.0	0.0
100873372	0.0	0.0
100873371	0.0	0.0
100873370	0.0	0.0
728498	96.0	33.0
100873376	0.0	0.0
728493	0.0	0.0
100128711	0.0	0.0
728492	22.0	11.0
100873375	0.0	0.0
100128710	0.0	0.0
285533	22.0	21.0
100873374	1.0	0.0
728495	0.0	0.0
100873373	0.0	0.0
100128712	0.0	0.0
1044	16.0	9.0
1043	512.0	933.0
1041	9.0	29.0
1040	9588.0	1990.0
1039	8749.0	3365.0
1038	2.0	1.0
1036	1022.0	903.0
3696	1425.0	4138.0
3697	4.0	1.0
100873379	0.0	0.0
3698	15.0	17.0
100873378	2.0	7.0
3699	106.0	21.0
100873377	0.0	0.0
728486	16.0	7.0
100873361	0.0	0.0
105373869	1.0	86.0
100873360	0.0	0.0
285540	282.0	174.0
100128705	3.0	2.0
100873365	2.0	0.0
100873364	0.0	0.0
728481	0.0	0.0
100873363	0.0	0.0
728484	0.0	4.0
100873362	0.0	0.0
100128701	1.0	6.0
1054	2981.0	2252.0
285547	0.0	0.0
1053	2.0	1.0
285548	5.0	3.0
1052	1870.0	2315.0
1051	2820.0	3741.0
728489	5.0	12.0
1050	1527.0	378.0
100128707	0.0	0.0
1048	0.0	0.0
1047	38.0	6.0
1046	0.0	0.0
1045	0.0	0.0
100873369	12.0	7.0
100873368	0.0	0.0
100873367	0.0	0.0
100873366	0.0	0.0
105373877	13.0	5.0
1066	5838.0	73.0
1063	185.0	2264.0
1062	70.0	237.0
1061	5.0	4.0
1060	2816.0	1799.0
440253	364.0	255.0
1059	7580.0	8619.0
1058	15.0	143.0
1057	1.0	0.0
85379	19694.0	9330.0
114112	1203.0	639.0
1056	20.0	45.0
85377	3318.0	2345.0
85378	3292.0	4505.0
128745	1.0	0.0
85376	164.0	66.0
440248	529.0	602.0
1075	4956.0	8802.0
1074	11.0	26.0
1073	4167.0	1406.0
1072	31921.0	45952.0
1071	236.0	297.0
440243	0.0	0.0
1070	1037.0	1067.0
1069	10437.0	4992.0
1068	0.0	0.0
85369	2534.0	2256.0
85366	83.0	8.0
85364	3156.0	2881.0
85365	4646.0	2758.0
85363	2053.0	2077.0
85360	1164.0	889.0
1080	42.0	5.0
85391	8.0	6.0
403296	0.0	1.0
403297	1.0	0.0
85390	0.0	0.0
403299	0.0	0.0
1088	1.0	0.0
153733	479.0	532.0
1087	1.0	0.0
1086	0.0	0.0
440279	80.0	7.0
1085	1.0	0.0
1084	4.0	0.0
440278	427.0	146.0
1082	0.0	0.0
403294	0.0	0.0
440275	7495.0	3943.0
1081	1.0	0.0
85397	4167.0	54.0
85395	460.0	1208.0
403285	0.0	0.0
1091	0.0	0.0
1090	0.0	0.0
403288	0.0	0.0
403289	0.0	0.0
1098	0.0	0.0
1097	0.0	0.0
1096	0.0	0.0
1095	0.0	0.0
403281	0.0	0.0
403282	0.0	0.0
1094	0.0	0.0
1093	0.0	0.0
403283	0.0	0.0
403284	0.0	0.0
1092	6.0	0.0
440270	3566.0	5509.0
1089	1.0	6.0
85388	0.0	0.0
85389	0.0	0.0
128718	0.0	1.0
285596	54.0	25.0
285598	489.0	452.0
126133	1928.0	2242.0
128790	7.0	0.0
126129	156.0	821.0
126123	35.0	1.0
442862	0.0	0.0
126119	1359.0	1176.0
442863	0.0	0.0
442864	0.0	0.0
442865	0.0	0.0
442866	0.0	0.0
442867	0.0	0.0
442868	0.0	0.0
128770	0.0	0.0
128774	0.0	0.0
442893	0.0	0.0
442894	0.0	0.0
442895	0.0	0.0
114131	0.0	0.0
442896	1.0	0.0
114132	125.0	6.0
442897	0.0	0.0
442898	1.0	2.0
114134	470.0	922.0
442899	0.0	0.0
100128790	0.0	0.0
128760	9.0	9.0
100128788	120.0	110.0
100128787	0.0	0.0
440225	0.0	0.0
440224	0.0	0.0
442890	0.0	0.0
442891	2.0	17.0
442892	2.0	0.0
128756	0.0	0.0
100128782	511.0	369.0
100128781	2.0	2.0
403230	0.0	0.0
403231	0.0	0.0
403232	0.0	0.0
645560	0.0	1.0
403234	0.0	0.0
403235	1.0	0.0
403236	0.0	0.0
63982	161.0	32.0
102466616	0.0	0.0
126052	0.0	0.0
151009	125.0	118.0
403227	0.0	0.0
403228	0.0	0.0
138046	0.0	0.0
645558	0.0	0.0
403229	0.0	0.0
645573	0.0	1.0
645572	0.0	0.0
645571	16.0	6.0
403223	1.0	1.0
403224	0.0	0.0
403226	0.0	0.0
200634	903.0	1341.0
107131122	1.0	1.0
138050	9259.0	10760.0
403219	0.0	0.0
151011	6309.0	5375.0
645587	2.0	0.0
165679	20.0	14.0
126037	15.0	35.0
114049	6443.0	7766.0
106481479	0.0	0.0
100033818	0.0	0.0
100033819	0.0	0.0
85319	0.0	0.0
106481484	0.0	0.0
106481485	1.0	1.0
106481482	0.0	0.0
106481483	0.0	0.0
85315	614.0	406.0
100033821	1.0	1.0
106481488	0.0	0.0
100033822	0.0	0.0
106481489	0.0	0.0
85313	3431.0	2382.0
106481486	1.0	0.0
106481487	0.0	0.0
645579	369.0	269.0
100033820	0.0	0.0
106481480	0.0	0.0
106481481	0.0	0.0
138065	8.0	541.0
645598	0.0	0.0
163007	0.0	0.0
114038	0.0	3.0
645591	0.0	0.0
106481495	0.0	0.0
114041	609.0	19.0
106481496	0.0	0.0
114042	10.0	0.0
106481493	0.0	0.0
114043	127.0	37.0
106481494	0.0	0.0
106481499	0.0	0.0
114044	264.0	235.0
126017	917.0	531.0
106481497	0.0	2.0
106481498	0.0	0.0
85303	0.0	0.0
85300	1.0	2.0
85301	1038.0	1374.0
106481491	0.0	0.0
106481492	0.0	0.0
106481490	0.0	0.0
403274	0.0	0.0
102466657	0.0	0.0
403275	0.0	0.0
102466656	1.0	0.0
403276	0.0	0.0
403277	0.0	0.0
403278	0.0	0.0
26996	708.0	223.0
106481459	0.0	0.0
26994	14406.0	9043.0
106481457	12.0	10.0
26995	3386.0	3506.0
106481458	0.0	0.0
403271	0.0	0.0
26998	1.0	20.0
403272	0.0	0.0
102466659	0.0	0.0
26999	6638.0	3944.0
403273	0.0	0.0
102466658	0.0	0.0
106481462	0.0	0.0
106481463	0.0	0.0
104310353	9.0	1.0
106481460	7.0	3.0
106481461	0.0	0.0
104310350	0.0	0.0
106481466	0.0	0.0
26993	2767.0	3917.0
106481467	0.0	0.0
106481464	0.0	5.0
106481465	0.0	0.0
104310351	0.0	0.0
403263	0.0	0.0
403264	0.0	0.0
403265	1.0	2.0
403266	0.0	0.0
138009	0.0	0.0
106481468	0.0	0.0
106481469	0.0	0.0
403260	0.0	0.0
106481473	0.0	0.0
106481474	1.0	0.0
106481471	0.0	0.0
85329	24.0	4.0
106481472	0.0	0.0
106481477	0.0	0.0
106481478	0.0	0.0
106481475	0.0	0.0
106481476	0.0	0.0
85320	27.0	129.0
106481470	1.0	1.0
403252	0.0	0.0
403253	2.0	0.0
403254	0.0	0.0
126070	990.0	445.0
403255	1.0	0.0
403256	0.0	0.0
403257	0.0	0.0
344471	3.0	23.0
106481437	0.0	0.0
26974	663.0	378.0
153657	197.0	50.0
106481438	1.0	0.0
106481435	0.0	0.0
26973	1536.0	1070.0
165631	85.0	35.0
106481436	4.0	0.0
26978	3.0	18.0
126075	1211.0	1400.0
106481439	0.0	0.0
403250	0.0	0.0
126074	410.0	360.0
403251	0.0	0.0
106481440	1.0	0.0
106481441	0.0	1.0
85359	3493.0	4082.0
106481444	22.0	17.0
106481445	0.0	0.0
106481442	0.0	0.0
106481443	0.0	0.0
85358	2100.0	2562.0
85354	0.0	0.0
85352	121.0	97.0
403241	14.0	9.0
344462	2.0	1.0
403244	0.0	0.0
403245	0.0	0.0
153642	1189.0	285.0
153643	254.0	43.0
403247	0.0	0.0
403248	0.0	0.0
26985	4286.0	2526.0
106481448	0.0	0.0
26986	45543.0	96323.0
126069	173.0	69.0
106481449	0.0	0.0
126068	2011.0	1284.0
106481446	0.0	0.0
26983	0.0	0.0
26984	1471.0	1006.0
106481447	0.0	0.0
106481451	2.0	4.0
106481452	0.0	0.0
106481450	0.0	0.0
114088	98.0	33.0
106481455	0.0	1.0
85349	122.0	44.0
106481456	0.0	0.0
26982	0.0	0.0
106481453	0.0	0.0
85347	0.0	0.0
26980	2.0	7.0
106481454	0.0	0.0
403238	0.0	0.0
85344	40.0	0.0
403239	0.0	0.0
85345	0.0	0.0
85343	0.0	0.0
344454	0.0	0.0
85340	0.0	0.0
100873394	0.0	0.0
100873393	3.0	1.0
100873392	2.0	10.0
100873391	0.0	0.0
100873398	0.0	1.0
100873397	0.0	0.0
100873396	0.0	0.0
100873395	0.0	0.0
100128811	1.0	0.0
106481415	0.0	0.0
106481416	1.0	0.0
106481413	0.0	0.0
106481414	0.0	1.0
63901	3418.0	6512.0
100873390	0.0	1.0
728556	48.0	55.0
106481419	0.0	1.0
100128817	0.0	0.0
728558	182.0	102.0
106481417	0.0	0.0
106481418	0.0	0.0
106481422	0.0	0.0
163081	702.0	771.0
106481423	0.0	0.0
106481420	0.0	0.0
106481421	0.0	0.0
100873399	1.0	2.0
100873383	0.0	0.0
100873382	0.0	0.0
100873381	2.0	21.0
100873380	1.0	0.0
100128804	0.0	0.0
100873387	0.0	0.0
100873386	0.0	0.0
100873385	0.0	0.0
100128801	0.0	0.0
285600	406.0	167.0
100873384	0.0	0.0
285601	7.0	1.0
106481426	0.0	0.0
106481427	2.0	0.0
222005	2.0	2.0
63910	49.0	368.0
106481424	0.0	0.0
106481425	0.0	0.0
285605	1772.0	638.0
222008	38.0	2.0
106481428	0.0	1.0
106481429	0.0	1.0
63905	7050.0	5508.0
63904	0.0	0.0
106481430	0.0	0.0
163071	975.0	627.0
63906	1287.0	1260.0
106481433	1.0	0.0
63908	1535.0	902.0
106481434	0.0	0.0
106481431	0.0	0.0
106481432	0.0	0.0
100873389	0.0	0.0
100873388	5.0	23.0
285613	144.0	135.0
63920	960.0	789.0
63923	87.0	454.0
63922	381.0	921.0
728577	16.0	0.0
63925	2115.0	2355.0
63924	71.0	4.0
63916	4727.0	4245.0
63917	7558.0	4718.0
106481400	0.0	0.0
106481401	0.0	0.0
728562	0.0	7.0
728564	3.0	5.0
285622	1.0	0.0
106481404	0.0	0.0
106481405	0.0	0.0
63932	2307.0	1616.0
106481402	0.0	1.0
63931	3431.0	2184.0
106481403	1.0	0.0
63934	1955.0	1554.0
728567	1.0	4.0
106481408	0.0	0.0
163088	12.0	8.0
63933	4841.0	4167.0
106481409	0.0	0.0
106481406	0.0	0.0
63935	6536.0	4267.0
163087	1715.0	943.0
728568	993.0	676.0
106481407	5.0	14.0
3704	4352.0	4711.0
3705	7574.0	22912.0
63926	1556.0	393.0
3706	25.0	200.0
63929	1961.0	1054.0
3707	2475.0	7107.0
63928	1.0	1.0
3708	31081.0	951.0
106481411	0.0	0.0
3709	2916.0	2526.0
106481412	0.0	0.0
106481410	1.0	1.0
3700	29.0	24.0
3702	172.0	32.0
3703	19119.0	9629.0
645506	0.0	0.0
151050	2559.0	2622.0
645520	0.0	0.0
63941	2232.0	1485.0
63940	483.0	588.0
63943	1079.0	1008.0
728517	0.0	0.0
163033	1120.0	1815.0
258010	7120.0	5927.0
63947	0.0	0.0
63946	0.0	3.0
728513	0.0	1.0
100033803	0.0	0.0
3716	13915.0	10493.0
100033804	0.0	0.0
3717	1175.0	429.0
100033805	0.0	0.0
3718	225.0	869.0
63939	1881.0	1972.0
100033806	0.0	0.0
100190799	2.0	6.0
100033800	0.0	0.0
100033801	0.0	0.0
100033802	0.0	0.0
344405	157.0	248.0
3710	12850.0	11845.0
3712	28234.0	11620.0
3713	0.0	48.0
3714	858.0	2752.0
63950	3.0	17.0
728505	0.0	1.0
63951	719.0	141.0
100033807	0.0	0.0
728501	24.0	33.0
100033808	0.0	0.0
100033809	0.0	0.0
3726	13886.0	11974.0
100033814	0.0	0.0
3727	13075.0	18183.0
63948	240.0	13.0
100033815	0.0	0.0
222052	2.0	0.0
3728	26869.0	33375.0
100033816	0.0	0.0
100033817	0.0	0.0
100033810	0.0	0.0
100033811	0.0	0.0
100033812	0.0	0.0
100033813	0.0	0.0
3720	1409.0	1276.0
151056	458.0	74.0
3725	47380.0	21601.0
645528	1.0	0.0
728532	26.0	60.0
163059	879.0	465.0
728538	0.0	1.0
728537	340.0	614.0
63967	19.0	92.0
3737	214.0	1.0
3738	71.0	7.0
3739	1.0	1.0
645538	0.0	0.0
3730	3113.0	4523.0
3732	4247.0	2724.0
3734	133.0	39.0
3735	9189.0	9175.0
3736	179.0	0.0
63970	2.0	4.0
3750	222.0	259.0
63971	10961.0	5755.0
63974	0.0	0.0
163049	6192.0	3199.0
63973	5.0	0.0
63976	6119.0	2292.0
222068	26908.0	26152.0
63978	0.0	0.0
63977	650.0	1078.0
63979	679.0	479.0
728524	0.0	0.0
3748	4170.0	1979.0
163051	119.0	91.0
3749	943.0	1014.0
163050	125.0	37.0
3741	47.0	31.0
645548	6.0	24.0
3743	2.0	2.0
3744	0.0	0.0
3745	90.0	106.0
3746	12.0	6.0
3747	0.0	3.0
285671	4085.0	1110.0
285672	2634.0	2204.0
100873431	0.0	0.0
100873430	0.0	0.0
3760	2.0	12.0
285676	195.0	235.0
3761	6.0	17.0
100128657	1.0	0.0
285679	4.0	3.0
100861449	0.0	0.0
100861443	0.0	0.0
100861445	0.0	0.0
3759	232.0	4963.0
283008	0.0	0.0
3751	56.0	46.0
100873435	0.0	0.0
3752	243.0	18.0
100873434	0.0	0.0
3753	2.0	1.0
100873433	0.0	0.0
3754	1.0	21.0
100873432	0.0	0.0
3755	2.0	3.0
100873439	0.0	0.0
3756	16.0	36.0
100873438	0.0	0.0
3757	37.0	95.0
100873437	0.0	0.0
3758	28.0	4.0
100873436	0.0	0.0
100873420	0.0	2.0
3770	215.0	134.0
3772	31521.0	8543.0
100861458	0.0	0.0
100861453	44.0	19.0
100861455	0.0	0.0
1107	22291.0	11030.0
1106	13552.0	9580.0
1105	2838.0	3218.0
1104	1017.0	2253.0
100873429	0.0	0.0
1103	0.0	0.0
1102	5843.0	3357.0
1101	330.0	126.0
3762	268.0	213.0
100873424	0.0	0.0
3763	0.0	13.0
100128640	293.0	242.0
100873423	0.0	0.0
3764	846.0	1521.0
100873422	0.0	0.0
3765	3.0	13.0
100873421	1.0	2.0
3766	106.0	43.0
100873428	0.0	0.0
3767	387.0	642.0
100873427	0.0	0.0
3768	596.0	169.0
1109	1.0	0.0
100873426	1.0	1.0
1108	28289.0	48302.0
3769	1826.0	68.0
100873425	0.0	0.0
100128637	0.0	1.0
100128639	0.0	0.0
3780	10.0	5.0
100873453	0.0	0.0
3781	29.0	76.0
100873452	0.0	0.0
3782	621.0	1351.0
100873451	0.0	0.0
3783	58.0	6429.0
100873450	0.0	0.0
1121	2614.0	1898.0
100861468	1.0	0.0
1120	232.0	380.0
100861469	0.0	0.0
1118	823.0	52.0
1117	818.0	441.0
1116	321.0	1808.0
1114	282.0	36.0
1113	0.0	4.0
1112	3067.0	2359.0
1111	430.0	792.0
3773	29587.0	10898.0
100873457	1.0	0.0
100873456	0.0	0.0
3775	1042.0	2035.0
100873455	0.0	0.0
3776	2458.0	192.0
100873454	0.0	0.0
3777	2264.0	806.0
3778	1121.0	257.0
3779	200.0	146.0
100873459	0.0	0.0
1119	4988.0	2765.0
100128627	0.0	4.0
100128626	1.0	0.0
3790	266.0	792.0
100128628	5.0	4.0
3791	7373.0	8594.0
100873442	0.0	0.0
3792	33.0	21.0
100873441	0.0	1.0
100873440	0.0	0.0
100128625	0.0	0.0
1132	8.0	5.0
1131	280.0	651.0
1130	2829.0	3981.0
100861476	0.0	1.0
1129	2.0	0.0
1128	18.0	3.0
1124	2176.0	4218.0
1123	498.0	2018.0
1122	1400.0	1499.0
100861470	0.0	0.0
3784	20395.0	4436.0
100873446	0.0	0.0
3785	1.0	3.0
100873445	0.0	0.0
3786	76.0	1349.0
100873444	0.0	0.0
3787	62.0	11.0
100873443	0.0	0.0
3788	65.0	0.0
100873449	11.0	9.0
100873448	0.0	0.0
100873447	0.0	0.0
100873471	0.0	0.0
100873470	0.0	0.0
283050	406.0	333.0
100128618	0.0	1.0
728597	18.0	0.0
100128617	1.0	3.0
100873475	0.0	0.0
100873474	0.0	0.0
728591	67.0	73.0
100873473	0.0	0.0
100873472	0.0	0.0
1143	33.0	82.0
285634	7.0	3.0
1142	0.0	0.0
1141	27.0	7.0
285636	4227.0	2756.0
1140	2370.0	2008.0
728599	12.0	10.0
1139	216.0	66.0
1138	5.0	14.0
1137	600.0	252.0
100861485	0.0	0.0
1136	13.0	4.0
1135	2.0	3.0
1134	7.0	822.0
1133	11.0	21.0
3795	212.0	212.0
100873479	7.0	7.0
3796	1884.0	988.0
100873478	3.0	0.0
3797	1896.0	682.0
100873477	6.0	8.0
3798	578.0	222.0
100873476	0.0	0.0
3799	11701.0	8618.0
100873460	0.0	0.0
728586	32.0	23.0
285641	0.0	0.0
100873464	6.0	5.0
100873463	0.0	0.0
100873462	2.0	1.0
285643	3.0	1.0
100128603	0.0	1.0
100873461	0.0	0.0
1154	1023.0	1268.0
1153	50364.0	55464.0
1152	14563.0	5978.0
285647	62.0	14.0
728589	4.0	9.0
728588	0.0	0.0
1149	34.0	1.0
1147	1948.0	1253.0
1146	4.0	7.0
1145	33.0	124.0
1144	7.0	5.0
100873468	0.0	0.0
100873467	0.0	0.0
100873466	0.0	0.0
100873465	0.0	0.0
283033	0.0	0.0
100873469	0.0	0.0
100873493	0.0	0.0
100873492	0.0	0.0
100873491	0.0	1.0
100873490	0.0	0.0
100873497	0.0	0.0
100873496	0.0	0.0
100873495	0.0	0.0
100873494	0.0	0.0
1164	161.0	1537.0
1163	603.0	1435.0
285659	0.0	1.0
1161	825.0	509.0
1160	481.0	222.0
1159	262.0	56.0
1158	0.0	6.0
1157	0.0	0.0
1155	3017.0	5052.0
550643	3368.0	3825.0
283025	0.0	0.0
100873499	0.0	0.0
100873498	0.0	0.0
100873482	0.0	0.0
100873481	0.0	0.0
100873480	1.0	0.0
100873486	0.0	0.0
100873485	0.0	0.0
100873484	0.0	0.0
100873483	0.0	0.0
1176	3184.0	3572.0
1175	2932.0	3347.0
285668	9.0	0.0
1174	2620.0	3565.0
1173	24186.0	31975.0
550631	511.0	510.0
100873489	0.0	0.0
283014	30.0	40.0
100873488	0.0	0.0
100873487	0.0	0.0
283093	0.0	0.0
283092	0.0	0.0
1187	863.0	10.0
1186	5839.0	8537.0
1185	2515.0	1568.0
1184	1059.0	562.0
1183	3345.0	1508.0
1182	9788.0	4268.0
1181	623.0	507.0
440375	67.0	26.0
1180	13.0	67.0
1179	1.0	0.0
1178	1.0	1.0
283089	75.0	22.0
85495	0.0	0.0
85480	143.0	14.0
283080	0.0	0.0
1198	4379.0	3984.0
1197	1.0	2.0
1196	2254.0	4732.0
1195	5594.0	10472.0
440366	2.0	1.0
1193	3008.0	1321.0
1192	13188.0	22556.0
1191	201784.0	261515.0
1188	2431.0	121.0
283078	88.0	39.0
85486	2.0	2.0
128615	0.0	0.0
85481	0.0	0.0
128611	111.0	21.0
440396	57.0	97.0
128609	0.0	0.0
128602	3.0	0.0
440387	5.0	3.0
128674	0.0	0.0
128676	0.0	1.0
114026	0.0	0.0
100861402	2.0	8.0
126014	56.0	49.0
440335	92.0	186.0
100128690	0.0	0.0
114034	1608.0	1586.0
126006	73.0	93.0
114036	208.0	59.0
100128696	0.0	0.0
100128688	0.0	0.0
126003	80.0	54.0
100861412	4.0	0.0
105180390	4.0	0.0
100128685	0.0	0.0
100128681	0.0	0.0
105180391	0.0	0.0
100128682	5.0	1.0
100128678	1.0	0.0
100861429	0.0	0.0
128653	0.0	0.0
200728	754.0	515.0
440356	2.0	3.0
440354	55.0	82.0
440352	0.0	0.0
100873419	0.0	0.0
100873418	0.0	0.0
100873413	0.0	0.0
128646	1.0	0.0
100873412	0.0	0.0
100873411	0.0	0.0
100128675	7.0	25.0
100873410	0.0	0.0
100873417	3.0	2.0
100873416	0.0	0.0
100873415	0.0	0.0
100873414	0.0	0.0
440348	13.0	12.0
100861435	0.0	0.0
100861436	0.0	0.0
440345	250.0	238.0
200734	4333.0	5737.0
100861431	0.0	0.0
100861434	0.0	0.0
100873409	0.0	0.0
440350	5.0	4.0
100873408	0.0	0.0
100873407	0.0	0.0
100861430	9.0	0.0
100873402	0.0	0.0
100873401	0.0	1.0
100873400	0.0	0.0
100128665	2.0	1.0
128637	5913.0	4578.0
100873406	0.0	0.0
100873405	1.0	1.0
100873404	0.0	0.0
100873403	0.0	0.0
645440	1.0	1.0
645443	11.0	5.0
165530	14.0	7.0
85409	20.0	73.0
106481385	0.0	0.0
106481386	1.0	1.0
85416	1.0	0.0
106481383	8.0	0.0
85417	72.0	61.0
106481384	0.0	0.0
103106903	6.0	4.0
85414	231.0	130.0
106481389	0.0	0.0
85415	1368.0	210.0
106481387	0.0	0.0
85413	2.0	4.0
106481388	11.0	1.0
645436	0.0	3.0
106481381	0.0	0.0
106481382	0.0	0.0
10	3.0	1.0
106481380	0.0	0.0
11	0.0	0.0
403341	1391.0	1171.0
12	3.0	0.0
13	5.0	2.0
14	12720.0	14762.0
15	25.0	0.0
16	18124.0	10027.0
645455	21.0	9.0
18	25098.0	10340.0
19	3929.0	3043.0
128580	9.0	21.0
85407	263.0	34.0
106481396	0.0	0.0
106481397	1.0	0.0
106481394	0.0	0.0
85406	2891.0	1479.0
106481395	0.0	0.0
85403	2350.0	2039.0
106481398	0.0	0.0
106481399	0.0	0.0
403339	0.0	0.0
106481392	2.0	0.0
106481393	0.0	0.0
20	15411.0	17748.0
106481390	0.0	0.0
21	11358.0	4122.0
106481391	0.0	0.0
22	1824.0	1700.0
153571	130.0	257.0
153572	64.0	69.0
23	6688.0	4470.0
24	124.0	86.0
25	14118.0	9451.0
26	29.0	133.0
27	2191.0	2953.0
28	6998.0	8300.0
29	2674.0	4223.0
153579	1004.0	9676.0
728615	0.0	0.0
728614	0.0	0.0
200765	469.0	1011.0
106481358	0.0	2.0
106481359	0.0	0.0
728611	43.0	43.0
102466518	0.0	0.0
102466516	5.0	1.0
102466515	0.0	0.0
106481363	0.0	0.0
106481364	0.0	0.0
85438	0.0	0.0
106481361	0.0	0.0
85439	2496.0	757.0
106481362	0.0	0.0
106481367	0.0	0.0
85437	3907.0	3174.0
106481368	0.0	0.0
106481365	0.0	0.0
728609	313.0	325.0
106481366	0.0	0.0
30	5112.0	5064.0
106481360	0.0	0.0
31	3731.0	2177.0
32	7515.0	935.0
33	2289.0	610.0
34	5915.0	2720.0
35	3780.0	1332.0
153562	9838.0	2813.0
36	5158.0	1059.0
37	21593.0	29635.0
38	8013.0	2099.0
440307	7.0	14.0
39	986.0	852.0
165545	1.0	5.0
106481369	0.0	0.0
728606	37.0	9.0
106481374	0.0	0.0
106481375	0.0	0.0
106481372	0.0	0.0
106481373	0.0	0.0
106481378	1.0	0.0
106481379	0.0	0.0
106481376	0.0	0.0
106481377	0.0	0.0
403315	0.0	0.0
40	2.0	2.0
106481370	0.0	0.0
41	118.0	60.0
106481371	0.0	0.0
43	323.0	72.0
645486	0.0	0.0
47	7749.0	5357.0
48	6722.0	6446.0
49	19.0	33.0
106481338	0.0	0.0
106481339	0.0	0.0
106481336	0.0	0.0
106481337	0.0	5.0
106481341	0.0	0.0
106481342	1.0	9.0
