id	fbf50366-35e2-4ac3-9603-92647d78a715	b7352a9b-9738-409f-911c-dd7e1c2d892f
440270	3359.0	3963.0
1089	10.0	18.0
85388	0.0	0.0
85389	0.0	0.0
128718	0.0	0.0
285596	11.0	18.0
285598	184.0	90.0
126133	2083.0	1882.0
128790	1.0	0.0
126129	72.0	117.0
126123	12.0	10.0
442862	0.0	0.0
126119	1967.0	2306.0
442863	0.0	0.0
442864	0.0	0.0
442865	0.0	0.0
442866	0.0	0.0
442867	0.0	0.0
442868	0.0	0.0
128770	0.0	0.0
128774	0.0	0.0
442893	0.0	0.0
442894	0.0	0.0
442895	0.0	0.0
114131	1.0	0.0
442896	0.0	0.0
114132	43.0	49.0
442897	0.0	0.0
442898	3.0	2.0
114134	165.0	477.0
442899	0.0	0.0
100128790	0.0	0.0
128760	12.0	6.0
100128788	81.0	19.0
100128787	0.0	0.0
440225	0.0	0.0
440224	2.0	2.0
442890	0.0	0.0
442891	3.0	0.0
442892	1.0	0.0
128756	0.0	1.0
100128782	462.0	396.0
100128781	2.0	0.0
403230	0.0	0.0
403231	0.0	0.0
403232	0.0	0.0
645560	3.0	2.0
403234	0.0	0.0
403235	3.0	0.0
403236	0.0	0.0
63982	389.0	196.0
102466616	0.0	0.0
126052	0.0	1.0
151009	77.0	47.0
403227	0.0	0.0
403228	0.0	0.0
138046	0.0	0.0
645558	0.0	0.0
403229	0.0	0.0
645573	0.0	0.0
645572	0.0	0.0
645571	30.0	0.0
403223	0.0	0.0
403224	0.0	0.0
403226	0.0	0.0
200634	604.0	2433.0
107131122	0.0	2.0
138050	5185.0	7379.0
403219	0.0	0.0
151011	2811.0	2260.0
645587	0.0	0.0
165679	9.0	19.0
126037	42.0	53.0
114049	4791.0	12621.0
106481479	0.0	0.0
100033818	0.0	0.0
100033819	0.0	0.0
85319	0.0	2.0
106481484	0.0	0.0
106481485	0.0	0.0
106481482	0.0	0.0
106481483	0.0	0.0
85315	582.0	291.0
100033821	0.0	0.0
106481488	0.0	0.0
100033822	0.0	0.0
106481489	0.0	0.0
85313	3130.0	2267.0
106481486	0.0	0.0
106481487	0.0	0.0
645579	132.0	195.0
100033820	0.0	0.0
106481480	1.0	1.0
106481481	0.0	0.0
138065	5.0	262.0
645598	0.0	0.0
163007	0.0	0.0
114038	0.0	8.0
645591	0.0	1.0
106481495	0.0	0.0
114041	104.0	3.0
106481496	0.0	0.0
114042	6.0	5.0
106481493	0.0	0.0
114043	17.0	0.0
106481494	0.0	0.0
106481499	0.0	0.0
114044	125.0	74.0
126017	411.0	275.0
106481497	0.0	0.0
106481498	0.0	2.0
85303	0.0	0.0
85300	2.0	0.0
85301	1898.0	285.0
106481491	0.0	0.0
106481492	0.0	0.0
106481490	0.0	0.0
403274	0.0	0.0
102466657	0.0	0.0
403275	0.0	0.0
102466656	0.0	0.0
403276	0.0	0.0
403277	0.0	0.0
403278	0.0	0.0
26996	399.0	166.0
106481459	0.0	0.0
26994	8276.0	6161.0
106481457	6.0	1.0
26995	2172.0	2694.0
106481458	0.0	0.0
403271	0.0	0.0
26998	1.0	0.0
403272	0.0	0.0
102466659	0.0	0.0
26999	1102.0	3463.0
403273	0.0	0.0
102466658	0.0	0.0
106481462	0.0	0.0
106481463	0.0	0.0
104310353	0.0	0.0
106481460	2.0	1.0
106481461	0.0	0.0
104310350	0.0	0.0
106481466	0.0	0.0
26993	2816.0	3553.0
106481467	0.0	0.0
106481464	1.0	0.0
106481465	0.0	0.0
104310351	0.0	0.0
403263	0.0	0.0
403264	0.0	0.0
403265	0.0	0.0
403266	0.0	0.0
138009	0.0	0.0
106481468	0.0	0.0
106481469	0.0	0.0
403260	0.0	0.0
106481473	0.0	0.0
106481474	0.0	0.0
106481471	0.0	0.0
85329	35.0	9.0
106481472	0.0	0.0
106481477	1.0	0.0
106481478	0.0	0.0
106481475	0.0	0.0
106481476	0.0	0.0
85320	19.0	4.0
106481470	1.0	0.0
403252	0.0	0.0
403253	0.0	0.0
403254	0.0	0.0
126070	404.0	181.0
403255	0.0	0.0
403256	0.0	0.0
403257	0.0	0.0
344471	4.0	28.0
106481437	0.0	0.0
26974	320.0	226.0
153657	51.0	44.0
106481438	0.0	0.0
106481435	0.0	0.0
26973	1464.0	1368.0
165631	20.0	46.0
106481436	0.0	0.0
26978	3.0	13.0
126075	1227.0	2414.0
106481439	0.0	0.0
403250	0.0	0.0
126074	308.0	251.0
403251	0.0	0.0
106481440	0.0	0.0
106481441	0.0	0.0
85359	3782.0	6246.0
106481444	10.0	6.0
106481445	0.0	0.0
106481442	0.0	0.0
106481443	0.0	0.0
85358	2895.0	715.0
85354	0.0	0.0
85352	29.0	33.0
403241	5.0	0.0
344462	2.0	9.0
403244	0.0	0.0
403245	0.0	0.0
153642	610.0	344.0
153643	82.0	26.0
403247	0.0	0.0
403248	0.0	0.0
26985	2982.0	1775.0
106481448	0.0	0.0
26986	18614.0	58820.0
126069	97.0	27.0
106481449	0.0	0.0
126068	629.0	396.0
106481446	0.0	0.0
26983	0.0	0.0
26984	916.0	816.0
106481447	0.0	0.0
106481451	1.0	4.0
106481452	0.0	0.0
106481450	0.0	0.0
114088	28.0	16.0
106481455	0.0	0.0
85349	299.0	42.0
106481456	0.0	0.0
26982	0.0	0.0
106481453	0.0	0.0
85347	0.0	0.0
26980	0.0	2.0
106481454	0.0	0.0
403238	0.0	0.0
85344	91.0	1.0
403239	0.0	0.0
85345	0.0	0.0
85343	0.0	0.0
344454	0.0	0.0
85340	0.0	0.0
100873394	0.0	0.0
100873393	0.0	0.0
100873392	1.0	3.0
100873391	0.0	0.0
100873398	0.0	0.0
100873397	0.0	0.0
100873396	0.0	0.0
100873395	0.0	0.0
100128811	0.0	0.0
106481415	0.0	0.0
106481416	1.0	0.0
106481413	0.0	0.0
106481414	0.0	0.0
63901	1273.0	2640.0
100873390	0.0	0.0
728556	39.0	17.0
106481419	0.0	1.0
100128817	0.0	0.0
728558	104.0	36.0
106481417	0.0	0.0
106481418	0.0	0.0
106481422	0.0	0.0
163081	493.0	288.0
106481423	0.0	0.0
106481420	0.0	0.0
106481421	0.0	0.0
100873399	0.0	0.0
100873383	0.0	0.0
100873382	0.0	0.0
100873381	4.0	0.0
100873380	0.0	0.0
100128804	0.0	0.0
100873387	0.0	0.0
100873386	0.0	0.0
100873385	0.0	0.0
100128801	0.0	0.0
285600	170.0	126.0
100873384	0.0	0.0
285601	6.0	21.0
106481426	0.0	0.0
106481427	1.0	0.0
222005	0.0	0.0
63910	82.0	243.0
106481424	0.0	0.0
106481425	0.0	0.0
285605	818.0	262.0
222008	9.0	0.0
106481428	0.0	0.0
106481429	0.0	0.0
63905	4772.0	4685.0
63904	0.0	0.0
106481430	1.0	2.0
163071	421.0	672.0
63906	806.0	1145.0
106481433	0.0	0.0
63908	1048.0	589.0
106481434	0.0	0.0
106481431	0.0	0.0
106481432	0.0	0.0
100873389	0.0	0.0
100873388	0.0	0.0
285613	84.0	153.0
63920	585.0	628.0
63923	115.0	63.0
63922	430.0	809.0
728577	12.0	2.0
63925	1468.0	1348.0
63924	341.0	0.0
63916	1916.0	2625.0
63917	4346.0	5453.0
106481400	0.0	0.0
106481401	0.0	0.0
728562	2.0	7.0
728564	4.0	12.0
285622	0.0	0.0
106481404	0.0	0.0
106481405	0.0	0.0
63932	1328.0	1560.0
106481402	0.0	0.0
63931	2433.0	1362.0
106481403	0.0	0.0
63934	803.0	1042.0
728567	2.0	12.0
106481408	0.0	0.0
163088	1.0	3.0
63933	3654.0	2462.0
106481409	0.0	0.0
106481406	0.0	0.0
63935	3916.0	3774.0
163087	718.0	393.0
728568	527.0	660.0
106481407	11.0	5.0
3704	3889.0	6599.0
3705	4448.0	5331.0
63926	1119.0	476.0
3706	26.0	108.0
63929	1045.0	875.0
3707	1320.0	1274.0
63928	1.0	0.0
3708	12599.0	537.0
106481411	0.0	0.0
3709	1421.0	1336.0
106481412	0.0	0.0
106481410	0.0	0.0
3700	18.0	9.0
3702	48.0	63.0
3703	13163.0	7480.0
645506	0.0	1.0
151050	1589.0	651.0
645520	0.0	0.0
63941	2554.0	2272.0
63940	179.0	899.0
63943	689.0	669.0
728517	0.0	0.0
163033	1289.0	1228.0
258010	3951.0	4821.0
63947	0.0	0.0
63946	0.0	0.0
728513	19.0	0.0
100033803	0.0	0.0
3716	6704.0	7573.0
100033804	0.0	0.0
3717	569.0	348.0
100033805	0.0	0.0
3718	96.0	1327.0
63939	706.0	757.0
100033806	0.0	0.0
100190799	1.0	9.0
100033800	0.0	0.0
100033801	0.0	0.0
100033802	0.0	0.0
344405	109.0	83.0
3710	9462.0	12007.0
3712	24404.0	8989.0
3713	14.0	947.0
3714	627.0	1278.0
63950	5.0	1.0
728505	0.0	0.0
63951	355.0	275.0
100033807	0.0	0.0
728501	47.0	106.0
100033808	0.0	0.0
100033809	0.0	0.0
3726	60319.0	12928.0
100033814	0.0	0.0
3727	43560.0	13993.0
63948	30.0	0.0
100033815	0.0	0.0
222052	0.0	0.0
3728	19634.0	36541.0
100033816	0.0	0.0
100033817	0.0	0.0
100033810	0.0	0.0
100033811	0.0	0.0
100033812	0.0	0.0
100033813	0.0	0.0
3720	600.0	399.0
151056	90.0	179.0
3725	211344.0	8603.0
645528	1.0	0.0
728532	23.0	21.0
163059	467.0	368.0
728538	0.0	0.0
728537	237.0	182.0
63967	11.0	32.0
3737	57.0	0.0
3738	4.0	10.0
3739	3.0	2.0
645538	0.0	0.0
3730	1086.0	1478.0
3732	2366.0	5350.0
3734	50.0	16.0
3735	5565.0	11418.0
3736	37.0	21.0
63970	13.0	2.0
3750	77.0	105.0
63971	3857.0	1707.0
63974	0.0	0.0
163049	2344.0	1360.0
63973	0.0	2.0
63976	3109.0	16.0
222068	15378.0	18545.0
63978	0.0	0.0
63977	309.0	418.0
63979	308.0	419.0
728524	0.0	0.0
3748	1447.0	1047.0
163051	57.0	28.0
3749	291.0	236.0
163050	73.0	26.0
3741	285.0	16.0
645548	9.0	2.0
3743	21.0	1.0
3744	0.0	0.0
3745	62.0	7.0
3746	7.0	0.0
3747	1.0	0.0
285671	1544.0	534.0
285672	1403.0	2427.0
100873431	0.0	0.0
100873430	0.0	0.0
3760	4.0	0.0
285676	74.0	57.0
3761	2.0	1.0
100128657	0.0	1.0
285679	2.0	1.0
100861449	0.0	0.0
100861443	0.0	0.0
100861445	0.0	0.0
3759	72.0	1447.0
283008	10.0	2.0
3751	34.0	12.0
100873435	0.0	0.0
3752	107.0	25.0
100873434	0.0	0.0
3753	10.0	11.0
100873433	0.0	0.0
3754	9.0	11.0
100873432	0.0	0.0
3755	1.0	30.0
100873439	0.0	0.0
3756	14.0	21.0
100873438	0.0	0.0
3757	18.0	14.0
100873437	0.0	0.0
3758	92.0	4.0
100873436	0.0	0.0
100873420	0.0	0.0
3770	114.0	143.0
3772	7260.0	18863.0
100861458	1.0	2.0
100861453	10.0	5.0
100861455	0.0	0.0
1107	9346.0	4085.0
1106	7031.0	5131.0
1105	1498.0	1715.0
1104	753.0	3518.0
100873429	0.0	0.0
1103	0.0	1.0
1102	2824.0	953.0
1101	56.0	41.0
3762	179.0	678.0
100873424	0.0	0.0
3763	1.0	20.0
100128640	124.0	135.0
100873423	0.0	0.0
3764	398.0	256.0
100873422	0.0	0.0
3765	1.0	2.0
100873421	0.0	1.0
3766	17.0	8.0
100873428	0.0	0.0
3767	428.0	224.0
100873427	0.0	0.0
3768	264.0	291.0
1109	0.0	1.0
100873426	0.0	0.0
1108	13065.0	29226.0
3769	308.0	2.0
100873425	0.0	0.0
100128637	1.0	1.0
100128639	0.0	0.0
3780	10.0	10.0
100873453	0.0	0.0
3781	18.0	29.0
100873452	0.0	0.0
3782	388.0	171.0
100873451	0.0	0.0
3783	69.0	17362.0
100873450	0.0	0.0
1121	1519.0	806.0
100861468	0.0	0.0
1120	242.0	377.0
100861469	0.0	0.0
1118	221.0	1014.0
1117	330.0	3030.0
1116	438.0	94492.0
1114	94.0	4812.0
1113	32.0	4.0
1112	1900.0	1261.0
1111	309.0	421.0
3773	36023.0	13673.0
100873457	3.0	0.0
100873456	0.0	0.0
3775	827.0	2749.0
100873455	0.0	0.0
3776	1465.0	98.0
100873454	0.0	0.0
3777	642.0	73.0
3778	282.0	375.0
3779	195.0	239.0
100873459	0.0	0.0
1119	3200.0	1548.0
100128627	0.0	2.0
100128626	0.0	0.0
3790	123.0	883.0
100128628	5.0	2.0
3791	2111.0	946.0
100873442	0.0	0.0
3792	13.0	9.0
100873441	2.0	0.0
100873440	0.0	0.0
100128625	0.0	0.0
1132	1.0	4.0
1131	179.0	31.0
1130	1438.0	2708.0
100861476	0.0	0.0
1129	0.0	0.0
1128	9.0	1.0
1124	697.0	784.0
1123	567.0	887.0
1122	809.0	376.0
100861470	0.0	0.0
3784	17037.0	6295.0
100873446	0.0	0.0
3785	0.0	1.0
100873445	0.0	0.0
3786	58.0	2271.0
100873444	0.0	0.0
3787	45.0	7.0
100873443	0.0	0.0
3788	17.0	3.0
100873449	8.0	0.0
100873448	0.0	0.0
100873447	0.0	0.0
100873471	0.0	0.0
100873470	0.0	0.0
283050	208.0	99.0
100128618	0.0	1.0
728597	3.0	0.0
100128617	9.0	29.0
100873475	0.0	0.0
100873474	0.0	0.0
728591	16.0	46.0
100873473	0.0	2.0
100873472	0.0	0.0
1143	7.0	3.0
285634	4.0	2.0
1142	0.0	0.0
1141	9.0	4.0
285636	2001.0	1717.0
1140	1423.0	866.0
728599	2.0	3.0
1139	71.0	2.0
1138	6.0	14.0
1137	194.0	1.0
100861485	0.0	0.0
1136	3.0	9.0
1135	2.0	0.0
1134	17.0	13.0
1133	4.0	4.0
3795	110.0	68.0
100873479	6.0	12.0
3796	758.0	1054.0
100873478	0.0	0.0
3797	444.0	209.0
100873477	2.0	0.0
3798	111.0	2.0
100873476	0.0	0.0
3799	7788.0	7581.0
100873460	0.0	0.0
728586	12.0	13.0
285641	0.0	1.0
100873464	2.0	0.0
100873463	0.0	0.0
100873462	1.0	0.0
285643	0.0	0.0
100128603	0.0	0.0
100873461	0.0	0.0
1154	7410.0	5543.0
1153	31680.0	37592.0
1152	31755.0	9834.0
285647	51.0	5.0
728589	6.0	10.0
728588	0.0	0.0
1149	240.0	0.0
1147	1538.0	1297.0
1146	5.0	1.0
1145	33.0	44.0
1144	9.0	1.0
100873468	0.0	0.0
100873467	0.0	0.0
100873466	0.0	0.0
100873465	0.0	0.0
283033	1.0	0.0
100873469	0.0	0.0
100873493	0.0	0.0
100873492	0.0	0.0
100873491	0.0	0.0
100873490	0.0	0.0
100873497	0.0	0.0
100873496	0.0	0.0
100873495	0.0	0.0
100873494	0.0	0.0
1164	541.0	1316.0
1163	537.0	1119.0
285659	0.0	0.0
1161	452.0	488.0
1160	1302.0	80.0
1159	204.0	308.0
1158	5148.0	5.0
1157	1.0	1.0
1155	2699.0	6596.0
550643	2414.0	4464.0
283025	0.0	0.0
100873499	0.0	0.0
100873498	0.0	0.0
100873482	0.0	0.0
100873481	0.0	0.0
100873480	0.0	0.0
100873486	0.0	0.0
100873485	0.0	0.0
100873484	0.0	0.0
100873483	0.0	0.0
1176	2596.0	5677.0
1175	2359.0	4816.0
285668	27.0	1.0
1174	1686.0	6791.0
1173	14283.0	28435.0
550631	388.0	279.0
100873489	0.0	0.0
283014	17.0	15.0
100873488	0.0	0.0
100873487	0.0	0.0
283093	0.0	0.0
283092	0.0	0.0
1187	1258.0	7.0
1186	4099.0	5294.0
1185	1194.0	839.0
1184	491.0	203.0
1183	1403.0	345.0
1182	4870.0	2789.0
1181	493.0	410.0
440375	33.0	12.0
1180	12.0	1.0
1179	0.0	0.0
1178	2.0	1.0
283089	19.0	0.0
85495	0.0	0.0
85480	78.0	99.0
283080	0.0	0.0
1198	3414.0	3387.0
1197	2.0	0.0
1196	2195.0	2364.0
1195	8059.0	6026.0
440366	1.0	0.0
1193	3337.0	2392.0
1192	8690.0	37874.0
1191	87114.0	1283968.0
1188	1226.0	44.0
283078	93.0	149.0
85486	8.0	7.0
128615	0.0	0.0
85481	0.0	0.0
128611	30.0	12.0
440396	57.0	30.0
128609	0.0	0.0
128602	1.0	0.0
440387	2.0	3.0
128674	0.0	0.0
128676	0.0	0.0
114026	1.0	0.0
100861402	6.0	8.0
126014	35.0	768.0
440335	7.0	5.0
100128690	0.0	0.0
114034	1254.0	1028.0
126006	42.0	104.0
114036	193.0	12.0
100128696	0.0	0.0
100128688	0.0	0.0
126003	363.0	70.0
100861412	0.0	0.0
105180390	0.0	0.0
100128685	0.0	0.0
100128681	0.0	0.0
105180391	0.0	0.0
100128682	0.0	1.0
100128678	0.0	0.0
100861429	0.0	0.0
128653	0.0	0.0
200728	435.0	454.0
440356	5.0	16.0
440354	67.0	66.0
440352	0.0	0.0
100873419	0.0	0.0
100873418	0.0	1.0
100873413	0.0	0.0
128646	0.0	0.0
100873412	0.0	0.0
100873411	0.0	0.0
100128675	3.0	1.0
100873410	0.0	0.0
100873417	0.0	0.0
100873416	0.0	0.0
100873415	0.0	0.0
100873414	0.0	0.0
440348	284.0	445.0
100861435	0.0	0.0
100861436	0.0	0.0
440345	35.0	6.0
200734	2455.0	2028.0
100861431	0.0	0.0
100861434	0.0	0.0
100873409	0.0	0.0
440350	1.0	3.0
100873408	0.0	0.0
100873407	0.0	0.0
100861430	2.0	2.0
100873402	0.0	0.0
100873401	1.0	0.0
100873400	0.0	0.0
100128665	0.0	0.0
128637	3292.0	2835.0
100873406	0.0	0.0
100873405	0.0	0.0
100873404	0.0	0.0
100873403	0.0	0.0
645440	0.0	0.0
645443	3.0	2.0
165530	4.0	43.0
85409	18.0	219.0
106481385	0.0	0.0
106481386	0.0	0.0
85416	0.0	1.0
106481383	0.0	0.0
85417	45.0	20.0
106481384	0.0	0.0
103106903	2.0	3.0
85414	81.0	137.0
106481389	0.0	0.0
85415	724.0	557.0
106481387	0.0	0.0
85413	3.0	16.0
106481388	2.0	0.0
645436	0.0	1.0
106481381	0.0	0.0
106481382	0.0	0.0
10	2.0	0.0
106481380	0.0	0.0
11	0.0	0.0
403341	588.0	513.0
12	10.0	6.0
13	3.0	0.0
14	8114.0	10311.0
15	10.0	6.0
16	19539.0	8960.0
645455	16.0	0.0
18	3242.0	417.0
19	733.0	2456.0
128580	5.0	8.0
85407	77.0	41.0
106481396	0.0	0.0
106481397	1.0	0.0
106481394	0.0	0.0
85406	1664.0	679.0
106481395	0.0	2.0
85403	1393.0	1651.0
106481398	0.0	0.0
106481399	0.0	0.0
403339	0.0	0.0
106481392	1.0	0.0
106481393	0.0	0.0
20	10142.0	5580.0
106481390	0.0	0.0
21	4500.0	2687.0
106481391	0.0	0.0
22	925.0	1430.0
153571	651.0	1490.0
153572	393.0	2034.0
23	4104.0	4239.0
24	72.0	351.0
25	8444.0	3543.0
26	0.0	59.0
27	1026.0	1446.0
28	5000.0	3926.0
29	1462.0	5446.0
153579	1124.0	70.0
728615	0.0	0.0
728614	0.0	0.0
200765	357.0	233.0
106481358	1.0	2.0
106481359	0.0	0.0
728611	7.0	2.0
102466518	0.0	0.0
102466516	31.0	7.0
102466515	0.0	0.0
106481363	0.0	0.0
106481364	0.0	0.0
85438	0.0	0.0
106481361	0.0	0.0
85439	1218.0	724.0
106481362	0.0	0.0
106481367	0.0	0.0
85437	3427.0	5972.0
106481368	0.0	0.0
106481365	0.0	0.0
728609	283.0	588.0
106481366	0.0	0.0
30	4074.0	5860.0
106481360	2.0	0.0
31	1984.0	2085.0
32	6276.0	522.0
33	1854.0	527.0
34	4906.0	1967.0
35	3325.0	1992.0
153562	3321.0	2958.0
36	2622.0	707.0
37	26098.0	24696.0
38	5404.0	3044.0
440307	20.0	14.0
39	579.0	793.0
165545	2.0	0.0
106481369	0.0	0.0
728606	76.0	30.0
106481374	0.0	0.0
106481375	0.0	0.0
106481372	0.0	0.0
106481373	0.0	0.0
106481378	2.0	0.0
106481379	0.0	0.0
106481376	0.0	0.0
106481377	0.0	0.0
403315	0.0	0.0
40	1.0	2.0
106481370	0.0	0.0
41	43.0	79.0
106481371	0.0	0.0
43	94.0	71.0
645486	0.0	0.0
47	5300.0	6795.0
48	4502.0	2479.0
49	5.0	8.0
106481338	0.0	0.0
106481339	0.0	0.0
106481336	0.0	0.0
106481337	0.0	1.0
106481341	0.0	0.0
106481342	1.0	1.0
106481340	0.0	0.0
85458	1711.0	458.0
106481345	0.0	0.0
85459	775.0	304.0
106481346	0.0	0.0
85456	7550.0	9928.0
