id	85aa8cbf-f8c4-4b10-b758-6644c4f705a4	53011995-9534-4c83-81fb-fb0187a24040
1018	15.0	27.0
1017	988.0	1713.0
1016	0.0	0.0
1015	10.0	60.0
1014	8083.0	17.0
1013	6.0	23.0
1012	402.0	547.0
116730	7.0	14.0
3674	220.0	50.0
100873358	0.0	0.0
3675	23435.0	95636.0
100873357	2.0	1.0
3676	205.0	735.0
100128731	5261.0	7313.0
100873356	0.0	0.0
3678	2366.0	6691.0
3679	1565.0	1085.0
100873359	0.0	0.0
728464	62.0	12.0
728463	16.0	94.0
100128725	0.0	0.0
3690	3298.0	3534.0
3691	1912.0	17169.0
100873343	0.0	1.0
3692	4465.0	6944.0
3693	6342.0	14372.0
285521	1293.0	1115.0
100873342	0.0	0.0
3694	1418.0	13911.0
100873341	0.0	0.0
3695	124.0	1059.0
100873340	1.0	0.0
100128723	1.0	0.0
1033	23.0	121.0
1032	182.0	457.0
285525	16.0	2.0
1031	564.0	551.0
285527	3658.0	2527.0
1030	126.0	3146.0
728468	0.0	0.0
440288	100.0	99.0
1029	31.0	1591.0
440295	93.0	88.0
1028	795.0	1029.0
1027	5985.0	4778.0
1026	13570.0	35049.0
1025	3166.0	3952.0
1024	834.0	774.0
3685	29112.0	24224.0
100873347	0.0	0.0
100873346	0.0	0.0
3687	82.0	925.0
100873345	0.0	0.0
3688	16157.0	27561.0
100873344	0.0	0.0
3689	683.0	9589.0
100873349	0.0	0.0
100873348	0.0	0.0
100873372	0.0	0.0
100873371	0.0	1.0
100873370	0.0	0.0
728498	37.0	11.0
100873376	0.0	0.0
728493	0.0	0.0
100128711	1.0	0.0
728492	37.0	27.0
100873375	0.0	0.0
100128710	0.0	0.0
285533	25.0	262.0
100873374	0.0	0.0
728495	0.0	0.0
100873373	0.0	0.0
100128712	0.0	0.0
1044	0.0	12.0
1043	119.0	1278.0
1041	2.0	20.0
1040	7263.0	5517.0
1039	6210.0	3199.0
1038	1.0	0.0
1036	1446.0	3282.0
3696	1176.0	4228.0
3697	0.0	3.0
100873379	0.0	0.0
3698	14.0	14.0
100873378	2.0	2.0
3699	66.0	19.0
100873377	0.0	0.0
728486	7.0	7.0
100873361	0.0	0.0
105373869	0.0	310.0
100873360	0.0	0.0
285540	244.0	89.0
100128705	4.0	0.0
100873365	0.0	0.0
100873364	0.0	0.0
728481	0.0	0.0
100873363	0.0	0.0
728484	0.0	2.0
100873362	0.0	0.0
100128701	3.0	2.0
1054	2384.0	1551.0
285547	0.0	2.0
1053	2.0	2.0
285548	1.0	25.0
1052	8513.0	5934.0
1051	5088.0	7771.0
728489	4.0	4.0
1050	590.0	128.0
100128707	0.0	1.0
1048	2.0	3.0
1047	17.0	546.0
1046	1.0	0.0
1045	0.0	4.0
100873369	4.0	5.0
100873368	0.0	0.0
100873367	0.0	0.0
100873366	0.0	0.0
105373877	2.0	0.0
1066	178.0	19.0
1063	126.0	726.0
1062	83.0	218.0
1061	5.0	2.0
1060	2645.0	1325.0
440253	389.0	87.0
1059	6649.0	8203.0
1058	4.0	45.0
1057	0.0	0.0
85379	15921.0	6090.0
114112	883.0	668.0
1056	19.0	14.0
85377	2956.0	2944.0
85378	3421.0	3440.0
128745	2.0	0.0
85376	32.0	20.0
440248	374.0	207.0
1075	4047.0	29997.0
1074	5.0	21.0
1073	3259.0	1653.0
1072	24560.0	48639.0
1071	308.0	49.0
440243	2.0	0.0
1070	1071.0	979.0
1069	5581.0	3652.0
1068	0.0	0.0
85369	2106.0	2093.0
85366	46.0	2.0
85364	2179.0	1613.0
85365	3347.0	2330.0
85363	1887.0	1757.0
85360	1155.0	863.0
1080	28.0	80.0
85391	2.0	13.0
403296	0.0	0.0
403297	0.0	0.0
85390	0.0	0.0
403299	0.0	0.0
1088	0.0	52.0
153733	528.0	498.0
1087	0.0	0.0
1086	0.0	0.0
440279	148.0	73.0
1085	1.0	1.0
1084	4.0	10.0
440278	340.0	116.0
1082	0.0	0.0
403294	2.0	0.0
440275	5142.0	3702.0
1081	0.0	17.0
85397	1105.0	6.0
85395	447.0	700.0
403285	0.0	0.0
1091	0.0	0.0
1090	0.0	0.0
403288	0.0	0.0
403289	0.0	0.0
1098	0.0	0.0
1097	0.0	0.0
1096	0.0	0.0
1095	0.0	0.0
403281	0.0	0.0
403282	0.0	0.0
1094	0.0	0.0
1093	0.0	0.0
403283	0.0	0.0
403284	0.0	0.0
1092	0.0	0.0
440270	3143.0	2311.0
1089	2.0	76.0
85388	0.0	0.0
85389	0.0	0.0
128718	0.0	0.0
285596	21.0	33.0
285598	597.0	735.0
126133	2199.0	2150.0
128790	0.0	0.0
126129	122.0	257.0
126123	7.0	0.0
442862	0.0	0.0
126119	1990.0	867.0
442863	0.0	0.0
442864	0.0	0.0
442865	0.0	0.0
442866	0.0	0.0
442867	0.0	0.0
442868	0.0	0.0
128770	0.0	0.0
128774	0.0	0.0
442893	0.0	0.0
442894	0.0	0.0
442895	0.0	1.0
114131	1.0	0.0
442896	0.0	0.0
114132	81.0	25.0
442897	0.0	0.0
442898	0.0	4.0
114134	464.0	981.0
442899	0.0	0.0
100128790	0.0	0.0
128760	10.0	11.0
100128788	58.0	23.0
100128787	0.0	0.0
440225	1.0	0.0
440224	1.0	0.0
442890	0.0	0.0
442891	2.0	2.0
442892	0.0	1.0
128756	0.0	0.0
100128782	483.0	163.0
100128781	3.0	0.0
403230	0.0	0.0
403231	0.0	0.0
403232	0.0	0.0
645560	0.0	1.0
403234	0.0	0.0
403235	0.0	0.0
403236	0.0	0.0
63982	110.0	33.0
102466616	0.0	0.0
126052	0.0	0.0
151009	107.0	58.0
403227	0.0	0.0
403228	0.0	0.0
138046	0.0	0.0
645558	0.0	0.0
403229	0.0	0.0
645573	0.0	0.0
645572	0.0	0.0
645571	47.0	12.0
403223	1.0	0.0
403224	0.0	0.0
403226	0.0	0.0
200634	950.0	1010.0
107131122	0.0	1.0
138050	7493.0	9670.0
403219	0.0	0.0
151011	5076.0	3643.0
645587	2.0	3.0
165679	18.0	26.0
126037	10.0	14.0
114049	5052.0	4806.0
106481479	0.0	1.0
100033818	0.0	0.0
100033819	0.0	0.0
85319	0.0	0.0
106481484	0.0	0.0
106481485	0.0	2.0
106481482	0.0	0.0
106481483	0.0	0.0
85315	831.0	376.0
100033821	0.0	1.0
106481488	0.0	0.0
100033822	0.0	0.0
106481489	0.0	0.0
85313	2822.0	2527.0
106481486	0.0	0.0
106481487	0.0	0.0
645579	170.0	168.0
100033820	0.0	0.0
106481480	0.0	2.0
106481481	0.0	0.0
138065	2.0	174.0
645598	1.0	0.0
163007	2.0	4.0
114038	0.0	7.0
645591	0.0	0.0
106481495	0.0	0.0
114041	172.0	43.0
106481496	0.0	0.0
114042	3.0	0.0
106481493	0.0	0.0
114043	39.0	2.0
106481494	0.0	0.0
106481499	0.0	0.0
114044	155.0	121.0
126017	616.0	299.0
106481497	0.0	3.0
106481498	0.0	0.0
85303	0.0	0.0
85300	0.0	1.0
85301	1297.0	1132.0
106481491	0.0	1.0
106481492	0.0	0.0
106481490	0.0	0.0
403274	0.0	0.0
102466657	2.0	0.0
403275	0.0	0.0
102466656	1.0	0.0
403276	0.0	0.0
403277	0.0	0.0
403278	0.0	0.0
26996	622.0	448.0
106481459	0.0	0.0
26994	12764.0	9726.0
106481457	6.0	4.0
26995	2380.0	1948.0
106481458	0.0	0.0
403271	1.0	0.0
26998	0.0	3.0
403272	0.0	0.0
102466659	0.0	0.0
26999	3638.0	5508.0
403273	0.0	0.0
102466658	0.0	1.0
106481462	0.0	1.0
106481463	0.0	0.0
104310353	4.0	0.0
106481460	0.0	1.0
106481461	0.0	0.0
104310350	0.0	0.0
106481466	0.0	0.0
26993	2733.0	2229.0
106481467	0.0	0.0
106481464	0.0	2.0
106481465	0.0	0.0
104310351	0.0	0.0
403263	0.0	0.0
403264	0.0	0.0
403265	0.0	0.0
403266	0.0	0.0
138009	0.0	0.0
106481468	0.0	0.0
106481469	0.0	0.0
403260	0.0	0.0
106481473	0.0	0.0
106481474	0.0	2.0
106481471	0.0	0.0
85329	0.0	10.0
106481472	0.0	0.0
106481477	1.0	1.0
106481478	0.0	0.0
106481475	0.0	0.0
106481476	0.0	0.0
85320	17.0	8.0
106481470	0.0	0.0
403252	0.0	0.0
403253	0.0	0.0
403254	0.0	0.0
126070	524.0	349.0
403255	1.0	0.0
403256	0.0	0.0
403257	0.0	0.0
344471	0.0	4.0
106481437	0.0	0.0
26974	498.0	186.0
153657	90.0	20.0
106481438	1.0	0.0
106481435	0.0	0.0
26973	1408.0	1421.0
165631	25.0	100.0
106481436	3.0	1.0
26978	6.0	9.0
126075	1038.0	943.0
106481439	0.0	0.0
403250	0.0	0.0
126074	272.0	138.0
403251	0.0	0.0
106481440	0.0	0.0
106481441	0.0	0.0
85359	2908.0	2098.0
106481444	7.0	2.0
106481445	0.0	0.0
106481442	0.0	0.0
106481443	0.0	0.0
85358	4027.0	2251.0
85354	0.0	0.0
85352	134.0	285.0
403241	7.0	0.0
344462	1.0	10.0
403244	0.0	0.0
403245	0.0	0.0
153642	930.0	362.0
153643	77.0	34.0
403247	0.0	0.0
403248	0.0	0.0
26985	4160.0	3120.0
106481448	0.0	0.0
26986	34825.0	67582.0
126069	131.0	47.0
106481449	0.0	0.0
126068	987.0	414.0
106481446	0.0	0.0
26983	1.0	1.0
26984	1244.0	831.0
106481447	0.0	0.0
106481451	2.0	0.0
106481452	0.0	0.0
106481450	0.0	0.0
114088	47.0	60.0
106481455	0.0	0.0
85349	136.0	66.0
106481456	0.0	0.0
26982	0.0	0.0
106481453	1.0	0.0
85347	0.0	0.0
26980	5.0	3.0
106481454	0.0	0.0
403238	0.0	0.0
85344	34.0	1.0
403239	0.0	0.0
85345	0.0	0.0
85343	0.0	0.0
344454	0.0	1.0
85340	0.0	0.0
100873394	1.0	0.0
100873393	0.0	0.0
100873392	0.0	3.0
100873391	0.0	0.0
100873398	0.0	0.0
100873397	0.0	0.0
100873396	0.0	0.0
100873395	0.0	0.0
100128811	0.0	0.0
106481415	0.0	0.0
106481416	0.0	0.0
106481413	0.0	0.0
106481414	0.0	0.0
63901	2146.0	4553.0
100873390	0.0	0.0
728556	21.0	24.0
106481419	0.0	0.0
100128817	0.0	0.0
728558	171.0	84.0
106481417	0.0	0.0
106481418	0.0	0.0
106481422	0.0	0.0
163081	464.0	345.0
106481423	1.0	0.0
106481420	1.0	0.0
106481421	0.0	0.0
100873399	0.0	0.0
100873383	0.0	0.0
100873382	0.0	0.0
100873381	1.0	3.0
100873380	0.0	0.0
100128804	0.0	0.0
100873387	0.0	0.0
100873386	0.0	0.0
100873385	0.0	0.0
100128801	0.0	0.0
285600	377.0	281.0
100873384	0.0	0.0
285601	2.0	25.0
106481426	0.0	0.0
106481427	0.0	0.0
222005	2.0	0.0
63910	112.0	597.0
106481424	0.0	1.0
106481425	0.0	0.0
285605	1307.0	693.0
222008	28.0	0.0
106481428	0.0	0.0
106481429	0.0	0.0
63905	4658.0	2754.0
63904	0.0	0.0
106481430	0.0	0.0
163071	705.0	1437.0
63906	783.0	773.0
106481433	0.0	0.0
63908	1176.0	715.0
106481434	0.0	0.0
106481431	0.0	0.0
106481432	0.0	0.0
100873389	0.0	0.0
100873388	4.0	1.0
285613	76.0	84.0
63920	786.0	357.0
63923	195.0	854.0
63922	354.0	667.0
728577	14.0	6.0
63925	2323.0	1320.0
63924	4.0	0.0
63916	3116.0	3688.0
63917	6028.0	3616.0
106481400	0.0	0.0
106481401	0.0	0.0
728562	0.0	3.0
728564	3.0	2.0
285622	0.0	0.0
106481404	0.0	0.0
106481405	0.0	0.0
63932	1989.0	1874.0
106481402	0.0	0.0
63931	2683.0	1241.0
106481403	0.0	0.0
63934	1076.0	1015.0
728567	3.0	6.0
106481408	0.0	0.0
163088	10.0	6.0
63933	4383.0	2950.0
106481409	0.0	0.0
106481406	0.0	0.0
63935	5078.0	3442.0
163087	1167.0	483.0
728568	358.0	315.0
106481407	6.0	2.0
3704	3183.0	3055.0
3705	4414.0	4200.0
63926	1400.0	472.0
3706	13.0	115.0
63929	1277.0	777.0
3707	2703.0	2659.0
63928	1.0	0.0
3708	27736.0	1025.0
106481411	0.0	0.0
3709	3575.0	2505.0
106481412	0.0	0.0
106481410	0.0	0.0
3700	10.0	11.0
3702	112.0	447.0
3703	13085.0	8564.0
645506	0.0	0.0
151050	2217.0	1387.0
645520	0.0	0.0
63941	1888.0	1009.0
63940	195.0	939.0
63943	645.0	435.0
728517	0.0	0.0
163033	1107.0	1404.0
258010	4613.0	3810.0
63947	0.0	1.0
63946	0.0	0.0
728513	0.0	0.0
100033803	0.0	0.0
3716	11809.0	13637.0
100033804	0.0	0.0
3717	1061.0	955.0
100033805	0.0	0.0
3718	122.0	1188.0
63939	1563.0	1208.0
100033806	0.0	0.0
100190799	2.0	10.0
100033800	0.0	0.0
100033801	0.0	0.0
100033802	0.0	0.0
344405	171.0	75.0
3710	16799.0	29975.0
3712	21625.0	6690.0
3713	1.0	2293.0
3714	1202.0	2043.0
63950	1.0	0.0
728505	1.0	1.0
63951	592.0	377.0
100033807	0.0	0.0
728501	10.0	12.0
100033808	0.0	0.0
100033809	0.0	0.0
3726	34894.0	25693.0
100033814	0.0	0.0
3727	34802.0	24372.0
63948	5.0	0.0
100033815	0.0	1.0
222052	0.0	0.0
3728	21713.0	29921.0
100033816	0.0	0.0
100033817	0.0	0.0
100033810	0.0	0.0
100033811	0.0	0.0
100033812	0.0	0.0
100033813	0.0	0.0
3720	1234.0	1158.0
151056	138.0	135.0
3725	125549.0	24987.0
645528	0.0	1.0
728532	16.0	26.0
163059	557.0	323.0
728538	0.0	0.0
728537	149.0	127.0
63967	27.0	152.0
3737	82.0	2.0
3738	36.0	38.0
3739	0.0	0.0
645538	0.0	0.0
3730	3612.0	4654.0
3732	2199.0	4958.0
3734	77.0	30.0
3735	7031.0	7670.0
3736	113.0	123.0
63970	6.0	3.0
3750	139.0	316.0
63971	10121.0	4559.0
63974	0.0	0.0
163049	3939.0	1950.0
63973	0.0	4.0
63976	5754.0	572.0
222068	20250.0	11109.0
63978	0.0	0.0
63977	623.0	560.0
63979	494.0	791.0
728524	0.0	0.0
3748	2112.0	1168.0
163051	67.0	25.0
3749	511.0	390.0
163050	67.0	44.0
3741	176.0	77.0
645548	9.0	4.0
3743	1.0	2.0
3744	0.0	0.0
3745	89.0	13.0
3746	19.0	3.0
3747	0.0	0.0
285671	3007.0	685.0
285672	2239.0	1454.0
100873431	0.0	0.0
100873430	0.0	0.0
3760	10.0	0.0
285676	111.0	175.0
3761	2.0	0.0
100128657	0.0	0.0
285679	4.0	2.0
100861449	0.0	0.0
100861443	0.0	0.0
100861445	0.0	0.0
3759	142.0	1351.0
283008	1.0	0.0
3751	66.0	101.0
100873435	0.0	0.0
3752	283.0	84.0
100873434	0.0	0.0
3753	4.0	21.0
100873433	0.0	0.0
3754	9.0	12.0
100873432	0.0	0.0
3755	2.0	9.0
100873439	0.0	0.0
3756	9.0	42.0
100873438	0.0	0.0
3757	6.0	26.0
100873437	0.0	0.0
3758	77.0	3.0
100873436	0.0	0.0
100873420	1.0	0.0
3770	100.0	66.0
3772	18930.0	13401.0
100861458	0.0	0.0
100861453	20.0	16.0
100861455	0.0	0.0
1107	16764.0	12545.0
1106	10082.0	7363.0
1105	2384.0	2613.0
1104	883.0	2434.0
100873429	0.0	0.0
1103	0.0	29.0
1102	3948.0	1822.0
1101	97.0	117.0
3762	227.0	157.0
100873424	0.0	0.0
3763	4.0	283.0
100128640	154.0	88.0
100873423	0.0	0.0
3764	681.0	467.0
100873422	0.0	0.0
3765	2.0	2.0
100873421	0.0	1.0
3766	30.0	12.0
100873428	0.0	0.0
3767	1012.0	255.0
100873427	0.0	0.0
3768	286.0	596.0
1109	0.0	0.0
100873426	2.0	1.0
1108	21496.0	32576.0
3769	291.0	3.0
100873425	0.0	0.0
100128637	1.0	0.0
100128639	0.0	0.0
3780	3.0	18.0
100873453	0.0	0.0
3781	33.0	22.0
100873452	0.0	0.0
3782	1060.0	345.0
100873451	0.0	0.0
3783	36.0	6611.0
100873450	0.0	0.0
1121	2163.0	1465.0
100861468	0.0	0.0
1120	182.0	235.0
100861469	0.0	0.0
1118	175.0	297.0
1117	244.0	1008.0
1116	111.0	9040.0
1114	83.0	312.0
1113	1.0	0.0
1112	2868.0	3854.0
1111	415.0	568.0
3773	40756.0	20012.0
100873457	1.0	1.0
100873456	0.0	0.0
3775	958.0	2000.0
100873455	0.0	0.0
3776	2362.0	465.0
100873454	0.0	0.0
3777	1708.0	77.0
3778	254.0	1231.0
3779	85.0	191.0
100873459	0.0	0.0
1119	3442.0	1641.0
100128627	0.0	1.0
100128626	0.0	0.0
3790	155.0	1171.0
100128628	6.0	12.0
3791	7461.0	1402.0
100873442	0.0	0.0
3792	16.0	22.0
100873441	1.0	0.0
100873440	0.0	0.0
100128625	0.0	0.0
1132	3.0	28.0
1131	226.0	59.0
1130	3008.0	4823.0
100861476	0.0	1.0
1129	5.0	0.0
1128	6.0	3.0
1124	835.0	1366.0
1123	710.0	822.0
1122	1244.0	1564.0
100861470	0.0	0.0
3784	14417.0	3302.0
100873446	0.0	0.0
3785	2.0	1.0
100873445	0.0	0.0
3786	156.0	3638.0
100873444	0.0	0.0
3787	6.0	43.0
100873443	0.0	0.0
3788	13.0	4.0
100873449	8.0	2.0
100873448	0.0	0.0
100873447	0.0	0.0
100873471	0.0	0.0
100873470	0.0	0.0
283050	204.0	92.0
100128618	0.0	1.0
728597	2.0	0.0
100128617	4.0	4.0
100873475	0.0	0.0
100873474	0.0	0.0
728591	100.0	33.0
100873473	0.0	0.0
100873472	1.0	0.0
1143	13.0	21.0
285634	7.0	9.0
1142	0.0	0.0
1141	1.0	7.0
285636	3055.0	1991.0
1140	1379.0	1287.0
728599	4.0	3.0
1139	91.0	13.0
1138	15.0	12.0
1137	245.0	1.0
100861485	0.0	0.0
1136	8.0	31.0
1135	4.0	3.0
1134	0.0	7.0
1133	8.0	6.0
3795	235.0	156.0
100873479	8.0	19.0
3796	1520.0	1535.0
100873478	0.0	0.0
3797	893.0	1557.0
100873477	0.0	3.0
3798	970.0	21.0
100873476	0.0	0.0
3799	12613.0	12571.0
100873460	0.0	0.0
728586	12.0	21.0
285641	2.0	0.0
100873464	1.0	2.0
100873463	0.0	3.0
100873462	0.0	2.0
285643	0.0	0.0
100128603	0.0	0.0
100873461	0.0	0.0
1154	5482.0	3647.0
1153	31545.0	21378.0
1152	19097.0	9102.0
285647	28.0	9.0
728589	4.0	34.0
728588	0.0	0.0
1149	5.0	2.0
1147	1743.0	1624.0
1146	1.0	0.0
1145	30.0	112.0
1144	1.0	5.0
100873468	0.0	0.0
100873467	0.0	0.0
100873466	0.0	0.0
100873465	0.0	0.0
283033	0.0	0.0
100873469	0.0	0.0
100873493	0.0	0.0
100873492	0.0	0.0
100873491	0.0	0.0
100873490	0.0	0.0
100873497	0.0	0.0
100873496	0.0	0.0
100873495	0.0	0.0
100873494	0.0	0.0
1164	161.0	808.0
1163	434.0	606.0
285659	0.0	0.0
1161	595.0	374.0
1160	780.0	48.0
1159	192.0	79.0
1158	1.0	6.0
1157	0.0	0.0
1155	2820.0	4015.0
550643	2606.0	2568.0
283025	0.0	0.0
100873499	0.0	0.0
100873498	0.0	0.0
100873482	1.0	0.0
100873481	0.0	0.0
100873480	0.0	0.0
100873486	0.0	0.0
100873485	0.0	0.0
100873484	0.0	0.0
100873483	0.0	0.0
1176	3322.0	4154.0
1175	2407.0	3007.0
285668	5.0	0.0
1174	2003.0	3625.0
1173	17740.0	21584.0
550631	348.0	180.0
100873489	0.0	0.0
283014	15.0	4.0
100873488	0.0	0.0
100873487	0.0	0.0
283093	0.0	0.0
283092	0.0	0.0
1187	398.0	5.0
1186	4738.0	4672.0
1185	1822.0	1072.0
1184	743.0	604.0
1183	2547.0	700.0
1182	8421.0	5263.0
1181	452.0	347.0
440375	54.0	27.0
1180	15.0	0.0
1179	0.0	0.0
1178	0.0	0.0
283089	35.0	6.0
85495	0.0	0.0
85480	122.0	43.0
283080	0.0	0.0
1198	3397.0	2871.0
1197	1.0	0.0
1196	1953.0	1984.0
1195	5213.0	6241.0
440366	1.0	0.0
1193	5825.0	2650.0
1192	11795.0	25683.0
1191	97036.0	470688.0
1188	744.0	58.0
283078	102.0	149.0
85486	7.0	7.0
128615	0.0	0.0
85481	0.0	0.0
128611	29.0	110.0
440396	48.0	25.0
128609	0.0	0.0
128602	0.0	0.0
440387	1.0	0.0
128674	0.0	0.0
128676	0.0	0.0
114026	0.0	0.0
100861402	6.0	2.0
126014	17.0	441.0
440335	17.0	493.0
100128690	0.0	0.0
114034	1044.0	798.0
126006	61.0	44.0
114036	265.0	17.0
100128696	0.0	0.0
100128688	0.0	0.0
126003	128.0	95.0
100861412	0.0	0.0
105180390	0.0	0.0
100128685	0.0	0.0
100128681	0.0	1.0
105180391	0.0	0.0
100128682	2.0	0.0
100128678	0.0	0.0
100861429	0.0	0.0
128653	0.0	0.0
200728	362.0	528.0
440356	2.0	1.0
440354	76.0	66.0
440352	1.0	0.0
100873419	0.0	0.0
100873418	0.0	1.0
100873413	2.0	0.0
128646	0.0	2.0
100873412	0.0	0.0
100873411	0.0	0.0
100128675	1.0	9.0
100873410	0.0	0.0
100873417	1.0	2.0
100873416	0.0	0.0
100873415	0.0	0.0
100873414	0.0	0.0
440348	5.0	4.0
100861435	1.0	0.0
100861436	0.0	0.0
440345	86.0	58.0
200734	4017.0	3121.0
100861431	0.0	0.0
100861434	0.0	0.0
100873409	0.0	0.0
440350	1.0	2.0
100873408	0.0	0.0
100873407	0.0	0.0
100861430	6.0	1.0
100873402	0.0	0.0
100873401	0.0	0.0
100873400	0.0	0.0
100128665	0.0	0.0
128637	4662.0	2967.0
100873406	0.0	0.0
100873405	0.0	0.0
100873404	0.0	0.0
100873403	0.0	0.0
645440	0.0	0.0
645443	5.0	4.0
165530	4.0	164.0
85409	21.0	1706.0
106481385	0.0	0.0
106481386	0.0	1.0
85416	1.0	0.0
106481383	1.0	4.0
85417	60.0	18.0
106481384	0.0	0.0
103106903	0.0	2.0
85414	105.0	201.0
106481389	0.0	0.0
85415	945.0	459.0
106481387	0.0	0.0
85413	0.0	4.0
106481388	1.0	1.0
645436	3.0	0.0
106481381	0.0	1.0
106481382	0.0	0.0
10	2.0	0.0
106481380	0.0	0.0
11	0.0	0.0
403341	1086.0	1134.0
12	3.0	9.0
13	1.0	0.0
14	8737.0	6968.0
15	10.0	6.0
16	14703.0	8396.0
645455	17.0	23.0
18	16587.0	4693.0
19	3545.0	3028.0
128580	1.0	3.0
85407	136.0	551.0
106481396	0.0	0.0
106481397	0.0	1.0
106481394	0.0	0.0
85406	1893.0	1219.0
106481395	1.0	1.0
85403	1938.0	1920.0
106481398	0.0	0.0
106481399	0.0	0.0
403339	0.0	0.0
106481392	1.0	0.0
106481393	0.0	0.0
20	11569.0	7762.0
106481390	0.0	0.0
21	11117.0	3313.0
106481391	0.0	0.0
22	1432.0	1361.0
153571	250.0	297.0
153572	157.0	393.0
23	4717.0	4574.0
24	28.0	313.0
25	13003.0	8654.0
26	24.0	216.0
27	2165.0	3688.0
28	5058.0	2374.0
29	2452.0	10613.0
153579	901.0	145.0
728615	0.0	1.0
728614	0.0	0.0
200765	368.0	173.0
106481358	0.0	3.0
106481359	0.0	0.0
728611	32.0	47.0
102466518	1.0	1.0
102466516	14.0	7.0
102466515	0.0	0.0
106481363	0.0	0.0
106481364	0.0	0.0
85438	0.0	0.0
106481361	0.0	0.0
85439	1986.0	1001.0
106481362	0.0	0.0
106481367	0.0	0.0
85437	2824.0	2124.0
106481368	0.0	0.0
106481365	0.0	0.0
728609	333.0	308.0
106481366	0.0	0.0
30	3729.0	3354.0
106481360	0.0	0.0
31	4434.0	3075.0
32	6335.0	907.0
33	1645.0	716.0
34	4928.0	2098.0
35	2885.0	1072.0
153562	6651.0	2222.0
36	3517.0	1164.0
37	18001.0	15638.0
38	7783.0	2385.0
440307	18.0	6.0
39	681.0	794.0
165545	0.0	4.0
106481369	0.0	0.0
728606	210.0	65.0
106481374	0.0	0.0
106481375	0.0	0.0
106481372	0.0	0.0
106481373	0.0	0.0
106481378	2.0	1.0
106481379	0.0	0.0
106481376	0.0	0.0
106481377	0.0	0.0
403315	2.0	0.0
40	0.0	0.0
106481370	0.0	0.0
41	46.0	120.0
106481371	0.0	0.0
43	172.0	92.0
645486	2.0	0.0
47	8456.0	9028.0
48	5672.0	4055.0
49	13.0	25.0
106481338	0.0	0.0
106481339	0.0	0.0
106481336	0.0	0.0
106481337	2.0	0.0
106481341	0.0	0.0
106481342	3.0	2.0
106481340	0.0	0.0
85458	4303.0	1595.0
