id	085d1072-73d9-4d5c-865f-782c4eb173a1	30b62a5c-f64d-44df-85df-58803540976e
100873356	0.0	0.0
3678	820.0	3563.0
3679	306.0	1229.0
100873359	0.0	0.0
728464	38.0	58.0
728463	14.0	8.0
100128725	0.0	0.0
3690	2568.0	2438.0
3691	453.0	1574.0
100873343	1.0	0.0
3692	2939.0	6368.0
3693	2134.0	6078.0
285521	797.0	1502.0
100873342	0.0	0.0
3694	712.0	1304.0
100873341	0.0	0.0
3695	168.0	308.0
100873340	0.0	0.0
100128723	0.0	0.0
1033	8.0	41.0
1032	57.0	232.0
285525	5.0	3.0
1031	259.0	1356.0
285527	2445.0	1931.0
1030	31.0	309.0
728468	4.0	1.0
440288	68.0	88.0
1029	4.0	90.0
440295	96.0	90.0
1028	293.0	411.0
1027	4906.0	3788.0
1026	1932.0	23266.0
1025	1562.0	2856.0
1024	582.0	751.0
3685	10317.0	18987.0
100873347	0.0	0.0
100873346	0.0	0.0
3687	144.0	527.0
100873345	0.0	0.0
3688	7805.0	12415.0
100873344	1.0	0.0
3689	626.0	3545.0
100873349	0.0	0.0
100873348	0.0	0.0
100873372	0.0	0.0
100873371	0.0	0.0
100873370	0.0	0.0
728498	42.0	31.0
100873376	0.0	0.0
728493	0.0	0.0
100128711	0.0	0.0
728492	20.0	44.0
100873375	0.0	0.0
100128710	0.0	0.0
285533	18.0	30.0
100873374	0.0	0.0
728495	0.0	0.0
100873373	0.0	0.0
100128712	0.0	0.0
1044	3.0	3.0
1043	198.0	811.0
1041	1.0	1.0
1040	5013.0	8595.0
1039	5808.0	4047.0
1038	1.0	0.0
1036	525.0	72.0
3696	600.0	308.0
3697	0.0	0.0
100873379	0.0	0.0
3698	12.0	17.0
100873378	3.0	0.0
3699	40.0	23.0
100873377	0.0	0.0
728486	10.0	2.0
100873361	0.0	0.0
105373869	0.0	0.0
100873360	0.0	0.0
285540	292.0	208.0
100128705	1.0	0.0
100873365	0.0	0.0
100873364	0.0	0.0
728481	0.0	0.0
100873363	0.0	0.0
728484	2.0	0.0
100873362	0.0	0.0
100128701	2.0	2.0
1054	1573.0	7189.0
285547	0.0	0.0
1053	2.0	4.0
285548	0.0	0.0
1052	1944.0	3936.0
1051	1445.0	4297.0
728489	4.0	12.0
1050	464.0	907.0
100128707	0.0	0.0
1048	0.0	0.0
1047	6.0	95.0
1046	0.0	0.0
1045	0.0	0.0
100873369	5.0	2.0
100873368	0.0	0.0
100873367	0.0	0.0
100873366	0.0	0.0
105373877	1.0	1.0
1066	282.0	1135.0
1063	39.0	174.0
1062	35.0	70.0
1061	7.0	3.0
1060	2657.0	1798.0
440253	333.0	184.0
1059	1894.0	7435.0
1058	1.0	27.0
1057	2.0	0.0
85379	7470.0	6116.0
114112	640.0	603.0
1056	10.0	15.0
85377	986.0	3280.0
85378	1150.0	2307.0
128745	0.0	1.0
85376	28.0	53.0
440248	396.0	250.0
1075	2757.0	4921.0
1074	4.0	4.0
1073	2583.0	4105.0
1072	9865.0	34243.0
1071	128.0	860.0
440243	0.0	0.0
1070	943.0	826.0
1069	5051.0	5109.0
1068	0.0	0.0
85369	1327.0	1948.0
85366	7.0	14.0
85364	1357.0	1845.0
85365	2709.0	4231.0
85363	1545.0	2374.0
85360	313.0	742.0
1080	47.0	15.0
85391	4.0	0.0
403296	0.0	0.0
403297	0.0	0.0
85390	0.0	0.0
403299	0.0	0.0
1088	1.0	0.0
153733	331.0	390.0
1087	1.0	0.0
1086	0.0	0.0
440279	1009.0	140.0
1085	0.0	1.0
1084	0.0	8.0
440278	106.0	238.0
1082	0.0	0.0
403294	2.0	1.0
440275	3437.0	3968.0
1081	0.0	0.0
85397	2603.0	140.0
85395	123.0	573.0
403285	0.0	0.0
1091	0.0	0.0
1090	0.0	0.0
403288	0.0	0.0
403289	0.0	0.0
1098	0.0	0.0
1097	0.0	0.0
1096	0.0	0.0
1095	0.0	0.0
403281	0.0	0.0
403282	0.0	0.0
1094	0.0	0.0
1093	0.0	0.0
403283	0.0	0.0
403284	0.0	0.0
1092	0.0	6.0
440270	1852.0	926.0
1089	1.0	6.0
85388	0.0	0.0
85389	0.0	0.0
128718	0.0	0.0
285596	21.0	8.0
285598	381.0	177.0
126133	469.0	1871.0
128790	1.0	0.0
126129	28.0	79.0
126123	9.0	0.0
442862	0.0	0.0
126119	202.0	1575.0
442863	0.0	0.0
442864	0.0	0.0
442865	0.0	0.0
442866	0.0	0.0
442867	0.0	0.0
442868	0.0	0.0
128770	1.0	0.0
128774	0.0	0.0
442893	1.0	0.0
442894	0.0	0.0
442895	0.0	0.0
114131	1.0	0.0
442896	1.0	1.0
114132	63.0	35.0
442897	0.0	0.0
442898	0.0	0.0
114134	312.0	364.0
442899	0.0	0.0
100128790	0.0	0.0
128760	4.0	4.0
100128788	40.0	50.0
100128787	0.0	0.0
440225	0.0	0.0
440224	0.0	1.0
442890	0.0	0.0
442891	3.0	0.0
442892	0.0	0.0
128756	0.0	0.0
100128782	330.0	473.0
100128781	1.0	1.0
403230	0.0	0.0
403231	0.0	0.0
403232	0.0	0.0
645560	1.0	3.0
403234	0.0	0.0
403235	0.0	0.0
403236	0.0	0.0
63982	134.0	87.0
102466616	0.0	0.0
126052	0.0	0.0
151009	90.0	107.0
403227	0.0	0.0
403228	0.0	0.0
138046	0.0	0.0
645558	0.0	0.0
403229	0.0	0.0
645573	0.0	0.0
645572	0.0	0.0
645571	3.0	1.0
403223	0.0	0.0
403224	0.0	0.0
403226	0.0	0.0
200634	416.0	480.0
107131122	1.0	1.0
138050	5004.0	5739.0
403219	0.0	0.0
151011	3700.0	3525.0
645587	0.0	0.0
165679	2.0	15.0
126037	3.0	16.0
114049	2870.0	5624.0
106481479	1.0	0.0
100033818	0.0	0.0
100033819	0.0	0.0
85319	0.0	0.0
106481484	0.0	0.0
106481485	0.0	0.0
106481482	0.0	0.0
106481483	0.0	0.0
85315	476.0	455.0
100033821	0.0	0.0
106481488	0.0	0.0
100033822	0.0	0.0
106481489	0.0	0.0
85313	2388.0	2327.0
106481486	0.0	0.0
106481487	0.0	0.0
645579	142.0	143.0
100033820	0.0	0.0
106481480	1.0	1.0
106481481	1.0	0.0
138065	12.0	2.0
645598	0.0	0.0
163007	2.0	0.0
114038	1.0	1.0
645591	0.0	0.0
106481495	0.0	0.0
114041	211.0	352.0
106481496	0.0	0.0
114042	7.0	1.0
106481493	0.0	0.0
114043	21.0	2.0
106481494	0.0	0.0
106481499	0.0	0.0
114044	148.0	74.0
126017	553.0	399.0
106481497	1.0	0.0
106481498	0.0	0.0
85303	0.0	0.0
85300	0.0	0.0
85301	617.0	342.0
106481491	2.0	0.0
106481492	0.0	0.0
106481490	0.0	0.0
403274	0.0	0.0
102466657	0.0	0.0
403275	0.0	0.0
102466656	0.0	0.0
403276	0.0	0.0
403277	0.0	0.0
403278	0.0	0.0
26996	284.0	836.0
106481459	0.0	0.0
26994	7863.0	12127.0
106481457	5.0	4.0
26995	1509.0	2981.0
106481458	0.0	0.0
403271	0.0	0.0
26998	1.0	0.0
403272	0.0	0.0
102466659	0.0	0.0
26999	2111.0	7778.0
403273	0.0	0.0
102466658	0.0	0.0
106481462	0.0	0.0
106481463	0.0	0.0
104310353	3.0	0.0
106481460	1.0	2.0
106481461	0.0	0.0
104310350	0.0	0.0
106481466	1.0	0.0
26993	1575.0	2198.0
106481467	0.0	0.0
106481464	0.0	1.0
106481465	0.0	0.0
104310351	0.0	0.0
403263	0.0	0.0
403264	0.0	0.0
403265	0.0	0.0
403266	0.0	0.0
138009	0.0	0.0
106481468	0.0	0.0
106481469	0.0	0.0
403260	0.0	0.0
106481473	0.0	0.0
106481474	0.0	0.0
106481471	0.0	0.0
85329	1.0	7.0
106481472	0.0	0.0
106481477	0.0	1.0
106481478	0.0	0.0
106481475	0.0	0.0
106481476	0.0	0.0
85320	5.0	52.0
106481470	1.0	0.0
403252	0.0	0.0
403253	0.0	0.0
403254	0.0	0.0
126070	484.0	426.0
403255	0.0	0.0
403256	0.0	0.0
403257	0.0	0.0
344471	2.0	7.0
106481437	0.0	0.0
26974	523.0	228.0
153657	125.0	64.0
106481438	0.0	0.0
106481435	0.0	0.0
26973	1077.0	813.0
165631	31.0	52.0
106481436	0.0	0.0
26978	7.0	6.0
126075	546.0	2051.0
106481439	0.0	0.0
403250	0.0	0.0
126074	136.0	293.0
403251	0.0	0.0
106481440	0.0	0.0
106481441	0.0	0.0
85359	880.0	4693.0
106481444	9.0	0.0
106481445	0.0	0.0
106481442	0.0	0.0
106481443	0.0	0.0
85358	312.0	2910.0
85354	0.0	0.0
85352	12.0	28.0
403241	9.0	6.0
344462	0.0	1.0
403244	0.0	0.0
403245	0.0	0.0
153642	1066.0	650.0
153643	87.0	89.0
403247	0.0	0.0
403248	0.0	0.0
26985	2806.0	2962.0
106481448	0.0	0.0
26986	31867.0	51801.0
126069	87.0	71.0
106481449	0.0	0.0
126068	1218.0	648.0
106481446	0.0	0.0
26983	0.0	0.0
26984	1061.0	973.0
106481447	0.0	0.0
106481451	1.0	1.0
106481452	0.0	0.0
106481450	2.0	0.0
114088	29.0	13.0
106481455	1.0	0.0
85349	94.0	36.0
106481456	0.0	0.0
26982	0.0	0.0
106481453	1.0	0.0
85347	0.0	0.0
26980	2.0	3.0
106481454	1.0	0.0
403238	0.0	0.0
85344	6.0	26.0
403239	0.0	0.0
85345	0.0	0.0
85343	0.0	0.0
344454	0.0	0.0
85340	0.0	0.0
100873394	0.0	0.0
100873393	2.0	0.0
100873392	2.0	1.0
100873391	0.0	0.0
100873398	0.0	0.0
100873397	0.0	0.0
100873396	0.0	0.0
100873395	0.0	0.0
100128811	0.0	0.0
106481415	0.0	0.0
106481416	1.0	0.0
106481413	0.0	0.0
106481414	1.0	0.0
63901	2145.0	1943.0
100873390	1.0	0.0
728556	23.0	49.0
106481419	0.0	1.0
100128817	1.0	0.0
728558	77.0	174.0
106481417	0.0	0.0
106481418	0.0	0.0
106481422	0.0	0.0
163081	311.0	314.0
106481423	0.0	0.0
106481420	0.0	0.0
106481421	0.0	0.0
100873399	0.0	0.0
100873383	0.0	0.0
100873382	0.0	0.0
100873381	1.0	1.0
100873380	0.0	0.0
100128804	0.0	0.0
100873387	0.0	0.0
100873386	0.0	0.0
100873385	0.0	0.0
100128801	0.0	0.0
285600	332.0	167.0
100873384	0.0	0.0
285601	0.0	4.0
106481426	0.0	0.0
106481427	0.0	0.0
222005	0.0	1.0
63910	34.0	151.0
106481424	0.0	0.0
106481425	0.0	0.0
285605	1082.0	1238.0
222008	9.0	0.0
106481428	0.0	0.0
106481429	0.0	0.0
63905	3091.0	4584.0
63904	0.0	0.0
106481430	0.0	1.0
163071	478.0	499.0
63906	565.0	1141.0
106481433	0.0	0.0
63908	1124.0	933.0
106481434	0.0	0.0
106481431	0.0	0.0
106481432	0.0	0.0
100873389	0.0	0.0
100873388	4.0	0.0
285613	23.0	93.0
63920	860.0	639.0
63923	74.0	161.0
63922	96.0	274.0
728577	16.0	13.0
63925	767.0	1404.0
63924	2.0	0.0
63916	1977.0	3644.0
63917	4035.0	4734.0
106481400	0.0	0.0
106481401	0.0	0.0
728562	2.0	3.0
728564	0.0	4.0
285622	0.0	0.0
106481404	0.0	0.0
106481405	0.0	0.0
63932	1078.0	2233.0
106481402	0.0	0.0
63931	2250.0	2075.0
106481403	0.0	0.0
63934	1221.0	790.0
728567	2.0	1.0
106481408	0.0	0.0
163088	9.0	4.0
63933	3282.0	5300.0
106481409	0.0	0.0
106481406	0.0	0.0
63935	2912.0	5657.0
163087	944.0	578.0
728568	472.0	503.0
106481407	10.0	3.0
3704	1106.0	3867.0
3705	1327.0	4072.0
63926	1069.0	1272.0
3706	11.0	32.0
63929	983.0	1170.0
3707	1115.0	3305.0
63928	1.0	2.0
3708	14419.0	5764.0
106481411	0.0	0.0
3709	1989.0	2513.0
106481412	0.0	0.0
106481410	1.0	0.0
3700	11.0	4.0
3702	117.0	417.0
3703	11636.0	15828.0
645506	0.0	0.0
151050	1837.0	1190.0
645520	0.0	0.0
63941	464.0	2052.0
63940	198.0	931.0
63943	477.0	466.0
728517	0.0	0.0
163033	229.0	971.0
258010	3732.0	5690.0
63947	0.0	0.0
63946	0.0	0.0
728513	2.0	46.0
100033803	0.0	0.0
3716	7338.0	12610.0
100033804	0.0	0.0
3717	710.0	788.0
100033805	0.0	0.0
3718	121.0	403.0
63939	1314.0	1349.0
100033806	0.0	0.0
100190799	1.0	1.0
100033800	0.0	0.0
100033801	0.0	0.0
100033802	0.0	0.0
344405	122.0	107.0
3710	6004.0	19691.0
3712	12388.0	25900.0
3713	0.0	0.0
3714	81.0	1397.0
63950	0.0	4.0
728505	0.0	0.0
63951	463.0	193.0
100033807	0.0	0.0
728501	18.0	42.0
100033808	0.0	0.0
100033809	0.0	0.0
3726	7648.0	12915.0
100033814	0.0	0.0
3727	10888.0	12053.0
63948	73.0	62.0
100033815	0.0	0.0
222052	0.0	0.0
3728	7372.0	19208.0
100033816	0.0	0.0
100033817	0.0	0.0
100033810	0.0	0.0
100033811	0.0	0.0
100033812	0.0	0.0
100033813	0.0	0.0
3720	728.0	784.0
151056	370.0	202.0
3725	73247.0	23170.0
645528	0.0	2.0
728532	21.0	27.0
163059	639.0	469.0
728538	1.0	1.0
728537	147.0	59.0
63967	7.0	42.0
3737	101.0	458.0
3738	25.0	63.0
3739	1.0	2.0
645538	0.0	0.0
3730	1974.0	2470.0
3732	1194.0	2903.0
3734	0.0	0.0
3735	5698.0	8650.0
3736	460.0	43.0
63970	2.0	2.0
3750	100.0	115.0
63971	6735.0	7471.0
63974	0.0	0.0
163049	3597.0	2854.0
63973	2.0	1.0
63976	3271.0	1972.0
222068	11191.0	17238.0
63978	0.0	0.0
63977	388.0	397.0
63979	551.0	215.0
728524	0.0	0.0
3748	1044.0	1485.0
163051	97.0	56.0
3749	280.0	553.0
163050	48.0	59.0
3741	35.0	218.0
645548	3.0	8.0
3743	0.0	2.0
3744	0.0	0.0
3745	22.0	37.0
3746	6.0	4.0
3747	0.0	0.0
285671	3509.0	2201.0
285672	1893.0	1419.0
100873431	1.0	0.0
100873430	0.0	0.0
3760	1.0	1.0
285676	122.0	127.0
3761	0.0	3.0
100128657	0.0	0.0
285679	2.0	1.0
100861449	0.0	0.0
100861443	0.0	0.0
100861445	0.0	0.0
3759	73.0	69.0
283008	4.0	20.0
3751	26.0	5.0
100873435	0.0	0.0
3752	59.0	64.0
100873434	0.0	0.0
3753	2.0	2.0
100873433	0.0	0.0
3754	0.0	3.0
100873432	0.0	0.0
3755	0.0	74.0
100873439	0.0	0.0
3756	14.0	3.0
100873438	0.0	0.0
3757	3.0	30.0
100873437	0.0	0.0
3758	3.0	25.0
100873436	0.0	0.0
100873420	0.0	0.0
3770	93.0	53.0
3772	17598.0	24531.0
100861458	0.0	0.0
100861453	38.0	16.0
100861455	0.0	0.0
1107	8633.0	10707.0
1106	8505.0	5454.0
1105	1755.0	1385.0
1104	575.0	1065.0
100873429	0.0	0.0
1103	0.0	0.0
1102	4253.0	4830.0
1101	77.0	20.0
3762	60.0	192.0
100873424	0.0	0.0
3763	2.0	4.0
100128640	251.0	160.0
100873423	0.0	0.0
3764	669.0	577.0
100873422	0.0	0.0
3765	1.0	3.0
100873421	0.0	0.0
3766	62.0	29.0
100873428	0.0	0.0
3767	300.0	2362.0
100873427	0.0	0.0
3768	91.0	286.0
1109	0.0	0.0
100873426	5.0	2.0
1108	12880.0	19275.0
3769	1031.0	74.0
100873425	1.0	0.0
100128637	1.0	0.0
100128639	1.0	0.0
3780	2.0	9.0
100873453	0.0	0.0
3781	8.0	40.0
100873452	0.0	1.0
3782	376.0	823.0
100873451	0.0	0.0
3783	15.0	94.0
100873450	0.0	0.0
1121	1850.0	1709.0
100861468	0.0	1.0
1120	70.0	145.0
100861469	0.0	0.0
1118	8.0	198.0
1117	150.0	887.0
1116	29.0	321.0
1114	69.0	68.0
1113	0.0	0.0
1112	1944.0	2260.0
1111	189.0	277.0
3773	16347.0	20838.0
100873457	0.0	0.0
100873456	0.0	0.0
3775	441.0	1472.0
100873455	0.0	0.0
3776	3148.0	1032.0
100873454	0.0	0.0
3777	594.0	1018.0
3778	91.0	249.0
3779	32.0	137.0
100873459	0.0	0.0
1119	2636.0	2762.0
100128627	0.0	0.0
100128626	0.0	0.0
3790	216.0	281.0
100128628	1.0	5.0
3791	2172.0	7034.0
100873442	0.0	0.0
3792	14.0	27.0
100873441	1.0	0.0
100873440	0.0	0.0
100128625	0.0	0.0
1132	1.0	6.0
1131	58.0	205.0
1130	1946.0	1871.0
100861476	1.0	1.0
1129	2.0	0.0
1128	3.0	9.0
1124	1467.0	1804.0
1123	377.0	772.0
1122	1076.0	622.0
100861470	0.0	0.0
3784	6299.0	13756.0
100873446	0.0	0.0
3785	0.0	1.0
100873445	0.0	0.0
3786	83.0	270.0
100873444	0.0	0.0
3787	8.0	3.0
100873443	0.0	0.0
3788	5.0	0.0
100873449	8.0	0.0
100873448	0.0	0.0
100873447	0.0	0.0
100873471	0.0	0.0
100873470	0.0	0.0
283050	273.0	193.0
100128618	0.0	0.0
728597	1.0	0.0
100128617	0.0	5.0
100873475	0.0	0.0
100873474	0.0	0.0
728591	38.0	36.0
100873473	0.0	0.0
100873472	0.0	0.0
1143	11.0	17.0
285634	1.0	3.0
1142	0.0	0.0
1141	8.0	1.0
285636	3120.0	2082.0
1140	1101.0	1185.0
728599	0.0	1.0
1139	99.0	74.0
1138	5.0	19.0
1137	68.0	0.0
100861485	0.0	0.0
1136	2.0	24.0
1135	0.0	0.0
1134	0.0	5.0
1133	2.0	1.0
3795	81.0	195.0
100873479	4.0	9.0
3796	882.0	1015.0
100873478	0.0	0.0
3797	413.0	515.0
100873477	2.0	0.0
3798	570.0	218.0
100873476	0.0	0.0
3799	7386.0	12103.0
100873460	0.0	0.0
728586	10.0	12.0
285641	0.0	0.0
100873464	3.0	0.0
100873463	0.0	0.0
100873462	1.0	1.0
285643	0.0	0.0
100128603	0.0	0.0
100873461	0.0	0.0
1154	1360.0	8082.0
1153	32875.0	33178.0
1152	3204.0	7951.0
285647	33.0	33.0
728589	6.0	3.0
728588	0.0	0.0
1149	0.0	1.0
1147	1241.0	1859.0
1146	3.0	0.0
1145	13.0	63.0
1144	0.0	0.0
100873468	0.0	0.0
100873467	0.0	0.0
100873466	0.0	0.0
100873465	0.0	0.0
283033	0.0	0.0
100873469	0.0	0.0
100873493	0.0	0.0
100873492	0.0	0.0
100873491	0.0	0.0
100873490	0.0	0.0
100873497	0.0	0.0
100873496	0.0	0.0
100873495	0.0	0.0
100873494	0.0	0.0
1164	116.0	698.0
1163	327.0	511.0
285659	0.0	0.0
1161	446.0	561.0
1160	103.0	807.0
1159	94.0	203.0
1158	0.0	1.0
1157	0.0	0.0
1155	1112.0	2937.0
550643	1965.0	3095.0
283025	0.0	0.0
100873499	0.0	0.0
100873498	0.0	0.0
100873482	0.0	0.0
100873481	0.0	0.0
100873480	0.0	0.0
100873486	0.0	0.0
100873485	0.0	0.0
100873484	0.0	0.0
100873483	0.0	0.0
1176	2422.0	3367.0
1175	956.0	3415.0
285668	5.0	3.0
1174	1052.0	2560.0
1173	9726.0	18592.0
550631	184.0	327.0
100873489	0.0	0.0
283014	30.0	10.0
100873488	0.0	0.0
100873487	0.0	0.0
283093	0.0	0.0
283092	0.0	0.0
1187	231.0	821.0
1186	1425.0	8934.0
1185	1567.0	1470.0
1184	776.0	690.0
1183	1737.0	2733.0
1182	6176.0	5915.0
1181	252.0	534.0
440375	20.0	93.0
1180	3.0	5.0
1179	0.0	0.0
1178	1.0	0.0
283089	54.0	30.0
85495	0.0	0.0
85480	128.0	310.0
283080	0.0	0.0
1198	2156.0	3077.0
1197	1.0	1.0
1196	1772.0	1592.0
1195	5871.0	2516.0
440366	1.0	0.0
1193	3476.0	9121.0
1192	7035.0	15501.0
1191	69970.0	48241.0
1188	1811.0	1184.0
283078	54.0	630.0
85486	2.0	4.0
128615	0.0	0.0
85481	1.0	0.0
128611	75.0	143.0
440396	46.0	21.0
128609	0.0	0.0
128602	0.0	0.0
440387	1.0	2.0
128674	3.0	1.0
128676	2.0	0.0
114026	0.0	0.0
100861402	2.0	3.0
126014	29.0	125.0
440335	1.0	4.0
100128690	0.0	0.0
114034	709.0	1187.0
126006	15.0	36.0
114036	185.0	97.0
100128696	0.0	0.0
100128688	0.0	0.0
126003	44.0	28.0
100861412	0.0	0.0
105180390	0.0	0.0
100128685	0.0	0.0
100128681	1.0	0.0
105180391	0.0	0.0
100128682	2.0	0.0
100128678	0.0	0.0
100861429	0.0	0.0
128653	0.0	0.0
200728	392.0	608.0
440356	4.0	0.0
440354	50.0	42.0
440352	0.0	0.0
100873419	0.0	0.0
100873418	0.0	1.0
100873413	1.0	0.0
128646	0.0	3.0
100873412	0.0	0.0
100873411	0.0	0.0
100128675	2.0	3.0
100873410	0.0	0.0
100873417	0.0	0.0
100873416	0.0	0.0
100873415	0.0	0.0
100873414	0.0	0.0
440348	80.0	51.0
100861435	0.0	0.0
100861436	0.0	0.0
440345	46.0	25.0
200734	2217.0	3294.0
100861431	0.0	0.0
100861434	0.0	0.0
100873409	0.0	0.0
440350	2.0	1.0
100873408	0.0	0.0
100873407	0.0	0.0
100861430	1.0	1.0
100873402	0.0	0.0
100873401	1.0	1.0
100873400	0.0	0.0
100128665	0.0	0.0
128637	2905.0	4329.0
100873406	0.0	0.0
100873405	0.0	0.0
100873404	0.0	0.0
100873403	0.0	0.0
645440	0.0	0.0
645443	5.0	2.0
165530	4.0	1.0
85409	2.0	19.0
106481385	1.0	0.0
106481386	0.0	0.0
85416	1.0	0.0
106481383	2.0	2.0
85417	58.0	44.0
106481384	0.0	0.0
103106903	0.0	0.0
85414	74.0	58.0
106481389	0.0	0.0
85415	774.0	1042.0
106481387	0.0	0.0
85413	1.0	0.0
106481388	2.0	2.0
645436	0.0	1.0
106481381	0.0	0.0
106481382	0.0	0.0
10	2.0	1.0
106481380	0.0	0.0
11	0.0	0.0
403341	982.0	536.0
12	3.0	0.0
13	2.0	0.0
14	4515.0	10719.0
15	9.0	6.0
16	7618.0	26472.0
645455	16.0	15.0
18	9168.0	8859.0
19	2388.0	1988.0
128580	3.0	3.0
85407	25.0	27.0
106481396	0.0	0.0
106481397	0.0	0.0
106481394	0.0	0.0
85406	1395.0	1687.0
106481395	0.0	0.0
85403	1321.0	2548.0
106481398	0.0	0.0
106481399	0.0	0.0
403339	0.0	0.0
106481392	1.0	0.0
106481393	0.0	0.0
20	4078.0	7693.0
106481390	0.0	0.0
21	3451.0	6099.0
106481391	0.0	0.0
22	1190.0	1632.0
153571	241.0	314.0
153572	222.0	209.0
23	2786.0	5487.0
24	54.0	115.0
25	4779.0	9824.0
26	2.0	28.0
27	1615.0	1350.0
28	3503.0	3300.0
29	861.0	6767.0
153579	152.0	614.0
728615	0.0	0.0
728614	0.0	0.0
200765	536.0	237.0
106481358	0.0	0.0
106481359	0.0	0.0
728611	41.0	44.0
102466518	0.0	0.0
102466516	4.0	5.0
102466515	0.0	0.0
106481363	0.0	0.0
106481364	0.0	0.0
85438	0.0	0.0
106481361	0.0	0.0
85439	2107.0	1196.0
106481362	0.0	0.0
106481367	0.0	0.0
85437	1811.0	3289.0
106481368	0.0	0.0
106481365	0.0	0.0
728609	139.0	102.0
106481366	0.0	0.0
30	2215.0	6021.0
106481360	1.0	0.0
31	1903.0	3079.0
32	3468.0	3333.0
33	1320.0	2178.0
34	3311.0	4048.0
35	850.0	3160.0
153562	5380.0	7348.0
36	2576.0	3444.0
37	8631.0	18976.0
38	3018.0	6853.0
440307	6.0	10.0
39	572.0	554.0
165545	10.0	3.0
106481369	0.0	0.0
728606	142.0	230.0
106481374	0.0	0.0
106481375	0.0	0.0
106481372	0.0	0.0
106481373	0.0	0.0
106481378	1.0	1.0
106481379	0.0	0.0
106481376	0.0	0.0
106481377	0.0	0.0
403315	0.0	0.0
40	2.0	0.0
106481370	0.0	0.0
41	8.0	31.0
106481371	0.0	0.0
43	75.0	125.0
645486	0.0	0.0
47	3682.0	7957.0
48	3675.0	11969.0
49	2.0	13.0
106481338	0.0	0.0
106481339	0.0	0.0
106481336	0.0	0.0
106481337	1.0	0.0
106481341	0.0	0.0
106481342	0.0	0.0
106481340	1.0	0.0
85458	3141.0	4271.0
106481345	1.0	0.0
85459	1156.0	545.0
106481346	0.0	0.0
85456	3205.0	11618.0
