id	2c80fdb5-bba0-4402-a6d4-412cbab60fc8	7400ffec-f429-4d6b-bb44-553fa3ae477d
1045	0.0	1.0
100873369	22.0	4.0
100873368	0.0	0.0
100873367	0.0	0.0
100873366	0.0	0.0
105373877	3.0	0.0
1066	967.0	50.0
1063	60.0	190.0
1062	66.0	135.0
1061	4.0	1.0
1060	2888.0	2372.0
440253	515.0	278.0
1059	5038.0	8063.0
1058	4.0	12.0
1057	2.0	3.0
85379	15360.0	7743.0
114112	1137.0	527.0
1056	52.0	25.0
85377	2070.0	1842.0
85378	3790.0	4780.0
128745	1.0	0.0
85376	28.0	55.0
440248	418.0	340.0
1075	3103.0	62712.0
1074	20.0	15.0
1073	4846.0	2827.0
1072	22580.0	33045.0
1071	251.0	130.0
440243	1.0	0.0
1070	1230.0	1105.0
1069	6853.0	4343.0
1068	0.0	0.0
85369	2627.0	2114.0
85366	18.0	14.0
85364	2674.0	2412.0
85365	3283.0	2758.0
85363	2212.0	1861.0
85360	968.0	441.0
1080	84.0	73.0
85391	2.0	11.0
403296	0.0	0.0
403297	1.0	0.0
85390	0.0	0.0
403299	0.0	0.0
1088	0.0	2.0
153733	541.0	252.0
1087	8.0	0.0
1086	0.0	0.0
440279	225.0	41.0
1085	1.0	0.0
1084	6.0	2.0
440278	268.0	161.0
1082	0.0	0.0
403294	1.0	0.0
440275	5174.0	4321.0
1081	0.0	9.0
85397	338.0	4.0
85395	343.0	404.0
403285	0.0	0.0
1091	1.0	0.0
1090	0.0	0.0
403288	0.0	0.0
403289	0.0	0.0
1098	0.0	0.0
1097	0.0	0.0
1096	0.0	0.0
1095	0.0	0.0
403281	0.0	0.0
403282	0.0	0.0
1094	0.0	0.0
1093	0.0	0.0
403283	1.0	0.0
403284	0.0	0.0
1092	2.0	3.0
440270	2911.0	7929.0
1089	15.0	23.0
85388	0.0	0.0
85389	0.0	0.0
128718	0.0	0.0
285596	28.0	52.0
285598	533.0	276.0
126133	1386.0	1641.0
128790	0.0	0.0
126129	101.0	89.0
126123	3.0	1.0
442862	0.0	0.0
126119	1583.0	1210.0
442863	0.0	0.0
442864	0.0	0.0
442865	0.0	0.0
442866	0.0	0.0
442867	0.0	0.0
442868	0.0	0.0
128770	0.0	0.0
128774	0.0	0.0
442893	1.0	0.0
442894	0.0	0.0
442895	1.0	1.0
114131	0.0	0.0
442896	1.0	1.0
114132	17.0	8.0
442897	0.0	0.0
442898	0.0	3.0
114134	395.0	1165.0
442899	0.0	0.0
100128790	0.0	0.0
128760	5.0	7.0
100128788	85.0	50.0
100128787	0.0	0.0
440225	0.0	0.0
440224	1.0	0.0
442890	0.0	0.0
442891	4.0	6.0
442892	2.0	4.0
128756	0.0	0.0
100128782	538.0	316.0
100128781	4.0	3.0
403230	0.0	0.0
403231	0.0	0.0
403232	0.0	0.0
645560	4.0	1.0
403234	0.0	0.0
403235	4.0	1.0
403236	0.0	0.0
63982	330.0	149.0
102466616	0.0	0.0
126052	0.0	0.0
151009	145.0	62.0
403227	0.0	0.0
403228	0.0	0.0
138046	6.0	0.0
645558	0.0	0.0
403229	0.0	0.0
645573	0.0	0.0
645572	0.0	0.0
645571	6.0	2.0
403223	1.0	0.0
403224	0.0	0.0
403226	0.0	0.0
200634	648.0	827.0
107131122	0.0	1.0
138050	7532.0	11125.0
403219	0.0	0.0
151011	5324.0	4421.0
645587	7.0	1.0
165679	44.0	2.0
126037	21.0	15.0
114049	4230.0	5460.0
106481479	0.0	0.0
100033818	0.0	0.0
100033819	0.0	0.0
85319	0.0	0.0
106481484	0.0	0.0
106481485	0.0	2.0
106481482	0.0	0.0
106481483	0.0	0.0
85315	866.0	275.0
100033821	0.0	1.0
106481488	0.0	0.0
100033822	0.0	0.0
106481489	0.0	0.0
85313	3351.0	2944.0
106481486	1.0	0.0
106481487	0.0	0.0
645579	442.0	276.0
100033820	0.0	0.0
106481480	0.0	0.0
106481481	0.0	0.0
138065	12.0	375.0
645598	0.0	0.0
163007	3.0	34.0
114038	0.0	3.0
645591	1.0	0.0
106481495	4.0	0.0
114041	29.0	0.0
106481496	0.0	0.0
114042	6.0	5.0
106481493	0.0	0.0
114043	117.0	26.0
106481494	0.0	0.0
106481499	0.0	0.0
114044	228.0	226.0
126017	852.0	457.0
106481497	3.0	6.0
106481498	0.0	0.0
85303	0.0	0.0
85300	7.0	2.0
85301	983.0	263.0
106481491	0.0	0.0
106481492	0.0	0.0
106481490	0.0	0.0
403274	0.0	0.0
102466657	2.0	2.0
403275	0.0	0.0
102466656	0.0	0.0
403276	0.0	0.0
403277	0.0	0.0
403278	0.0	0.0
26996	556.0	298.0
106481459	0.0	0.0
26994	11776.0	12783.0
106481457	5.0	4.0
26995	2591.0	2278.0
106481458	0.0	0.0
403271	0.0	0.0
26998	0.0	0.0
403272	0.0	0.0
102466659	0.0	0.0
26999	3900.0	5039.0
403273	0.0	0.0
102466658	0.0	0.0
106481462	0.0	0.0
106481463	0.0	0.0
104310353	0.0	0.0
106481460	1.0	5.0
106481461	0.0	0.0
104310350	0.0	0.0
106481466	0.0	0.0
26993	3816.0	2895.0
106481467	0.0	0.0
106481464	1.0	0.0
106481465	0.0	0.0
104310351	1.0	0.0
403263	0.0	0.0
403264	0.0	0.0
403265	0.0	1.0
403266	0.0	0.0
138009	0.0	0.0
106481468	0.0	0.0
106481469	0.0	0.0
403260	0.0	0.0
106481473	0.0	0.0
106481474	0.0	0.0
106481471	0.0	0.0
85329	8.0	21.0
106481472	0.0	0.0
106481477	0.0	1.0
106481478	0.0	0.0
106481475	0.0	0.0
106481476	0.0	0.0
85320	18.0	107.0
106481470	0.0	0.0
403252	0.0	0.0
403253	0.0	0.0
403254	0.0	0.0
126070	599.0	563.0
403255	0.0	0.0
403256	0.0	0.0
403257	0.0	0.0
344471	3.0	4.0
106481437	0.0	0.0
26974	742.0	393.0
153657	81.0	63.0
106481438	0.0	0.0
106481435	0.0	0.0
26973	2035.0	1516.0
165631	32.0	195.0
106481436	2.0	0.0
26978	6.0	5.0
126075	1113.0	1659.0
106481439	0.0	0.0
403250	0.0	0.0
126074	307.0	262.0
403251	0.0	0.0
106481440	0.0	0.0
106481441	0.0	0.0
85359	2326.0	3150.0
106481444	25.0	24.0
106481445	0.0	0.0
106481442	0.0	0.0
106481443	0.0	0.0
85358	3057.0	2566.0
85354	0.0	0.0
85352	17.0	62.0
403241	15.0	3.0
344462	1.0	3.0
403244	0.0	0.0
403245	0.0	0.0
153642	1451.0	526.0
153643	194.0	58.0
403247	0.0	0.0
403248	0.0	0.0
26985	3914.0	3407.0
106481448	0.0	0.0
26986	54040.0	58447.0
126069	133.0	76.0
106481449	0.0	0.0
126068	1373.0	1475.0
106481446	0.0	0.0
26983	0.0	0.0
26984	1251.0	1086.0
106481447	0.0	0.0
106481451	2.0	1.0
106481452	0.0	0.0
106481450	0.0	0.0
114088	61.0	25.0
106481455	1.0	0.0
85349	401.0	66.0
106481456	0.0	0.0
26982	0.0	0.0
106481453	0.0	0.0
85347	0.0	0.0
26980	0.0	0.0
106481454	0.0	0.0
403238	0.0	0.0
85344	34.0	2.0
403239	0.0	0.0
85345	0.0	0.0
85343	0.0	0.0
344454	0.0	0.0
85340	0.0	0.0
100873394	1.0	0.0
100873393	0.0	3.0
100873392	1.0	1.0
100873391	0.0	0.0
100873398	0.0	0.0
100873397	0.0	0.0
100873396	0.0	0.0
100873395	0.0	0.0
100128811	0.0	0.0
106481415	1.0	0.0
106481416	2.0	0.0
106481413	0.0	0.0
106481414	0.0	1.0
63901	4508.0	6777.0
100873390	0.0	0.0
728556	55.0	50.0
106481419	0.0	0.0
100128817	0.0	0.0
728558	240.0	165.0
106481417	0.0	0.0
106481418	0.0	0.0
106481422	0.0	0.0
163081	639.0	663.0
106481423	0.0	0.0
106481420	0.0	0.0
106481421	0.0	1.0
100873399	1.0	2.0
100873383	0.0	0.0
100873382	0.0	0.0
100873381	1.0	1.0
100873380	0.0	0.0
100128804	0.0	0.0
100873387	0.0	0.0
100873386	0.0	0.0
100873385	0.0	0.0
100128801	0.0	0.0
285600	388.0	264.0
100873384	0.0	0.0
285601	4.0	22.0
106481426	0.0	0.0
106481427	1.0	0.0
222005	0.0	0.0
63910	64.0	310.0
106481424	0.0	0.0
106481425	0.0	0.0
285605	1150.0	610.0
222008	10.0	0.0
106481428	0.0	1.0
106481429	0.0	1.0
63905	4305.0	3942.0
63904	0.0	1.0
106481430	0.0	1.0
163071	451.0	1180.0
63906	1223.0	1169.0
106481433	0.0	0.0
63908	1574.0	966.0
106481434	0.0	0.0
106481431	0.0	0.0
106481432	0.0	0.0
100873389	0.0	0.0
100873388	20.0	26.0
285613	91.0	87.0
63920	1093.0	967.0
63923	191.0	22.0
63922	271.0	576.0
728577	139.0	46.0
63925	1917.0	1625.0
63924	56.0	2.0
63916	3139.0	4758.0
63917	5367.0	5948.0
106481400	0.0	0.0
106481401	0.0	0.0
728562	2.0	1.0
728564	1.0	5.0
285622	0.0	1.0
106481404	0.0	0.0
106481405	0.0	0.0
63932	2090.0	2116.0
106481402	0.0	0.0
63931	2495.0	1477.0
106481403	0.0	1.0
63934	1551.0	1519.0
728567	0.0	2.0
106481408	0.0	0.0
163088	4.0	10.0
63933	4368.0	4353.0
106481409	0.0	0.0
106481406	0.0	0.0
63935	6494.0	5601.0
163087	1505.0	962.0
728568	841.0	540.0
106481407	13.0	12.0
3704	3016.0	2995.0
3705	4416.0	6112.0
63926	1437.0	982.0
3706	9.0	19.0
63929	1534.0	1131.0
3707	3936.0	4010.0
63928	1.0	2.0
3708	17046.0	1535.0
106481411	0.0	0.0
3709	4012.0	4440.0
106481412	0.0	0.0
106481410	0.0	3.0
3700	18.0	9.0
3702	129.0	182.0
3703	12841.0	9285.0
645506	0.0	0.0
151050	3247.0	2379.0
645520	0.0	0.0
63941	2182.0	1624.0
63940	340.0	571.0
63943	881.0	776.0
728517	0.0	0.0
163033	968.0	1380.0
258010	3575.0	5552.0
63947	0.0	0.0
63946	0.0	1.0
728513	10.0	0.0
100033803	0.0	0.0
3716	14660.0	16564.0
100033804	0.0	0.0
3717	1138.0	763.0
100033805	0.0	0.0
3718	262.0	1525.0
63939	1488.0	1541.0
100033806	0.0	0.0
100190799	4.0	1.0
100033800	0.0	0.0
100033801	0.0	0.0
100033802	0.0	0.0
344405	162.0	188.0
3710	14463.0	30140.0
3712	23744.0	11725.0
3713	0.0	187.0
3714	618.0	1330.0
63950	1.0	1.0
728505	1.0	1.0
63951	770.0	696.0
100033807	0.0	0.0
728501	25.0	20.0
100033808	0.0	0.0
100033809	0.0	0.0
3726	41483.0	20810.0
100033814	0.0	0.0
3727	23011.0	13525.0
63948	22.0	0.0
100033815	0.0	0.0
222052	0.0	0.0
3728	27282.0	25628.0
100033816	0.0	0.0
100033817	0.0	1.0
100033810	0.0	0.0
100033811	0.0	0.0
100033812	0.0	0.0
100033813	0.0	0.0
3720	1827.0	1094.0
151056	504.0	131.0
3725	169630.0	19478.0
645528	1.0	1.0
728532	34.0	26.0
163059	548.0	570.0
728538	0.0	1.0
728537	388.0	327.0
63967	14.0	70.0
3737	493.0	1.0
3738	21.0	29.0
3739	12.0	1.0
645538	0.0	0.0
3730	4432.0	4806.0
3732	2265.0	4079.0
3734	1.0	0.0
3735	7485.0	7510.0
3736	1076.0	0.0
63970	5.0	0.0
3750	142.0	185.0
63971	9832.0	7173.0
63974	0.0	0.0
163049	5487.0	3182.0
63973	1.0	0.0
63976	5790.0	1640.0
222068	16900.0	17028.0
63978	0.0	0.0
63977	596.0	571.0
63979	767.0	1094.0
728524	0.0	0.0
3748	2267.0	2767.0
163051	77.0	70.0
3749	627.0	599.0
163050	92.0	51.0
3741	223.0	26.0
645548	4.0	11.0
3743	1.0	1.0
3744	0.0	0.0
3745	89.0	9.0
3746	13.0	3.0
3747	0.0	0.0
285671	3740.0	1390.0
285672	2655.0	2036.0
100873431	0.0	0.0
100873430	0.0	1.0
3760	0.0	1.0
285676	180.0	225.0
3761	2.0	1.0
100128657	0.0	0.0
285679	7.0	0.0
100861449	1.0	0.0
100861443	0.0	0.0
100861445	0.0	0.0
3759	157.0	5700.0
283008	0.0	0.0
3751	99.0	31.0
100873435	0.0	0.0
3752	415.0	37.0
100873434	0.0	0.0
3753	19.0	6.0
100873433	0.0	0.0
3754	1.0	16.0
100873432	0.0	0.0
3755	3.0	5.0
100873439	0.0	0.0
3756	32.0	9.0
100873438	0.0	0.0
3757	25.0	5.0
100873437	0.0	0.0
3758	10.0	53.0
100873436	0.0	0.0
100873420	0.0	0.0
3770	162.0	94.0
3772	11866.0	14802.0
100861458	0.0	0.0
100861453	54.0	23.0
100861455	0.0	0.0
1107	14974.0	8800.0
1106	14475.0	9309.0
1105	2916.0	3768.0
1104	1358.0	1547.0
100873429	0.0	0.0
1103	0.0	0.0
1102	4237.0	2098.0
1101	328.0	117.0
3762	457.0	899.0
100873424	0.0	0.0
3763	2.0	8.0
100128640	452.0	270.0
100873423	0.0	0.0
3764	857.0	538.0
100873422	0.0	0.0
3765	8.0	0.0
100873421	4.0	1.0
3766	17.0	28.0
100873428	0.0	0.0
3767	981.0	1080.0
100873427	0.0	0.0
3768	630.0	378.0
1109	1.0	1.0
100873426	0.0	0.0
1108	16712.0	34582.0
3769	425.0	7.0
100873425	1.0	0.0
100128637	0.0	1.0
100128639	0.0	0.0
3780	7.0	12.0
100873453	0.0	0.0
3781	20.0	37.0
100873452	0.0	0.0
3782	717.0	950.0
100873451	0.0	0.0
3783	9.0	4631.0
100873450	0.0	0.0
1121	2899.0	2188.0
100861468	0.0	0.0
1120	242.0	324.0
100861469	0.0	1.0
1118	46.0	2167.0
1117	475.0	1238.0
1116	170.0	101906.0
1114	598.0	536.0
1113	295.0	1.0
1112	5447.0	2717.0
1111	268.0	686.0
3773	41049.0	23192.0
100873457	0.0	3.0
100873456	0.0	0.0
3775	1128.0	2252.0
100873455	0.0	0.0
3776	2778.0	41.0
100873454	0.0	0.0
3777	733.0	380.0
3778	297.0	237.0
3779	123.0	90.0
100873459	0.0	0.0
1119	4912.0	2062.0
100128627	0.0	0.0
100128626	0.0	0.0
3790	209.0	699.0
100128628	12.0	5.0
3791	8855.0	5022.0
100873442	1.0	0.0
3792	51.0	12.0
100873441	0.0	1.0
100873440	0.0	0.0
100128625	0.0	0.0
1132	4.0	5.0
1131	193.0	327.0
1130	2872.0	7487.0
100861476	1.0	0.0
1129	0.0	0.0
1128	7.0	1.0
1124	2011.0	960.0
1123	758.0	1129.0
1122	1784.0	1405.0
100861470	0.0	0.0
3784	15787.0	6884.0
100873446	0.0	0.0
3785	6.0	0.0
100873445	0.0	0.0
3786	285.0	3829.0
100873444	0.0	0.0
3787	5.0	0.0
100873443	0.0	0.0
3788	12.0	10.0
100873449	18.0	19.0
100873448	0.0	0.0
100873447	0.0	0.0
100873471	0.0	0.0
100873470	0.0	0.0
283050	548.0	159.0
100128618	0.0	1.0
728597	6.0	0.0
100128617	4.0	3.0
100873475	0.0	0.0
100873474	0.0	0.0
728591	57.0	77.0
100873473	0.0	0.0
100873472	0.0	0.0
1143	18.0	9.0
285634	5.0	4.0
1142	0.0	0.0
1141	9.0	6.0
285636	4674.0	3062.0
1140	1339.0	1803.0
728599	1.0	2.0
1139	131.0	17.0
1138	14.0	11.0
1137	190.0	0.0
100861485	0.0	0.0
1136	12.0	3.0
1135	10.0	4.0
1134	2.0	5.0
1133	18.0	7.0
3795	267.0	89.0
100873479	9.0	15.0
3796	1632.0	1316.0
100873478	0.0	0.0
3797	1311.0	463.0
100873477	5.0	1.0
3798	789.0	30.0
100873476	0.0	0.0
3799	11008.0	13706.0
100873460	0.0	0.0
728586	21.0	13.0
285641	1.0	3.0
100873464	6.0	6.0
100873463	0.0	0.0
100873462	0.0	3.0
285643	1.0	3.0
100128603	0.0	0.0
100873461	0.0	0.0
1154	3967.0	4627.0
1153	42524.0	34266.0
1152	9274.0	5529.0
285647	100.0	19.0
728589	10.0	30.0
728588	0.0	0.0
1149	24.0	2.0
1147	1652.0	1172.0
1146	1.0	1.0
1145	18.0	36.0
1144	1.0	2.0
100873468	0.0	0.0
100873467	0.0	0.0
100873466	0.0	0.0
100873465	0.0	0.0
283033	0.0	0.0
100873469	0.0	0.0
100873493	0.0	0.0
100873492	0.0	0.0
100873491	0.0	0.0
100873490	0.0	0.0
100873497	0.0	0.0
100873496	0.0	0.0
100873495	0.0	2.0
100873494	0.0	0.0
1164	240.0	1044.0
1163	615.0	814.0
285659	0.0	0.0
1161	549.0	348.0
1160	464.0	535.0
1159	74.0	85.0
1158	2.0	7.0
1157	0.0	0.0
1155	2077.0	3711.0
550643	2181.0	2468.0
283025	0.0	0.0
100873499	0.0	0.0
100873498	0.0	0.0
100873482	0.0	0.0
100873481	0.0	0.0
100873480	0.0	0.0
100873486	0.0	0.0
100873485	0.0	0.0
100873484	0.0	0.0
100873483	0.0	0.0
1176	4124.0	4788.0
1175	2035.0	2636.0
285668	18.0	1.0
1174	1603.0	3412.0
1173	16458.0	23781.0
550631	293.0	217.0
100873489	0.0	0.0
283014	27.0	21.0
100873488	0.0	0.0
100873487	0.0	0.0
283093	0.0	0.0
283092	0.0	0.0
1187	784.0	18.0
1186	4632.0	7693.0
1185	3293.0	1813.0
1184	1224.0	576.0
1183	3633.0	1465.0
1182	8682.0	6598.0
1181	391.0	368.0
440375	87.0	63.0
1180	3.0	3.0
1179	0.0	1.0
1178	3.0	0.0
283089	37.0	12.0
85495	0.0	0.0
85480	244.0	111.0
283080	0.0	0.0
1198	4862.0	3974.0
1197	5.0	2.0
1196	2844.0	3149.0
1195	10303.0	10790.0
440366	3.0	1.0
1193	6040.0	3907.0
1192	10726.0	22727.0
1191	154724.0	220420.0
1188	2045.0	161.0
283078	47.0	341.0
85486	1.0	6.0
128615	0.0	0.0
85481	0.0	0.0
128611	97.0	46.0
440396	67.0	70.0
128609	0.0	0.0
128602	0.0	0.0
440387	7.0	1.0
128674	0.0	0.0
128676	1.0	1.0
114026	0.0	0.0
100861402	2.0	2.0
126014	62.0	372.0
440335	7.0	0.0
100128690	0.0	0.0
114034	959.0	1039.0
126006	52.0	38.0
114036	417.0	97.0
100128696	0.0	0.0
100128688	0.0	0.0
126003	52.0	50.0
100861412	0.0	0.0
105180390	5.0	2.0
100128685	0.0	0.0
100128681	1.0	0.0
105180391	0.0	0.0
100128682	7.0	3.0
100128678	1.0	0.0
100861429	0.0	0.0
128653	0.0	0.0
200728	331.0	551.0
440356	6.0	7.0
440354	73.0	65.0
440352	0.0	0.0
100873419	2.0	0.0
100873418	0.0	0.0
100873413	2.0	0.0
128646	0.0	5.0
100873412	0.0	2.0
100873411	0.0	0.0
100128675	2.0	19.0
100873410	0.0	0.0
100873417	2.0	0.0
100873416	0.0	0.0
100873415	0.0	0.0
100873414	0.0	0.0
440348	119.0	121.0
100861435	1.0	0.0
100861436	0.0	0.0
440345	142.0	116.0
200734	5541.0	5278.0
100861431	0.0	0.0
100861434	0.0	0.0
100873409	0.0	0.0
440350	6.0	1.0
100873408	0.0	0.0
100873407	0.0	0.0
100861430	2.0	0.0
100873402	0.0	0.0
100873401	0.0	0.0
100873400	0.0	0.0
100128665	0.0	0.0
128637	4853.0	3877.0
100873406	0.0	0.0
100873405	0.0	0.0
100873404	0.0	0.0
100873403	0.0	0.0
645440	1.0	0.0
645443	8.0	4.0
165530	17.0	36.0
85409	13.0	80.0
106481385	0.0	0.0
106481386	0.0	1.0
85416	0.0	0.0
106481383	4.0	1.0
85417	75.0	30.0
106481384	0.0	0.0
103106903	3.0	0.0
85414	261.0	86.0
106481389	0.0	0.0
85415	1087.0	593.0
106481387	0.0	0.0
85413	1.0	1.0
106481388	12.0	5.0
645436	1.0	4.0
106481381	0.0	0.0
106481382	0.0	0.0
10	2.0	1.0
106481380	0.0	0.0
11	0.0	0.0
403341	1867.0	1466.0
12	7.0	0.0
13	6.0	2.0
14	8787.0	8259.0
15	13.0	1.0
16	16355.0	9870.0
645455	33.0	18.0
18	15214.0	10543.0
19	2463.0	2756.0
128580	3.0	10.0
85407	83.0	23.0
106481396	0.0	0.0
106481397	0.0	0.0
106481394	0.0	0.0
85406	2169.0	1639.0
106481395	0.0	0.0
85403	2173.0	2091.0
106481398	0.0	0.0
106481399	0.0	0.0
403339	0.0	0.0
106481392	0.0	0.0
106481393	0.0	0.0
20	11906.0	10965.0
106481390	0.0	0.0
21	9090.0	7821.0
106481391	0.0	0.0
22	2045.0	1896.0
153571	247.0	1138.0
153572	140.0	1336.0
23	5140.0	4302.0
24	163.0	224.0
25	13573.0	10869.0
26	35.0	186.0
27	2173.0	2479.0
28	4018.0	4515.0
29	1999.0	11471.0
153579	1176.0	313.0
728615	0.0	0.0
728614	0.0	1.0
200765	528.0	356.0
106481358	0.0	0.0
106481359	0.0	0.0
728611	72.0	40.0
102466518	2.0	0.0
102466516	28.0	6.0
102466515	0.0	0.0
106481363	0.0	0.0
106481364	0.0	0.0
85438	0.0	0.0
106481361	0.0	0.0
85439	2239.0	804.0
106481362	0.0	0.0
106481367	0.0	0.0
85437	3187.0	3119.0
106481368	0.0	0.0
106481365	0.0	0.0
728609	343.0	326.0
106481366	0.0	0.0
30	2952.0	4504.0
106481360	0.0	0.0
31	3177.0	2606.0
32	7040.0	1095.0
33	2437.0	1126.0
34	4349.0	2607.0
35	2784.0	1693.0
153562	5418.0	3952.0
36	3114.0	1698.0
37	18176.0	24458.0
38	8015.0	5115.0
440307	7.0	6.0
39	762.0	679.0
165545	1.0	1.0
106481369	0.0	0.0
728606	17.0	0.0
106481374	0.0	0.0
106481375	0.0	0.0
106481372	0.0	0.0
106481373	0.0	0.0
106481378	1.0	1.0
106481379	0.0	0.0
106481376	0.0	0.0
106481377	0.0	0.0
403315	1.0	0.0
40	2.0	10.0
106481370	0.0	0.0
41	54.0	59.0
106481371	0.0	0.0
43	203.0	42.0
645486	0.0	1.0
47	6160.0	7167.0
48	8848.0	14675.0
49	19.0	28.0
106481338	0.0	0.0
106481339	0.0	0.0
106481336	0.0	1.0
106481337	0.0	1.0
106481341	0.0	0.0
106481342	2.0	8.0
