id	96f709bd-23b2-46cd-b0a0-cc2ab74ff73e	09b3ad4d-5d6f-462e-b313-964b5fb76a04
403297	0.0	0.0
85390	0.0	0.0
403299	0.0	0.0
1088	0.0	69.0
153733	309.0	428.0
1087	0.0	0.0
1086	0.0	0.0
440279	379.0	90.0
1085	1.0	4.0
1084	8.0	5.0
440278	172.0	122.0
1082	0.0	1.0
403294	0.0	0.0
440275	3958.0	3877.0
1081	0.0	28.0
85397	161.0	8.0
85395	338.0	570.0
403285	0.0	0.0
1091	0.0	0.0
1090	0.0	0.0
403288	0.0	0.0
403289	0.0	0.0
1098	0.0	0.0
1097	0.0	0.0
1096	0.0	1.0
1095	0.0	0.0
403281	0.0	0.0
403282	0.0	0.0
1094	0.0	0.0
1093	0.0	0.0
403283	0.0	0.0
403284	0.0	0.0
1092	2.0	1.0
440270	1530.0	2341.0
1089	6.0	7.0
85388	0.0	0.0
85389	0.0	0.0
128718	0.0	0.0
285596	42.0	2.0
285598	433.0	755.0
126133	1167.0	1614.0
128790	2.0	1.0
126129	38.0	95.0
126123	14.0	2.0
442862	0.0	0.0
126119	946.0	909.0
442863	0.0	0.0
442864	0.0	0.0
442865	0.0	0.0
442866	0.0	0.0
442867	0.0	0.0
442868	0.0	0.0
128770	0.0	0.0
128774	0.0	0.0
442893	0.0	0.0
442894	1.0	0.0
442895	0.0	0.0
114131	1.0	0.0
442896	3.0	0.0
114132	58.0	60.0
442897	0.0	0.0
442898	0.0	1.0
114134	352.0	625.0
442899	0.0	0.0
100128790	0.0	0.0
128760	5.0	9.0
100128788	80.0	54.0
100128787	0.0	0.0
440225	1.0	0.0
440224	0.0	0.0
442890	0.0	0.0
442891	1.0	4.0
442892	3.0	0.0
128756	2.0	0.0
100128782	477.0	288.0
100128781	5.0	2.0
403230	0.0	0.0
403231	0.0	0.0
403232	0.0	0.0
645560	2.0	2.0
403234	1.0	0.0
403235	1.0	0.0
403236	0.0	0.0
63982	311.0	22.0
102466616	0.0	0.0
126052	0.0	0.0
151009	166.0	219.0
403227	0.0	0.0
403228	0.0	0.0
138046	1.0	0.0
645558	0.0	0.0
403229	0.0	0.0
645573	0.0	1.0
645572	0.0	0.0
645571	4.0	3.0
403223	0.0	1.0
403224	0.0	0.0
403226	0.0	0.0
200634	687.0	1203.0
107131122	1.0	1.0
138050	6580.0	11009.0
403219	0.0	0.0
151011	3477.0	4491.0
645587	0.0	1.0
165679	5.0	3.0
126037	49.0	28.0
114049	3813.0	4509.0
106481479	0.0	0.0
100033818	0.0	0.0
100033819	0.0	0.0
85319	0.0	0.0
106481484	0.0	0.0
106481485	0.0	0.0
106481482	0.0	0.0
106481483	0.0	0.0
85315	1006.0	619.0
100033821	1.0	1.0
106481488	0.0	0.0
100033822	0.0	0.0
106481489	0.0	0.0
85313	3021.0	2800.0
106481486	0.0	0.0
106481487	0.0	0.0
645579	308.0	170.0
100033820	0.0	0.0
106481480	0.0	0.0
106481481	0.0	0.0
138065	14.0	296.0
645598	1.0	0.0
163007	5.0	12.0
114038	0.0	2.0
645591	0.0	1.0
106481495	0.0	0.0
114041	189.0	62.0
106481496	0.0	0.0
114042	10.0	4.0
106481493	0.0	0.0
114043	41.0	22.0
106481494	0.0	0.0
106481499	0.0	0.0
114044	201.0	148.0
126017	738.0	456.0
106481497	0.0	3.0
106481498	0.0	0.0
85303	0.0	0.0
85300	0.0	1.0
85301	1151.0	1299.0
106481491	0.0	0.0
106481492	0.0	0.0
106481490	0.0	0.0
403274	0.0	0.0
102466657	0.0	0.0
403275	0.0	0.0
102466656	0.0	0.0
403276	0.0	0.0
403277	0.0	0.0
403278	0.0	0.0
26996	417.0	282.0
106481459	0.0	0.0
26994	10247.0	9204.0
106481457	2.0	5.0
26995	1803.0	2010.0
106481458	0.0	0.0
403271	1.0	0.0
26998	0.0	2.0
403272	0.0	0.0
102466659	0.0	0.0
26999	2997.0	4597.0
403273	0.0	0.0
102466658	0.0	0.0
106481462	0.0	0.0
106481463	0.0	0.0
104310353	6.0	0.0
106481460	1.0	3.0
106481461	0.0	0.0
104310350	0.0	0.0
106481466	0.0	0.0
26993	1848.0	2923.0
106481467	0.0	0.0
106481464	0.0	0.0
106481465	1.0	0.0
104310351	0.0	0.0
403263	0.0	0.0
403264	0.0	0.0
403265	0.0	0.0
403266	0.0	0.0
138009	1.0	0.0
106481468	0.0	0.0
106481469	0.0	0.0
403260	0.0	0.0
106481473	0.0	0.0
106481474	0.0	1.0
106481471	0.0	0.0
85329	4.0	5.0
106481472	0.0	0.0
106481477	1.0	3.0
106481478	0.0	0.0
106481475	0.0	0.0
106481476	0.0	0.0
85320	9.0	6.0
106481470	1.0	0.0
403252	2.0	0.0
403253	0.0	0.0
403254	0.0	0.0
126070	571.0	406.0
403255	0.0	0.0
403256	0.0	0.0
403257	0.0	0.0
344471	4.0	12.0
106481437	0.0	0.0
26974	584.0	290.0
153657	105.0	22.0
106481438	0.0	2.0
106481435	0.0	0.0
26973	1344.0	1161.0
165631	200.0	146.0
106481436	2.0	0.0
26978	5.0	12.0
126075	773.0	833.0
106481439	0.0	0.0
403250	0.0	0.0
126074	252.0	165.0
403251	0.0	0.0
106481440	0.0	1.0
106481441	0.0	0.0
85359	2349.0	3202.0
106481444	15.0	12.0
106481445	0.0	0.0
106481442	0.0	0.0
106481443	0.0	1.0
85358	793.0	2143.0
85354	0.0	0.0
85352	16.0	14.0
403241	14.0	3.0
344462	2.0	0.0
403244	0.0	0.0
403245	0.0	0.0
153642	936.0	478.0
153643	266.0	46.0
403247	0.0	0.0
403248	0.0	0.0
26985	3032.0	2924.0
106481448	0.0	0.0
26986	39622.0	57906.0
126069	100.0	91.0
106481449	0.0	0.0
126068	1423.0	954.0
106481446	0.0	0.0
26983	0.0	0.0
26984	1086.0	873.0
106481447	0.0	0.0
106481451	3.0	7.0
106481452	3.0	0.0
106481450	1.0	0.0
114088	67.0	20.0
106481455	0.0	0.0
85349	100.0	63.0
106481456	0.0	0.0
26982	0.0	0.0
106481453	0.0	1.0
85347	0.0	0.0
26980	1.0	2.0
106481454	4.0	1.0
403238	0.0	0.0
85344	34.0	6.0
403239	0.0	0.0
85345	0.0	0.0
85343	0.0	0.0
344454	1.0	0.0
85340	0.0	0.0
100873394	0.0	0.0
100873393	1.0	2.0
100873392	3.0	1.0
100873391	0.0	0.0
100873398	0.0	0.0
100873397	0.0	0.0
100873396	0.0	0.0
100873395	0.0	0.0
100128811	0.0	0.0
106481415	1.0	0.0
106481416	3.0	0.0
106481413	0.0	0.0
106481414	0.0	0.0
63901	2636.0	5711.0
100873390	0.0	0.0
728556	41.0	38.0
106481419	0.0	0.0
100128817	0.0	0.0
728558	145.0	117.0
106481417	0.0	0.0
106481418	0.0	0.0
106481422	0.0	0.0
163081	511.0	346.0
106481423	0.0	0.0
106481420	0.0	0.0
106481421	0.0	0.0
100873399	0.0	4.0
100873383	0.0	0.0
100873382	0.0	0.0
100873381	3.0	0.0
100873380	0.0	0.0
100128804	0.0	0.0
100873387	0.0	0.0
100873386	0.0	0.0
100873385	0.0	0.0
100128801	0.0	0.0
285600	372.0	242.0
100873384	0.0	0.0
285601	3.0	6.0
106481426	0.0	0.0
106481427	0.0	0.0
222005	2.0	2.0
63910	120.0	839.0
106481424	0.0	0.0
106481425	0.0	0.0
285605	1132.0	459.0
222008	7.0	1.0
106481428	1.0	0.0
106481429	0.0	1.0
63905	3582.0	3714.0
63904	0.0	0.0
106481430	1.0	2.0
163071	536.0	693.0
63906	821.0	992.0
106481433	0.0	0.0
63908	1326.0	749.0
106481434	0.0	0.0
106481431	0.0	0.0
106481432	0.0	0.0
100873389	0.0	0.0
100873388	7.0	8.0
285613	70.0	57.0
63920	674.0	524.0
63923	73.0	7.0
63922	366.0	726.0
728577	7.0	8.0
63925	1470.0	1782.0
63924	4.0	2.0
63916	1959.0	3558.0
63917	5166.0	3670.0
106481400	0.0	0.0
106481401	0.0	0.0
728562	8.0	3.0
728564	6.0	7.0
285622	1.0	0.0
106481404	0.0	0.0
106481405	0.0	0.0
63932	1653.0	1658.0
106481402	0.0	0.0
63931	2331.0	1476.0
106481403	0.0	0.0
63934	879.0	1186.0
728567	4.0	2.0
106481408	0.0	0.0
163088	8.0	17.0
63933	2819.0	2092.0
106481409	0.0	0.0
106481406	0.0	0.0
63935	4663.0	4311.0
163087	1324.0	830.0
728568	474.0	383.0
106481407	6.0	10.0
3704	1990.0	3469.0
3705	4116.0	5294.0
63926	1328.0	579.0
3706	9.0	39.0
63929	1249.0	995.0
3707	1621.0	3202.0
63928	1.0	0.0
3708	14514.0	1591.0
106481411	0.0	0.0
3709	2673.0	2913.0
106481412	0.0	0.0
106481410	0.0	1.0
3700	6.0	7.0
3702	444.0	66.0
3703	11324.0	9370.0
645506	1.0	0.0
151050	2526.0	2054.0
645520	0.0	0.0
63941	1237.0	935.0
63940	587.0	661.0
63943	729.0	546.0
728517	0.0	0.0
163033	571.0	1089.0
258010	4740.0	3268.0
63947	0.0	0.0
63946	0.0	0.0
728513	0.0	0.0
100033803	0.0	0.0
3716	9981.0	12108.0
100033804	0.0	0.0
3717	1038.0	548.0
100033805	0.0	0.0
3718	463.0	2596.0
63939	1092.0	1022.0
100033806	0.0	0.0
100190799	4.0	8.0
100033800	0.0	0.0
100033801	0.0	0.0
100033802	0.0	0.0
344405	163.0	152.0
3710	9211.0	16028.0
3712	24696.0	8517.0
3713	3.0	97.0
3714	324.0	1812.0
63950	4.0	1.0
728505	0.0	0.0
63951	710.0	286.0
100033807	0.0	0.0
728501	20.0	27.0
100033808	0.0	0.0
100033809	0.0	0.0
3726	17769.0	17111.0
100033814	0.0	0.0
3727	13737.0	11404.0
63948	74.0	2.0
100033815	0.0	0.0
222052	7.0	0.0
3728	18771.0	32816.0
100033816	0.0	0.0
100033817	0.0	0.0
100033810	0.0	0.0
100033811	0.0	0.0
100033812	0.0	0.0
100033813	0.0	0.0
3720	855.0	1041.0
151056	542.0	155.0
3725	65347.0	10338.0
645528	1.0	1.0
728532	40.0	35.0
163059	656.0	512.0
728538	1.0	0.0
728537	201.0	212.0
63967	44.0	88.0
3737	33.0	0.0
3738	42.0	6.0
3739	1.0	0.0
645538	0.0	0.0
3730	2707.0	4115.0
3732	1951.0	3030.0
3734	52.0	72.0
3735	6564.0	7009.0
3736	933.0	0.0
63970	3.0	3.0
3750	117.0	444.0
63971	5980.0	6158.0
63974	0.0	0.0
163049	4169.0	2728.0
63973	0.0	4.0
63976	3595.0	1601.0
222068	16142.0	16637.0
63978	0.0	0.0
63977	370.0	607.0
63979	572.0	464.0
728524	0.0	0.0
3748	1969.0	2536.0
163051	75.0	74.0
3749	388.0	569.0
163050	70.0	57.0
3741	77.0	66.0
645548	2.0	2.0
3743	1.0	1.0
3744	0.0	0.0
3745	59.0	22.0
3746	9.0	8.0
3747	0.0	0.0
285671	3399.0	1465.0
285672	2102.0	1375.0
100873431	0.0	0.0
100873430	0.0	0.0
3760	2.0	2.0
285676	96.0	167.0
3761	0.0	3.0
100128657	0.0	0.0
285679	0.0	3.0
100861449	1.0	0.0
100861443	0.0	0.0
100861445	0.0	0.0
3759	120.0	1227.0
283008	24.0	8.0
3751	17.0	4.0
100873435	0.0	0.0
3752	85.0	13.0
100873434	0.0	0.0
3753	5.0	6.0
100873433	0.0	0.0
3754	11.0	13.0
100873432	0.0	0.0
3755	15.0	6.0
100873439	0.0	0.0
3756	9.0	7.0
100873438	0.0	0.0
3757	7.0	3.0
100873437	0.0	0.0
3758	30.0	2.0
100873436	0.0	0.0
100873420	0.0	1.0
3770	84.0	100.0
3772	17310.0	35318.0
100861458	0.0	0.0
100861453	28.0	38.0
100861455	1.0	0.0
1107	12041.0	7630.0
1106	9204.0	11207.0
1105	2704.0	2557.0
1104	815.0	2135.0
100873429	0.0	0.0
1103	0.0	0.0
1102	3682.0	2222.0
1101	73.0	60.0
3762	125.0	458.0
100873424	0.0	0.0
3763	6.0	5.0
100128640	333.0	314.0
100873423	0.0	0.0
3764	329.0	96.0
100873422	0.0	1.0
3765	1.0	1.0
100873421	1.0	0.0
3766	61.0	35.0
100873428	0.0	0.0
3767	238.0	338.0
100873427	0.0	0.0
3768	241.0	534.0
1109	0.0	1.0
100873426	1.0	1.0
1108	15347.0	26908.0
3769	556.0	81.0
100873425	0.0	1.0
100128637	2.0	1.0
100128639	0.0	0.0
3780	2.0	9.0
100873453	0.0	0.0
3781	8.0	41.0
100873452	0.0	0.0
3782	364.0	390.0
100873451	0.0	0.0
3783	82.0	3385.0
100873450	0.0	0.0
1121	2118.0	1403.0
100861468	0.0	0.0
1120	171.0	260.0
100861469	0.0	0.0
1118	147.0	619.0
1117	732.0	1064.0
1116	375.0	7452.0
1114	210.0	138.0
1113	52.0	5.0
1112	2910.0	3496.0
1111	331.0	458.0
3773	40690.0	45947.0
100873457	0.0	2.0
100873456	2.0	0.0
3775	581.0	1251.0
100873455	0.0	0.0
3776	1570.0	445.0
100873454	0.0	0.0
3777	690.0	485.0
3778	183.0	138.0
3779	43.0	131.0
100873459	0.0	0.0
1119	2901.0	2557.0
100128627	1.0	1.0
100128626	0.0	0.0
3790	120.0	971.0
100128628	6.0	8.0
3791	3948.0	4032.0
100873442	0.0	0.0
3792	78.0	9.0
100873441	0.0	0.0
100873440	0.0	0.0
100128625	0.0	0.0
1132	3.0	10.0
1131	98.0	222.0
1130	1796.0	3298.0
100861476	0.0	0.0
1129	0.0	0.0
1128	10.0	0.0
1124	1409.0	2596.0
1123	360.0	395.0
1122	1273.0	1063.0
100861470	1.0	0.0
3784	10090.0	3636.0
100873446	0.0	0.0
3785	0.0	0.0
100873445	0.0	0.0
3786	52.0	7400.0
100873444	0.0	0.0
3787	15.0	20.0
100873443	0.0	0.0
3788	2.0	3.0
100873449	11.0	6.0
100873448	0.0	0.0
100873447	0.0	0.0
100873471	0.0	0.0
100873470	1.0	0.0
283050	256.0	306.0
100128618	0.0	0.0
728597	1.0	0.0
100128617	1.0	2.0
100873475	0.0	0.0
100873474	0.0	0.0
728591	24.0	35.0
100873473	0.0	0.0
100873472	0.0	0.0
1143	18.0	33.0
285634	4.0	4.0
1142	0.0	0.0
1141	8.0	7.0
285636	3829.0	2979.0
1140	1286.0	1663.0
728599	5.0	3.0
1139	80.0	17.0
1138	7.0	13.0
1137	283.0	27.0
100861485	0.0	0.0
1136	24.0	9.0
1135	5.0	0.0
1134	6.0	2.0
1133	8.0	3.0
3795	107.0	92.0
100873479	6.0	20.0
3796	1221.0	995.0
100873478	0.0	0.0
3797	595.0	847.0
100873477	6.0	3.0
3798	506.0	99.0
100873476	0.0	0.0
3799	9550.0	8167.0
100873460	0.0	0.0
728586	9.0	33.0
285641	2.0	0.0
100873464	4.0	2.0
100873463	2.0	1.0
100873462	2.0	1.0
285643	0.0	0.0
100128603	2.0	0.0
100873461	0.0	0.0
1154	3143.0	8741.0
1153	40338.0	27982.0
1152	7545.0	3495.0
285647	62.0	17.0
728589	5.0	11.0
728588	0.0	0.0
1149	1.0	1.0
1147	1458.0	1062.0
1146	2.0	0.0
1145	7.0	105.0
1144	0.0	0.0
100873468	0.0	0.0
100873467	0.0	0.0
100873466	0.0	0.0
100873465	0.0	0.0
283033	0.0	0.0
100873469	0.0	0.0
100873493	0.0	0.0
100873492	0.0	0.0
100873491	0.0	1.0
100873490	0.0	0.0
100873497	0.0	0.0
100873496	0.0	0.0
100873495	0.0	0.0
100873494	0.0	0.0
1164	175.0	777.0
1163	394.0	532.0
285659	0.0	0.0
1161	493.0	367.0
1160	81.0	209.0
1159	59.0	26.0
1158	1.0	4.0
1157	0.0	0.0
1155	1786.0	3063.0
550643	2314.0	2792.0
283025	0.0	0.0
100873499	0.0	0.0
100873498	0.0	0.0
100873482	0.0	0.0
100873481	0.0	0.0
100873480	0.0	0.0
100873486	0.0	0.0
100873485	0.0	0.0
100873484	0.0	0.0
100873483	0.0	0.0
1176	3587.0	3795.0
1175	1579.0	2480.0
285668	1.0	0.0
1174	1357.0	3190.0
1173	13510.0	21935.0
550631	316.0	322.0
100873489	0.0	0.0
283014	28.0	18.0
100873488	0.0	0.0
100873487	0.0	0.0
283093	0.0	0.0
283092	0.0	0.0
1187	250.0	13.0
1186	3170.0	4017.0
1185	1870.0	1340.0
1184	816.0	249.0
1183	2448.0	1164.0
1182	6615.0	4815.0
1181	322.0	337.0
440375	63.0	72.0
1180	4.0	10.0
1179	0.0	2.0
1178	0.0	2.0
283089	42.0	14.0
85495	0.0	0.0
85480	158.0	36.0
283080	0.0	0.0
1198	3497.0	3659.0
1197	3.0	2.0
1196	2053.0	3395.0
1195	7877.0	8140.0
440366	0.0	0.0
1193	3722.0	2369.0
1192	8509.0	19211.0
1191	157445.0	1144661.0
1188	2339.0	148.0
283078	64.0	207.0
85486	3.0	3.0
128615	0.0	0.0
85481	1.0	0.0
128611	238.0	20.0
440396	46.0	62.0
128609	0.0	0.0
128602	0.0	0.0
440387	5.0	5.0
128674	1.0	0.0
128676	0.0	0.0
114026	0.0	0.0
100861402	2.0	5.0
126014	43.0	369.0
440335	2.0	12.0
100128690	0.0	0.0
114034	1047.0	939.0
126006	46.0	55.0
114036	170.0	92.0
100128696	0.0	0.0
100128688	0.0	0.0
126003	48.0	45.0
100861412	0.0	1.0
105180390	0.0	0.0
100128685	0.0	0.0
100128681	0.0	0.0
105180391	0.0	0.0
100128682	2.0	0.0
100128678	1.0	0.0
100861429	0.0	0.0
128653	0.0	0.0
200728	425.0	481.0
440356	4.0	0.0
440354	89.0	65.0
440352	0.0	0.0
100873419	1.0	0.0
100873418	0.0	1.0
100873413	0.0	0.0
128646	1.0	2.0
100873412	0.0	0.0
100873411	0.0	0.0
100128675	6.0	29.0
100873410	0.0	0.0
100873417	1.0	1.0
100873416	0.0	0.0
100873415	0.0	0.0
100873414	0.0	0.0
440348	12.0	16.0
100861435	0.0	0.0
100861436	1.0	0.0
440345	71.0	96.0
200734	3634.0	4947.0
100861431	0.0	0.0
100861434	0.0	0.0
100873409	0.0	0.0
440350	1.0	1.0
100873408	0.0	0.0
100873407	0.0	0.0
100861430	7.0	5.0
100873402	0.0	0.0
100873401	0.0	0.0
100873400	0.0	0.0
100128665	0.0	0.0
128637	3696.0	3232.0
100873406	0.0	0.0
100873405	0.0	0.0
100873404	0.0	0.0
100873403	0.0	0.0
645440	0.0	0.0
645443	11.0	1.0
165530	6.0	10.0
85409	13.0	4.0
106481385	0.0	1.0
106481386	0.0	1.0
85416	0.0	0.0
106481383	2.0	3.0
85417	62.0	25.0
106481384	0.0	0.0
103106903	3.0	1.0
85414	55.0	104.0
106481389	0.0	0.0
85415	747.0	669.0
106481387	0.0	0.0
85413	2.0	5.0
106481388	9.0	2.0
645436	1.0	1.0
106481381	0.0	0.0
106481382	0.0	0.0
10	3.0	0.0
106481380	0.0	0.0
11	0.0	0.0
403341	1609.0	1469.0
12	2.0	0.0
13	2.0	0.0
14	7724.0	7731.0
15	14.0	7.0
16	9419.0	7201.0
645455	19.0	15.0
18	14392.0	5991.0
19	2285.0	6207.0
128580	11.0	8.0
85407	22.0	16.0
106481396	0.0	0.0
106481397	0.0	0.0
106481394	0.0	0.0
85406	1751.0	1377.0
106481395	0.0	2.0
85403	1913.0	1656.0
106481398	0.0	0.0
106481399	0.0	0.0
403339	0.0	0.0
106481392	1.0	0.0
106481393	0.0	0.0
20	8809.0	7624.0
106481390	0.0	0.0
21	6949.0	6768.0
106481391	0.0	0.0
22	1420.0	1301.0
153571	116.0	881.0
153572	98.0	929.0
23	3467.0	3637.0
24	68.0	175.0
25	11563.0	12565.0
26	30.0	695.0
27	1541.0	1985.0
28	5365.0	4678.0
29	1396.0	7008.0
153579	464.0	394.0
728615	1.0	0.0
728614	0.0	0.0
200765	320.0	324.0
106481358	0.0	0.0
106481359	0.0	0.0
728611	20.0	13.0
102466518	0.0	0.0
102466516	35.0	11.0
102466515	0.0	0.0
106481363	0.0	0.0
106481364	0.0	0.0
85438	0.0	0.0
106481361	1.0	0.0
85439	1510.0	1372.0
106481362	0.0	0.0
106481367	1.0	3.0
85437	2473.0	2196.0
106481368	0.0	0.0
106481365	0.0	0.0
728609	232.0	262.0
106481366	0.0	0.0
30	2877.0	4014.0
106481360	1.0	0.0
31	1961.0	1533.0
32	3978.0	877.0
33	2293.0	1624.0
34	3954.0	1741.0
35	1398.0	1600.0
153562	4468.0	3257.0
36	2985.0	1172.0
37	12219.0	19742.0
38	4780.0	1815.0
440307	9.0	4.0
39	657.0	533.0
165545	8.0	3.0
106481369	0.0	0.0
728606	171.0	181.0
106481374	0.0	0.0
106481375	0.0	0.0
106481372	0.0	0.0
106481373	0.0	2.0
106481378	5.0	0.0
106481379	0.0	0.0
106481376	0.0	0.0
106481377	0.0	0.0
403315	0.0	0.0
40	0.0	0.0
106481370	0.0	0.0
41	17.0	64.0
106481371	0.0	0.0
43	97.0	43.0
645486	0.0	0.0
47	4501.0	6332.0
48	3936.0	3601.0
49	5.0	29.0
106481338	0.0	0.0
106481339	0.0	1.0
106481336	0.0	1.0
106481337	0.0	4.0
106481341	0.0	0.0
106481342	5.0	6.0
106481340	0.0	1.0
85458	3092.0	1291.0
106481345	3.0	0.0
