id	289c081b-c496-44f5-b6b3-f33887932d83	35db9996-d6b9-470f-99be-1dc18bd98673
403236	0.0	0.0
63982	55.0	27.0
102466616	0.0	0.0
126052	0.0	1.0
151009	58.0	41.0
403227	0.0	0.0
403228	0.0	0.0
138046	0.0	0.0
645558	0.0	0.0
403229	0.0	0.0
645573	2.0	0.0
645572	0.0	0.0
645571	7.0	1.0
403223	0.0	0.0
403224	0.0	0.0
403226	0.0	0.0
200634	608.0	952.0
107131122	1.0	0.0
138050	5364.0	4172.0
403219	0.0	0.0
151011	3348.0	738.0
645587	0.0	1.0
165679	35.0	3.0
126037	22.0	10.0
114049	4551.0	3794.0
106481479	1.0	0.0
100033818	0.0	0.0
100033819	0.0	0.0
85319	0.0	0.0
106481484	0.0	0.0
106481485	3.0	2.0
106481482	0.0	0.0
106481483	0.0	0.0
85315	976.0	301.0
100033821	0.0	0.0
106481488	0.0	0.0
100033822	0.0	0.0
106481489	0.0	0.0
85313	2955.0	543.0
106481486	0.0	0.0
106481487	0.0	0.0
645579	88.0	23.0
100033820	0.0	0.0
106481480	0.0	0.0
106481481	0.0	0.0
138065	12.0	39.0
645598	0.0	0.0
163007	0.0	1.0
114038	0.0	2.0
645591	0.0	0.0
106481495	0.0	1.0
114041	86.0	5.0
106481496	0.0	0.0
114042	8.0	2.0
106481493	0.0	0.0
114043	45.0	15.0
106481494	0.0	0.0
106481499	0.0	0.0
114044	196.0	108.0
126017	401.0	113.0
106481497	0.0	0.0
106481498	0.0	0.0
85303	0.0	0.0
85300	1.0	0.0
85301	2362.0	266.0
106481491	0.0	0.0
106481492	0.0	0.0
106481490	0.0	0.0
403274	0.0	0.0
102466657	1.0	0.0
403275	0.0	0.0
102466656	0.0	0.0
403276	0.0	0.0
403277	0.0	0.0
403278	0.0	0.0
26996	686.0	274.0
106481459	0.0	0.0
26994	7650.0	2153.0
106481457	3.0	1.0
26995	1635.0	1375.0
106481458	0.0	0.0
403271	0.0	0.0
26998	0.0	0.0
403272	0.0	0.0
102466659	0.0	0.0
26999	5157.0	1039.0
403273	0.0	0.0
102466658	0.0	0.0
106481462	0.0	0.0
106481463	0.0	0.0
104310353	2.0	0.0
106481460	2.0	2.0
106481461	0.0	0.0
104310350	0.0	0.0
106481466	0.0	0.0
26993	2904.0	2725.0
106481467	0.0	0.0
106481464	1.0	0.0
106481465	0.0	0.0
104310351	0.0	0.0
403263	0.0	0.0
403264	0.0	0.0
403265	0.0	0.0
403266	0.0	0.0
138009	1.0	0.0
106481468	0.0	0.0
106481469	0.0	1.0
403260	0.0	0.0
106481473	0.0	0.0
106481474	1.0	0.0
106481471	0.0	0.0
85329	5.0	4.0
106481472	0.0	0.0
106481477	0.0	0.0
106481478	0.0	0.0
106481475	0.0	0.0
106481476	0.0	0.0
85320	8.0	47.0
106481470	1.0	0.0
403252	0.0	0.0
403253	0.0	0.0
403254	0.0	0.0
126070	488.0	172.0
403255	0.0	0.0
403256	0.0	0.0
403257	0.0	0.0
344471	8.0	6.0
106481437	0.0	0.0
26974	211.0	91.0
153657	111.0	15.0
106481438	3.0	0.0
106481435	0.0	0.0
26973	1570.0	485.0
165631	1450.0	65.0
106481436	3.0	0.0
26978	7.0	4.0
126075	1300.0	1731.0
106481439	0.0	0.0
403250	0.0	0.0
126074	192.0	173.0
403251	0.0	0.0
106481440	0.0	0.0
106481441	0.0	0.0
85359	2953.0	1366.0
106481444	30.0	11.0
106481445	0.0	0.0
106481442	0.0	0.0
106481443	0.0	0.0
85358	2159.0	2606.0
85354	0.0	0.0
85352	84.0	8.0
403241	1.0	2.0
344462	13.0	0.0
403244	0.0	0.0
403245	0.0	0.0
153642	553.0	146.0
153643	60.0	8.0
403247	0.0	0.0
403248	0.0	0.0
26985	2586.0	544.0
106481448	0.0	0.0
26986	42168.0	14998.0
126069	98.0	32.0
106481449	0.0	0.0
126068	772.0	495.0
106481446	0.0	0.0
26983	0.0	0.0
26984	926.0	400.0
106481447	0.0	0.0
106481451	2.0	0.0
106481452	0.0	1.0
106481450	0.0	0.0
114088	49.0	9.0
106481455	1.0	0.0
85349	174.0	55.0
106481456	0.0	0.0
26982	0.0	0.0
106481453	0.0	0.0
85347	0.0	0.0
26980	2.0	1.0
106481454	1.0	1.0
403238	0.0	0.0
85344	27.0	2.0
403239	0.0	0.0
85345	0.0	0.0
85343	0.0	0.0
344454	0.0	0.0
85340	0.0	0.0
100873394	0.0	0.0
100873393	1.0	0.0
100873392	1.0	4.0
100873391	0.0	0.0
100873398	0.0	0.0
100873397	0.0	0.0
100873396	0.0	0.0
100873395	0.0	0.0
100128811	1.0	2.0
106481415	0.0	0.0
106481416	0.0	0.0
106481413	0.0	0.0
106481414	0.0	0.0
63901	3323.0	1921.0
100873390	0.0	0.0
728556	38.0	15.0
106481419	0.0	2.0
100128817	0.0	0.0
728558	106.0	41.0
106481417	0.0	0.0
106481418	0.0	0.0
106481422	0.0	0.0
163081	474.0	140.0
106481423	0.0	0.0
106481420	0.0	0.0
106481421	0.0	0.0
100873399	0.0	0.0
100873383	0.0	0.0
100873382	0.0	0.0
100873381	6.0	13.0
100873380	0.0	0.0
100128804	0.0	0.0
100873387	0.0	0.0
100873386	0.0	0.0
100873385	0.0	0.0
100128801	0.0	0.0
285600	189.0	49.0
100873384	0.0	0.0
285601	9.0	5.0
106481426	0.0	0.0
106481427	1.0	0.0
222005	1.0	0.0
63910	813.0	126.0
106481424	0.0	0.0
106481425	0.0	0.0
285605	644.0	165.0
222008	0.0	0.0
106481428	1.0	0.0
106481429	0.0	0.0
63905	3540.0	1889.0
63904	0.0	0.0
106481430	0.0	0.0
163071	220.0	162.0
63906	810.0	523.0
106481433	0.0	1.0
63908	997.0	542.0
106481434	0.0	0.0
106481431	0.0	0.0
106481432	0.0	0.0
100873389	0.0	0.0
100873388	5.0	0.0
285613	169.0	56.0
63920	414.0	185.0
63923	31.0	20.0
63922	744.0	789.0
728577	34.0	10.0
63925	2383.0	1225.0
63924	4.0	2.0
63916	2455.0	1487.0
63917	3432.0	1872.0
106481400	0.0	0.0
106481401	0.0	0.0
728562	0.0	0.0
728564	2.0	6.0
285622	0.0	0.0
106481404	0.0	0.0
106481405	0.0	0.0
63932	1565.0	400.0
106481402	0.0	0.0
63931	1752.0	429.0
106481403	0.0	0.0
63934	621.0	325.0
728567	5.0	1.0
106481408	0.0	0.0
163088	8.0	4.0
63933	2454.0	1277.0
106481409	0.0	0.0
106481406	0.0	0.0
63935	4823.0	1611.0
163087	804.0	264.0
728568	312.0	302.0
106481407	9.0	3.0
3704	2423.0	2127.0
3705	3143.0	2659.0
63926	627.0	196.0
3706	15.0	51.0
63929	1021.0	222.0
3707	4319.0	1775.0
63928	5.0	1.0
3708	7520.0	1099.0
106481411	0.0	0.0
3709	2140.0	1175.0
106481412	0.0	0.0
106481410	1.0	0.0
3700	36.0	17.0
3702	2603.0	44.0
3703	8628.0	2675.0
645506	1.0	0.0
151050	1442.0	416.0
645520	0.0	0.0
63941	1411.0	1562.0
63940	3960.0	591.0
63943	591.0	308.0
728517	0.0	0.0
163033	989.0	1093.0
258010	3907.0	1602.0
63947	0.0	0.0
63946	0.0	0.0
728513	13.0	0.0
100033803	0.0	0.0
3716	11573.0	2904.0
100033804	0.0	0.0
3717	1433.0	209.0
100033805	0.0	0.0
3718	3916.0	416.0
63939	805.0	389.0
100033806	0.0	0.0
100190799	2.0	2.0
100033800	0.0	0.0
100033801	0.0	0.0
100033802	0.0	0.0
344405	156.0	117.0
3710	8957.0	2343.0
3712	8140.0	4945.0
3713	2.0	36.0
3714	814.0	2550.0
63950	11.0	2.0
728505	0.0	0.0
63951	256.0	111.0
100033807	0.0	0.0
728501	37.0	14.0
100033808	0.0	0.0
100033809	0.0	0.0
3726	23635.0	7398.0
100033814	0.0	0.0
3727	39959.0	19949.0
63948	6.0	0.0
100033815	0.0	0.0
222052	4.0	0.0
3728	14245.0	7683.0
100033816	0.0	0.0
100033817	0.0	0.0
100033810	0.0	0.0
100033811	0.0	0.0
100033812	0.0	0.0
100033813	0.0	1.0
3720	1418.0	491.0
151056	348.0	102.0
3725	49808.0	29145.0
645528	7.0	3.0
728532	26.0	6.0
163059	306.0	220.0
728538	0.0	0.0
728537	330.0	224.0
63967	169.0	29.0
3737	189.0	54.0
3738	459.0	6.0
3739	0.0	0.0
645538	0.0	0.0
3730	1480.0	550.0
3732	4197.0	796.0
3734	0.0	0.0
3735	6450.0	2971.0
3736	124.0	1.0
63970	2.0	2.0
3750	192.0	65.0
63971	3934.0	1259.0
63974	0.0	0.0
163049	2675.0	1032.0
63973	1.0	1.0
63976	2220.0	489.0
222068	12511.0	6083.0
63978	0.0	1.0
63977	757.0	244.0
63979	471.0	135.0
728524	0.0	0.0
3748	1410.0	1327.0
163051	47.0	66.0
3749	687.0	512.0
163050	70.0	16.0
3741	57.0	64.0
645548	6.0	9.0
3743	0.0	1.0
3744	1.0	0.0
3745	21.0	19.0
3746	9.0	14.0
3747	0.0	0.0
285671	1534.0	353.0
285672	1301.0	957.0
100873431	0.0	0.0
100873430	0.0	0.0
3760	1.0	1.0
285676	50.0	60.0
3761	1.0	4.0
100128657	0.0	0.0
285679	3.0	0.0
100861449	1.0	0.0
100861443	0.0	0.0
100861445	0.0	0.0
3759	98.0	330.0
283008	13.0	15.0
3751	9.0	1.0
100873435	0.0	0.0
3752	93.0	6.0
100873434	0.0	0.0
3753	6.0	2.0
100873433	0.0	0.0
3754	47.0	14.0
100873432	0.0	0.0
3755	63.0	4.0
100873439	0.0	0.0
3756	10.0	23.0
100873438	0.0	0.0
3757	93.0	9.0
100873437	0.0	0.0
3758	76.0	31.0
100873436	0.0	0.0
100873420	1.0	0.0
3770	146.0	46.0
3772	11231.0	4481.0
100861458	0.0	0.0
100861453	21.0	5.0
100861455	0.0	0.0
1107	11294.0	3340.0
1106	9109.0	2752.0
1105	2662.0	876.0
1104	1282.0	559.0
100873429	0.0	0.0
1103	0.0	0.0
1102	2727.0	860.0
1101	136.0	31.0
3762	375.0	129.0
100873424	0.0	0.0
3763	12.0	0.0
100128640	183.0	52.0
100873423	0.0	0.0
3764	494.0	282.0
100873422	0.0	0.0
3765	0.0	1.0
100873421	1.0	0.0
3766	178.0	33.0
100873428	0.0	0.0
3767	373.0	397.0
100873427	0.0	0.0
3768	232.0	53.0
1109	1.0	2.0
100873426	0.0	0.0
1108	13199.0	9662.0
3769	292.0	0.0
100873425	0.0	0.0
100128637	0.0	0.0
100128639	0.0	0.0
3780	24.0	23.0
100873453	0.0	0.0
3781	26.0	31.0
100873452	0.0	0.0
3782	823.0	319.0
100873451	0.0	0.0
3783	942.0	236.0
100873450	0.0	0.0
1121	1432.0	344.0
100861468	0.0	1.0
1120	311.0	316.0
100861469	0.0	0.0
1118	290.0	207.0
1117	1968.0	804.0
1116	813.0	6136.0
1114	497.0	203.0
1113	4.0	1.0
1112	3377.0	689.0
1111	406.0	265.0
3773	13477.0	10638.0
100873457	1.0	0.0
100873456	0.0	0.0
3775	806.0	590.0
100873455	0.0	0.0
3776	2408.0	39.0
100873454	0.0	0.0
3777	583.0	428.0
3778	437.0	304.0
3779	122.0	229.0
100873459	0.0	0.0
1119	3581.0	1696.0
100128627	1.0	0.0
100128626	1.0	0.0
3790	160.0	267.0
100128628	4.0	0.0
3791	3053.0	2933.0
100873442	0.0	0.0
3792	246.0	19.0
100873441	0.0	0.0
100873440	0.0	0.0
100128625	0.0	0.0
1132	6.0	0.0
1131	92.0	126.0
1130	2873.0	810.0
100861476	2.0	0.0
1129	1.0	0.0
1128	3.0	3.0
1124	1041.0	382.0
1123	1278.0	379.0
1122	836.0	201.0
100861470	0.0	0.0
3784	9076.0	5496.0
100873446	0.0	0.0
3785	3.0	4.0
100873445	0.0	0.0
3786	104.0	189.0
100873444	0.0	0.0
3787	12.0	1.0
100873443	0.0	0.0
3788	3.0	0.0
100873449	16.0	3.0
100873448	0.0	0.0
100873447	0.0	0.0
100873471	0.0	0.0
100873470	0.0	0.0
283050	199.0	103.0
100128618	1.0	0.0
728597	1.0	0.0
100128617	4.0	3.0
100873475	0.0	0.0
100873474	0.0	0.0
728591	13.0	4.0
100873473	0.0	0.0
100873472	0.0	0.0
1143	14.0	6.0
285634	5.0	1.0
1142	0.0	0.0
1141	8.0	3.0
285636	1905.0	826.0
1140	869.0	695.0
728599	1.0	2.0
1139	47.0	11.0
1138	15.0	6.0
1137	225.0	11.0
100861485	0.0	0.0
1136	23.0	2.0
1135	1.0	1.0
1134	24.0	1.0
1133	15.0	6.0
3795	176.0	56.0
100873479	6.0	0.0
3796	1096.0	107.0
100873478	0.0	0.0
3797	869.0	211.0
100873477	4.0	1.0
3798	148.0	160.0
100873476	0.0	0.0
3799	7577.0	3211.0
100873460	0.0	0.0
728586	10.0	11.0
285641	0.0	2.0
100873464	1.0	0.0
100873463	1.0	1.0
100873462	3.0	0.0
285643	0.0	0.0
100128603	0.0	0.0
100873461	0.0	0.0
1154	1154.0	994.0
1153	33732.0	20267.0
1152	7386.0	6595.0
285647	36.0	8.0
728589	17.0	1.0
728588	0.0	0.0
1149	5.0	0.0
1147	1500.0	367.0
1146	2.0	1.0
1145	48.0	25.0
1144	1.0	1.0
100873468	0.0	0.0
100873467	0.0	1.0
100873466	0.0	0.0
100873465	0.0	0.0
283033	0.0	0.0
100873469	0.0	0.0
100873493	0.0	0.0
100873492	0.0	0.0
100873491	0.0	1.0
100873490	0.0	0.0
100873497	0.0	0.0
100873496	0.0	0.0
100873495	0.0	0.0
100873494	0.0	0.0
1164	599.0	765.0
1163	540.0	119.0
285659	0.0	0.0
1161	409.0	162.0
1160	132.0	611.0
1159	100.0	162.0
1158	2.0	1.0
1157	0.0	0.0
1155	3107.0	2210.0
550643	1905.0	1276.0
283025	1.0	0.0
100873499	0.0	0.0
100873498	0.0	0.0
100873482	0.0	0.0
100873481	0.0	0.0
100873480	0.0	0.0
100873486	0.0	0.0
100873485	0.0	0.0
100873484	0.0	0.0
100873483	0.0	0.0
1176	2645.0	942.0
1175	2144.0	2137.0
285668	12.0	2.0
1174	1395.0	1205.0
1173	13076.0	10339.0
550631	327.0	126.0
100873489	0.0	0.0
283014	15.0	40.0
100873488	0.0	0.0
100873487	0.0	0.0
283093	0.0	0.0
283092	0.0	0.0
1187	382.0	79.0
1186	4067.0	3048.0
1185	1717.0	644.0
1184	490.0	346.0
1183	1368.0	555.0
1182	3747.0	1473.0
1181	335.0	248.0
440375	46.0	3.0
1180	8.0	2.0
1179	1.0	0.0
1178	0.0	0.0
283089	33.0	6.0
85495	0.0	0.0
85480	98.0	30.0
283080	0.0	0.0
1198	4129.0	2294.0
1197	0.0	2.0
1196	2574.0	1569.0
1195	13414.0	6664.0
440366	0.0	0.0
1193	3638.0	1918.0
1192	13818.0	8808.0
1191	171819.0	60762.0
1188	1271.0	109.0
283078	148.0	28.0
85486	2.0	0.0
128615	0.0	0.0
85481	4.0	0.0
128611	1046.0	17.0
440396	56.0	40.0
128609	1.0	0.0
128602	0.0	1.0
440387	2.0	1.0
128674	17.0	0.0
128676	0.0	0.0
114026	0.0	1.0
100861402	1.0	5.0
126014	148.0	136.0
440335	3.0	401.0
100128690	0.0	0.0
114034	966.0	548.0
126006	60.0	101.0
114036	148.0	87.0
100128696	0.0	0.0
100128688	0.0	0.0
126003	273.0	58.0
100861412	0.0	0.0
105180390	0.0	0.0
100128685	0.0	0.0
100128681	0.0	0.0
105180391	0.0	0.0
100128682	7.0	0.0
100128678	1.0	0.0
100861429	0.0	0.0
128653	0.0	0.0
200728	302.0	103.0
440356	5.0	4.0
440354	95.0	26.0
440352	1.0	1.0
100873419	0.0	0.0
100873418	1.0	0.0
100873413	0.0	0.0
128646	4.0	0.0
100873412	0.0	0.0
100873411	0.0	0.0
100128675	9.0	25.0
100873410	0.0	0.0
100873417	0.0	4.0
100873416	1.0	0.0
100873415	0.0	0.0
100873414	0.0	0.0
440348	144.0	232.0
100861435	0.0	0.0
100861436	0.0	0.0
440345	216.0	44.0
200734	2351.0	1208.0
100861431	0.0	0.0
100861434	0.0	0.0
100873409	0.0	0.0
440350	7.0	5.0
100873408	0.0	0.0
100873407	1.0	0.0
100861430	6.0	0.0
100873402	0.0	0.0
100873401	1.0	0.0
100873400	0.0	0.0
100128665	0.0	0.0
128637	3205.0	2015.0
100873406	0.0	0.0
100873405	1.0	0.0
100873404	0.0	0.0
100873403	0.0	0.0
645440	0.0	0.0
645443	7.0	1.0
165530	25.0	12.0
85409	72.0	154.0
106481385	0.0	0.0
106481386	0.0	0.0
85416	0.0	0.0
106481383	2.0	0.0
85417	30.0	17.0
106481384	0.0	0.0
103106903	2.0	1.0
85414	250.0	60.0
106481389	0.0	0.0
85415	787.0	165.0
106481387	0.0	0.0
85413	0.0	0.0
106481388	6.0	0.0
645436	2.0	0.0
106481381	1.0	0.0
106481382	0.0	0.0
10	0.0	2.0
106481380	0.0	0.0
11	0.0	0.0
403341	777.0	306.0
12	1.0	0.0
13	20.0	0.0
14	6883.0	2785.0
15	35.0	4.0
16	9860.0	3429.0
645455	12.0	3.0
18	5376.0	2835.0
19	1587.0	861.0
128580	6.0	2.0
85407	93.0	35.0
106481396	0.0	0.0
106481397	0.0	0.0
106481394	0.0	0.0
85406	1396.0	196.0
106481395	1.0	0.0
85403	1528.0	434.0
106481398	0.0	0.0
106481399	0.0	0.0
403339	0.0	0.0
106481392	0.0	0.0
106481393	0.0	0.0
20	6985.0	4351.0
106481390	0.0	0.0
21	6668.0	3580.0
106481391	0.0	0.0
22	1190.0	274.0
153571	5.0	243.0
153572	11.0	84.0
23	4010.0	1427.0
24	37.0	23.0
25	6595.0	4262.0
26	191.0	107.0
27	1333.0	715.0
28	4558.0	2686.0
29	4437.0	3808.0
153579	760.0	799.0
728615	1.0	0.0
728614	0.0	0.0
200765	294.0	346.0
106481358	1.0	0.0
106481359	0.0	0.0
728611	50.0	76.0
102466518	0.0	0.0
102466516	5.0	2.0
102466515	0.0	0.0
106481363	0.0	0.0
106481364	0.0	0.0
85438	0.0	0.0
106481361	0.0	0.0
85439	1091.0	572.0
106481362	0.0	0.0
106481367	0.0	0.0
85437	2845.0	966.0
106481368	0.0	0.0
106481365	0.0	0.0
728609	352.0	243.0
106481366	0.0	0.0
30	3557.0	2596.0
106481360	1.0	0.0
31	1651.0	752.0
32	2958.0	738.0
33	1498.0	1055.0
34	3288.0	426.0
35	2400.0	1308.0
153562	2253.0	1220.0
36	2030.0	498.0
37	14908.0	17707.0
38	2998.0	1310.0
440307	16.0	7.0
39	863.0	232.0
165545	9.0	9.0
106481369	0.0	0.0
728606	259.0	334.0
106481374	0.0	0.0
106481375	0.0	0.0
106481372	0.0	0.0
106481373	1.0	1.0
106481378	1.0	1.0
106481379	0.0	0.0
106481376	0.0	0.0
106481377	0.0	0.0
403315	1.0	0.0
40	0.0	0.0
106481370	0.0	0.0
41	35.0	27.0
106481371	0.0	0.0
43	507.0	148.0
645486	0.0	0.0
47	5938.0	1635.0
48	3297.0	4831.0
49	18.0	25.0
106481338	0.0	0.0
106481339	0.0	1.0
106481336	0.0	0.0
106481337	0.0	0.0
106481341	0.0	0.0
106481342	2.0	1.0
106481340	1.0	0.0
85458	1459.0	315.0
106481345	1.0	0.0
85459	814.0	299.0
106481346	0.0	0.0
85456	5863.0	4238.0
442910	3.0	3.0
106481343	0.0	0.0
85457	2380.0	594.0
442911	0.0	0.0
