id	cdcc3039-166f-4f56-a4e3-7f4e5846c682	4a57d94c-6cce-43a6-97c5-7733da607c42
100033821	0.0	0.0
106481488	0.0	0.0
100033822	0.0	0.0
106481489	0.0	0.0
85313	3435.0	1723.0
106481486	0.0	0.0
106481487	0.0	0.0
645579	209.0	154.0
100033820	0.0	0.0
106481480	0.0	0.0
106481481	0.0	0.0
138065	28.0	421.0
645598	0.0	0.0
163007	12.0	0.0
114038	0.0	1.0
645591	0.0	3.0
106481495	1.0	0.0
114041	50.0	42.0
106481496	0.0	0.0
114042	13.0	12.0
106481493	0.0	0.0
114043	59.0	2.0
106481494	0.0	0.0
106481499	0.0	0.0
114044	350.0	208.0
126017	602.0	327.0
106481497	0.0	0.0
106481498	0.0	1.0
85303	0.0	0.0
85300	9.0	3.0
85301	4692.0	3084.0
106481491	0.0	1.0
106481492	0.0	0.0
106481490	0.0	0.0
403274	0.0	0.0
102466657	2.0	0.0
403275	0.0	0.0
102466656	0.0	0.0
403276	0.0	0.0
403277	0.0	0.0
403278	0.0	0.0
26996	1329.0	239.0
106481459	0.0	1.0
26994	9647.0	7968.0
106481457	11.0	4.0
26995	2932.0	3877.0
106481458	0.0	0.0
403271	0.0	0.0
26998	0.0	0.0
403272	1.0	0.0
102466659	0.0	0.0
26999	2911.0	1130.0
403273	0.0	0.0
102466658	0.0	0.0
106481462	1.0	0.0
106481463	0.0	0.0
104310353	2.0	0.0
106481460	1.0	1.0
106481461	0.0	0.0
104310350	0.0	0.0
106481466	0.0	0.0
26993	4370.0	4129.0
106481467	0.0	0.0
106481464	2.0	0.0
106481465	0.0	0.0
104310351	0.0	0.0
403263	0.0	0.0
403264	0.0	0.0
403265	0.0	0.0
403266	0.0	0.0
138009	0.0	0.0
106481468	0.0	0.0
106481469	0.0	0.0
403260	0.0	0.0
106481473	0.0	0.0
106481474	0.0	0.0
106481471	0.0	0.0
85329	23.0	0.0
106481472	0.0	0.0
106481477	0.0	1.0
106481478	0.0	0.0
106481475	0.0	0.0
106481476	0.0	0.0
85320	18.0	25.0
106481470	2.0	0.0
403252	0.0	0.0
403253	0.0	0.0
403254	0.0	0.0
126070	739.0	456.0
403255	0.0	0.0
403256	0.0	2.0
403257	0.0	0.0
344471	11.0	17.0
106481437	0.0	0.0
26974	684.0	410.0
153657	131.0	18.0
106481438	0.0	1.0
106481435	0.0	0.0
26973	2372.0	1607.0
165631	113.0	12.0
106481436	1.0	1.0
26978	5.0	6.0
126075	2065.0	1989.0
106481439	0.0	0.0
403250	0.0	0.0
126074	422.0	463.0
403251	0.0	0.0
106481440	0.0	0.0
106481441	0.0	0.0
85359	4240.0	4505.0
106481444	46.0	21.0
106481445	0.0	0.0
106481442	0.0	0.0
106481443	0.0	0.0
85358	2455.0	3611.0
85354	0.0	0.0
85352	39.0	5.0
403241	8.0	3.0
344462	2.0	2.0
403244	0.0	0.0
403245	0.0	1.0
153642	1231.0	455.0
153643	197.0	59.0
403247	0.0	0.0
403248	0.0	0.0
26985	3692.0	1433.0
106481448	0.0	0.0
26986	29704.0	34948.0
126069	190.0	115.0
106481449	0.0	0.0
126068	1579.0	1099.0
106481446	0.0	0.0
26983	0.0	0.0
26984	1362.0	847.0
106481447	1.0	0.0
106481451	5.0	9.0
106481452	1.0	2.0
106481450	0.0	0.0
114088	50.0	36.0
106481455	0.0	0.0
85349	310.0	67.0
106481456	0.0	0.0
26982	0.0	0.0
106481453	0.0	0.0
85347	0.0	0.0
26980	4.0	1.0
106481454	1.0	0.0
403238	0.0	0.0
85344	56.0	7.0
403239	0.0	0.0
85345	0.0	0.0
85343	0.0	0.0
344454	0.0	0.0
85340	0.0	0.0
100873394	1.0	2.0
100873393	1.0	0.0
100873392	3.0	7.0
100873391	0.0	0.0
100873398	0.0	0.0
100873397	0.0	0.0
100873396	0.0	0.0
100873395	1.0	0.0
100128811	1.0	1.0
106481415	0.0	0.0
106481416	0.0	0.0
106481413	0.0	0.0
106481414	0.0	0.0
63901	3796.0	2106.0
100873390	0.0	0.0
728556	47.0	10.0
106481419	6.0	1.0
100128817	0.0	0.0
728558	148.0	52.0
106481417	0.0	0.0
106481418	0.0	0.0
106481422	0.0	0.0
163081	741.0	331.0
106481423	1.0	0.0
106481420	0.0	0.0
106481421	0.0	0.0
100873399	1.0	0.0
100873383	0.0	0.0
100873382	0.0	0.0
100873381	0.0	2.0
100873380	0.0	0.0
100128804	0.0	0.0
100873387	0.0	0.0
100873386	0.0	0.0
100873385	0.0	0.0
100128801	1.0	0.0
285600	243.0	64.0
100873384	0.0	0.0
285601	14.0	1.0
106481426	0.0	0.0
106481427	2.0	2.0
222005	4.0	1.0
63910	111.0	90.0
106481424	0.0	0.0
106481425	0.0	0.0
285605	1144.0	660.0
222008	18.0	2.0
106481428	0.0	0.0
106481429	0.0	0.0
63905	5587.0	4212.0
63904	0.0	0.0
106481430	1.0	0.0
163071	642.0	495.0
63906	983.0	648.0
106481433	0.0	1.0
63908	1592.0	1265.0
106481434	0.0	0.0
106481431	0.0	0.0
106481432	0.0	0.0
100873389	0.0	0.0
100873388	16.0	0.0
285613	122.0	94.0
63920	1143.0	754.0
63923	94.0	210.0
63922	799.0	873.0
728577	18.0	21.0
63925	2743.0	1967.0
63924	79.0	0.0
63916	3413.0	2308.0
63917	6815.0	2569.0
106481400	0.0	0.0
106481401	1.0	1.0
728562	1.0	2.0
728564	4.0	15.0
285622	1.0	1.0
106481404	0.0	0.0
106481405	0.0	0.0
63932	2007.0	754.0
106481402	0.0	0.0
63931	3212.0	1477.0
106481403	1.0	0.0
63934	1670.0	2542.0
728567	3.0	1.0
106481408	0.0	3.0
163088	7.0	6.0
63933	4645.0	3933.0
106481409	0.0	0.0
106481406	0.0	0.0
63935	5971.0	2921.0
163087	1196.0	684.0
728568	1025.0	822.0
106481407	5.0	7.0
3704	3781.0	4574.0
3705	4080.0	3530.0
63926	1361.0	741.0
3706	46.0	12.0
63929	1871.0	1594.0
3707	2119.0	1717.0
63928	1.0	0.0
3708	15213.0	8682.0
106481411	0.0	1.0
3709	2041.0	1804.0
106481412	0.0	0.0
106481410	2.0	1.0
3700	49.0	149.0
3702	213.0	11.0
3703	14558.0	6937.0
645506	1.0	0.0
151050	2448.0	1457.0
645520	1.0	0.0
63941	2908.0	3265.0
63940	425.0	331.0
63943	951.0	705.0
728517	0.0	0.0
163033	1237.0	1445.0
258010	5482.0	2591.0
63947	3.0	0.0
63946	0.0	0.0
728513	0.0	0.0
100033803	0.0	0.0
3716	9269.0	3995.0
100033804	0.0	0.0
3717	944.0	367.0
100033805	0.0	0.0
3718	325.0	59.0
63939	1512.0	1083.0
100033806	0.0	0.0
100190799	10.0	0.0
100033800	0.0	0.0
100033801	0.0	0.0
100033802	0.0	0.0
344405	211.0	171.0
3710	13477.0	4819.0
3712	17613.0	9476.0
3713	0.0	0.0
3714	920.0	1457.0
63950	3.0	9.0
728505	1.0	0.0
63951	640.0	187.0
100033807	0.0	0.0
728501	50.0	47.0
100033808	0.0	0.0
100033809	0.0	0.0
3726	32957.0	7941.0
100033814	0.0	0.0
3727	17183.0	14419.0
63948	1.0	81.0
100033815	0.0	0.0
222052	0.0	0.0
3728	22480.0	18295.0
100033816	0.0	0.0
100033817	0.0	0.0
100033810	0.0	0.0
100033811	0.0	0.0
100033812	0.0	0.0
100033813	0.0	0.0
3720	1603.0	1062.0
151056	320.0	30.0
3725	113454.0	37700.0
645528	1.0	0.0
728532	42.0	5.0
163059	713.0	674.0
728538	2.0	0.0
728537	409.0	573.0
63967	15.0	19.0
3737	147.0	0.0
3738	52.0	4.0
3739	1.0	1.0
645538	0.0	0.0
3730	2227.0	510.0
3732	3048.0	307.0
3734	0.0	0.0
3735	6816.0	7423.0
3736	161.0	0.0
63970	6.0	1.0
3750	178.0	124.0
63971	7209.0	2484.0
63974	0.0	0.0
163049	3701.0	2097.0
63973	0.0	1.0
63976	5082.0	1798.0
222068	24561.0	19756.0
63978	0.0	0.0
63977	774.0	833.0
63979	890.0	292.0
728524	0.0	0.0
3748	3981.0	1051.0
163051	102.0	161.0
3749	837.0	582.0
163050	88.0	58.0
3741	168.0	17.0
645548	6.0	15.0
3743	5.0	1.0
3744	0.0	0.0
3745	22.0	38.0
3746	17.0	13.0
3747	0.0	1.0
285671	2401.0	1247.0
285672	1972.0	2115.0
100873431	0.0	0.0
100873430	0.0	0.0
3760	3.0	0.0
285676	255.0	192.0
3761	5.0	0.0
100128657	1.0	0.0
285679	2.0	10.0
100861449	0.0	0.0
100861443	0.0	0.0
100861445	0.0	0.0
3759	99.0	128.0
283008	2.0	0.0
3751	88.0	0.0
100873435	0.0	0.0
3752	187.0	10.0
100873434	0.0	0.0
3753	11.0	5.0
100873433	1.0	0.0
3754	0.0	10.0
100873432	0.0	0.0
3755	14.0	12.0
100873439	0.0	0.0
3756	16.0	13.0
100873438	0.0	0.0
3757	29.0	1.0
100873437	0.0	0.0
3758	6.0	3.0
100873436	0.0	0.0
100873420	0.0	0.0
3770	163.0	218.0
3772	15460.0	13041.0
100861458	0.0	0.0
100861453	19.0	6.0
100861455	0.0	0.0
1107	13656.0	7578.0
1106	11685.0	6945.0
1105	2366.0	1619.0
1104	1193.0	1071.0
100873429	0.0	0.0
1103	0.0	0.0
1102	4321.0	3401.0
1101	465.0	67.0
3762	85.0	30.0
100873424	0.0	0.0
3763	9.0	6.0
100128640	214.0	135.0
100873423	0.0	0.0
3764	1318.0	446.0
100873422	0.0	0.0
3765	3.0	0.0
100873421	4.0	1.0
3766	115.0	103.0
100873428	0.0	0.0
3767	579.0	67.0
100873427	0.0	0.0
3768	1011.0	54.0
1109	0.0	0.0
100873426	4.0	4.0
1108	18359.0	13807.0
3769	248.0	105.0
100873425	0.0	0.0
100128637	1.0	0.0
100128639	1.0	0.0
3780	10.0	9.0
100873453	0.0	0.0
3781	48.0	98.0
100873452	0.0	0.0
3782	482.0	1101.0
100873451	0.0	0.0
3783	113.0	27.0
100873450	0.0	0.0
1121	2291.0	562.0
100861468	0.0	0.0
1120	555.0	770.0
100861469	0.0	0.0
1118	630.0	21.0
1117	1135.0	532.0
1116	889.0	15.0
1114	663.0	9.0
1113	342.0	2.0
1112	2839.0	1256.0
1111	415.0	557.0
3773	36928.0	26522.0
100873457	2.0	1.0
100873456	0.0	0.0
3775	1164.0	416.0
100873455	0.0	0.0
3776	975.0	318.0
100873454	0.0	0.0
3777	1348.0	1983.0
3778	157.0	54.0
3779	101.0	206.0
100873459	1.0	0.0
1119	4335.0	6284.0
100128627	1.0	0.0
100128626	0.0	0.0
3790	236.0	224.0
100128628	4.0	1.0
3791	8110.0	9992.0
100873442	1.0	0.0
3792	37.0	39.0
100873441	0.0	0.0
100873440	0.0	0.0
100128625	0.0	0.0
1132	5.0	4.0
1131	202.0	482.0
1130	2175.0	899.0
100861476	0.0	0.0
1129	8.0	0.0
1128	17.0	1.0
1124	1212.0	827.0
1123	303.0	340.0
1122	1238.0	556.0
100861470	0.0	0.0
3784	20040.0	13080.0
100873446	0.0	0.0
3785	1.0	0.0
100873445	0.0	0.0
3786	98.0	84.0
100873444	0.0	0.0
3787	3.0	4.0
100873443	0.0	0.0
3788	4.0	1.0
100873449	37.0	0.0
100873448	0.0	0.0
100873447	0.0	0.0
100873471	0.0	0.0
100873470	0.0	0.0
283050	278.0	112.0
100128618	1.0	0.0
728597	4.0	1.0
100128617	0.0	1.0
100873475	0.0	0.0
100873474	0.0	0.0
728591	31.0	89.0
100873473	0.0	0.0
100873472	0.0	0.0
1143	23.0	12.0
285634	8.0	2.0
1142	0.0	0.0
1141	16.0	8.0
285636	2834.0	1932.0
1140	2294.0	1758.0
728599	7.0	1.0
1139	120.0	363.0
1138	15.0	16.0
1137	1068.0	1.0
100861485	0.0	0.0
1136	16.0	0.0
1135	4.0	0.0
1134	5.0	3.0
1133	17.0	13.0
3795	210.0	124.0
100873479	5.0	3.0
3796	1155.0	199.0
100873478	0.0	0.0
3797	983.0	194.0
100873477	4.0	2.0
3798	100.0	17.0
100873476	0.0	0.0
3799	9346.0	6323.0
100873460	0.0	0.0
728586	16.0	73.0
285641	1.0	0.0
100873464	11.0	1.0
100873463	1.0	0.0
100873462	4.0	0.0
285643	1.0	0.0
100128603	0.0	0.0
100873461	0.0	0.0
1154	8106.0	1285.0
1153	43495.0	36272.0
1152	17905.0	24310.0
285647	55.0	26.0
728589	8.0	1.0
728588	0.0	0.0
1149	23.0	1.0
1147	1682.0	918.0
1146	4.0	0.0
1145	72.0	78.0
1144	1.0	0.0
100873468	0.0	0.0
100873467	0.0	0.0
100873466	2.0	0.0
100873465	0.0	0.0
283033	0.0	0.0
100873469	3.0	0.0
100873493	0.0	0.0
100873492	0.0	0.0
100873491	0.0	0.0
100873490	0.0	0.0
100873497	0.0	0.0
100873496	1.0	0.0
100873495	0.0	0.0
100873494	0.0	0.0
1164	302.0	1185.0
1163	721.0	199.0
285659	0.0	1.0
1161	704.0	633.0
1160	502.0	114.0
1159	234.0	1839.0
1158	4.0	2.0
1157	0.0	0.0
1155	3635.0	3757.0
550643	3241.0	3743.0
283025	0.0	0.0
100873499	0.0	0.0
100873498	0.0	0.0
100873482	0.0	0.0
100873481	0.0	0.0
100873480	0.0	0.0
100873486	0.0	0.0
100873485	0.0	0.0
100873484	0.0	0.0
100873483	0.0	0.0
1176	3062.0	2692.0
1175	2835.0	3240.0
285668	20.0	2.0
1174	1999.0	4365.0
1173	19469.0	17782.0
550631	510.0	552.0
100873489	0.0	0.0
283014	31.0	27.0
100873488	1.0	0.0
100873487	0.0	0.0
283093	0.0	0.0
283092	0.0	0.0
1187	1093.0	3862.0
1186	4969.0	2536.0
1185	2524.0	909.0
1184	806.0	488.0
1183	2054.0	664.0
1182	6747.0	4666.0
1181	618.0	630.0
440375	53.0	7.0
1180	18.0	5.0
1179	0.0	0.0
1178	0.0	0.0
283089	49.0	45.0
85495	0.0	0.0
85480	143.0	113.0
283080	1.0	2.0
1198	4909.0	4886.0
1197	3.0	5.0
1196	4481.0	3769.0
1195	10918.0	13098.0
440366	2.0	1.0
1193	3654.0	2873.0
1192	12067.0	15752.0
1191	162501.0	7279.0
1188	1369.0	302.0
283078	34.0	6.0
85486	1.0	6.0
128615	0.0	0.0
85481	0.0	0.0
128611	111.0	35.0
440396	78.0	88.0
128609	0.0	0.0
128602	1.0	0.0
440387	3.0	2.0
128674	2.0	0.0
128676	1.0	0.0
114026	2.0	1.0
100861402	2.0	5.0
126014	96.0	19.0
440335	37.0	1.0
100128690	0.0	0.0
114034	1473.0	1222.0
126006	125.0	315.0
114036	340.0	98.0
100128696	1.0	0.0
100128688	0.0	0.0
126003	116.0	350.0
100861412	2.0	0.0
105180390	0.0	0.0
100128685	0.0	0.0
100128681	0.0	0.0
105180391	0.0	0.0
100128682	13.0	11.0
100128678	0.0	0.0
100861429	0.0	0.0
128653	1.0	1.0
200728	605.0	191.0
440356	17.0	10.0
440354	90.0	39.0
440352	0.0	0.0
100873419	0.0	0.0
100873418	0.0	0.0
100873413	0.0	0.0
128646	0.0	1.0
100873412	0.0	0.0
100873411	0.0	0.0
100128675	17.0	6.0
100873410	0.0	0.0
100873417	4.0	0.0
100873416	0.0	0.0
100873415	0.0	0.0
100873414	0.0	0.0
440348	238.0	958.0
100861435	0.0	0.0
100861436	0.0	0.0
440345	155.0	133.0
200734	3678.0	1980.0
100861431	0.0	0.0
100861434	0.0	0.0
100873409	0.0	0.0
440350	6.0	10.0
100873408	0.0	0.0
100873407	0.0	0.0
100861430	14.0	2.0
100873402	0.0	0.0
100873401	0.0	0.0
100873400	0.0	0.0
100128665	0.0	0.0
128637	5163.0	3614.0
100873406	0.0	0.0
100873405	1.0	0.0
100873404	0.0	0.0
100873403	0.0	0.0
645440	0.0	0.0
645443	8.0	4.0
165530	35.0	9.0
85409	12.0	15.0
106481385	2.0	3.0
106481386	5.0	0.0
85416	1.0	0.0
106481383	9.0	2.0
85417	66.0	37.0
106481384	0.0	0.0
103106903	6.0	3.0
85414	156.0	29.0
106481389	0.0	0.0
85415	1064.0	111.0
106481387	0.0	0.0
85413	0.0	1.0
106481388	10.0	0.0
645436	1.0	0.0
106481381	0.0	0.0
106481382	0.0	0.0
10	2.0	1.0
106481380	0.0	0.0
11	0.0	0.0
403341	1089.0	900.0
12	4.0	0.0
13	52.0	32.0
14	9816.0	6124.0
15	13.0	23.0
16	17155.0	10210.0
645455	25.0	1.0
18	8651.0	3344.0
19	1470.0	3115.0
128580	8.0	2.0
85407	82.0	1.0
106481396	0.0	0.0
106481397	0.0	0.0
106481394	0.0	0.0
85406	2133.0	594.0
106481395	0.0	0.0
85403	1680.0	908.0
106481398	0.0	0.0
106481399	0.0	0.0
403339	0.0	0.0
106481392	1.0	0.0
106481393	0.0	0.0
20	15955.0	19832.0
106481390	0.0	0.0
21	8946.0	8961.0
106481391	1.0	0.0
22	1232.0	524.0
153571	124.0	57.0
153572	80.0	54.0
23	5163.0	2312.0
24	42.0	63.0
25	10503.0	4249.0
26	20.0	4.0
27	1732.0	1032.0
28	9847.0	3457.0
29	2378.0	1559.0
153579	1408.0	9154.0
728615	0.0	0.0
728614	0.0	0.0
200765	563.0	612.0
106481358	5.0	0.0
106481359	0.0	0.0
728611	74.0	90.0
102466518	0.0	0.0
102466516	41.0	5.0
102466515	0.0	0.0
106481363	0.0	0.0
106481364	0.0	0.0
85438	0.0	0.0
106481361	0.0	0.0
85439	2371.0	2251.0
106481362	0.0	0.0
106481367	0.0	0.0
85437	4543.0	2620.0
106481368	0.0	0.0
106481365	0.0	0.0
728609	404.0	324.0
106481366	0.0	0.0
30	4022.0	12895.0
106481360	1.0	0.0
31	2414.0	1928.0
32	6832.0	5100.0
33	2835.0	2229.0
34	5446.0	3219.0
35	3077.0	3581.0
153562	4211.0	2593.0
36	3026.0	1183.0
37	37885.0	90371.0
38	5971.0	2883.0
440307	26.0	34.0
39	775.0	655.0
165545	4.0	12.0
106481369	0.0	0.0
728606	220.0	189.0
106481374	0.0	0.0
106481375	0.0	0.0
106481372	0.0	0.0
106481373	0.0	1.0
106481378	1.0	1.0
106481379	0.0	0.0
106481376	0.0	0.0
106481377	0.0	0.0
403315	0.0	0.0
40	3.0	0.0
106481370	0.0	0.0
41	88.0	63.0
106481371	0.0	0.0
43	86.0	58.0
645486	2.0	0.0
47	7087.0	4031.0
48	5349.0	3532.0
49	8.0	7.0
106481338	0.0	0.0
106481339	0.0	0.0
106481336	0.0	0.0
106481337	3.0	0.0
106481341	0.0	0.0
106481342	2.0	4.0
106481340	0.0	0.0
85458	3969.0	1398.0
106481345	1.0	0.0
