id	a69e1384-d0ce-4ad7-b1b1-fe5c38aa6cb8	108c8f50-ed04-436c-b49e-dcdb1da0b827
100873327	0.0	0.0
1009	1231.0	1328.0
100873326	0.0	0.0
100873350	0.0	0.0
116729	2.0	0.0
728477	10.0	0.0
3680	12502.0	28565.0
3681	6.0	1.0
100128733	0.0	0.0
100873354	0.0	0.0
3682	806.0	741.0
100873353	0.0	0.0
3683	948.0	495.0
100873352	0.0	0.0
128710	748.0	463.0
3684	247.0	561.0
100873351	0.0	0.0
285512	97.0	144.0
1022	1355.0	1816.0
285513	573.0	468.0
1021	1350.0	467.0
1020	964.0	1055.0
440299	1.0	0.0
1019	4437.0	6404.0
128709	0.0	1.0
1018	37.0	79.0
1017	1085.0	1317.0
1016	0.0	0.0
1015	3.0	9.0
1014	9323.0	202.0
1013	2.0	68.0
1012	405.0	1590.0
116730	6.0	11.0
3674	426.0	368.0
100873358	0.0	0.0
3675	17048.0	48238.0
100873357	1.0	0.0
3676	380.0	347.0
100128731	7533.0	8491.0
100873356	0.0	0.0
3678	4107.0	3637.0
3679	2036.0	2267.0
100873359	0.0	0.0
728464	77.0	19.0
728463	22.0	5.0
100128725	0.0	0.0
3690	5236.0	2599.0
3691	2194.0	9092.0
100873343	1.0	1.0
3692	5965.0	8398.0
3693	6956.0	12696.0
285521	1149.0	831.0
100873342	0.0	0.0
3694	1375.0	1172.0
100873341	0.0	0.0
3695	324.0	497.0
100873340	0.0	0.0
100128723	3.0	0.0
1033	11.0	38.0
1032	241.0	324.0
285525	4.0	9.0
1031	923.0	952.0
285527	3520.0	1822.0
1030	130.0	334.0
728468	1.0	0.0
440288	143.0	114.0
1029	9.0	107.0
440295	149.0	116.0
1028	634.0	435.0
1027	6185.0	4197.0
1026	6946.0	15011.0
1025	3858.0	6159.0
1024	833.0	506.0
3685	15135.0	10539.0
100873347	0.0	0.0
100873346	0.0	0.0
3687	226.0	553.0
100873345	1.0	0.0
3688	15895.0	10672.0
100873344	0.0	1.0
3689	1105.0	2066.0
100873349	0.0	0.0
100873348	0.0	0.0
100873372	0.0	0.0
100873371	0.0	0.0
100873370	0.0	0.0
728498	63.0	27.0
100873376	0.0	0.0
728493	0.0	0.0
100128711	0.0	0.0
728492	36.0	16.0
100873375	0.0	0.0
100128710	0.0	1.0
285533	25.0	33.0
100873374	0.0	0.0
728495	0.0	0.0
100873373	0.0	0.0
100128712	0.0	0.0
1044	2.0	2.0
1043	401.0	505.0
1041	3.0	33.0
1040	6223.0	4638.0
1039	6391.0	4283.0
1038	1.0	1.0
1036	1136.0	394.0
3696	1629.0	1308.0
3697	5.0	1.0
100873379	0.0	0.0
3698	15.0	17.0
100873378	4.0	0.0
3699	333.0	27.0
100873377	0.0	0.0
728486	24.0	9.0
100873361	0.0	0.0
105373869	4.0	11.0
100873360	0.0	0.0
285540	290.0	149.0
100128705	2.0	3.0
100873365	0.0	0.0
100873364	0.0	0.0
728481	0.0	0.0
100873363	0.0	0.0
728484	2.0	1.0
100873362	0.0	0.0
100128701	6.0	5.0
1054	3100.0	2025.0
285547	0.0	0.0
1053	5.0	14.0
285548	3.0	0.0
1052	2317.0	1927.0
1051	3172.0	3013.0
728489	8.0	12.0
1050	1117.0	1326.0
100128707	2.0	0.0
1048	0.0	0.0
1047	24.0	7.0
1046	0.0	0.0
1045	0.0	0.0
100873369	2.0	0.0
100873368	0.0	0.0
100873367	0.0	0.0
100873366	0.0	0.0
105373877	12.0	8.0
1066	937.0	453.0
1063	55.0	178.0
1062	43.0	41.0
1061	1.0	3.0
1060	3159.0	2037.0
440253	507.0	321.0
1059	6145.0	8446.0
1058	4.0	15.0
1057	3.0	0.0
85379	11241.0	11150.0
114112	771.0	692.0
1056	20.0	30.0
85377	3249.0	2492.0
85378	4208.0	5458.0
128745	1.0	1.0
85376	59.0	73.0
440248	674.0	453.0
1075	3104.0	20207.0
1074	8.0	5.0
1073	3461.0	1515.0
1072	27134.0	41552.0
1071	518.0	255.0
440243	0.0	0.0
1070	1268.0	1072.0
1069	7405.0	7429.0
1068	0.0	0.0
85369	2629.0	2184.0
85366	11.0	12.0
85364	2961.0	2769.0
85365	4246.0	2960.0
85363	2179.0	1787.0
85360	907.0	930.0
1080	25.0	25.0
85391	18.0	3.0
403296	0.0	0.0
403297	0.0	0.0
85390	0.0	0.0
403299	0.0	0.0
1088	1.0	1.0
153733	423.0	228.0
1087	6.0	0.0
1086	0.0	0.0
440279	191.0	43.0
1085	1.0	0.0
1084	3.0	1.0
440278	272.0	187.0
1082	0.0	3.0
403294	0.0	0.0
440275	4861.0	3614.0
1081	0.0	1.0
85397	8216.0	515.0
85395	340.0	459.0
403285	0.0	0.0
1091	0.0	0.0
1090	0.0	0.0
403288	0.0	0.0
403289	0.0	0.0
1098	0.0	0.0
1097	0.0	0.0
1096	0.0	0.0
1095	0.0	0.0
403281	0.0	0.0
403282	0.0	0.0
1094	0.0	0.0
1093	0.0	0.0
403283	0.0	0.0
403284	0.0	0.0
1092	0.0	0.0
440270	4044.0	7205.0
1089	7.0	13.0
85388	0.0	0.0
85389	0.0	0.0
128718	0.0	0.0
285596	17.0	155.0
285598	350.0	431.0
126133	1589.0	1949.0
128790	0.0	0.0
126129	153.0	110.0
126123	0.0	6.0
442862	0.0	0.0
126119	653.0	1109.0
442863	0.0	0.0
442864	0.0	0.0
442865	0.0	0.0
442866	0.0	0.0
442867	0.0	0.0
442868	0.0	0.0
128770	0.0	0.0
128774	0.0	0.0
442893	0.0	0.0
442894	2.0	0.0
442895	0.0	0.0
114131	0.0	0.0
442896	0.0	0.0
114132	65.0	15.0
442897	0.0	0.0
442898	3.0	1.0
114134	388.0	329.0
442899	0.0	0.0
100128790	0.0	0.0
128760	7.0	11.0
100128788	67.0	103.0
100128787	0.0	0.0
440225	0.0	0.0
440224	2.0	0.0
442890	0.0	0.0
442891	3.0	4.0
442892	0.0	0.0
128756	0.0	0.0
100128782	766.0	468.0
100128781	3.0	2.0
403230	0.0	0.0
403231	0.0	0.0
403232	0.0	0.0
645560	1.0	3.0
403234	0.0	0.0
403235	2.0	0.0
403236	0.0	0.0
63982	133.0	54.0
102466616	0.0	0.0
126052	0.0	0.0
151009	156.0	102.0
403227	0.0	0.0
403228	0.0	0.0
138046	0.0	0.0
645558	0.0	0.0
403229	0.0	0.0
645573	0.0	2.0
645572	0.0	0.0
645571	3.0	0.0
403223	0.0	1.0
403224	0.0	0.0
403226	0.0	0.0
200634	800.0	1281.0
107131122	0.0	0.0
138050	8576.0	8668.0
403219	0.0	0.0
151011	4802.0	2703.0
645587	0.0	0.0
165679	10.0	4.0
126037	29.0	47.0
114049	5958.0	6914.0
106481479	0.0	0.0
100033818	0.0	0.0
100033819	0.0	0.0
85319	0.0	0.0
106481484	0.0	0.0
106481485	0.0	0.0
106481482	0.0	0.0
106481483	0.0	0.0
85315	350.0	458.0
100033821	0.0	1.0
106481488	0.0	0.0
100033822	0.0	0.0
106481489	0.0	0.0
85313	3646.0	2778.0
106481486	0.0	0.0
106481487	0.0	0.0
645579	395.0	249.0
100033820	0.0	0.0
106481480	0.0	0.0
106481481	0.0	0.0
138065	11.0	225.0
645598	1.0	0.0
163007	1.0	10.0
114038	0.0	0.0
645591	0.0	0.0
106481495	0.0	0.0
114041	100.0	82.0
106481496	0.0	0.0
114042	5.0	18.0
106481493	0.0	0.0
114043	36.0	7.0
106481494	0.0	0.0
106481499	0.0	0.0
114044	189.0	138.0
126017	617.0	564.0
106481497	1.0	1.0
106481498	0.0	0.0
85303	0.0	0.0
85300	0.0	0.0
85301	3275.0	1530.0
106481491	0.0	0.0
106481492	0.0	0.0
106481490	0.0	0.0
403274	0.0	0.0
102466657	0.0	0.0
403275	0.0	0.0
102466656	0.0	0.0
403276	0.0	0.0
403277	0.0	0.0
403278	0.0	0.0
26996	344.0	228.0
106481459	0.0	0.0
26994	11576.0	7139.0
106481457	4.0	2.0
26995	2853.0	2695.0
106481458	0.0	0.0
403271	0.0	0.0
26998	0.0	4.0
403272	0.0	0.0
102466659	0.0	0.0
26999	3204.0	6145.0
403273	0.0	0.0
102466658	0.0	0.0
106481462	0.0	0.0
106481463	0.0	0.0
104310353	2.0	0.0
106481460	0.0	1.0
106481461	0.0	0.0
104310350	0.0	0.0
106481466	0.0	0.0
26993	3525.0	5160.0
106481467	0.0	0.0
106481464	0.0	1.0
106481465	0.0	0.0
104310351	0.0	0.0
403263	0.0	0.0
403264	0.0	0.0
403265	0.0	0.0
403266	0.0	0.0
138009	1.0	0.0
106481468	0.0	0.0
106481469	0.0	0.0
403260	0.0	0.0
106481473	0.0	0.0
106481474	0.0	0.0
106481471	0.0	0.0
85329	17.0	26.0
106481472	0.0	0.0
106481477	1.0	0.0
106481478	0.0	0.0
106481475	0.0	0.0
106481476	0.0	0.0
85320	13.0	140.0
106481470	0.0	0.0
403252	0.0	0.0
403253	0.0	0.0
403254	0.0	0.0
126070	794.0	400.0
403255	0.0	0.0
403256	0.0	0.0
403257	0.0	0.0
344471	8.0	13.0
106481437	0.0	0.0
26974	532.0	367.0
153657	124.0	115.0
106481438	2.0	0.0
106481435	0.0	0.0
26973	1667.0	863.0
165631	51.0	34.0
106481436	0.0	0.0
26978	7.0	8.0
126075	1405.0	2044.0
106481439	0.0	0.0
403250	0.0	0.0
126074	447.0	414.0
403251	0.0	0.0
106481440	0.0	0.0
106481441	0.0	0.0
85359	3523.0	5096.0
106481444	19.0	3.0
106481445	0.0	0.0
106481442	0.0	0.0
106481443	0.0	0.0
85358	2534.0	1875.0
85354	0.0	0.0
85352	82.0	19.0
403241	3.0	7.0
344462	5.0	5.0
403244	0.0	0.0
403245	0.0	0.0
153642	953.0	436.0
153643	100.0	88.0
403247	0.0	0.0
403248	0.0	0.0
26985	4175.0	2815.0
106481448	0.0	0.0
26986	33293.0	34788.0
126069	108.0	90.0
106481449	0.0	0.0
126068	1419.0	1087.0
106481446	0.0	0.0
26983	0.0	0.0
26984	1256.0	1363.0
106481447	0.0	0.0
106481451	4.0	3.0
106481452	1.0	0.0
106481450	1.0	0.0
114088	129.0	18.0
106481455	0.0	0.0
85349	223.0	101.0
106481456	1.0	0.0
26982	0.0	0.0
106481453	0.0	0.0
85347	0.0	0.0
26980	0.0	1.0
106481454	0.0	0.0
403238	0.0	0.0
85344	92.0	11.0
403239	0.0	0.0
85345	0.0	0.0
85343	0.0	0.0
344454	0.0	0.0
85340	0.0	0.0
100873394	0.0	0.0
100873393	1.0	0.0
100873392	1.0	2.0
100873391	0.0	0.0
100873398	0.0	0.0
100873397	0.0	0.0
100873396	0.0	0.0
100873395	0.0	0.0
100128811	0.0	0.0
106481415	1.0	0.0
106481416	0.0	1.0
106481413	0.0	0.0
106481414	0.0	0.0
63901	2270.0	3243.0
100873390	0.0	0.0
728556	45.0	55.0
106481419	0.0	0.0
100128817	0.0	0.0
728558	228.0	89.0
106481417	0.0	0.0
106481418	0.0	0.0
106481422	0.0	0.0
163081	781.0	465.0
106481423	0.0	0.0
106481420	0.0	0.0
106481421	0.0	0.0
100873399	0.0	0.0
100873383	0.0	0.0
100873382	0.0	0.0
100873381	1.0	3.0
100873380	0.0	0.0
100128804	0.0	0.0
100873387	0.0	0.0
100873386	0.0	0.0
100873385	0.0	0.0
100128801	0.0	0.0
285600	348.0	136.0
100873384	0.0	0.0
285601	1.0	2.0
106481426	0.0	0.0
106481427	0.0	0.0
222005	1.0	1.0
63910	114.0	362.0
106481424	0.0	0.0
106481425	0.0	0.0
285605	1066.0	331.0
222008	44.0	0.0
106481428	0.0	1.0
106481429	0.0	0.0
63905	6480.0	7030.0
63904	0.0	0.0
106481430	1.0	1.0
163071	1049.0	903.0
63906	1127.0	1402.0
106481433	0.0	0.0
63908	1372.0	964.0
106481434	0.0	0.0
106481431	0.0	0.0
106481432	0.0	0.0
100873389	0.0	0.0
100873388	0.0	0.0
285613	90.0	88.0
63920	869.0	795.0
63923	547.0	97.0
63922	371.0	756.0
728577	29.0	2.0
63925	2018.0	3271.0
63924	56.0	5.0
63916	4021.0	5661.0
63917	6227.0	5925.0
106481400	0.0	0.0
106481401	0.0	0.0
728562	2.0	10.0
728564	2.0	5.0
285622	0.0	0.0
106481404	0.0	0.0
106481405	0.0	0.0
63932	2318.0	2512.0
106481402	0.0	0.0
63931	3219.0	2133.0
106481403	0.0	0.0
63934	1442.0	1284.0
728567	1.0	3.0
106481408	0.0	0.0
163088	10.0	9.0
63933	4718.0	2392.0
106481409	0.0	0.0
106481406	0.0	0.0
63935	6584.0	6575.0
163087	1261.0	663.0
728568	573.0	495.0
106481407	11.0	7.0
3704	3504.0	5254.0
3705	4782.0	5377.0
63926	1443.0	619.0
3706	17.0	67.0
63929	1331.0	777.0
3707	3187.0	3208.0
63928	0.0	0.0
3708	22967.0	4386.0
106481411	0.0	0.0
3709	2357.0	2828.0
106481412	0.0	0.0
106481410	0.0	0.0
3700	42.0	33.0
3702	219.0	100.0
3703	17538.0	12476.0
645506	1.0	0.0
151050	1887.0	1432.0
645520	0.0	0.0
63941	1988.0	1217.0
63940	556.0	808.0
63943	1092.0	1098.0
728517	0.0	0.0
163033	432.0	922.0
258010	5819.0	4488.0
63947	0.0	0.0
63946	2.0	0.0
728513	9.0	5.0
100033803	0.0	0.0
3716	10707.0	8514.0
100033804	0.0	0.0
3717	1265.0	362.0
100033805	0.0	0.0
3718	277.0	832.0
63939	1574.0	1107.0
100033806	0.0	0.0
100190799	4.0	9.0
100033800	0.0	0.0
100033801	0.0	0.0
100033802	0.0	0.0
344405	131.0	209.0
3710	13370.0	18486.0
3712	15721.0	12891.0
3713	0.0	143.0
3714	741.0	1008.0
63950	0.0	0.0
728505	1.0	0.0
63951	334.0	93.0
100033807	0.0	0.0
728501	71.0	122.0
100033808	0.0	0.0
100033809	0.0	0.0
3726	27168.0	17105.0
100033814	0.0	0.0
3727	16010.0	12513.0
63948	17.0	0.0
100033815	0.0	0.0
222052	1.0	0.0
3728	40274.0	31410.0
100033816	0.0	0.0
100033817	0.0	0.0
100033810	0.0	0.0
100033811	0.0	0.0
100033812	0.0	0.0
100033813	0.0	0.0
3720	1096.0	859.0
151056	1502.0	364.0
3725	127639.0	33895.0
645528	1.0	2.0
728532	47.0	29.0
163059	789.0	633.0
728538	2.0	1.0
728537	198.0	183.0
63967	7.0	52.0
3737	154.0	13.0
3738	61.0	12.0
3739	0.0	0.0
645538	0.0	0.0
3730	2198.0	2392.0
3732	3512.0	3538.0
3734	0.0	0.0
3735	8294.0	8759.0
3736	140.0	1.0
63970	7.0	0.0
3750	178.0	215.0
63971	8453.0	8057.0
63974	0.0	0.0
163049	4199.0	2508.0
63973	0.0	0.0
63976	4233.0	1182.0
222068	22372.0	19705.0
63978	0.0	0.0
63977	634.0	587.0
63979	518.0	312.0
728524	0.0	0.0
3748	1086.0	2291.0
163051	81.0	92.0
3749	761.0	388.0
163050	97.0	49.0
3741	297.0	18.0
645548	8.0	6.0
3743	2.0	0.0
3744	0.0	0.0
3745	305.0	13.0
3746	2.0	8.0
3747	0.0	0.0
285671	3120.0	1448.0
285672	2231.0	1518.0
100873431	1.0	0.0
100873430	0.0	0.0
3760	15.0	41.0
285676	143.0	148.0
3761	2.0	5.0
100128657	0.0	0.0
285679	2.0	1.0
100861449	0.0	0.0
100861443	0.0	0.0
100861445	0.0	0.0
3759	143.0	4061.0
283008	16.0	9.0
3751	118.0	1.0
100873435	0.0	0.0
3752	227.0	55.0
100873434	0.0	0.0
3753	8.0	1.0
100873433	0.0	0.0
3754	12.0	23.0
100873432	0.0	0.0
3755	3.0	1.0
100873439	0.0	0.0
3756	16.0	16.0
100873438	0.0	0.0
3757	32.0	3.0
100873437	0.0	0.0
3758	12.0	17.0
100873436	0.0	0.0
100873420	0.0	0.0
3770	126.0	188.0
3772	40544.0	32832.0
100861458	0.0	0.0
100861453	23.0	14.0
100861455	0.0	0.0
1107	16221.0	10732.0
1106	9594.0	8370.0
1105	2776.0	1712.0
1104	1013.0	1604.0
100873429	0.0	0.0
1103	0.0	0.0
1102	4957.0	3230.0
1101	101.0	31.0
3762	95.0	592.0
100873424	0.0	0.0
3763	1.0	5.0
100128640	210.0	225.0
100873423	0.0	0.0
3764	900.0	965.0
100873422	0.0	0.0
3765	2.0	7.0
100873421	1.0	1.0
3766	63.0	99.0
100873428	0.0	0.0
3767	242.0	1025.0
100873427	0.0	0.0
3768	491.0	146.0
1109	0.0	0.0
100873426	0.0	0.0
1108	19337.0	28705.0
3769	556.0	109.0
100873425	0.0	1.0
100128637	4.0	4.0
100128639	0.0	0.0
3780	13.0	5.0
100873453	0.0	0.0
3781	20.0	47.0
100873452	0.0	0.0
3782	745.0	792.0
100873451	0.0	0.0
3783	96.0	4249.0
100873450	0.0	0.0
1121	2452.0	1266.0
100861468	0.0	1.0
1120	320.0	584.0
100861469	0.0	0.0
1118	82.0	1015.0
1117	423.0	2070.0
1116	145.0	76878.0
1114	57.0	487.0
1113	5.0	2.0
1112	3447.0	923.0
1111	285.0	390.0
3773	48304.0	18969.0
100873457	0.0	0.0
100873456	0.0	0.0
3775	990.0	1165.0
100873455	0.0	0.0
3776	1916.0	350.0
100873454	0.0	0.0
3777	837.0	409.0
3778	710.0	192.0
3779	373.0	105.0
100873459	0.0	0.0
1119	3671.0	3999.0
100128627	1.0	1.0
100128626	0.0	0.0
3790	305.0	587.0
100128628	4.0	1.0
3791	6490.0	2982.0
100873442	0.0	0.0
3792	33.0	20.0
100873441	0.0	0.0
100873440	0.0	0.0
100128625	0.0	0.0
1132	8.0	5.0
1131	360.0	432.0
1130	2736.0	2661.0
100861476	0.0	0.0
1129	0.0	0.0
1128	12.0	5.0
1124	1409.0	3422.0
1123	814.0	1120.0
1122	1394.0	702.0
100861470	1.0	0.0
3784	17430.0	9338.0
100873446	0.0	0.0
3785	5.0	0.0
100873445	0.0	0.0
3786	62.0	1166.0
100873444	0.0	0.0
3787	199.0	77.0
100873443	0.0	0.0
3788	12.0	2.0
100873449	7.0	2.0
100873448	0.0	0.0
100873447	0.0	0.0
100873471	0.0	0.0
100873470	0.0	0.0
283050	253.0	513.0
100128618	1.0	0.0
728597	19.0	0.0
100128617	15.0	0.0
100873475	0.0	0.0
100873474	0.0	0.0
728591	86.0	13.0
100873473	0.0	0.0
100873472	0.0	0.0
1143	16.0	157.0
285634	8.0	0.0
1142	1.0	1.0
1141	9.0	1.0
285636	2910.0	1794.0
1140	1730.0	2273.0
728599	3.0	2.0
1139	121.0	43.0
1138	9.0	9.0
1137	483.0	416.0
100861485	0.0	0.0
1136	16.0	20.0
1135	0.0	1.0
1134	2.0	4.0
1133	8.0	9.0
3795	308.0	403.0
100873479	9.0	17.0
3796	1514.0	853.0
100873478	2.0	0.0
3797	1067.0	1076.0
100873477	2.0	0.0
3798	350.0	169.0
100873476	0.0	0.0
3799	12783.0	6325.0
100873460	0.0	0.0
728586	16.0	32.0
285641	2.0	0.0
100873464	7.0	2.0
100873463	0.0	0.0
100873462	1.0	2.0
285643	0.0	0.0
100128603	0.0	0.0
100873461	0.0	0.0
1154	2892.0	2185.0
1153	40330.0	39517.0
1152	14588.0	5174.0
285647	67.0	12.0
728589	4.0	9.0
728588	0.0	0.0
1149	27.0	0.0
1147	2210.0	1096.0
1146	2.0	3.0
1145	145.0	87.0
1144	1.0	1.0
100873468	0.0	0.0
100873467	0.0	0.0
100873466	0.0	0.0
100873465	0.0	0.0
283033	0.0	0.0
100873469	0.0	0.0
100873493	0.0	0.0
100873492	0.0	0.0
100873491	0.0	0.0
100873490	0.0	0.0
100873497	0.0	0.0
100873496	0.0	0.0
100873495	0.0	0.0
100873494	0.0	0.0
1164	148.0	488.0
1163	691.0	955.0
285659	0.0	0.0
1161	585.0	415.0
1160	306.0	123.0
1159	170.0	47.0
1158	2.0	2.0
1157	0.0	0.0
1155	2324.0	4178.0
550643	2678.0	3517.0
283025	0.0	0.0
100873499	0.0	0.0
100873498	0.0	0.0
100873482	0.0	0.0
100873481	0.0	0.0
100873480	0.0	0.0
100873486	0.0	0.0
100873485	0.0	0.0
100873484	0.0	0.0
100873483	0.0	0.0
1176	2970.0	2916.0
1175	2218.0	3492.0
285668	11.0	3.0
1174	2095.0	3545.0
1173	20411.0	29360.0
550631	489.0	593.0
100873489	0.0	0.0
283014	18.0	26.0
100873488	0.0	0.0
100873487	0.0	0.0
283093	0.0	0.0
283092	0.0	0.0
1187	795.0	123.0
1186	4821.0	6479.0
1185	1988.0	1550.0
1184	809.0	223.0
1183	2535.0	1443.0
1182	7269.0	3667.0
1181	614.0	571.0
440375	92.0	67.0
1180	7.0	8.0
1179	0.0	0.0
1178	0.0	0.0
283089	45.0	22.0
85495	0.0	0.0
85480	87.0	38.0
283080	0.0	0.0
1198	4098.0	4482.0
1197	2.0	1.0
1196	2953.0	3811.0
1195	8579.0	11004.0
440366	0.0	0.0
1193	3633.0	2423.0
1192	14050.0	30352.0
1191	128859.0	768351.0
1188	2780.0	458.0
283078	73.0	54.0
85486	2.0	3.0
128615	0.0	0.0
85481	0.0	0.0
128611	133.0	27.0
440396	67.0	77.0
128609	0.0	0.0
128602	1.0	0.0
440387	0.0	1.0
128674	1.0	0.0
128676	1.0	0.0
114026	0.0	0.0
100861402	3.0	6.0
126014	63.0	161.0
440335	12.0	17.0
100128690	0.0	0.0
114034	1493.0	1704.0
126006	82.0	184.0
114036	524.0	338.0
100128696	0.0	0.0
100128688	0.0	0.0
126003	79.0	106.0
100861412	1.0	0.0
105180390	4.0	2.0
100128685	0.0	0.0
100128681	0.0	0.0
105180391	0.0	0.0
100128682	2.0	0.0
100128678	0.0	0.0
100861429	0.0	0.0
128653	0.0	0.0
200728	633.0	690.0
440356	2.0	0.0
440354	64.0	105.0
440352	1.0	0.0
100873419	0.0	0.0
100873418	0.0	0.0
100873413	0.0	0.0
128646	1.0	0.0
100873412	0.0	1.0
100873411	0.0	0.0
100128675	5.0	24.0
100873410	0.0	0.0
100873417	0.0	0.0
100873416	0.0	0.0
100873415	0.0	0.0
100873414	0.0	0.0
440348	7.0	18.0
100861435	0.0	0.0
100861436	0.0	0.0
440345	61.0	36.0
200734	4332.0	4156.0
100861431	0.0	0.0
100861434	0.0	0.0
100873409	0.0	0.0
440350	2.0	3.0
100873408	0.0	0.0
100873407	0.0	0.0
100861430	3.0	2.0
100873402	0.0	0.0
100873401	0.0	2.0
100873400	0.0	0.0
100128665	1.0	0.0
128637	4960.0	3790.0
100873406	0.0	0.0
100873405	0.0	0.0
100873404	0.0	0.0
100873403	0.0	0.0
645440	0.0	0.0
645443	5.0	5.0
165530	20.0	100.0
85409	28.0	31.0
106481385	2.0	1.0
106481386	1.0	0.0
85416	0.0	0.0
106481383	2.0	1.0
85417	65.0	20.0
106481384	0.0	0.0
103106903	3.0	6.0
85414	156.0	71.0
106481389	0.0	0.0
85415	932.0	413.0
106481387	0.0	0.0
85413	0.0	1.0
106481388	4.0	0.0
645436	0.0	2.0
106481381	0.0	1.0
106481382	0.0	0.0
10	0.0	1.0
106481380	0.0	0.0
11	0.0	0.0
403341	1292.0	867.0
12	3.0	0.0
13	10.0	5.0
14	11110.0	10462.0
15	25.0	7.0
16	13928.0	10399.0
645455	31.0	0.0
18	11276.0	8136.0
19	1835.0	1313.0
128580	7.0	10.0
85407	182.0	24.0
106481396	0.0	0.0
106481397	0.0	0.0
106481394	0.0	0.0
85406	2545.0	1369.0
106481395	0.0	2.0
85403	2156.0	1645.0
106481398	0.0	0.0
106481399	0.0	0.0
403339	0.0	0.0
106481392	0.0	0.0
106481393	0.0	0.0
20	10107.0	13493.0
106481390	0.0	0.0
21	7176.0	9109.0
106481391	0.0	0.0
22	1386.0	1508.0
153571	160.0	36.0
153572	188.0	47.0
23	5821.0	5045.0
24	185.0	165.0
25	16272.0	9895.0
26	2.0	2.0
27	2107.0	1364.0
28	5215.0	4142.0
29	4668.0	8131.0
153579	1809.0	923.0
728615	3.0	1.0
728614	0.0	0.0
200765	549.0	566.0
106481358	0.0	0.0
106481359	0.0	0.0
728611	63.0	48.0
102466518	0.0	0.0
102466516	20.0	6.0
102466515	0.0	0.0
106481363	0.0	0.0
106481364	0.0	0.0
85438	0.0	0.0
106481361	0.0	0.0
85439	1848.0	701.0
106481362	0.0	0.0
106481367	0.0	0.0
85437	4097.0	4056.0
106481368	0.0	0.0
106481365	0.0	0.0
728609	285.0	284.0
106481366	0.0	0.0
30	4550.0	6116.0
106481360	0.0	0.0
31	2657.0	2062.0
32	7346.0	1578.0
33	1615.0	853.0
34	4907.0	2155.0
35	3283.0	2035.0
153562	5782.0	3947.0
36	3808.0	1357.0
37	29743.0	37924.0
38	7798.0	4138.0
440307	8.0	11.0
39	897.0	883.0
165545	1.0	3.0
106481369	0.0	0.0
728606	171.0	252.0
106481374	0.0	0.0
106481375	0.0	0.0
106481372	0.0	0.0
106481373	0.0	0.0
106481378	0.0	1.0
106481379	0.0	0.0
106481376	0.0	0.0
106481377	0.0	0.0
403315	0.0	0.0
40	2.0	5.0
106481370	0.0	0.0
41	96.0	73.0
106481371	0.0	0.0
43	216.0	90.0
645486	0.0	0.0
47	8358.0	5537.0
48	5491.0	7253.0
49	15.0	32.0
106481338	0.0	0.0
106481339	0.0	1.0
106481336	0.0	0.0
106481337	1.0	0.0
106481341	0.0	0.0
106481342	1.0	4.0
106481340	0.0	0.0
