id	47807887-8bda-45be-a466-4970f198ce4d	5d2510c8-c5a0-439d-8111-357824c00c2b
440295	286.0	155.0
1028	805.0	795.0
1027	6534.0	2844.0
1026	18193.0	5494.0
1025	4182.0	5377.0
1024	723.0	319.0
3685	15780.0	6731.0
100873347	0.0	1.0
100873346	0.0	1.0
3687	1155.0	431.0
100873345	1.0	1.0
3688	12060.0	6372.0
100873344	0.0	0.0
3689	3087.0	1018.0
100873349	0.0	0.0
100873348	0.0	0.0
100873372	0.0	0.0
100873371	0.0	0.0
100873370	1.0	0.0
728498	50.0	13.0
100873376	0.0	0.0
728493	0.0	0.0
100128711	0.0	0.0
728492	60.0	11.0
100873375	0.0	1.0
100128710	0.0	0.0
285533	52.0	46.0
100873374	0.0	0.0
728495	1.0	0.0
100873373	0.0	0.0
100128712	0.0	0.0
1044	1.0	11.0
1043	741.0	344.0
1041	3.0	19.0
1040	8080.0	2303.0
1039	9572.0	1544.0
1038	2.0	0.0
1036	957.0	503.0
3696	3032.0	1472.0
3697	5.0	0.0
100873379	0.0	0.0
3698	4.0	10.0
100873378	1.0	0.0
3699	96.0	29.0
100873377	0.0	0.0
728486	11.0	0.0
100873361	0.0	0.0
105373869	2.0	36.0
100873360	0.0	0.0
285540	213.0	102.0
100128705	2.0	2.0
100873365	0.0	1.0
100873364	0.0	0.0
728481	0.0	0.0
100873363	0.0	0.0
728484	3.0	2.0
100873362	0.0	0.0
100128701	6.0	0.0
1054	2460.0	1372.0
285547	0.0	0.0
1053	6.0	3.0
285548	0.0	1.0
1052	5473.0	12403.0
1051	4804.0	4282.0
728489	8.0	28.0
1050	533.0	157.0
100128707	1.0	0.0
1048	0.0	0.0
1047	16.0	13.0
1046	0.0	0.0
1045	1.0	0.0
100873369	36.0	4.0
100873368	0.0	0.0
100873367	0.0	0.0
100873366	0.0	0.0
105373877	10.0	4.0
1066	659.0	13.0
1063	124.0	269.0
1062	107.0	84.0
1061	11.0	3.0
1060	4929.0	1559.0
440253	510.0	226.0
1059	4738.0	4694.0
1058	12.0	28.0
1057	5.0	2.0
85379	9391.0	1252.0
114112	949.0	276.0
1056	17.0	40.0
85377	1919.0	579.0
85378	5651.0	2142.0
128745	0.0	0.0
85376	9.0	4.0
440248	725.0	420.0
1075	3584.0	5868.0
1074	14.0	6.0
1073	4673.0	1155.0
1072	26938.0	21207.0
1071	134.0	203.0
440243	0.0	0.0
1070	1430.0	780.0
1069	6709.0	3063.0
1068	0.0	0.0
85369	2586.0	1070.0
85366	31.0	56.0
85364	2309.0	2010.0
85365	2908.0	1378.0
85363	1630.0	889.0
85360	609.0	547.0
1080	65.0	10.0
85391	7.0	2.0
403296	0.0	0.0
403297	0.0	0.0
85390	0.0	0.0
403299	0.0	0.0
1088	0.0	1.0
153733	459.0	238.0
1087	0.0	0.0
1086	0.0	0.0
440279	482.0	27.0
1085	1.0	1.0
1084	8.0	2.0
440278	199.0	65.0
1082	0.0	1.0
403294	0.0	0.0
440275	3886.0	1938.0
1081	2.0	0.0
85397	195.0	5.0
85395	295.0	300.0
403285	0.0	0.0
1091	0.0	0.0
1090	0.0	0.0
403288	0.0	0.0
403289	0.0	0.0
1098	0.0	0.0
1097	0.0	0.0
1096	0.0	0.0
1095	0.0	0.0
403281	0.0	0.0
403282	0.0	0.0
1094	0.0	0.0
1093	0.0	0.0
403283	0.0	0.0
403284	0.0	0.0
1092	0.0	0.0
440270	9951.0	15226.0
1089	19.0	23.0
85388	0.0	0.0
85389	0.0	0.0
128718	0.0	0.0
285596	103.0	22.0
285598	416.0	186.0
126133	1200.0	1304.0
128790	0.0	0.0
126129	89.0	474.0
126123	5.0	3.0
442862	0.0	0.0
126119	956.0	1083.0
442863	0.0	0.0
442864	0.0	0.0
442865	0.0	0.0
442866	0.0	0.0
442867	0.0	0.0
442868	0.0	0.0
128770	0.0	0.0
128774	0.0	0.0
442893	0.0	0.0
442894	0.0	0.0
442895	0.0	0.0
114131	1.0	0.0
442896	1.0	0.0
114132	15.0	6.0
442897	0.0	0.0
442898	6.0	1.0
114134	455.0	487.0
442899	0.0	0.0
100128790	0.0	0.0
128760	6.0	6.0
100128788	117.0	67.0
100128787	0.0	0.0
440225	0.0	0.0
440224	3.0	0.0
442890	0.0	0.0
442891	6.0	3.0
442892	2.0	0.0
128756	0.0	0.0
100128782	542.0	203.0
100128781	6.0	3.0
403230	0.0	0.0
403231	0.0	0.0
403232	0.0	0.0
645560	1.0	1.0
403234	0.0	0.0
403235	6.0	0.0
403236	0.0	0.0
63982	214.0	57.0
102466616	0.0	0.0
126052	0.0	1.0
151009	148.0	100.0
403227	0.0	0.0
403228	0.0	0.0
138046	0.0	2.0
645558	0.0	0.0
403229	0.0	0.0
645573	2.0	1.0
645572	0.0	0.0
645571	4.0	1.0
403223	0.0	0.0
403224	0.0	0.0
403226	0.0	0.0
200634	1008.0	799.0
107131122	6.0	2.0
138050	7640.0	4994.0
403219	0.0	0.0
151011	5049.0	1992.0
645587	3.0	0.0
165679	6.0	12.0
126037	31.0	28.0
114049	6137.0	5546.0
106481479	0.0	0.0
100033818	0.0	0.0
100033819	0.0	0.0
85319	0.0	0.0
106481484	0.0	0.0
106481485	5.0	1.0
106481482	1.0	0.0
106481483	0.0	0.0
85315	1114.0	278.0
100033821	1.0	0.0
106481488	0.0	0.0
100033822	0.0	0.0
106481489	0.0	0.0
85313	6600.0	1664.0
106481486	0.0	0.0
106481487	0.0	0.0
645579	370.0	63.0
100033820	0.0	0.0
106481480	0.0	0.0
106481481	0.0	0.0
138065	14.0	138.0
645598	0.0	0.0
163007	1.0	3.0
114038	0.0	1.0
645591	0.0	0.0
106481495	0.0	0.0
114041	118.0	8.0
106481496	0.0	0.0
114042	8.0	5.0
106481493	0.0	0.0
114043	89.0	5.0
106481494	0.0	0.0
106481499	0.0	0.0
114044	299.0	164.0
126017	570.0	176.0
106481497	1.0	0.0
106481498	0.0	0.0
85303	0.0	0.0
85300	0.0	0.0
85301	6311.0	994.0
106481491	0.0	0.0
106481492	0.0	0.0
106481490	0.0	0.0
403274	0.0	0.0
102466657	0.0	0.0
403275	0.0	0.0
102466656	0.0	1.0
403276	0.0	0.0
403277	0.0	0.0
403278	0.0	0.0
26996	560.0	125.0
106481459	0.0	0.0
26994	13044.0	4394.0
106481457	8.0	4.0
26995	2268.0	1532.0
106481458	0.0	0.0
403271	0.0	0.0
26998	1.0	1.0
403272	0.0	0.0
102466659	0.0	0.0
26999	3377.0	1084.0
403273	0.0	0.0
102466658	0.0	0.0
106481462	0.0	0.0
106481463	0.0	0.0
104310353	3.0	0.0
106481460	1.0	1.0
106481461	0.0	0.0
104310350	0.0	0.0
106481466	0.0	0.0
26993	4600.0	3889.0
106481467	0.0	0.0
106481464	2.0	0.0
106481465	0.0	0.0
104310351	0.0	0.0
403263	0.0	0.0
403264	0.0	0.0
403265	0.0	0.0
403266	0.0	0.0
138009	0.0	0.0
106481468	0.0	0.0
106481469	0.0	0.0
403260	0.0	0.0
106481473	0.0	0.0
106481474	0.0	1.0
106481471	0.0	0.0
85329	7.0	1.0
106481472	0.0	0.0
106481477	1.0	0.0
106481478	0.0	0.0
106481475	0.0	0.0
106481476	0.0	0.0
85320	17.0	36.0
106481470	0.0	0.0
403252	0.0	0.0
403253	0.0	0.0
403254	0.0	0.0
126070	574.0	268.0
403255	0.0	0.0
403256	0.0	0.0
403257	0.0	0.0
344471	9.0	13.0
106481437	0.0	0.0
26974	444.0	285.0
153657	140.0	29.0
106481438	3.0	0.0
106481435	0.0	0.0
26973	2753.0	1156.0
165631	100.0	35.0
106481436	3.0	0.0
26978	15.0	9.0
126075	1376.0	1323.0
106481439	0.0	0.0
403250	0.0	0.0
126074	249.0	227.0
403251	0.0	0.0
106481440	0.0	0.0
106481441	0.0	0.0
85359	2606.0	1730.0
106481444	41.0	21.0
106481445	0.0	0.0
106481442	0.0	0.0
106481443	0.0	0.0
85358	2015.0	2697.0
85354	0.0	0.0
85352	20.0	21.0
403241	5.0	1.0
344462	3.0	0.0
403244	1.0	0.0
403245	0.0	0.0
153642	986.0	244.0
153643	122.0	53.0
403247	0.0	0.0
403248	0.0	0.0
26985	3707.0	1093.0
106481448	0.0	0.0
26986	50462.0	31310.0
126069	80.0	35.0
106481449	0.0	0.0
126068	1075.0	1102.0
106481446	0.0	0.0
26983	1.0	0.0
26984	1278.0	640.0
106481447	0.0	0.0
106481451	2.0	3.0
106481452	1.0	0.0
106481450	0.0	0.0
114088	69.0	19.0
106481455	0.0	0.0
85349	572.0	135.0
106481456	0.0	0.0
26982	0.0	0.0
106481453	1.0	0.0
85347	0.0	0.0
26980	4.0	2.0
106481454	0.0	0.0
403238	0.0	0.0
85344	55.0	7.0
403239	0.0	0.0
85345	0.0	0.0
85343	0.0	0.0
344454	0.0	0.0
85340	0.0	0.0
100873394	0.0	0.0
100873393	1.0	0.0
100873392	3.0	2.0
100873391	0.0	0.0
100873398	0.0	0.0
100873397	0.0	0.0
100873396	0.0	0.0
100873395	1.0	0.0
100128811	0.0	0.0
106481415	0.0	0.0
106481416	0.0	0.0
106481413	0.0	0.0
106481414	0.0	0.0
63901	3727.0	3860.0
100873390	1.0	0.0
728556	31.0	27.0
106481419	2.0	0.0
100128817	0.0	0.0
728558	200.0	80.0
106481417	0.0	0.0
106481418	0.0	0.0
106481422	0.0	0.0
163081	551.0	267.0
106481423	0.0	2.0
106481420	0.0	0.0
106481421	0.0	0.0
100873399	0.0	0.0
100873383	0.0	0.0
100873382	0.0	0.0
100873381	2.0	19.0
100873380	0.0	0.0
100128804	0.0	0.0
100873387	0.0	0.0
100873386	0.0	0.0
100873385	0.0	0.0
100128801	0.0	0.0
285600	438.0	111.0
100873384	0.0	0.0
285601	9.0	11.0
106481426	0.0	0.0
106481427	0.0	1.0
222005	0.0	1.0
63910	125.0	261.0
106481424	0.0	0.0
106481425	0.0	0.0
285605	929.0	225.0
222008	7.0	0.0
106481428	1.0	0.0
106481429	0.0	0.0
63905	4875.0	2554.0
63904	0.0	0.0
106481430	1.0	0.0
163071	437.0	237.0
63906	1066.0	619.0
106481433	0.0	0.0
63908	1662.0	780.0
106481434	0.0	0.0
106481431	0.0	0.0
106481432	0.0	0.0
100873389	0.0	0.0
100873388	11.0	4.0
285613	77.0	81.0
63920	653.0	429.0
63923	94.0	24.0
63922	691.0	939.0
728577	55.0	10.0
63925	2756.0	1768.0
63924	57.0	1.0
63916	2312.0	2003.0
63917	5476.0	2555.0
106481400	0.0	0.0
106481401	0.0	0.0
728562	1.0	2.0
728564	1.0	6.0
285622	0.0	1.0
106481404	0.0	0.0
106481405	0.0	0.0
63932	2346.0	911.0
106481402	0.0	0.0
63931	2663.0	899.0
106481403	0.0	0.0
63934	1302.0	907.0
728567	11.0	2.0
106481408	0.0	0.0
163088	15.0	4.0
63933	2940.0	1390.0
106481409	0.0	0.0
106481406	0.0	0.0
63935	6653.0	2866.0
163087	1064.0	568.0
728568	379.0	466.0
106481407	17.0	4.0
3704	2824.0	2461.0
3705	2973.0	3142.0
63926	1195.0	230.0
3706	17.0	45.0
63929	1406.0	335.0
3707	1801.0	2145.0
63928	4.0	2.0
3708	18058.0	652.0
106481411	0.0	1.0
3709	2697.0	1358.0
106481412	0.0	0.0
106481410	0.0	0.0
3700	27.0	29.0
3702	433.0	38.0
3703	11410.0	3919.0
645506	0.0	0.0
151050	4167.0	1012.0
645520	0.0	0.0
63941	2190.0	1520.0
63940	591.0	419.0
63943	892.0	437.0
728517	0.0	0.0
163033	610.0	1765.0
258010	6430.0	3657.0
63947	1.0	0.0
63946	0.0	1.0
728513	0.0	0.0
100033803	0.0	0.0
3716	11469.0	5495.0
100033804	0.0	0.0
3717	1038.0	270.0
100033805	0.0	0.0
3718	336.0	1151.0
63939	618.0	568.0
100033806	0.0	0.0
100190799	6.0	5.0
100033800	0.0	0.0
100033801	0.0	0.0
100033802	0.0	0.0
344405	199.0	145.0
3710	13221.0	4919.0
3712	30542.0	5521.0
3713	5.0	252.0
3714	531.0	3181.0
63950	2.0	0.0
728505	0.0	0.0
63951	447.0	240.0
100033807	0.0	0.0
728501	66.0	23.0
100033808	0.0	0.0
100033809	0.0	0.0
3726	35711.0	17981.0
100033814	0.0	0.0
3727	55524.0	18721.0
63948	25.0	2.0
100033815	0.0	0.0
222052	0.0	0.0
3728	22568.0	11386.0
100033816	0.0	0.0
100033817	0.0	0.0
100033810	0.0	0.0
100033811	0.0	0.0
100033812	0.0	0.0
100033813	0.0	0.0
3720	1134.0	713.0
151056	327.0	90.0
3725	116420.0	14626.0
645528	3.0	0.0
728532	54.0	16.0
163059	716.0	341.0
728538	0.0	0.0
728537	546.0	337.0
63967	26.0	27.0
3737	47.0	2.0
3738	20.0	2.0
3739	0.0	0.0
645538	0.0	0.0
3730	1724.0	486.0
3732	3233.0	2237.0
3734	0.0	0.0
3735	7804.0	4199.0
3736	583.0	0.0
63970	3.0	5.0
3750	169.0	123.0
63971	7271.0	1836.0
63974	0.0	0.0
163049	4442.0	1372.0
63973	1.0	1.0
63976	4603.0	742.0
222068	16820.0	8749.0
63978	0.0	0.0
63977	570.0	296.0
63979	684.0	488.0
728524	0.0	0.0
3748	4714.0	1582.0
163051	54.0	66.0
3749	625.0	440.0
163050	59.0	31.0
3741	210.0	113.0
645548	4.0	17.0
3743	2.0	2.0
3744	1.0	0.0
3745	56.0	49.0
3746	21.0	5.0
3747	0.0	0.0
285671	3216.0	670.0
285672	2023.0	1425.0
100873431	0.0	0.0
100873430	0.0	1.0
3760	2.0	4.0
285676	117.0	91.0
3761	1.0	0.0
100128657	0.0	0.0
285679	2.0	1.0
100861449	0.0	0.0
100861443	0.0	0.0
100861445	0.0	0.0
3759	154.0	634.0
283008	1.0	0.0
3751	62.0	24.0
100873435	0.0	0.0
3752	165.0	12.0
100873434	0.0	0.0
3753	20.0	10.0
100873433	0.0	0.0
3754	8.0	55.0
100873432	0.0	0.0
3755	3.0	15.0
100873439	0.0	0.0
3756	11.0	13.0
100873438	0.0	0.0
3757	9.0	9.0
100873437	0.0	0.0
3758	21.0	0.0
100873436	0.0	0.0
100873420	3.0	0.0
3770	197.0	78.0
3772	11050.0	4015.0
100861458	0.0	0.0
100861453	70.0	8.0
100861455	0.0	0.0
1107	14330.0	5377.0
1106	19163.0	5456.0
1105	3412.0	2020.0
1104	1303.0	983.0
100873429	0.0	0.0
1103	0.0	1.0
1102	4448.0	1087.0
1101	118.0	57.0
3762	174.0	324.0
100873424	0.0	0.0
3763	5.0	7.0
100128640	519.0	113.0
100873423	0.0	0.0
3764	378.0	553.0
100873422	0.0	0.0
3765	0.0	2.0
100873421	2.0	0.0
3766	93.0	59.0
100873428	0.0	0.0
3767	300.0	108.0
100873427	1.0	0.0
3768	364.0	231.0
1109	0.0	0.0
100873426	2.0	0.0
1108	20082.0	15493.0
3769	252.0	30.0
100873425	0.0	0.0
100128637	1.0	1.0
100128639	2.0	0.0
3780	12.0	12.0
100873453	0.0	0.0
3781	5.0	49.0
100873452	0.0	0.0
3782	561.0	785.0
100873451	0.0	0.0
3783	104.0	1746.0
100873450	0.0	1.0
1121	2429.0	572.0
100861468	0.0	1.0
1120	591.0	280.0
100861469	0.0	0.0
1118	1888.0	207.0
1117	1158.0	447.0
1116	2021.0	7198.0
1114	81.0	10.0
1113	5.0	0.0
1112	3851.0	1127.0
1111	237.0	397.0
3773	45791.0	13113.0
100873457	5.0	1.0
100873456	2.0	0.0
3775	995.0	696.0
100873455	0.0	0.0
3776	1908.0	48.0
100873454	0.0	0.0
3777	845.0	334.0
3778	432.0	123.0
3779	167.0	282.0
100873459	0.0	0.0
1119	5928.0	2802.0
100128627	0.0	0.0
100128626	0.0	0.0
3790	133.0	347.0
100128628	13.0	4.0
3791	6394.0	2088.0
100873442	0.0	0.0
3792	55.0	12.0
100873441	0.0	0.0
100873440	0.0	0.0
100128625	0.0	0.0
1132	5.0	4.0
1131	202.0	267.0
1130	2676.0	1627.0
100861476	1.0	0.0
1129	2.0	0.0
1128	5.0	0.0
1124	1432.0	1039.0
1123	815.0	843.0
1122	1882.0	295.0
100861470	0.0	0.0
3784	15222.0	3987.0
100873446	0.0	0.0
3785	2.0	1.0
100873445	0.0	0.0
3786	110.0	487.0
100873444	0.0	0.0
3787	10.0	0.0
100873443	0.0	0.0
3788	13.0	1.0
100873449	18.0	4.0
100873448	0.0	0.0
100873447	0.0	0.0
100873471	0.0	0.0
100873470	0.0	1.0
283050	356.0	117.0
100128618	0.0	1.0
728597	5.0	0.0
100128617	7.0	1.0
100873475	0.0	0.0
100873474	0.0	0.0
728591	33.0	10.0
100873473	0.0	0.0
100873472	0.0	0.0
1143	13.0	3.0
285634	8.0	2.0
1142	0.0	0.0
1141	7.0	3.0
285636	3812.0	1578.0
1140	1297.0	1308.0
728599	11.0	3.0
1139	113.0	11.0
1138	8.0	4.0
1137	296.0	31.0
100861485	0.0	0.0
1136	15.0	2.0
1135	1.0	7.0
1134	2.0	8.0
1133	11.0	6.0
3795	166.0	65.0
100873479	9.0	6.0
3796	1200.0	285.0
100873478	0.0	0.0
3797	931.0	285.0
100873477	4.0	2.0
3798	191.0	35.0
100873476	0.0	0.0
3799	11892.0	4352.0
100873460	0.0	0.0
728586	23.0	24.0
285641	1.0	1.0
100873464	3.0	1.0
100873463	0.0	4.0
100873462	3.0	2.0
285643	1.0	0.0
100128603	0.0	0.0
100873461	1.0	0.0
1154	3722.0	1489.0
1153	61491.0	34180.0
1152	10647.0	4078.0
285647	108.0	8.0
728589	14.0	1.0
728588	0.0	0.0
1149	45.0	0.0
1147	1931.0	499.0
1146	1.0	1.0
1145	41.0	55.0
1144	2.0	1.0
100873468	0.0	0.0
100873467	0.0	0.0
100873466	0.0	0.0
100873465	0.0	0.0
283033	0.0	0.0
100873469	2.0	0.0
100873493	0.0	0.0
100873492	0.0	0.0
100873491	1.0	0.0
100873490	0.0	0.0
100873497	0.0	0.0
100873496	0.0	0.0
100873495	0.0	0.0
100873494	0.0	0.0
1164	233.0	579.0
1163	618.0	378.0
285659	3.0	0.0
1161	561.0	243.0
1160	218.0	75.0
1159	118.0	32.0
1158	2.0	3.0
1157	0.0	0.0
1155	2116.0	2951.0
550643	2947.0	2111.0
283025	0.0	0.0
100873499	0.0	0.0
100873498	0.0	0.0
100873482	0.0	0.0
100873481	0.0	0.0
100873480	0.0	0.0
100873486	0.0	0.0
100873485	0.0	0.0
100873484	1.0	0.0
100873483	0.0	0.0
1176	4197.0	1836.0
1175	2369.0	1745.0
285668	4.0	0.0
1174	1475.0	1480.0
1173	17165.0	12921.0
550631	636.0	174.0
100873489	0.0	0.0
283014	29.0	18.0
100873488	0.0	0.0
100873487	0.0	1.0
283093	0.0	0.0
283092	0.0	0.0
1187	1198.0	80.0
1186	4915.0	2952.0
1185	2672.0	1001.0
1184	746.0	225.0
1183	1871.0	438.0
1182	5869.0	1976.0
1181	542.0	319.0
440375	46.0	7.0
1180	14.0	1.0
1179	0.0	0.0
1178	0.0	0.0
283089	36.0	7.0
85495	0.0	0.0
85480	259.0	51.0
283080	1.0	0.0
1198	6093.0	3329.0
1197	3.0	1.0
1196	3912.0	2621.0
1195	20352.0	14193.0
440366	1.0	0.0
1193	4507.0	853.0
1192	12861.0	11272.0
1191	236414.0	286222.0
1188	954.0	138.0
283078	91.0	63.0
85486	2.0	3.0
128615	0.0	0.0
85481	0.0	0.0
128611	178.0	9.0
440396	113.0	93.0
128609	0.0	0.0
128602	0.0	0.0
440387	4.0	3.0
128674	2.0	0.0
128676	1.0	1.0
114026	1.0	0.0
100861402	5.0	2.0
126014	93.0	62.0
440335	20.0	307.0
100128690	0.0	0.0
114034	1464.0	697.0
126006	91.0	163.0
114036	199.0	87.0
100128696	0.0	0.0
100128688	0.0	1.0
126003	83.0	293.0
100861412	1.0	0.0
105180390	0.0	0.0
100128685	0.0	0.0
100128681	0.0	0.0
105180391	0.0	0.0
100128682	3.0	0.0
100128678	1.0	0.0
100861429	0.0	0.0
128653	0.0	0.0
200728	455.0	216.0
440356	4.0	9.0
440354	108.0	39.0
440352	0.0	0.0
100873419	1.0	0.0
100873418	0.0	0.0
100873413	0.0	0.0
128646	5.0	0.0
100873412	0.0	2.0
100873411	0.0	0.0
100128675	9.0	26.0
100873410	0.0	0.0
100873417	3.0	1.0
100873416	0.0	1.0
100873415	0.0	0.0
100873414	0.0	0.0
440348	17.0	12.0
100861435	1.0	0.0
100861436	0.0	0.0
440345	137.0	91.0
200734	5100.0	3202.0
100861431	0.0	0.0
100861434	0.0	0.0
100873409	0.0	0.0
440350	16.0	3.0
100873408	0.0	0.0
100873407	0.0	0.0
100861430	6.0	0.0
100873402	0.0	0.0
100873401	1.0	0.0
100873400	0.0	0.0
100128665	0.0	0.0
128637	4886.0	2416.0
100873406	0.0	0.0
100873405	0.0	1.0
100873404	0.0	0.0
100873403	0.0	0.0
645440	0.0	0.0
645443	8.0	6.0
165530	16.0	16.0
85409	10.0	118.0
106481385	1.0	0.0
106481386	0.0	1.0
85416	0.0	0.0
106481383	1.0	0.0
85417	86.0	21.0
106481384	0.0	0.0
103106903	1.0	0.0
85414	96.0	38.0
106481389	0.0	0.0
85415	1381.0	216.0
106481387	0.0	0.0
85413	2.0	1.0
106481388	17.0	2.0
645436	1.0	0.0
106481381	0.0	0.0
106481382	0.0	0.0
10	1.0	2.0
106481380	0.0	0.0
11	0.0	0.0
403341	1089.0	876.0
12	36.0	3.0
13	6.0	1.0
14	10228.0	4193.0
15	25.0	6.0
16	10569.0	3978.0
645455	18.0	5.0
18	9656.0	4509.0
19	1807.0	1949.0
128580	7.0	4.0
85407	129.0	42.0
106481396	0.0	0.0
106481397	1.0	0.0
106481394	0.0	0.0
85406	1733.0	503.0
106481395	0.0	0.0
85403	2153.0	861.0
106481398	0.0	0.0
106481399	0.0	0.0
403339	0.0	0.0
106481392	1.0	0.0
106481393	0.0	0.0
20	7957.0	10689.0
106481390	0.0	0.0
21	9444.0	2104.0
106481391	0.0	0.0
22	1948.0	691.0
153571	15.0	988.0
153572	32.0	841.0
23	5804.0	1823.0
24	134.0	153.0
25	13610.0	5033.0
26	23.0	30.0
27	2392.0	1361.0
28	5978.0	2411.0
29	3132.0	3584.0
153579	1102.0	1407.0
728615	1.0	0.0
728614	0.0	0.0
200765	486.0	336.0
106481358	2.0	3.0
106481359	0.0	0.0
728611	29.0	28.0
102466518	4.0	1.0
102466516	40.0	7.0
102466515	0.0	0.0
106481363	0.0	0.0
106481364	0.0	0.0
85438	0.0	0.0
106481361	0.0	0.0
85439	1631.0	795.0
106481362	0.0	0.0
106481367	1.0	0.0
85437	3994.0	1951.0
106481368	0.0	0.0
106481365	0.0	0.0
728609	493.0	358.0
106481366	0.0	0.0
30	2733.0	2353.0
106481360	1.0	0.0
31	2687.0	1129.0
32	9506.0	945.0
33	4193.0	492.0
34	4910.0	1025.0
35	2179.0	1051.0
153562	4411.0	1063.0
36	2908.0	533.0
37	22806.0	18616.0
38	4175.0	950.0
440307	16.0	10.0
39	765.0	259.0
165545	3.0	1.0
106481369	0.0	0.0
728606	299.0	181.0
106481374	0.0	0.0
106481375	0.0	0.0
106481372	0.0	0.0
106481373	0.0	0.0
106481378	1.0	2.0
106481379	0.0	0.0
106481376	0.0	0.0
106481377	0.0	0.0
403315	1.0	0.0
40	4.0	4.0
106481370	0.0	0.0
41	53.0	40.0
106481371	0.0	0.0
43	432.0	93.0
645486	0.0	0.0
47	5578.0	2957.0
48	5176.0	2337.0
49	16.0	26.0
106481338	0.0	0.0
106481339	0.0	0.0
106481336	0.0	0.0
106481337	3.0	0.0
106481341	0.0	0.0
106481342	2.0	1.0
106481340	1.0	0.0
85458	2870.0	619.0
106481345	0.0	1.0
85459	1277.0	713.0
106481346	0.0	0.0
85456	11572.0	5324.0
442910	2.0	3.0
