id	1ab1536f-cc6c-499c-b555-96c62327471d	1789335d-a47c-438f-baf3-09aa990bdf7e
3664	2366.0	1165.0
100873324	0.0	0.0
3665	1046.0	2803.0
100873323	0.0	0.0
100873322	0.0	0.0
3667	1278.0	1645.0
100873329	0.0	0.0
285590	1042.0	327.0
100873328	0.0	0.0
3669	2506.0	6664.0
100873327	0.0	0.0
1009	103.0	530.0
100873326	0.0	0.0
100873350	0.0	0.0
116729	0.0	2.0
728477	3.0	2.0
3680	1014.0	1458.0
3681	128.0	223.0
100128733	0.0	0.0
100873354	0.0	0.0
3682	859.0	1224.0
100873353	0.0	0.0
3683	1662.0	5726.0
100873352	0.0	0.0
128710	218.0	269.0
3684	671.0	1055.0
100873351	0.0	0.0
285512	25.0	94.0
1022	674.0	650.0
285513	248.0	866.0
1021	338.0	679.0
1020	1083.0	852.0
440299	0.0	0.0
1019	2767.0	1998.0
128709	1.0	2.0
1018	1.0	10.0
1017	285.0	582.0
1016	0.0	2.0
1015	6.0	19.0
1014	829.0	4050.0
1013	7.0	16.0
1012	813.0	176.0
116730	6.0	63.0
3674	11.0	72.0
100873358	0.0	0.0
3675	8851.0	5548.0
100873357	0.0	5.0
3676	140.0	300.0
100128731	8222.0	7537.0
100873356	0.0	0.0
3678	2361.0	1520.0
3679	385.0	512.0
100873359	0.0	0.0
728464	7.0	8.0
728463	3.0	0.0
100128725	0.0	0.0
3690	630.0	257.0
3691	1039.0	1472.0
100873343	0.0	0.0
3692	6120.0	5978.0
3693	2472.0	1337.0
285521	657.0	578.0
100873342	0.0	0.0
3694	345.0	264.0
100873341	0.0	0.0
3695	315.0	449.0
100873340	0.0	0.0
100128723	0.0	0.0
1033	48.0	308.0
1032	186.0	699.0
285525	2.0	3.0
1031	1432.0	895.0
285527	479.0	981.0
1030	92.0	44.0
728468	0.0	0.0
440288	32.0	62.0
1029	133.0	150.0
440295	10.0	33.0
1028	206.0	483.0
1027	2008.0	3046.0
1026	6566.0	1402.0
1025	2543.0	3296.0
1024	248.0	317.0
3685	4066.0	2448.0
100873347	0.0	0.0
100873346	0.0	0.0
3687	1014.0	2184.0
100873345	0.0	0.0
3688	1807.0	1158.0
100873344	0.0	1.0
3689	8834.0	13290.0
100873349	0.0	0.0
100873348	0.0	0.0
100873372	0.0	0.0
100873371	0.0	0.0
100873370	0.0	0.0
728498	7.0	9.0
100873376	0.0	0.0
728493	0.0	0.0
100128711	0.0	0.0
728492	8.0	18.0
100873375	0.0	0.0
100128710	0.0	2.0
285533	24.0	62.0
100873374	0.0	0.0
728495	0.0	0.0
100873373	0.0	0.0
100128712	0.0	0.0
1044	2.0	31.0
1043	2022.0	14105.0
1041	0.0	0.0
1040	1966.0	784.0
1039	1068.0	1463.0
1038	0.0	0.0
1036	5.0	223.0
3696	20.0	149.0
3697	1.0	23.0
100873379	0.0	0.0
3698	2.0	11.0
100873378	0.0	1.0
3699	8.0	72.0
100873377	0.0	0.0
728486	7.0	5.0
100873361	0.0	0.0
105373869	1.0	0.0
100873360	0.0	0.0
285540	95.0	110.0
100128705	0.0	0.0
100873365	0.0	0.0
100873364	0.0	0.0
728481	0.0	0.0
100873363	0.0	0.0
728484	2.0	4.0
100873362	0.0	0.0
100128701	0.0	1.0
1054	998.0	1142.0
285547	0.0	0.0
1053	3.0	25.0
285548	0.0	0.0
1052	3426.0	2725.0
1051	2077.0	2654.0
728489	5.0	11.0
1050	874.0	854.0
100128707	0.0	0.0
1048	0.0	0.0
1047	12.0	13.0
1046	0.0	0.0
1045	0.0	11.0
100873369	0.0	0.0
100873368	0.0	0.0
100873367	0.0	0.0
100873366	0.0	0.0
105373877	0.0	0.0
1066	575.0	635.0
1063	118.0	499.0
1062	52.0	182.0
1061	0.0	0.0
1060	491.0	755.0
440253	56.0	66.0
1059	5885.0	5962.0
1058	25.0	165.0
1057	2.0	0.0
85379	1790.0	1412.0
114112	245.0	232.0
1056	5.0	13.0
85377	1636.0	1347.0
85378	1347.0	2412.0
128745	0.0	0.0
85376	38.0	30.0
440248	77.0	114.0
1075	4812.0	6122.0
1074	3.0	3.0
1073	1030.0	743.0
1072	35479.0	49302.0
1071	211.0	1255.0
440243	0.0	0.0
1070	396.0	541.0
1069	2412.0	2347.0
1068	0.0	0.0
85369	783.0	1018.0
85366	21.0	30.0
85364	1026.0	1492.0
85365	1655.0	1138.0
85363	878.0	830.0
85360	325.0	441.0
1080	1.0	3.0
85391	0.0	4.0
403296	0.0	0.0
403297	0.0	0.0
85390	0.0	0.0
403299	0.0	0.0
1088	0.0	0.0
153733	109.0	160.0
1087	0.0	0.0
1086	0.0	0.0
440279	11.0	35.0
1085	0.0	0.0
1084	3.0	16.0
440278	151.0	93.0
1082	0.0	0.0
403294	0.0	0.0
440275	1398.0	1284.0
1081	0.0	1.0
85397	10.0	166.0
85395	649.0	795.0
403285	0.0	0.0
1091	0.0	0.0
1090	0.0	0.0
403288	0.0	0.0
403289	0.0	0.0
1098	0.0	0.0
1097	0.0	0.0
1096	0.0	0.0
1095	0.0	0.0
403281	0.0	0.0
403282	0.0	0.0
1094	0.0	0.0
1093	0.0	0.0
403283	0.0	0.0
403284	0.0	0.0
1092	0.0	0.0
440270	896.0	2100.0
1089	18.0	45.0
85388	0.0	0.0
85389	0.0	0.0
128718	0.0	0.0
285596	27.0	67.0
285598	45.0	170.0
126133	2590.0	3387.0
128790	0.0	0.0
126129	55.0	103.0
126123	1.0	7.0
442862	0.0	0.0
126119	2550.0	2118.0
442863	0.0	0.0
442864	0.0	0.0
442865	0.0	0.0
442866	0.0	0.0
442867	0.0	0.0
442868	0.0	0.0
128770	0.0	0.0
128774	0.0	0.0
442893	0.0	0.0
442894	0.0	0.0
442895	0.0	0.0
114131	1.0	0.0
442896	0.0	0.0
114132	24.0	20.0
442897	0.0	0.0
442898	0.0	0.0
114134	61.0	56.0
442899	0.0	0.0
100128790	0.0	0.0
128760	0.0	14.0
100128788	18.0	32.0
100128787	0.0	0.0
440225	0.0	0.0
440224	0.0	0.0
442890	0.0	0.0
442891	0.0	0.0
442892	0.0	2.0
128756	0.0	0.0
100128782	170.0	269.0
100128781	0.0	0.0
403230	0.0	0.0
403231	0.0	0.0
403232	0.0	0.0
645560	1.0	3.0
403234	0.0	0.0
403235	0.0	2.0
403236	0.0	0.0
63982	15.0	8.0
102466616	0.0	0.0
126052	0.0	0.0
151009	34.0	36.0
403227	0.0	0.0
403228	0.0	0.0
138046	0.0	0.0
645558	0.0	0.0
403229	0.0	0.0
645573	0.0	5.0
645572	0.0	0.0
645571	4.0	3.0
403223	0.0	0.0
403224	0.0	0.0
403226	0.0	0.0
200634	690.0	547.0
107131122	0.0	0.0
138050	2054.0	1758.0
403219	0.0	0.0
151011	687.0	702.0
645587	0.0	0.0
165679	2.0	28.0
126037	28.0	46.0
114049	4039.0	4193.0
106481479	0.0	0.0
100033818	0.0	0.0
100033819	0.0	0.0
85319	1.0	0.0
106481484	0.0	0.0
106481485	0.0	0.0
106481482	0.0	0.0
106481483	0.0	0.0
85315	360.0	891.0
100033821	0.0	0.0
106481488	0.0	0.0
100033822	0.0	0.0
106481489	0.0	0.0
85313	575.0	614.0
106481486	0.0	0.0
106481487	0.0	0.0
645579	87.0	71.0
100033820	0.0	0.0
106481480	1.0	0.0
106481481	0.0	0.0
138065	0.0	10.0
645598	0.0	0.0
163007	0.0	0.0
114038	0.0	0.0
645591	0.0	0.0
106481495	0.0	0.0
114041	10.0	12.0
106481496	0.0	0.0
114042	0.0	5.0
106481493	0.0	0.0
114043	1.0	11.0
106481494	0.0	0.0
106481499	0.0	0.0
114044	35.0	48.0
126017	186.0	261.0
106481497	0.0	0.0
106481498	0.0	0.0
85303	0.0	0.0
85300	1.0	1.0
85301	54.0	546.0
106481491	0.0	0.0
106481492	0.0	0.0
106481490	0.0	0.0
403274	0.0	0.0
102466657	0.0	0.0
403275	0.0	0.0
102466656	0.0	0.0
403276	0.0	0.0
403277	0.0	0.0
403278	0.0	0.0
26996	393.0	493.0
106481459	0.0	0.0
26994	1870.0	2362.0
106481457	1.0	1.0
26995	1788.0	1565.0
106481458	0.0	0.0
403271	0.0	0.0
26998	0.0	0.0
403272	0.0	0.0
102466659	1.0	0.0
26999	2648.0	4162.0
403273	0.0	0.0
102466658	0.0	0.0
106481462	0.0	0.0
106481463	0.0	0.0
104310353	0.0	0.0
106481460	0.0	1.0
106481461	0.0	0.0
104310350	0.0	0.0
106481466	0.0	0.0
26993	1823.0	2184.0
106481467	0.0	0.0
106481464	0.0	0.0
106481465	0.0	0.0
104310351	0.0	0.0
403263	0.0	0.0
403264	0.0	0.0
403265	0.0	0.0
403266	0.0	0.0
138009	0.0	0.0
106481468	0.0	0.0
106481469	0.0	0.0
403260	0.0	0.0
106481473	0.0	0.0
106481474	0.0	0.0
106481471	0.0	0.0
85329	0.0	5.0
106481472	0.0	0.0
106481477	1.0	0.0
106481478	0.0	0.0
106481475	0.0	0.0
106481476	0.0	0.0
85320	10.0	7.0
106481470	0.0	0.0
403252	0.0	0.0
403253	0.0	0.0
403254	0.0	0.0
126070	152.0	206.0
403255	0.0	0.0
403256	0.0	0.0
403257	0.0	0.0
344471	2.0	9.0
106481437	0.0	0.0
26974	106.0	108.0
153657	12.0	24.0
106481438	0.0	0.0
106481435	0.0	0.0
26973	332.0	655.0
165631	45.0	377.0
106481436	0.0	0.0
26978	6.0	12.0
126075	1556.0	1269.0
106481439	0.0	0.0
403250	0.0	0.0
126074	238.0	261.0
403251	0.0	0.0
106481440	0.0	0.0
106481441	0.0	0.0
85359	3557.0	2890.0
106481444	0.0	1.0
106481445	0.0	0.0
106481442	0.0	0.0
106481443	0.0	0.0
85358	1238.0	870.0
85354	0.0	0.0
85352	11.0	62.0
403241	1.0	1.0
344462	0.0	6.0
403244	0.0	0.0
403245	0.0	1.0
153642	151.0	208.0
153643	36.0	39.0
403247	0.0	0.0
403248	0.0	0.0
26985	1114.0	1054.0
106481448	0.0	0.0
26986	19505.0	37562.0
126069	22.0	28.0
106481449	0.0	0.0
126068	141.0	242.0
106481446	0.0	0.0
26983	0.0	0.0
26984	437.0	559.0
106481447	1.0	0.0
106481451	0.0	0.0
106481452	0.0	0.0
106481450	0.0	0.0
114088	5.0	20.0
106481455	0.0	0.0
85349	14.0	7.0
106481456	0.0	0.0
26982	0.0	0.0
106481453	0.0	0.0
85347	0.0	0.0
26980	2.0	2.0
106481454	0.0	0.0
403238	0.0	0.0
85344	5.0	7.0
403239	0.0	0.0
85345	0.0	0.0
85343	0.0	0.0
344454	0.0	0.0
85340	0.0	0.0
100873394	0.0	0.0
100873393	0.0	0.0
100873392	4.0	0.0
100873391	0.0	0.0
100873398	0.0	0.0
100873397	0.0	0.0
100873396	0.0	0.0
100873395	0.0	0.0
100128811	0.0	0.0
106481415	0.0	0.0
106481416	0.0	0.0
106481413	0.0	0.0
106481414	0.0	0.0
63901	911.0	1533.0
100873390	0.0	0.0
728556	15.0	10.0
106481419	0.0	0.0
100128817	0.0	0.0
728558	24.0	30.0
106481417	0.0	0.0
106481418	0.0	0.0
106481422	0.0	0.0
163081	81.0	105.0
106481423	0.0	1.0
106481420	0.0	0.0
106481421	0.0	0.0
100873399	0.0	0.0
100873383	0.0	0.0
100873382	0.0	0.0
100873381	0.0	1.0
100873380	0.0	0.0
100128804	0.0	0.0
100873387	0.0	0.0
100873386	0.0	0.0
100873385	0.0	0.0
100128801	0.0	0.0
285600	21.0	13.0
100873384	0.0	0.0
285601	8.0	19.0
106481426	0.0	0.0
106481427	1.0	1.0
222005	1.0	2.0
63910	361.0	773.0
106481424	0.0	0.0
106481425	0.0	0.0
285605	157.0	114.0
222008	1.0	0.0
106481428	0.0	0.0
106481429	0.0	0.0
63905	3751.0	2669.0
63904	0.0	0.0
106481430	0.0	0.0
163071	267.0	147.0
63906	982.0	997.0
106481433	0.0	0.0
63908	265.0	392.0
106481434	0.0	0.0
106481431	0.0	0.0
106481432	0.0	0.0
100873389	0.0	0.0
100873388	0.0	0.0
285613	58.0	132.0
63920	232.0	222.0
63923	14.0	13.0
63922	241.0	741.0
728577	1.0	3.0
63925	723.0	1421.0
63924	2.0	6.0
63916	1398.0	1267.0
63917	1797.0	1342.0
106481400	0.0	0.0
106481401	0.0	0.0
728562	6.0	7.0
728564	2.0	12.0
285622	0.0	0.0
106481404	0.0	0.0
106481405	0.0	0.0
63932	609.0	721.0
106481402	0.0	0.0
63931	1143.0	1136.0
106481403	0.0	0.0
63934	211.0	175.0
728567	3.0	3.0
106481408	1.0	0.0
163088	3.0	1.0
63933	1938.0	1191.0
106481409	0.0	0.0
106481406	0.0	0.0
63935	2933.0	3170.0
163087	201.0	440.0
728568	310.0	275.0
106481407	8.0	16.0
3704	3425.0	2797.0
3705	2674.0	2810.0
63926	578.0	235.0
3706	28.0	29.0
63929	499.0	617.0
3707	1458.0	3034.0
63928	1.0	1.0
3708	1066.0	1895.0
106481411	1.0	1.0
3709	610.0	689.0
106481412	0.0	0.0
106481410	0.0	0.0
3700	5.0	20.0
3702	186.0	924.0
3703	7330.0	4939.0
645506	0.0	0.0
151050	219.0	182.0
645520	0.0	0.0
63941	1640.0	1187.0
63940	1621.0	7343.0
63943	486.0	528.0
728517	0.0	0.0
163033	894.0	817.0
258010	1927.0	1502.0
63947	0.0	1.0
63946	0.0	1.0
728513	0.0	0.0
100033803	0.0	0.0
3716	2239.0	5364.0
100033804	0.0	0.0
3717	231.0	490.0
100033805	0.0	0.0
3718	981.0	5343.0
63939	457.0	583.0
100033806	0.0	0.0
100190799	0.0	1.0
100033800	0.0	0.0
100033801	0.0	0.0
100033802	0.0	0.0
344405	54.0	66.0
3710	4174.0	1555.0
3712	10030.0	5433.0
3713	1.0	0.0
3714	1347.0	585.0
63950	0.0	13.0
728505	0.0	0.0
63951	120.0	127.0
100033807	0.0	0.0
728501	25.0	72.0
100033808	0.0	0.0
100033809	0.0	0.0
3726	6005.0	5840.0
100033814	0.0	0.0
3727	5795.0	7924.0
63948	0.0	3.0
100033815	0.0	0.0
222052	0.0	4.0
3728	10908.0	8378.0
100033816	0.0	0.0
100033817	0.0	0.0
100033810	0.0	0.0
100033811	0.0	0.0
100033812	0.0	0.0
100033813	0.0	0.0
3720	351.0	615.0
151056	81.0	163.0
3725	2641.0	4968.0
645528	1.0	7.0
728532	5.0	6.0
163059	172.0	168.0
728538	0.0	3.0
728537	20.0	76.0
63967	18.0	68.0
3737	142.0	67.0
3738	106.0	181.0
3739	0.0	1.0
645538	0.0	0.0
3730	595.0	315.0
3732	2492.0	3571.0
3734	0.0	0.0
3735	5753.0	6595.0
3736	0.0	53.0
63970	1.0	0.0
3750	51.0	140.0
63971	1731.0	1147.0
63974	0.0	0.0
163049	917.0	1263.0
63973	0.0	0.0
63976	541.0	788.0
222068	9181.0	6198.0
63978	0.0	0.0
63977	245.0	715.0
63979	78.0	207.0
728524	0.0	0.0
3748	758.0	470.0
163051	39.0	70.0
3749	255.0	366.0
163050	15.0	17.0
3741	75.0	34.0
645548	3.0	4.0
3743	1.0	0.0
3744	2.0	0.0
3745	7.0	18.0
3746	4.0	5.0
3747	0.0	0.0
285671	411.0	336.0
285672	606.0	1103.0
100873431	0.0	0.0
100873430	1.0	1.0
3760	0.0	1.0
285676	28.0	17.0
3761	0.0	0.0
100128657	0.0	0.0
285679	0.0	3.0
100861449	0.0	0.0
100861443	0.0	0.0
100861445	0.0	0.0
3759	99.0	69.0
283008	0.0	0.0
3751	3.0	4.0
100873435	0.0	0.0
3752	23.0	84.0
100873434	0.0	0.0
3753	6.0	7.0
100873433	0.0	0.0
3754	19.0	75.0
100873432	0.0	0.0
3755	3.0	82.0
100873439	0.0	0.0
3756	1.0	3.0
100873438	0.0	0.0
3757	33.0	44.0
100873437	0.0	0.0
3758	8.0	5.0
100873436	0.0	0.0
100873420	1.0	1.0
3770	41.0	86.0
3772	11616.0	3322.0
100861458	0.0	0.0
100861453	2.0	3.0
100861455	0.0	0.0
1107	5425.0	8626.0
1106	1671.0	2533.0
1105	382.0	798.0
1104	623.0	1237.0
100873429	0.0	0.0
1103	0.0	0.0
1102	1022.0	941.0
1101	6.0	10.0
3762	288.0	234.0
100873424	0.0	0.0
3763	1.0	10.0
100128640	56.0	40.0
100873423	0.0	0.0
3764	302.0	465.0
100873422	0.0	0.0
3765	1.0	4.0
100873421	0.0	0.0
3766	102.0	172.0
100873428	0.0	0.0
3767	1558.0	349.0
100873427	0.0	0.0
3768	144.0	213.0
1109	0.0	2.0
100873426	0.0	1.0
1108	10437.0	9804.0
3769	1.0	40.0
100873425	0.0	1.0
100128637	1.0	1.0
100128639	0.0	0.0
3780	12.0	31.0
100873453	0.0	0.0
3781	39.0	20.0
100873452	0.0	0.0
3782	729.0	528.0
100873451	0.0	0.0
3783	448.0	1431.0
100873450	0.0	0.0
1121	336.0	350.0
100861468	0.0	0.0
1120	188.0	322.0
100861469	0.0	0.0
1118	2548.0	284.0
1117	1837.0	2146.0
1116	2608.0	391.0
1114	40.0	248.0
1113	1.0	1.0
1112	615.0	1345.0
1111	249.0	486.0
3773	9201.0	3953.0
100873457	0.0	0.0
100873456	0.0	0.0
3775	903.0	237.0
100873455	0.0	0.0
3776	133.0	535.0
100873454	0.0	0.0
3777	742.0	526.0
3778	559.0	637.0
3779	193.0	145.0
100873459	0.0	0.0
1119	1243.0	961.0
100128627	0.0	0.0
100128626	0.0	0.0
3790	77.0	78.0
100128628	0.0	0.0
3791	1855.0	838.0
100873442	0.0	0.0
3792	52.0	335.0
100873441	0.0	0.0
100873440	0.0	0.0
100128625	0.0	0.0
1132	2.0	2.0
1131	33.0	42.0
1130	450.0	828.0
100861476	0.0	0.0
1129	0.0	0.0
1128	7.0	3.0
1124	240.0	213.0
1123	278.0	655.0
1122	125.0	222.0
100861470	0.0	0.0
3784	10166.0	6567.0
100873446	0.0	0.0
3785	2.0	4.0
100873445	0.0	0.0
3786	69.0	36.0
100873444	0.0	0.0
3787	0.0	3.0
100873443	0.0	0.0
3788	3.0	2.0
100873449	0.0	0.0
100873448	0.0	0.0
100873447	0.0	0.0
100873471	0.0	0.0
100873470	0.0	0.0
283050	86.0	83.0
100128618	1.0	0.0
728597	0.0	1.0
100128617	11.0	0.0
100873475	0.0	0.0
100873474	0.0	0.0
728591	7.0	5.0
100873473	0.0	0.0
100873472	0.0	0.0
1143	0.0	18.0
285634	0.0	1.0
1142	0.0	6.0
1141	0.0	1.0
285636	597.0	553.0
1140	605.0	614.0
728599	2.0	1.0
1139	16.0	3.0
1138	13.0	15.0
1137	0.0	174.0
100861485	0.0	0.0
1136	1.0	34.0
1135	25.0	4.0
1134	19.0	29.0
1133	0.0	6.0
3795	223.0	299.0
100873479	8.0	2.0
3796	234.0	540.0
100873478	0.0	0.0
3797	300.0	301.0
100873477	0.0	0.0
3798	19.0	91.0
100873476	0.0	0.0
3799	2978.0	2558.0
100873460	0.0	0.0
728586	7.0	7.0
285641	1.0	0.0
100873464	0.0	1.0
100873463	0.0	1.0
100873462	0.0	0.0
285643	0.0	0.0
100128603	0.0	0.0
100873461	0.0	0.0
1154	6689.0	2615.0
1153	19355.0	23186.0
1152	25010.0	13241.0
285647	1.0	1.0
728589	1.0	2.0
728588	0.0	0.0
1149	0.0	0.0
1147	583.0	546.0
1146	0.0	3.0
1145	34.0	48.0
1144	0.0	2.0
100873468	0.0	0.0
100873467	0.0	0.0
100873466	0.0	0.0
100873465	0.0	0.0
283033	0.0	0.0
100873469	0.0	0.0
100873493	0.0	0.0
100873492	0.0	0.0
100873491	0.0	0.0
100873490	0.0	0.0
100873497	0.0	0.0
100873496	0.0	0.0
100873495	0.0	0.0
100873494	0.0	0.0
1164	1176.0	1122.0
1163	448.0	649.0
285659	0.0	0.0
1161	186.0	183.0
1160	453.0	100.0
1159	349.0	108.0
1158	4.0	7.0
1157	0.0	0.0
1155	2995.0	3689.0
550643	2533.0	2002.0
283025	0.0	0.0
100873499	0.0	0.0
100873498	0.0	0.0
100873482	0.0	0.0
100873481	0.0	0.0
100873480	0.0	0.0
100873486	0.0	0.0
100873485	0.0	0.0
100873484	0.0	0.0
100873483	0.0	0.0
1176	1407.0	1495.0
1175	4599.0	4082.0
285668	0.0	7.0
1174	2003.0	1485.0
1173	12346.0	13839.0
550631	151.0	230.0
100873489	0.0	0.0
283014	8.0	17.0
100873488	0.0	0.0
100873487	0.0	0.0
283093	0.0	0.0
283092	0.0	0.0
1187	701.0	362.0
1186	3996.0	1969.0
1185	515.0	516.0
1184	260.0	170.0
1183	649.0	268.0
1182	1313.0	1099.0
1181	180.0	160.0
440375	12.0	10.0
1180	4.0	3.0
1179	0.0	0.0
1178	1.0	1.0
283089	5.0	5.0
85495	0.0	0.0
85480	15.0	48.0
283080	0.0	0.0
1198	1997.0	2542.0
1197	0.0	2.0
1196	951.0	1575.0
1195	1149.0	2451.0
440366	0.0	0.0
1193	2381.0	1606.0
1192	15718.0	15757.0
1191	55376.0	176577.0
1188	1108.0	1410.0
283078	12.0	18.0
85486	8.0	24.0
128615	0.0	0.0
85481	0.0	1.0
128611	96.0	473.0
440396	14.0	27.0
128609	0.0	0.0
128602	0.0	0.0
440387	0.0	1.0
128674	0.0	3.0
128676	0.0	1.0
114026	0.0	0.0
100861402	7.0	4.0
126014	453.0	270.0
440335	17.0	13.0
100128690	0.0	0.0
114034	651.0	797.0
126006	37.0	102.0
114036	93.0	95.0
100128696	0.0	0.0
100128688	0.0	0.0
126003	38.0	88.0
100861412	0.0	0.0
105180390	0.0	0.0
100128685	0.0	0.0
100128681	0.0	0.0
105180391	0.0	0.0
100128682	1.0	0.0
100128678	0.0	0.0
100861429	0.0	0.0
128653	0.0	0.0
200728	186.0	119.0
440356	7.0	4.0
440354	40.0	92.0
440352	0.0	0.0
100873419	0.0	0.0
100873418	0.0	0.0
100873413	0.0	0.0
128646	1.0	2.0
100873412	0.0	0.0
100873411	0.0	0.0
100128675	3.0	1.0
100873410	0.0	0.0
100873417	0.0	0.0
100873416	0.0	1.0
100873415	0.0	0.0
100873414	0.0	0.0
440348	89.0	241.0
100861435	0.0	0.0
100861436	0.0	0.0
440345	4.0	24.0
200734	697.0	637.0
100861431	0.0	0.0
100861434	0.0	0.0
100873409	0.0	0.0
440350	1.0	3.0
100873408	0.0	0.0
100873407	0.0	0.0
100861430	3.0	2.0
100873402	0.0	0.0
100873401	0.0	0.0
100873400	0.0	0.0
100128665	0.0	0.0
128637	1884.0	1687.0
100873406	0.0	0.0
100873405	0.0	0.0
100873404	0.0	0.0
100873403	0.0	0.0
645440	1.0	0.0
645443	1.0	3.0
165530	0.0	96.0
85409	13.0	144.0
106481385	0.0	0.0
106481386	0.0	0.0
85416	2.0	0.0
106481383	0.0	0.0
85417	9.0	7.0
106481384	0.0	0.0
103106903	2.0	1.0
85414	255.0	121.0
106481389	0.0	0.0
85415	362.0	194.0
106481387	0.0	0.0
85413	1.0	2.0
106481388	0.0	0.0
645436	0.0	0.0
106481381	0.0	0.0
106481382	0.0	0.0
10	0.0	0.0
106481380	0.0	0.0
11	0.0	0.0
403341	198.0	312.0
12	2.0	2.0
13	0.0	4.0
14	7122.0	5307.0
15	10.0	27.0
16	11041.0	7215.0
645455	1.0	0.0
18	1260.0	1170.0
19	411.0	525.0
128580	5.0	4.0
85407	16.0	58.0
106481396	0.0	0.0
106481397	0.0	0.0
106481394	0.0	0.0
85406	321.0	265.0
106481395	0.0	0.0
85403	547.0	457.0
106481398	0.0	0.0
106481399	0.0	0.0
403339	0.0	0.0
106481392	1.0	0.0
106481393	0.0	0.0
20	4155.0	4550.0
106481390	0.0	0.0
21	3408.0	4469.0
106481391	0.0	0.0
22	565.0	713.0
153571	265.0	104.0
153572	83.0	27.0
23	2877.0	3511.0
24	37.0	34.0
25	3365.0	2274.0
26	5.0	92.0
27	527.0	530.0
28	784.0	639.0
29	4070.0	2715.0
153579	217.0	338.0
728615	0.0	0.0
728614	0.0	0.0
200765	61.0	197.0
106481358	0.0	0.0
106481359	1.0	0.0
728611	9.0	20.0
102466518	0.0	0.0
102466516	0.0	1.0
102466515	0.0	0.0
106481363	0.0	0.0
106481364	0.0	0.0
85438	0.0	2.0
106481361	0.0	0.0
85439	326.0	574.0
106481362	0.0	0.0
106481367	0.0	0.0
85437	1644.0	1558.0
106481368	0.0	0.0
106481365	0.0	0.0
728609	41.0	168.0
106481366	0.0	0.0
30	3390.0	2443.0
106481360	0.0	0.0
31	1159.0	646.0
32	794.0	1087.0
33	381.0	267.0
34	1001.0	1250.0
35	2281.0	1860.0
153562	1515.0	1000.0
36	683.0	420.0
37	12200.0	10671.0
38	4798.0	2616.0
440307	3.0	4.0
39	556.0	664.0
165545	17.0	20.0
106481369	0.0	0.0
728606	32.0	10.0
106481374	0.0	0.0
106481375	0.0	0.0
106481372	0.0	0.0
106481373	0.0	0.0
106481378	0.0	0.0
106481379	0.0	0.0
106481376	0.0	0.0
106481377	0.0	0.0
403315	0.0	0.0
40	2.0	1.0
106481370	0.0	0.0
41	15.0	40.0
106481371	0.0	0.0
43	61.0	436.0
645486	0.0	0.0
47	2194.0	2636.0
48	3682.0	1470.0
49	14.0	9.0
106481338	0.0	0.0
106481339	0.0	0.0
106481336	0.0	0.0
106481337	0.0	0.0
106481341	0.0	0.0
106481342	0.0	1.0
106481340	0.0	0.0
85458	1051.0	387.0
106481345	0.0	0.0
85459	98.0	172.0
106481346	0.0	0.0
85456	5707.0	2933.0
442910	3.0	0.0
106481343	0.0	0.0
85457	1184.0	645.0
442911	0.0	0.0
106481344	0.0	0.0
442912	0.0	0.0
85455	126.0	90.0
442913	0.0	0.0
