id	b9e52e4e-4f2b-446d-8065-b399f9fec644	4ae6d828-f8b3-4c8b-8d6a-575ef51e329b
1075	3819.0	16784.0
1074	11.0	11.0
1073	2952.0	1323.0
1072	29313.0	35178.0
1071	141.0	44.0
440243	0.0	0.0
1070	1228.0	820.0
1069	6503.0	4187.0
1068	0.0	0.0
85369	2316.0	2145.0
85366	42.0	12.0
85364	2609.0	1463.0
85365	3934.0	2913.0
85363	2376.0	1971.0
85360	1233.0	709.0
1080	54.0	98.0
85391	8.0	8.0
403296	0.0	0.0
403297	0.0	0.0
85390	0.0	0.0
403299	0.0	0.0
1088	1.0	4.0
153733	510.0	309.0
1087	5.0	0.0
1086	0.0	0.0
440279	309.0	162.0
1085	1.0	0.0
1084	11.0	4.0
440278	389.0	118.0
1082	0.0	0.0
403294	3.0	0.0
440275	4856.0	3245.0
1081	0.0	1.0
85397	5954.0	8.0
85395	511.0	537.0
403285	0.0	0.0
1091	0.0	0.0
1090	0.0	0.0
403288	0.0	0.0
403289	0.0	0.0
1098	0.0	0.0
1097	0.0	0.0
1096	0.0	1.0
1095	0.0	0.0
403281	0.0	0.0
403282	0.0	0.0
1094	0.0	0.0
1093	0.0	0.0
403283	0.0	0.0
403284	0.0	0.0
1092	1.0	3.0
440270	4213.0	9107.0
1089	1.0	9.0
85388	0.0	0.0
85389	0.0	0.0
128718	0.0	0.0
285596	52.0	162.0
285598	551.0	611.0
126133	1964.0	1570.0
128790	3.0	1.0
126129	94.0	199.0
126123	7.0	0.0
442862	0.0	0.0
126119	2054.0	1109.0
442863	0.0	0.0
442864	0.0	0.0
442865	0.0	0.0
442866	0.0	0.0
442867	0.0	0.0
442868	0.0	0.0
128770	0.0	0.0
128774	0.0	0.0
442893	0.0	0.0
442894	0.0	0.0
442895	0.0	0.0
114131	0.0	0.0
442896	0.0	0.0
114132	78.0	25.0
442897	0.0	0.0
442898	2.0	2.0
114134	277.0	381.0
442899	0.0	0.0
100128790	0.0	0.0
128760	9.0	6.0
100128788	109.0	63.0
100128787	0.0	0.0
440225	0.0	0.0
440224	1.0	0.0
442890	0.0	0.0
442891	11.0	0.0
442892	0.0	0.0
128756	0.0	0.0
100128782	774.0	262.0
100128781	1.0	1.0
403230	0.0	0.0
403231	0.0	0.0
403232	0.0	0.0
645560	4.0	0.0
403234	0.0	0.0
403235	5.0	1.0
403236	0.0	0.0
63982	80.0	31.0
102466616	0.0	0.0
126052	0.0	0.0
151009	77.0	66.0
403227	0.0	0.0
403228	0.0	0.0
138046	0.0	1.0
645558	0.0	0.0
403229	0.0	0.0
645573	1.0	2.0
645572	0.0	0.0
645571	10.0	8.0
403223	1.0	0.0
403224	0.0	0.0
403226	0.0	0.0
200634	941.0	1143.0
107131122	0.0	0.0
138050	9920.0	7683.0
403219	0.0	0.0
151011	3858.0	2964.0
645587	1.0	0.0
165679	10.0	11.0
126037	30.0	25.0
114049	5976.0	5790.0
106481479	0.0	0.0
100033818	0.0	0.0
100033819	0.0	0.0
85319	0.0	1.0
106481484	0.0	0.0
106481485	0.0	1.0
106481482	0.0	0.0
106481483	0.0	0.0
85315	862.0	475.0
100033821	0.0	1.0
106481488	0.0	0.0
100033822	0.0	0.0
106481489	0.0	0.0
85313	3317.0	2429.0
106481486	0.0	0.0
106481487	0.0	0.0
645579	254.0	214.0
100033820	0.0	0.0
106481480	0.0	0.0
106481481	0.0	0.0
138065	13.0	780.0
645598	0.0	0.0
163007	1.0	3.0
114038	0.0	5.0
645591	0.0	1.0
106481495	0.0	0.0
114041	182.0	68.0
106481496	0.0	0.0
114042	7.0	2.0
106481493	0.0	0.0
114043	55.0	2.0
106481494	0.0	0.0
106481499	0.0	0.0
114044	229.0	163.0
126017	711.0	319.0
106481497	0.0	2.0
106481498	0.0	0.0
85303	0.0	0.0
85300	1.0	0.0
85301	2954.0	2058.0
106481491	0.0	0.0
106481492	0.0	0.0
106481490	0.0	0.0
403274	0.0	0.0
102466657	3.0	0.0
403275	0.0	0.0
102466656	0.0	0.0
403276	0.0	0.0
403277	0.0	0.0
403278	0.0	0.0
26996	436.0	166.0
106481459	0.0	0.0
26994	10117.0	7317.0
106481457	3.0	5.0
26995	3141.0	1967.0
106481458	0.0	0.0
403271	0.0	0.0
26998	0.0	4.0
403272	0.0	0.0
102466659	0.0	0.0
26999	2429.0	3806.0
403273	0.0	0.0
102466658	0.0	0.0
106481462	0.0	0.0
106481463	0.0	0.0
104310353	0.0	0.0
106481460	7.0	5.0
106481461	0.0	0.0
104310350	0.0	0.0
106481466	0.0	0.0
26993	4109.0	3408.0
106481467	0.0	0.0
106481464	0.0	0.0
106481465	0.0	0.0
104310351	1.0	0.0
403263	0.0	0.0
403264	0.0	0.0
403265	0.0	1.0
403266	0.0	0.0
138009	0.0	0.0
106481468	0.0	0.0
106481469	0.0	0.0
403260	0.0	0.0
106481473	0.0	0.0
106481474	0.0	2.0
106481471	0.0	0.0
85329	2.0	15.0
106481472	0.0	0.0
106481477	0.0	0.0
106481478	0.0	0.0
106481475	0.0	0.0
106481476	0.0	0.0
85320	9.0	21.0
106481470	2.0	0.0
403252	0.0	0.0
403253	1.0	0.0
403254	0.0	0.0
126070	630.0	335.0
403255	0.0	0.0
403256	0.0	0.0
403257	0.0	0.0
344471	11.0	9.0
106481437	0.0	0.0
26974	382.0	228.0
153657	106.0	33.0
106481438	1.0	0.0
106481435	0.0	0.0
26973	1590.0	1138.0
165631	60.0	171.0
106481436	1.0	0.0
26978	8.0	14.0
126075	1525.0	1492.0
106481439	0.0	0.0
403250	0.0	0.0
126074	426.0	241.0
403251	0.0	0.0
106481440	0.0	0.0
106481441	0.0	0.0
85359	4677.0	3753.0
106481444	21.0	10.0
106481445	0.0	0.0
106481442	0.0	0.0
106481443	0.0	0.0
85358	1886.0	2011.0
85354	1.0	0.0
85352	217.0	67.0
403241	5.0	0.0
344462	2.0	2.0
403244	0.0	0.0
403245	0.0	0.0
153642	887.0	361.0
153643	296.0	42.0
403247	0.0	0.0
403248	0.0	0.0
26985	4029.0	2400.0
106481448	0.0	0.0
26986	27552.0	40858.0
126069	127.0	81.0
106481449	0.0	0.0
126068	1033.0	717.0
106481446	0.0	0.0
26983	0.0	0.0
26984	1195.0	942.0
106481447	0.0	0.0
106481451	1.0	0.0
106481452	0.0	0.0
106481450	0.0	0.0
114088	49.0	19.0
106481455	0.0	1.0
85349	344.0	187.0
106481456	1.0	0.0
26982	0.0	0.0
106481453	1.0	0.0
85347	0.0	0.0
26980	3.0	1.0
106481454	0.0	0.0
403238	0.0	0.0
85344	108.0	3.0
403239	0.0	0.0
85345	0.0	0.0
85343	0.0	0.0
344454	0.0	0.0
85340	0.0	0.0
100873394	0.0	1.0
100873393	2.0	1.0
100873392	1.0	2.0
100873391	0.0	0.0
100873398	0.0	0.0
100873397	0.0	0.0
100873396	0.0	0.0
100873395	0.0	0.0
100128811	1.0	1.0
106481415	0.0	0.0
106481416	0.0	0.0
106481413	0.0	0.0
106481414	0.0	0.0
63901	2437.0	5028.0
100873390	0.0	0.0
728556	42.0	34.0
106481419	0.0	0.0
100128817	1.0	0.0
728558	142.0	91.0
106481417	0.0	0.0
106481418	0.0	0.0
106481422	0.0	0.0
163081	651.0	408.0
106481423	0.0	0.0
106481420	0.0	0.0
106481421	0.0	0.0
100873399	1.0	0.0
100873383	0.0	0.0
100873382	0.0	0.0
100873381	2.0	8.0
100873380	0.0	0.0
100128804	0.0	0.0
100873387	0.0	0.0
100873386	0.0	0.0
100873385	0.0	0.0
100128801	0.0	0.0
285600	243.0	165.0
100873384	0.0	0.0
285601	6.0	18.0
106481426	0.0	0.0
106481427	0.0	0.0
222005	1.0	0.0
63910	83.0	889.0
106481424	0.0	0.0
106481425	0.0	0.0
285605	967.0	454.0
222008	55.0	0.0
106481428	1.0	0.0
106481429	0.0	0.0
63905	6790.0	4085.0
63904	0.0	0.0
106481430	0.0	0.0
163071	947.0	775.0
63906	1033.0	899.0
106481433	0.0	0.0
63908	1488.0	877.0
106481434	0.0	0.0
106481431	0.0	0.0
106481432	0.0	0.0
100873389	0.0	0.0
100873388	1.0	3.0
285613	181.0	124.0
63920	900.0	393.0
63923	198.0	5.0
63922	520.0	717.0
728577	45.0	4.0
63925	2275.0	1491.0
63924	20.0	1.0
63916	3255.0	3213.0
63917	6348.0	4503.0
106481400	0.0	0.0
106481401	0.0	0.0
728562	6.0	3.0
728564	4.0	4.0
285622	0.0	0.0
106481404	0.0	0.0
106481405	0.0	0.0
63932	2125.0	1670.0
106481402	0.0	0.0
63931	3056.0	1320.0
106481403	1.0	1.0
63934	1136.0	1073.0
728567	3.0	3.0
106481408	0.0	0.0
163088	8.0	9.0
63933	5046.0	2249.0
106481409	0.0	0.0
106481406	0.0	0.0
63935	6161.0	3762.0
163087	1151.0	524.0
728568	965.0	447.0
106481407	13.0	8.0
3704	4550.0	4028.0
3705	4461.0	4253.0
63926	1321.0	583.0
3706	19.0	33.0
63929	1638.0	740.0
3707	2008.0	1959.0
63928	1.0	0.0
3708	18043.0	1682.0
106481411	1.0	0.0
3709	2608.0	2127.0
106481412	0.0	0.0
106481410	2.0	0.0
3700	44.0	30.0
3702	100.0	46.0
3703	14829.0	7687.0
645506	0.0	0.0
151050	1986.0	1524.0
645520	0.0	0.0
63941	2915.0	2153.0
63940	265.0	546.0
63943	970.0	516.0
728517	0.0	0.0
163033	934.0	1045.0
258010	4513.0	3608.0
63947	0.0	0.0
63946	0.0	0.0
728513	0.0	0.0
100033803	0.0	0.0
3716	9455.0	8400.0
100033804	0.0	0.0
3717	862.0	498.0
100033805	0.0	0.0
3718	148.0	2192.0
63939	1337.0	930.0
100033806	0.0	0.0
100190799	7.0	27.0
100033800	0.0	0.0
100033801	0.0	0.0
100033802	0.0	0.0
344405	181.0	136.0
3710	14848.0	12900.0
3712	22835.0	10650.0
3713	0.0	317.0
3714	808.0	2646.0
63950	2.0	6.0
728505	0.0	0.0
63951	656.0	365.0
100033807	0.0	0.0
728501	24.0	60.0
100033808	0.0	0.0
100033809	0.0	0.0
3726	31819.0	47362.0
100033814	0.0	0.0
3727	27379.0	26663.0
63948	5.0	2.0
100033815	0.0	0.0
222052	3.0	3.0
3728	25423.0	26758.0
100033816	0.0	0.0
100033817	0.0	0.0
100033810	0.0	0.0
100033811	0.0	0.0
100033812	0.0	0.0
100033813	0.0	0.0
3720	1290.0	702.0
151056	945.0	136.0
3725	121398.0	46312.0
645528	0.0	0.0
728532	23.0	18.0
163059	656.0	353.0
728538	0.0	0.0
728537	296.0	324.0
63967	13.0	61.0
3737	70.0	0.0
3738	37.0	8.0
3739	3.0	0.0
645538	0.0	0.0
3730	1973.0	3442.0
3732	3942.0	3732.0
3734	0.0	0.0
3735	8342.0	6632.0
3736	147.0	0.0
63970	14.0	2.0
3750	171.0	334.0
63971	7155.0	4289.0
63974	0.0	0.0
163049	4797.0	2082.0
63973	0.0	0.0
63976	4331.0	1235.0
222068	22013.0	13746.0
63978	0.0	1.0
63977	692.0	606.0
63979	468.0	481.0
728524	0.0	0.0
3748	2595.0	2837.0
163051	86.0	74.0
3749	582.0	484.0
163050	93.0	48.0
3741	170.0	37.0
645548	6.0	13.0
3743	0.0	0.0
3744	0.0	0.0
3745	60.0	12.0
3746	13.0	5.0
3747	0.0	0.0
285671	2070.0	987.0
285672	1896.0	1401.0
100873431	0.0	0.0
100873430	0.0	0.0
3760	1.0	3.0
285676	138.0	160.0
3761	2.0	3.0
100128657	0.0	0.0
285679	1.0	2.0
100861449	0.0	0.0
100861443	0.0	0.0
100861445	0.0	0.0
3759	132.0	1045.0
283008	0.0	0.0
3751	56.0	2.0
100873435	0.0	0.0
3752	215.0	40.0
100873434	0.0	0.0
3753	9.0	16.0
100873433	0.0	0.0
3754	12.0	5.0
100873432	0.0	0.0
3755	0.0	5.0
100873439	0.0	0.0
3756	15.0	27.0
100873438	0.0	0.0
3757	7.0	3.0
100873437	0.0	0.0
3758	141.0	11.0
100873436	0.0	0.0
100873420	0.0	0.0
3770	123.0	97.0
3772	27558.0	25462.0
100861458	0.0	4.0
100861453	28.0	28.0
100861455	0.0	0.0
1107	17124.0	7831.0
1106	10706.0	8397.0
1105	2242.0	1977.0
1104	1122.0	1725.0
100873429	0.0	0.0
1103	1.0	1.0
1102	3110.0	1823.0
1101	289.0	46.0
3762	380.0	411.0
100873424	0.0	0.0
3763	0.0	6.0
100128640	198.0	148.0
100873423	0.0	0.0
3764	880.0	232.0
100873422	0.0	0.0
3765	1.0	8.0
100873421	0.0	2.0
3766	61.0	28.0
100873428	0.0	0.0
3767	568.0	331.0
100873427	0.0	0.0
3768	585.0	813.0
1109	0.0	2.0
100873426	0.0	3.0
1108	22115.0	25072.0
3769	533.0	26.0
100873425	0.0	0.0
100128637	1.0	0.0
100128639	0.0	0.0
3780	5.0	7.0
100873453	0.0	0.0
3781	13.0	32.0
100873452	0.0	0.0
3782	521.0	440.0
100873451	0.0	0.0
3783	41.0	5059.0
100873450	0.0	0.0
1121	2060.0	1295.0
100861468	0.0	0.0
1120	379.0	616.0
100861469	0.0	0.0
1118	323.0	5050.0
1117	1549.0	1931.0
1116	186.0	9440.0
1114	122.0	424.0
1113	4.0	0.0
1112	2651.0	2316.0
1111	290.0	332.0
3773	30554.0	36980.0
100873457	3.0	0.0
100873456	0.0	1.0
3775	1012.0	1293.0
100873455	0.0	0.0
3776	1533.0	44.0
100873454	0.0	0.0
3777	1822.0	584.0
3778	141.0	173.0
3779	89.0	177.0
100873459	0.0	0.0
1119	4262.0	2824.0
100128627	1.0	1.0
100128626	0.0	0.0
3790	393.0	530.0
100128628	9.0	5.0
3791	4000.0	3527.0
100873442	0.0	0.0
3792	28.0	9.0
100873441	0.0	0.0
100873440	0.0	0.0
100128625	0.0	0.0
1132	3.0	5.0
1131	83.0	55.0
1130	2069.0	3650.0
100861476	1.0	0.0
1129	0.0	0.0
1128	5.0	2.0
1124	820.0	2050.0
1123	509.0	448.0
1122	990.0	579.0
100861470	0.0	0.0
3784	18328.0	3525.0
100873446	0.0	0.0
3785	11.0	25.0
100873445	0.0	0.0
3786	37.0	4259.0
100873444	0.0	0.0
3787	17.0	21.0
100873443	0.0	0.0
3788	4.0	4.0
100873449	8.0	1.0
100873448	0.0	0.0
100873447	0.0	0.0
100873471	0.0	0.0
100873470	0.0	0.0
283050	319.0	428.0
100128618	1.0	2.0
728597	10.0	1.0
100128617	10.0	2.0
100873475	1.0	0.0
100873474	0.0	0.0
728591	104.0	50.0
100873473	0.0	0.0
100873472	0.0	0.0
1143	23.0	42.0
285634	1.0	0.0
1142	1.0	0.0
1141	6.0	8.0
285636	3174.0	1714.0
1140	2312.0	1380.0
728599	3.0	1.0
1139	112.0	24.0
1138	5.0	12.0
1137	328.0	3.0
100861485	0.0	0.0
1136	6.0	6.0
1135	1.0	1.0
1134	1.0	8.0
1133	14.0	7.0
3795	144.0	110.0
100873479	5.0	14.0
3796	1106.0	893.0
100873478	0.0	0.0
3797	1128.0	520.0
100873477	0.0	0.0
3798	191.0	121.0
100873476	0.0	0.0
3799	9532.0	7622.0
100873460	0.0	0.0
728586	10.0	20.0
285641	0.0	0.0
100873464	6.0	4.0
100873463	4.0	0.0
100873462	5.0	1.0
285643	0.0	1.0
100128603	0.0	0.0
100873461	1.0	0.0
1154	3572.0	2430.0
1153	37349.0	30811.0
1152	26149.0	4635.0
285647	76.0	6.0
728589	11.0	10.0
728588	0.0	0.0
1149	6.0	2.0
1147	1706.0	1215.0
1146	3.0	1.0
1145	16.0	65.0
1144	0.0	0.0
100873468	0.0	0.0
100873467	0.0	0.0
100873466	0.0	0.0
100873465	0.0	0.0
283033	0.0	0.0
100873469	0.0	0.0
100873493	0.0	0.0
100873492	0.0	0.0
100873491	1.0	0.0
100873490	0.0	0.0
100873497	0.0	0.0
100873496	0.0	0.0
100873495	0.0	0.0
100873494	0.0	0.0
1164	303.0	1270.0
1163	601.0	580.0
285659	1.0	0.0
1161	550.0	315.0
1160	422.0	246.0
1159	171.0	53.0
1158	4.0	4.0
1157	0.0	0.0
1155	3188.0	3440.0
550643	2609.0	2588.0
283025	0.0	0.0
100873499	0.0	0.0
100873498	0.0	0.0
100873482	1.0	0.0
100873481	0.0	0.0
100873480	0.0	0.0
100873486	0.0	0.0
100873485	0.0	0.0
100873484	0.0	0.0
100873483	0.0	0.0
1176	2779.0	3249.0
1175	2953.0	2744.0
285668	16.0	2.0
1174	2243.0	3463.0
1173	19316.0	18680.0
550631	533.0	349.0
100873489	0.0	0.0
283014	21.0	11.0
100873488	0.0	0.0
100873487	0.0	1.0
283093	0.0	0.0
283092	0.0	0.0
1187	1595.0	21.0
1186	5820.0	4535.0
1185	2218.0	1190.0
1184	825.0	354.0
1183	2262.0	720.0
1182	6875.0	3549.0
1181	654.0	406.0
440375	59.0	30.0
1180	18.0	13.0
1179	3.0	0.0
1178	0.0	1.0
283089	35.0	15.0
85495	0.0	0.0
85480	162.0	53.0
283080	0.0	0.0
1198	4542.0	3755.0
1197	1.0	0.0
1196	3284.0	3075.0
1195	7870.0	11193.0
440366	3.0	2.0
1193	4467.0	2416.0
1192	14415.0	23785.0
1191	183178.0	822043.0
1188	2680.0	238.0
283078	47.0	185.0
85486	3.0	8.0
128615	0.0	0.0
85481	2.0	0.0
128611	95.0	11.0
440396	66.0	53.0
128609	0.0	0.0
128602	0.0	0.0
440387	4.0	1.0
128674	0.0	0.0
128676	2.0	1.0
114026	0.0	1.0
100861402	2.0	3.0
126014	36.0	474.0
440335	9.0	1.0
100128690	0.0	0.0
114034	1594.0	1133.0
126006	112.0	55.0
114036	421.0	128.0
100128696	0.0	0.0
100128688	0.0	0.0
126003	86.0	33.0
100861412	1.0	0.0
105180390	0.0	0.0
100128685	0.0	0.0
100128681	0.0	0.0
105180391	0.0	0.0
100128682	4.0	0.0
100128678	1.0	0.0
100861429	0.0	0.0
128653	1.0	0.0
200728	444.0	441.0
440356	6.0	5.0
440354	65.0	64.0
440352	0.0	0.0
100873419	1.0	0.0
100873418	0.0	1.0
100873413	0.0	0.0
128646	0.0	1.0
100873412	1.0	0.0
100873411	0.0	0.0
100128675	19.0	31.0
100873410	0.0	0.0
100873417	0.0	0.0
100873416	0.0	0.0
100873415	0.0	0.0
100873414	0.0	0.0
440348	217.0	227.0
100861435	1.0	0.0
100861436	0.0	0.0
440345	109.0	74.0
200734	3134.0	3122.0
100861431	1.0	0.0
100861434	0.0	0.0
100873409	0.0	0.0
440350	6.0	1.0
100873408	0.0	0.0
100873407	0.0	0.0
100861430	8.0	10.0
100873402	0.0	0.0
100873401	0.0	2.0
100873400	1.0	1.0
100128665	1.0	0.0
128637	4815.0	3247.0
100873406	0.0	0.0
100873405	0.0	0.0
100873404	0.0	0.0
100873403	0.0	0.0
645440	0.0	1.0
645443	7.0	0.0
165530	14.0	19.0
85409	27.0	16.0
106481385	0.0	0.0
106481386	1.0	0.0
85416	1.0	0.0
106481383	2.0	2.0
85417	76.0	39.0
106481384	0.0	0.0
103106903	1.0	2.0
85414	219.0	121.0
106481389	1.0	0.0
85415	981.0	622.0
106481387	0.0	0.0
85413	2.0	20.0
106481388	4.0	1.0
645436	4.0	0.0
106481381	0.0	0.0
106481382	0.0	0.0
10	2.0	0.0
106481380	0.0	0.0
11	0.0	0.0
403341	1193.0	948.0
12	0.0	1.0
13	5.0	0.0
14	11765.0	8673.0
15	18.0	5.0
16	16011.0	6778.0
645455	19.0	3.0
18	16495.0	3399.0
19	2370.0	5451.0
128580	4.0	7.0
85407	124.0	64.0
106481396	0.0	0.0
106481397	0.0	0.0
106481394	0.0	0.0
85406	2346.0	1094.0
106481395	0.0	0.0
85403	2025.0	1371.0
106481398	0.0	0.0
106481399	0.0	0.0
403339	0.0	0.0
106481392	0.0	0.0
106481393	0.0	0.0
20	14702.0	7794.0
106481390	0.0	0.0
21	9725.0	5811.0
106481391	0.0	0.0
22	1348.0	1290.0
153571	239.0	6.0
153572	166.0	12.0
23	5612.0	3543.0
24	134.0	340.0
25	12719.0	7991.0
26	14.0	59.0
27	1757.0	2026.0
28	6158.0	2637.0
29	2149.0	7816.0
153579	529.0	526.0
728615	0.0	0.0
728614	0.0	0.0
200765	506.0	234.0
106481358	0.0	0.0
106481359	0.0	0.0
728611	60.0	68.0
102466518	0.0	0.0
102466516	52.0	16.0
102466515	0.0	0.0
106481363	0.0	0.0
106481364	0.0	0.0
85438	0.0	0.0
106481361	0.0	0.0
85439	2911.0	1086.0
106481362	0.0	0.0
106481367	0.0	1.0
85437	3925.0	2572.0
106481368	0.0	0.0
106481365	0.0	0.0
728609	483.0	503.0
106481366	0.0	0.0
30	5157.0	4298.0
106481360	1.0	0.0
31	3111.0	2014.0
32	8570.0	1242.0
33	1795.0	1480.0
34	3534.0	1285.0
35	4450.0	1840.0
153562	6499.0	2643.0
36	3138.0	984.0
37	29804.0	30383.0
38	7787.0	2304.0
440307	23.0	12.0
39	908.0	334.0
165545	2.0	4.0
106481369	0.0	0.0
728606	207.0	196.0
106481374	0.0	0.0
106481375	0.0	0.0
106481372	0.0	1.0
106481373	0.0	0.0
106481378	1.0	1.0
106481379	0.0	0.0
106481376	1.0	0.0
106481377	0.0	0.0
403315	0.0	0.0
40	2.0	7.0
106481370	0.0	0.0
41	72.0	56.0
106481371	0.0	0.0
43	106.0	99.0
645486	0.0	0.0
47	8566.0	5310.0
48	6254.0	5248.0
49	16.0	29.0
106481338	0.0	0.0
106481339	0.0	0.0
106481336	0.0	0.0
106481337	2.0	1.0
106481341	0.0	0.0
106481342	3.0	2.0
106481340	1.0	0.0
85458	3628.0	1282.0
