id	c739af4b-e4b6-46c4-8131-a9fe926468c6	99946511-4d29-4d85-9789-6b326261eb0c
100128710	0.0	0.0
285533	60.0	33.0
100873374	0.0	0.0
728495	1.0	0.0
100873373	0.0	0.0
100128712	0.0	0.0
1044	7.0	2.0
1043	936.0	1335.0
1041	7.0	108.0
1040	8174.0	1494.0
1039	9739.0	942.0
1038	4.0	0.0
1036	659.0	295.0
3696	2432.0	683.0
3697	10.0	2.0
100873379	0.0	0.0
3698	16.0	8.0
100873378	1.0	0.0
3699	128.0	27.0
100873377	0.0	0.0
728486	15.0	0.0
100873361	0.0	0.0
105373869	0.0	0.0
100873360	0.0	0.0
285540	41.0	9.0
100128705	3.0	0.0
100873365	0.0	0.0
100873364	0.0	0.0
728481	0.0	0.0
100873363	0.0	0.0
728484	1.0	4.0
100873362	0.0	0.0
100128701	5.0	1.0
1054	3678.0	749.0
285547	1.0	0.0
1053	7.0	2.0
285548	3.0	0.0
1052	2583.0	8006.0
1051	3596.0	3655.0
728489	15.0	20.0
1050	1361.0	145.0
100128707	0.0	0.0
1048	28.0	1.0
1047	13.0	6.0
1046	0.0	0.0
1045	3.0	0.0
100873369	9.0	0.0
100873368	1.0	0.0
100873367	0.0	0.0
100873366	0.0	0.0
105373877	10.0	0.0
1066	3134.0	155.0
1063	112.0	26.0
1062	106.0	13.0
1061	2.0	2.0
1060	1961.0	417.0
440253	493.0	71.0
1059	4548.0	8344.0
1058	24.0	14.0
1057	3.0	1.0
85379	8397.0	1550.0
114112	692.0	318.0
1056	77.0	12.0
85377	2455.0	631.0
85378	6788.0	1298.0
128745	2.0	0.0
85376	10.0	6.0
440248	946.0	45.0
1075	6970.0	10682.0
1074	17.0	4.0
1073	5532.0	589.0
1072	39079.0	30165.0
1071	156.0	256.0
440243	0.0	0.0
1070	1752.0	610.0
1069	7900.0	3862.0
1068	0.0	0.0
85369	2090.0	675.0
85366	20.0	11.0
85364	2223.0	1285.0
85365	3567.0	1097.0
85363	3510.0	586.0
85360	971.0	317.0
1080	62.0	22.0
85391	53.0	0.0
403296	0.0	0.0
403297	0.0	0.0
85390	0.0	0.0
403299	0.0	0.0
1088	0.0	2.0
153733	819.0	129.0
1087	1.0	2.0
1086	0.0	0.0
440279	83.0	26.0
1085	1.0	0.0
1084	6.0	6.0
440278	364.0	72.0
1082	0.0	0.0
403294	0.0	0.0
440275	5747.0	1320.0
1081	0.0	2.0
85397	2468.0	15.0
85395	449.0	1327.0
403285	0.0	0.0
1091	0.0	0.0
1090	0.0	0.0
403288	0.0	0.0
403289	0.0	0.0
1098	0.0	0.0
1097	0.0	0.0
1096	0.0	0.0
1095	0.0	0.0
403281	0.0	0.0
403282	0.0	0.0
1094	0.0	0.0
1093	0.0	0.0
403283	0.0	0.0
403284	0.0	0.0
1092	0.0	0.0
440270	8857.0	2392.0
1089	4.0	46.0
85388	0.0	0.0
85389	0.0	0.0
128718	0.0	0.0
285596	60.0	6.0
285598	444.0	161.0
126133	1748.0	2583.0
128790	3.0	0.0
126129	173.0	277.0
126123	16.0	13.0
442862	0.0	0.0
126119	1696.0	3132.0
442863	0.0	0.0
442864	0.0	0.0
442865	0.0	0.0
442866	0.0	0.0
442867	0.0	0.0
442868	0.0	0.0
128770	0.0	0.0
128774	0.0	0.0
442893	0.0	0.0
442894	0.0	0.0
442895	0.0	0.0
114131	0.0	0.0
442896	0.0	0.0
114132	45.0	70.0
442897	0.0	0.0
442898	8.0	0.0
114134	347.0	268.0
442899	0.0	0.0
100128790	0.0	0.0
128760	9.0	10.0
100128788	95.0	36.0
100128787	0.0	0.0
440225	0.0	0.0
440224	2.0	0.0
442890	0.0	0.0
442891	9.0	0.0
442892	1.0	3.0
128756	0.0	1.0
100128782	603.0	345.0
100128781	2.0	0.0
403230	0.0	0.0
403231	0.0	0.0
403232	0.0	0.0
645560	3.0	1.0
403234	0.0	0.0
403235	2.0	2.0
403236	0.0	0.0
63982	123.0	33.0
102466616	0.0	0.0
126052	0.0	0.0
151009	167.0	57.0
403227	0.0	0.0
403228	0.0	0.0
138046	6.0	0.0
645558	0.0	0.0
403229	0.0	0.0
645573	1.0	2.0
645572	0.0	0.0
645571	30.0	0.0
403223	0.0	0.0
403224	0.0	0.0
403226	0.0	0.0
200634	1060.0	1801.0
107131122	3.0	0.0
138050	9909.0	1546.0
403219	0.0	0.0
151011	6453.0	687.0
645587	8.0	1.0
165679	29.0	8.0
126037	30.0	59.0
114049	6865.0	8326.0
106481479	0.0	0.0
100033818	0.0	0.0
100033819	0.0	0.0
85319	0.0	1.0
106481484	0.0	0.0
106481485	47.0	0.0
106481482	1.0	0.0
106481483	1.0	0.0
85315	462.0	220.0
100033821	0.0	0.0
106481488	0.0	0.0
100033822	0.0	0.0
106481489	0.0	0.0
85313	5298.0	582.0
106481486	0.0	0.0
106481487	0.0	0.0
645579	249.0	194.0
100033820	0.0	0.0
106481480	3.0	0.0
106481481	0.0	0.0
138065	35.0	238.0
645598	0.0	0.0
163007	0.0	0.0
114038	0.0	3.0
645591	1.0	0.0
106481495	0.0	0.0
114041	15.0	0.0
106481496	0.0	0.0
114042	12.0	33.0
106481493	0.0	0.0
114043	60.0	0.0
106481494	0.0	0.0
106481499	0.0	0.0
114044	235.0	28.0
126017	528.0	250.0
106481497	1.0	0.0
106481498	0.0	0.0
85303	0.0	0.0
85300	3.0	3.0
85301	3538.0	337.0
106481491	1.0	0.0
106481492	0.0	0.0
106481490	0.0	0.0
403274	0.0	0.0
102466657	1.0	0.0
403275	0.0	0.0
102466656	0.0	0.0
403276	0.0	0.0
403277	0.0	0.0
403278	0.0	0.0
26996	1050.0	234.0
106481459	0.0	0.0
26994	12768.0	4095.0
106481457	8.0	0.0
26995	2511.0	2004.0
106481458	0.0	0.0
403271	0.0	0.0
26998	0.0	0.0
403272	0.0	0.0
102466659	0.0	0.0
26999	4594.0	1901.0
403273	0.0	0.0
102466658	0.0	0.0
106481462	0.0	0.0
106481463	0.0	0.0
104310353	3.0	0.0
106481460	2.0	0.0
106481461	0.0	0.0
104310350	0.0	0.0
106481466	0.0	0.0
26993	5389.0	2686.0
106481467	0.0	0.0
106481464	1.0	0.0
106481465	0.0	0.0
104310351	0.0	0.0
403263	0.0	0.0
403264	0.0	0.0
403265	1.0	0.0
403266	0.0	0.0
138009	0.0	0.0
106481468	0.0	0.0
106481469	0.0	0.0
403260	0.0	0.0
106481473	0.0	0.0
106481474	1.0	0.0
106481471	1.0	0.0
85329	34.0	8.0
106481472	0.0	0.0
106481477	2.0	0.0
106481478	0.0	0.0
106481475	0.0	0.0
106481476	0.0	0.0
85320	14.0	106.0
106481470	0.0	0.0
403252	0.0	0.0
403253	0.0	0.0
403254	0.0	0.0
126070	742.0	139.0
403255	0.0	0.0
403256	0.0	0.0
403257	0.0	0.0
344471	10.0	17.0
106481437	0.0	0.0
26974	318.0	98.0
153657	140.0	14.0
106481438	1.0	0.0
106481435	0.0	0.0
26973	9610.0	276.0
165631	367.0	14.0
106481436	0.0	0.0
26978	5.0	2.0
126075	2071.0	2510.0
106481439	0.0	0.0
403250	0.0	0.0
126074	230.0	321.0
403251	0.0	0.0
106481440	0.0	0.0
106481441	0.0	0.0
85359	3590.0	6279.0
106481444	30.0	1.0
106481445	0.0	0.0
106481442	0.0	0.0
106481443	0.0	0.0
85358	2936.0	481.0
85354	0.0	0.0
85352	103.0	6.0
403241	4.0	0.0
344462	5.0	8.0
403244	0.0	0.0
403245	0.0	0.0
153642	982.0	101.0
153643	221.0	46.0
403247	0.0	0.0
403248	0.0	0.0
26985	3708.0	599.0
106481448	0.0	0.0
26986	42908.0	27367.0
126069	150.0	6.0
106481449	0.0	0.0
126068	767.0	226.0
106481446	0.0	0.0
26983	0.0	0.0
26984	1384.0	668.0
106481447	1.0	0.0
106481451	0.0	0.0
106481452	0.0	0.0
106481450	2.0	0.0
114088	119.0	4.0
106481455	1.0	0.0
85349	1047.0	26.0
106481456	0.0	0.0
26982	0.0	0.0
106481453	0.0	0.0
85347	0.0	0.0
26980	0.0	0.0
106481454	0.0	0.0
403238	0.0	0.0
85344	109.0	1.0
403239	0.0	0.0
85345	0.0	0.0
85343	0.0	0.0
344454	1.0	0.0
85340	0.0	0.0
100873394	0.0	0.0
100873393	0.0	0.0
100873392	6.0	0.0
100873391	0.0	0.0
100873398	0.0	0.0
100873397	0.0	0.0
100873396	0.0	0.0
100873395	1.0	2.0
100128811	3.0	0.0
106481415	0.0	0.0
106481416	0.0	0.0
106481413	0.0	0.0
106481414	0.0	0.0
63901	3816.0	2476.0
100873390	0.0	0.0
728556	61.0	3.0
106481419	1.0	0.0
100128817	1.0	0.0
728558	217.0	39.0
106481417	0.0	0.0
106481418	0.0	0.0
106481422	0.0	0.0
163081	542.0	71.0
106481423	0.0	0.0
106481420	0.0	0.0
106481421	0.0	0.0
100873399	1.0	0.0
100873383	0.0	0.0
100873382	0.0	0.0
100873381	3.0	0.0
100873380	0.0	0.0
100128804	0.0	0.0
100873387	0.0	0.0
100873386	0.0	0.0
100873385	4.0	0.0
100128801	0.0	0.0
285600	287.0	13.0
100873384	0.0	0.0
285601	6.0	9.0
106481426	0.0	0.0
106481427	4.0	0.0
222005	2.0	0.0
63910	393.0	212.0
106481424	0.0	0.0
106481425	0.0	0.0
285605	844.0	85.0
222008	5.0	0.0
106481428	0.0	1.0
106481429	0.0	0.0
63905	6332.0	6142.0
63904	0.0	0.0
106481430	0.0	0.0
163071	455.0	388.0
63906	791.0	1461.0
106481433	0.0	0.0
63908	1238.0	310.0
106481434	0.0	0.0
106481431	0.0	0.0
106481432	0.0	0.0
100873389	0.0	0.0
100873388	5.0	0.0
285613	156.0	15.0
63920	763.0	184.0
63923	208.0	3.0
63922	767.0	754.0
728577	44.0	4.0
63925	2929.0	1420.0
63924	267.0	0.0
63916	3388.0	858.0
63917	5757.0	1236.0
106481400	0.0	0.0
106481401	0.0	0.0
728562	1.0	9.0
728564	4.0	8.0
285622	1.0	0.0
106481404	0.0	0.0
106481405	0.0	0.0
63932	2275.0	829.0
106481402	0.0	0.0
63931	2955.0	912.0
106481403	2.0	0.0
63934	1181.0	494.0
728567	1.0	18.0
106481408	0.0	0.0
163088	4.0	0.0
63933	4168.0	1065.0
106481409	1.0	0.0
106481406	0.0	0.0
63935	5305.0	2039.0
163087	938.0	279.0
728568	1397.0	492.0
106481407	11.0	4.0
3704	4142.0	4282.0
3705	4887.0	4037.0
63926	1518.0	158.0
3706	32.0	79.0
63929	1421.0	345.0
3707	2276.0	1970.0
63928	1.0	0.0
3708	15834.0	226.0
106481411	1.0	0.0
3709	2099.0	650.0
106481412	0.0	0.0
106481410	0.0	0.0
3700	69.0	4.0
3702	404.0	28.0
3703	14070.0	5262.0
645506	1.0	0.0
151050	2897.0	210.0
645520	0.0	0.0
63941	2664.0	1511.0
63940	838.0	724.0
63943	882.0	1308.0
728517	0.0	0.0
163033	556.0	1868.0
258010	5135.0	2507.0
63947	1.0	0.0
63946	0.0	0.0
728513	23.0	0.0
100033803	0.0	0.0
3716	11226.0	3269.0
100033804	0.0	0.0
3717	1104.0	150.0
100033805	0.0	0.0
3718	578.0	2139.0
63939	971.0	551.0
100033806	0.0	0.0
100190799	15.0	0.0
100033800	0.0	0.0
100033801	0.0	0.0
100033802	0.0	0.0
344405	130.0	77.0
3710	13179.0	612.0
3712	13145.0	5881.0
3713	2.0	57.0
3714	811.0	1115.0
63950	4.0	1.0
728505	0.0	0.0
63951	666.0	221.0
100033807	0.0	0.0
728501	63.0	230.0
100033808	0.0	0.0
100033809	0.0	0.0
3726	33550.0	25312.0
100033814	0.0	0.0
3727	49926.0	20961.0
63948	27.0	76.0
100033815	0.0	0.0
222052	1.0	0.0
3728	35431.0	13541.0
100033816	0.0	0.0
100033817	0.0	0.0
100033810	0.0	0.0
100033811	0.0	0.0
100033812	0.0	0.0
100033813	0.0	0.0
3720	1021.0	264.0
151056	678.0	113.0
3725	155917.0	5664.0
645528	6.0	1.0
728532	36.0	4.0
163059	653.0	205.0
728538	0.0	0.0
728537	890.0	152.0
63967	46.0	5.0
3737	131.0	10.0
3738	160.0	33.0
3739	4.0	0.0
645538	0.0	0.0
3730	3153.0	1076.0
3732	2957.0	4317.0
3734	0.0	0.0
3735	7586.0	7390.0
3736	487.0	0.0
63970	28.0	2.0
3750	357.0	89.0
63971	7373.0	942.0
63974	0.0	0.0
163049	3150.0	1294.0
63973	8.0	0.0
63976	3565.0	571.0
222068	22344.0	8795.0
63978	0.0	0.0
63977	737.0	466.0
63979	643.0	216.0
728524	0.0	0.0
3748	3776.0	347.0
163051	52.0	61.0
3749	700.0	470.0
163050	62.0	19.0
3741	75.0	60.0
645548	18.0	1.0
3743	2.0	0.0
3744	1.0	0.0
3745	65.0	1.0
3746	26.0	4.0
3747	0.0	0.0
285671	2494.0	839.0
285672	1946.0	1760.0
100873431	0.0	0.0
100873430	0.0	0.0
3760	9.0	9.0
285676	71.0	53.0
3761	9.0	6.0
100128657	0.0	0.0
285679	8.0	1.0
100861449	0.0	0.0
100861443	0.0	0.0
100861445	0.0	0.0
3759	220.0	3622.0
283008	0.0	0.0
3751	124.0	2.0
100873435	0.0	0.0
3752	260.0	38.0
100873434	0.0	0.0
3753	27.0	0.0
100873433	0.0	0.0
3754	14.0	5.0
100873432	0.0	0.0
3755	3.0	4.0
100873439	0.0	0.0
3756	11.0	8.0
100873438	0.0	0.0
3757	40.0	6.0
100873437	0.0	0.0
3758	79.0	1.0
100873436	0.0	0.0
100873420	1.0	0.0
3770	371.0	167.0
3772	19819.0	10469.0
100861458	0.0	0.0
100861453	16.0	3.0
100861455	0.0	0.0
1107	14785.0	4522.0
1106	15840.0	1889.0
1105	3206.0	657.0
1104	1748.0	514.0
100873429	0.0	0.0
1103	0.0	0.0
1102	4605.0	1187.0
1101	210.0	6.0
3762	202.0	512.0
100873424	0.0	0.0
3763	4.0	2.0
100128640	260.0	25.0
100873423	0.0	0.0
3764	716.0	543.0
100873422	0.0	0.0
3765	12.0	1.0
100873421	4.0	0.0
3766	75.0	8.0
100873428	0.0	0.0
3767	464.0	537.0
100873427	0.0	0.0
3768	588.0	406.0
1109	2.0	0.0
100873426	2.0	0.0
1108	17866.0	20977.0
3769	159.0	18.0
100873425	0.0	0.0
100128637	0.0	1.0
100128639	0.0	0.0
3780	17.0	14.0
100873453	0.0	0.0
3781	31.0	6.0
100873452	0.0	0.0
3782	690.0	242.0
100873451	0.0	0.0
3783	210.0	7962.0
100873450	0.0	0.0
1121	2778.0	416.0
100861468	0.0	0.0
1120	582.0	1547.0
100861469	0.0	0.0
1118	284.0	983.0
1117	1477.0	1952.0
1116	428.0	3730.0
1114	242.0	124.0
1113	92.0	4.0
1112	3226.0	520.0
1111	337.0	523.0
3773	24658.0	12693.0
100873457	4.0	0.0
100873456	2.0	0.0
3775	968.0	595.0
100873455	0.0	0.0
3776	5243.0	20.0
100873454	0.0	0.0
3777	1480.0	196.0
3778	350.0	211.0
3779	164.0	41.0
100873459	0.0	0.0
1119	8265.0	809.0
100128627	1.0	0.0
100128626	6.0	0.0
3790	417.0	225.0
100128628	28.0	0.0
3791	7339.0	673.0
100873442	0.0	0.0
3792	55.0	4.0
100873441	0.0	0.0
100873440	0.0	0.0
100128625	0.0	0.0
1132	15.0	0.0
1131	83.0	60.0
1130	3210.0	834.0
100861476	0.0	0.0
1129	1.0	0.0
1128	24.0	1.0
1124	1593.0	694.0
1123	686.0	213.0
1122	1444.0	176.0
100861470	0.0	0.0
3784	12707.0	3657.0
100873446	0.0	0.0
3785	6.0	2.0
100873445	0.0	0.0
3786	97.0	504.0
100873444	0.0	0.0
3787	28.0	6.0
100873443	0.0	0.0
3788	4.0	5.0
100873449	8.0	0.0
100873448	0.0	0.0
100873447	0.0	0.0
100873471	0.0	0.0
100873470	0.0	0.0
283050	332.0	98.0
100128618	3.0	1.0
728597	20.0	0.0
100128617	41.0	4.0
100873475	0.0	0.0
100873474	0.0	0.0
728591	63.0	3.0
100873473	0.0	0.0
100873472	1.0	0.0
1143	21.0	24.0
285634	6.0	1.0
1142	1.0	1.0
1141	31.0	1.0
285636	2710.0	386.0
1140	1851.0	850.0
728599	2.0	0.0
1139	106.0	0.0
1138	64.0	5.0
1137	247.0	20.0
100861485	0.0	0.0
1136	45.0	4.0
1135	13.0	2.0
1134	1.0	0.0
1133	26.0	2.0
3795	208.0	235.0
100873479	15.0	0.0
3796	1119.0	167.0
100873478	0.0	1.0
3797	1593.0	279.0
100873477	2.0	0.0
3798	403.0	164.0
100873476	0.0	0.0
3799	12030.0	4526.0
100873460	0.0	0.0
728586	17.0	12.0
285641	1.0	1.0
100873464	2.0	0.0
100873463	1.0	0.0
100873462	1.0	0.0
285643	3.0	2.0
100128603	0.0	0.0
100873461	0.0	0.0
1154	969.0	1218.0
1153	43400.0	35880.0
1152	16563.0	8658.0
285647	48.0	4.0
728589	10.0	0.0
728588	0.0	2.0
1149	154.0	0.0
1147	2070.0	472.0
1146	2.0	0.0
1145	27.0	56.0
1144	0.0	0.0
100873468	0.0	0.0
100873467	1.0	1.0
100873466	0.0	0.0
100873465	0.0	0.0
283033	0.0	0.0
100873469	1.0	0.0
100873493	0.0	0.0
100873492	0.0	0.0
100873491	1.0	0.0
100873490	0.0	0.0
100873497	0.0	0.0
100873496	0.0	0.0
100873495	0.0	0.0
100873494	0.0	0.0
1164	884.0	712.0
1163	661.0	1020.0
285659	0.0	0.0
1161	604.0	187.0
1160	454.0	237.0
1159	244.0	89.0
1158	8.0	6.0
1157	0.0	0.0
1155	3085.0	3668.0
550643	2980.0	3958.0
283025	0.0	0.0
100873499	0.0	0.0
100873498	3.0	0.0
100873482	0.0	0.0
100873481	1.0	0.0
100873480	0.0	0.0
100873486	0.0	0.0
100873485	0.0	0.0
100873484	0.0	0.0
100873483	0.0	0.0
1176	3586.0	1137.0
1175	2829.0	6237.0
285668	12.0	0.0
1174	2099.0	2048.0
1173	19820.0	20124.0
550631	691.0	488.0
100873489	0.0	0.0
283014	33.0	23.0
100873488	0.0	0.0
100873487	0.0	1.0
283093	0.0	0.0
283092	0.0	0.0
1187	1827.0	61.0
1186	5495.0	1668.0
1185	2116.0	323.0
1184	940.0	92.0
1183	2346.0	244.0
1182	6579.0	851.0
1181	803.0	204.0
440375	54.0	6.0
1180	16.0	0.0
1179	0.0	1.0
1178	3.0	0.0
283089	24.0	18.0
85495	0.0	0.0
85480	274.0	27.0
283080	0.0	0.0
1198	6040.0	2375.0
1197	1.0	3.0
1196	2912.0	732.0
1195	23690.0	2135.0
440366	2.0	0.0
1193	6668.0	761.0
1192	14826.0	34774.0
1191	244678.0	658333.0
1188	2926.0	230.0
283078	93.0	26.0
85486	4.0	15.0
128615	0.0	0.0
85481	0.0	0.0
128611	200.0	26.0
440396	67.0	6.0
128609	0.0	0.0
128602	0.0	0.0
440387	17.0	3.0
128674	1.0	0.0
128676	3.0	0.0
114026	0.0	0.0
100861402	2.0	8.0
126014	56.0	202.0
440335	28.0	352.0
100128690	0.0	0.0
114034	1647.0	1013.0
126006	128.0	114.0
114036	346.0	93.0
100128696	0.0	2.0
100128688	0.0	0.0
126003	58.0	58.0
100861412	1.0	0.0
105180390	0.0	0.0
100128685	0.0	0.0
100128681	0.0	0.0
105180391	0.0	0.0
100128682	8.0	1.0
100128678	0.0	0.0
100861429	0.0	0.0
128653	0.0	0.0
200728	589.0	225.0
440356	3.0	1.0
440354	69.0	52.0
440352	0.0	0.0
100873419	0.0	0.0
100873418	0.0	0.0
100873413	1.0	0.0
128646	0.0	8.0
100873412	0.0	0.0
100873411	0.0	0.0
100128675	12.0	0.0
100873410	0.0	0.0
100873417	4.0	0.0
100873416	1.0	0.0
100873415	0.0	0.0
100873414	0.0	0.0
440348	23.0	2.0
100861435	0.0	0.0
100861436	0.0	0.0
440345	224.0	0.0
200734	3361.0	616.0
100861431	1.0	0.0
100861434	0.0	0.0
100873409	0.0	0.0
440350	12.0	0.0
100873408	0.0	0.0
100873407	0.0	0.0
100861430	9.0	0.0
100873402	0.0	0.0
100873401	2.0	0.0
100873400	0.0	0.0
100128665	5.0	0.0
128637	4404.0	2306.0
100873406	0.0	0.0
100873405	2.0	0.0
100873404	0.0	0.0
100873403	1.0	0.0
645440	0.0	0.0
645443	9.0	1.0
165530	39.0	51.0
85409	54.0	157.0
106481385	0.0	0.0
106481386	0.0	0.0
85416	0.0	0.0
106481383	2.0	0.0
85417	81.0	6.0
106481384	0.0	0.0
103106903	4.0	0.0
85414	283.0	37.0
106481389	0.0	0.0
85415	1397.0	114.0
106481387	0.0	0.0
85413	0.0	0.0
106481388	3.0	0.0
645436	0.0	0.0
106481381	0.0	0.0
106481382	0.0	0.0
10	2.0	0.0
106481380	0.0	0.0
11	0.0	0.0
403341	1001.0	235.0
12	4.0	0.0
13	19.0	0.0
14	9759.0	4406.0
15	27.0	1.0
16	14102.0	4453.0
645455	29.0	1.0
18	12489.0	696.0
19	2707.0	717.0
128580	6.0	6.0
85407	169.0	27.0
106481396	0.0	0.0
106481397	0.0	0.0
106481394	0.0	0.0
85406	1745.0	43.0
106481395	0.0	0.0
85403	2241.0	401.0
106481398	0.0	0.0
106481399	0.0	0.0
403339	0.0	0.0
106481392	1.0	0.0
106481393	0.0	0.0
20	10197.0	8038.0
106481390	0.0	0.0
21	7628.0	4490.0
106481391	0.0	0.0
22	1582.0	664.0
153571	139.0	15.0
153572	169.0	7.0
23	5328.0	2516.0
24	156.0	73.0
25	9895.0	1724.0
26	17.0	3.0
27	1535.0	628.0
28	10865.0	1707.0
29	3131.0	3779.0
153579	1463.0	155.0
728615	2.0	0.0
728614	0.0	0.0
200765	478.0	153.0
106481358	0.0	2.0
106481359	0.0	0.0
728611	25.0	29.0
102466518	2.0	0.0
102466516	14.0	0.0
102466515	0.0	0.0
106481363	0.0	0.0
106481364	0.0	0.0
85438	1.0	0.0
106481361	0.0	0.0
85439	1793.0	168.0
106481362	0.0	0.0
106481367	0.0	0.0
85437	4668.0	2662.0
106481368	0.0	0.0
106481365	0.0	0.0
728609	440.0	128.0
106481366	0.0	0.0
30	4263.0	2410.0
106481360	0.0	0.0
31	2783.0	850.0
32	7448.0	747.0
33	3051.0	107.0
34	5954.0	640.0
35	2806.0	1630.0
153562	4843.0	2089.0
36	3737.0	307.0
37	50239.0	38210.0
38	7494.0	1981.0
440307	22.0	7.0
39	1018.0	307.0
165545	23.0	1.0
106481369	0.0	0.0
728606	35.0	1.0
106481374	0.0	0.0
106481375	0.0	0.0
106481372	0.0	0.0
106481373	0.0	0.0
106481378	5.0	0.0
106481379	0.0	0.0
106481376	0.0	0.0
106481377	0.0	0.0
403315	0.0	0.0
40	2.0	7.0
106481370	0.0	0.0
41	49.0	15.0
106481371	0.0	0.0
43	459.0	17.0
645486	0.0	0.0
47	8068.0	1530.0
48	4700.0	1981.0
49	17.0	0.0
106481338	0.0	0.0
106481339	0.0	0.0
106481336	0.0	0.0
106481337	0.0	0.0
106481341	0.0	0.0
106481342	3.0	0.0
106481340	1.0	0.0
85458	3675.0	590.0
106481345	0.0	0.0
85459	1121.0	146.0
106481346	0.0	0.0
85456	11497.0	4499.0
442910	6.0	0.0
106481343	0.0	0.0
85457	2591.0	548.0
