id	c3479764-edbf-49ba-afd0-9d7981b715c0	9f78aa72-143a-4277-bfdf-e1677822f8b7
100873322	0.0	0.0
3667	1892.0	1901.0
100873329	0.0	0.0
285590	6965.0	5851.0
100873328	0.0	0.0
3669	1416.0	700.0
100873327	0.0	0.0
1009	17250.0	18486.0
100873326	0.0	0.0
100873350	0.0	0.0
116729	0.0	28.0
728477	6.0	4.0
3680	4032.0	890.0
3681	167.0	62.0
100128733	0.0	0.0
100873354	0.0	0.0
3682	1174.0	989.0
100873353	0.0	0.0
3683	6572.0	1174.0
100873352	0.0	3.0
128710	270.0	1900.0
3684	5423.0	1308.0
100873351	0.0	3.0
285512	34.0	21.0
1022	572.0	1208.0
285513	2605.0	520.0
1021	1790.0	3911.0
1020	594.0	923.0
440299	0.0	2.0
1019	3243.0	11111.0
128709	1.0	0.0
1018	8.0	43.0
1017	1112.0	3571.0
1016	2.0	0.0
1015	76.0	11.0
1014	20.0	18.0
1013	46.0	10.0
1012	1377.0	7612.0
116730	43.0	90.0
3674	386.0	42.0
100873358	0.0	0.0
3675	11969.0	11190.0
100873357	0.0	0.0
3676	2066.0	847.0
100128731	5892.0	5210.0
100873356	0.0	0.0
3678	16144.0	7853.0
3679	2431.0	740.0
100873359	0.0	0.0
728464	90.0	53.0
728463	47.0	1578.0
100128725	0.0	0.0
3690	411.0	174.0
3691	7669.0	42769.0
100873343	0.0	0.0
3692	4344.0	10159.0
3693	12363.0	19802.0
285521	691.0	584.0
100873342	0.0	0.0
3694	7798.0	1029.0
100873341	0.0	0.0
3695	545.0	261.0
100873340	0.0	0.0
100128723	0.0	0.0
1033	90.0	876.0
1032	612.0	870.0
285525	1.0	2.0
1031	571.0	1674.0
285527	3398.0	2325.0
1030	1824.0	5574.0
728468	0.0	1.0
440288	94.0	223.0
1029	222.0	6363.0
440295	20.0	98.0
1028	1081.0	253.0
1027	2869.0	5181.0
1026	56907.0	10246.0
1025	3150.0	5548.0
1024	611.0	1072.0
3685	9340.0	18819.0
100873347	1.0	0.0
100873346	0.0	0.0
3687	6319.0	1531.0
100873345	0.0	0.0
3688	22004.0	29074.0
100873344	0.0	2.0
3689	28128.0	5701.0
100873349	0.0	0.0
100873348	0.0	0.0
100873372	0.0	0.0
100873371	0.0	0.0
100873370	0.0	0.0
728498	6.0	14.0
100873376	0.0	0.0
728493	0.0	0.0
100128711	0.0	0.0
728492	4.0	18.0
100873375	0.0	0.0
100128710	0.0	1.0
285533	92.0	60.0
100873374	0.0	0.0
728495	0.0	1.0
100873373	0.0	0.0
100128712	0.0	0.0
1044	16.0	54.0
1043	5703.0	472.0
1041	1.0	1.0
1040	1396.0	1439.0
1039	1887.0	2382.0
1038	3.0	5.0
1036	297.0	59.0
3696	518.0	1939.0
3697	6.0	1.0
100873379	0.0	0.0
3698	35.0	5.0
100873378	0.0	5.0
3699	244.0	94.0
100873377	0.0	0.0
728486	58.0	16.0
100873361	0.0	2.0
105373869	106.0	248.0
100873360	2.0	1.0
285540	45.0	57.0
100128705	1.0	0.0
100873365	0.0	0.0
100873364	0.0	0.0
728481	0.0	0.0
100873363	0.0	0.0
728484	2.0	0.0
100873362	0.0	0.0
100128701	0.0	3.0
1054	1534.0	9093.0
285547	0.0	0.0
1053	19.0	11.0
285548	0.0	27.0
1052	6892.0	4198.0
1051	6271.0	1380.0
728489	11.0	26.0
1050	2045.0	3550.0
100128707	0.0	0.0
1048	1930.0	1067.0
1047	34.0	122.0
1046	0.0	0.0
1045	0.0	23.0
100873369	1.0	4.0
100873368	0.0	0.0
100873367	0.0	0.0
100873366	0.0	0.0
105373877	0.0	2.0
1066	10245.0	1954.0
1063	428.0	15663.0
1062	146.0	1806.0
1061	1.0	5.0
1060	750.0	1170.0
440253	28.0	84.0
1059	4979.0	9934.0
1058	37.0	767.0
1057	8.0	3.0
85379	4333.0	20737.0
114112	400.0	688.0
1056	49.0	163.0
85377	2729.0	7400.0
85378	1988.0	2467.0
128745	0.0	1.0
85376	9.0	115.0
440248	104.0	146.0
1075	26571.0	19073.0
1074	7.0	2.0
1073	1850.0	781.0
1072	45248.0	50842.0
1071	197.0	66.0
440243	0.0	1.0
1070	423.0	739.0
1069	1467.0	2703.0
1068	0.0	0.0
85369	1669.0	1453.0
85366	12.0	17.0
85364	1196.0	3712.0
85365	2081.0	2823.0
85363	1568.0	727.0
85360	1426.0	1138.0
1080	2114.0	77.0
85391	0.0	11.0
403296	0.0	0.0
403297	0.0	0.0
85390	0.0	0.0
403299	0.0	0.0
1088	39.0	1.0
153733	304.0	370.0
1087	14.0	5.0
1086	0.0	0.0
440279	5.0	2.0
1085	2.0	0.0
1084	112.0	7.0
440278	69.0	135.0
1082	0.0	0.0
403294	0.0	0.0
440275	3207.0	5289.0
1081	0.0	0.0
85397	6.0	8.0
85395	325.0	544.0
403285	0.0	0.0
1091	0.0	0.0
1090	0.0	0.0
403288	0.0	0.0
403289	0.0	0.0
1098	0.0	3.0
1097	0.0	0.0
1096	0.0	0.0
1095	0.0	0.0
403281	0.0	0.0
403282	0.0	0.0
1094	0.0	0.0
1093	0.0	0.0
403283	0.0	0.0
403284	0.0	0.0
1092	7.0	3.0
440270	171.0	451.0
1089	199.0	14.0
85388	0.0	0.0
85389	0.0	0.0
128718	1.0	0.0
285596	20.0	6.0
285598	448.0	907.0
126133	2170.0	3600.0
128790	0.0	0.0
126129	193.0	223.0
126123	2.0	0.0
442862	0.0	0.0
126119	873.0	1128.0
442863	0.0	0.0
442864	0.0	0.0
442865	0.0	0.0
442866	0.0	0.0
442867	0.0	0.0
442868	0.0	0.0
128770	0.0	0.0
128774	0.0	0.0
442893	0.0	0.0
442894	0.0	0.0
442895	0.0	0.0
114131	202.0	2.0
442896	0.0	0.0
114132	262.0	14.0
442897	0.0	0.0
442898	1.0	2.0
114134	776.0	300.0
442899	0.0	0.0
100128790	0.0	0.0
128760	0.0	3.0
100128788	14.0	103.0
100128787	2.0	0.0
440225	0.0	0.0
440224	0.0	0.0
442890	0.0	0.0
442891	0.0	1.0
442892	0.0	0.0
128756	0.0	0.0
100128782	176.0	302.0
100128781	3.0	1.0
403230	0.0	0.0
403231	0.0	0.0
403232	0.0	0.0
645560	1.0	1.0
403234	0.0	0.0
403235	0.0	0.0
403236	0.0	0.0
63982	51.0	7.0
102466616	0.0	0.0
126052	0.0	0.0
151009	47.0	41.0
403227	0.0	0.0
403228	0.0	0.0
138046	0.0	0.0
645558	0.0	0.0
403229	0.0	1.0
645573	0.0	0.0
645572	0.0	0.0
645571	8.0	6.0
403223	0.0	0.0
403224	0.0	0.0
403226	0.0	0.0
200634	341.0	1668.0
107131122	0.0	0.0
138050	5715.0	8674.0
403219	0.0	0.0
151011	3074.0	7617.0
645587	0.0	13.0
165679	22.0	24.0
126037	17.0	11.0
114049	2535.0	6625.0
106481479	0.0	0.0
100033818	0.0	0.0
100033819	0.0	0.0
85319	0.0	0.0
106481484	0.0	0.0
106481485	0.0	0.0
106481482	0.0	0.0
106481483	0.0	0.0
85315	961.0	730.0
100033821	0.0	0.0
106481488	0.0	0.0
100033822	0.0	0.0
106481489	0.0	0.0
85313	1386.0	1516.0
106481486	0.0	0.0
106481487	0.0	0.0
645579	103.0	124.0
100033820	0.0	0.0
106481480	0.0	0.0
106481481	0.0	0.0
138065	1.0	5.0
645598	0.0	1.0
163007	1.0	1.0
114038	1.0	0.0
645591	1.0	8.0
106481495	0.0	0.0
114041	0.0	0.0
106481496	0.0	0.0
114042	0.0	1.0
106481493	0.0	0.0
114043	19.0	98.0
106481494	0.0	0.0
106481499	0.0	0.0
114044	54.0	182.0
126017	203.0	551.0
106481497	0.0	2.0
106481498	0.0	0.0
85303	0.0	0.0
85300	2.0	2.0
85301	1020.0	913.0
106481491	1.0	0.0
106481492	0.0	0.0
106481490	0.0	0.0
403274	0.0	0.0
102466657	0.0	0.0
403275	0.0	0.0
102466656	0.0	0.0
403276	0.0	0.0
403277	0.0	0.0
403278	0.0	0.0
26996	761.0	585.0
106481459	0.0	0.0
26994	5050.0	4425.0
106481457	0.0	3.0
26995	1187.0	5596.0
106481458	0.0	0.0
403271	0.0	0.0
26998	1.0	860.0
403272	0.0	0.0
102466659	0.0	0.0
26999	3938.0	567.0
403273	0.0	0.0
102466658	0.0	7.0
106481462	0.0	0.0
106481463	0.0	0.0
104310353	2.0	4.0
106481460	2.0	0.0
106481461	0.0	0.0
104310350	0.0	0.0
106481466	0.0	0.0
26993	1573.0	2851.0
106481467	0.0	0.0
106481464	0.0	0.0
106481465	0.0	0.0
104310351	0.0	0.0
403263	0.0	0.0
403264	0.0	0.0
403265	0.0	0.0
403266	0.0	0.0
138009	0.0	0.0
106481468	0.0	0.0
106481469	0.0	0.0
403260	0.0	0.0
106481473	0.0	0.0
106481474	0.0	0.0
106481471	0.0	0.0
85329	55.0	9.0
106481472	0.0	0.0
106481477	0.0	0.0
106481478	0.0	0.0
106481475	0.0	0.0
106481476	0.0	0.0
85320	13.0	64.0
106481470	0.0	1.0
403252	0.0	0.0
403253	0.0	0.0
403254	0.0	0.0
126070	339.0	1597.0
403255	0.0	0.0
403256	0.0	0.0
403257	0.0	0.0
344471	4.0	1.0
106481437	0.0	0.0
26974	35.0	20.0
153657	14.0	15.0
106481438	0.0	0.0
106481435	0.0	0.0
26973	619.0	2037.0
165631	288.0	109.0
106481436	0.0	0.0
26978	5.0	19.0
126075	626.0	310.0
106481439	0.0	0.0
403250	0.0	0.0
126074	114.0	355.0
403251	0.0	0.0
106481440	0.0	0.0
106481441	0.0	0.0
85359	1591.0	1918.0
106481444	0.0	2.0
106481445	0.0	0.0
106481442	0.0	0.0
106481443	0.0	0.0
85358	5388.0	1890.0
85354	0.0	0.0
85352	196.0	157.0
403241	0.0	0.0
344462	1.0	1.0
403244	0.0	0.0
403245	0.0	0.0
153642	260.0	213.0
153643	22.0	1.0
403247	0.0	0.0
403248	0.0	0.0
26985	2268.0	3484.0
106481448	0.0	0.0
26986	59888.0	118207.0
126069	56.0	41.0
106481449	0.0	0.0
126068	111.0	197.0
106481446	0.0	0.0
26983	0.0	0.0
26984	529.0	912.0
106481447	0.0	0.0
106481451	0.0	3.0
106481452	0.0	0.0
106481450	0.0	0.0
114088	23.0	111.0
106481455	0.0	0.0
85349	60.0	4.0
106481456	0.0	0.0
26982	0.0	0.0
106481453	0.0	0.0
85347	0.0	0.0
26980	2.0	4.0
106481454	0.0	0.0
403238	0.0	0.0
85344	1.0	1.0
403239	0.0	0.0
85345	0.0	1.0
85343	0.0	0.0
344454	0.0	0.0
85340	0.0	0.0
100873394	0.0	1.0
100873393	0.0	2.0
100873392	1.0	0.0
100873391	0.0	0.0
100873398	0.0	0.0
100873397	0.0	0.0
100873396	0.0	0.0
100873395	0.0	0.0
100128811	0.0	0.0
106481415	0.0	0.0
106481416	1.0	1.0
106481413	0.0	0.0
106481414	0.0	0.0
63901	1715.0	1748.0
100873390	0.0	0.0
728556	45.0	69.0
106481419	0.0	1.0
100128817	0.0	0.0
728558	98.0	113.0
106481417	0.0	0.0
106481418	0.0	0.0
106481422	0.0	0.0
163081	171.0	496.0
106481423	0.0	0.0
106481420	0.0	0.0
106481421	0.0	0.0
100873399	0.0	0.0
100873383	0.0	0.0
100873382	0.0	0.0
100873381	4.0	1.0
100873380	0.0	0.0
100128804	0.0	3.0
100873387	0.0	0.0
100873386	0.0	0.0
100873385	0.0	0.0
100128801	0.0	0.0
285600	128.0	76.0
100873384	0.0	0.0
285601	49.0	31.0
106481426	0.0	0.0
106481427	0.0	0.0
222005	1.0	8.0
63910	856.0	599.0
106481424	0.0	0.0
106481425	0.0	0.0
285605	329.0	449.0
222008	1.0	0.0
106481428	0.0	0.0
106481429	0.0	0.0
63905	1918.0	5916.0
63904	0.0	0.0
106481430	0.0	1.0
163071	34.0	46.0
63906	566.0	757.0
106481433	0.0	0.0
63908	397.0	1203.0
106481434	0.0	0.0
106481431	0.0	0.0
106481432	0.0	0.0
100873389	0.0	0.0
100873388	1.0	1.0
285613	72.0	265.0
63920	80.0	324.0
63923	59.0	35.0
63922	261.0	2126.0
728577	118.0	175.0
63925	1310.0	1558.0
63924	9.0	11.0
63916	2826.0	1869.0
63917	2576.0	2624.0
106481400	0.0	1.0
106481401	0.0	0.0
728562	2.0	1.0
728564	5.0	14.0
285622	3.0	0.0
106481404	0.0	0.0
106481405	0.0	1.0
63932	928.0	3320.0
106481402	0.0	0.0
63931	931.0	1625.0
106481403	0.0	0.0
63934	113.0	543.0
728567	2.0	0.0
106481408	1.0	0.0
163088	2.0	4.0
63933	1483.0	2287.0
106481409	0.0	0.0
106481406	0.0	0.0
63935	2561.0	2608.0
163087	312.0	868.0
728568	247.0	453.0
106481407	12.0	31.0
3704	1359.0	3189.0
3705	6132.0	3962.0
63926	361.0	1763.0
3706	22.0	341.0
63929	538.0	1956.0
3707	4763.0	14948.0
63928	28.0	713.0
3708	5230.0	1005.0
106481411	0.0	0.0
3709	3772.0	1822.0
106481412	0.0	0.0
106481410	2.0	1.0
3700	13.0	15.0
3702	847.0	170.0
3703	7881.0	11608.0
645506	0.0	0.0
151050	751.0	1005.0
645520	0.0	0.0
63941	1149.0	1481.0
63940	4537.0	888.0
63943	172.0	366.0
728517	0.0	0.0
163033	341.0	456.0
258010	985.0	201.0
63947	0.0	0.0
63946	0.0	0.0
728513	3.0	10.0
100033803	0.0	0.0
3716	13316.0	7236.0
100033804	0.0	0.0
3717	1482.0	1148.0
100033805	0.0	0.0
3718	1849.0	909.0
63939	539.0	955.0
100033806	0.0	0.0
100190799	2.0	3.0
100033800	0.0	0.0
100033801	0.0	0.0
100033802	0.0	0.0
344405	39.0	119.0
3710	11013.0	13557.0
3712	3824.0	2259.0
3713	52.0	2049.0
3714	2354.0	5916.0
63950	1.0	300.0
728505	0.0	0.0
63951	105.0	597.0
100033807	0.0	0.0
728501	31.0	16.0
100033808	0.0	0.0
100033809	0.0	0.0
3726	57455.0	20579.0
100033814	0.0	0.0
3727	26727.0	9493.0
63948	0.0	1.0
100033815	0.0	0.0
222052	0.0	2.0
3728	8907.0	73146.0
100033816	0.0	0.0
100033817	0.0	0.0
100033810	0.0	0.0
100033811	0.0	0.0
100033812	0.0	0.0
100033813	0.0	0.0
3720	1246.0	2799.0
151056	564.0	288.0
3725	41868.0	11080.0
645528	3.0	2.0
728532	9.0	29.0
163059	106.0	83.0
728538	0.0	1.0
728537	36.0	64.0
63967	119.0	810.0
3737	38.0	9.0
3738	964.0	96.0
3739	64.0	2.0
645538	0.0	0.0
3730	2613.0	1056.0
3732	7712.0	4827.0
3734	30.0	3.0
3735	5579.0	12255.0
3736	10.0	9.0
63970	20.0	16.0
3750	365.0	214.0
63971	4481.0	4850.0
63974	0.0	0.0
163049	845.0	2513.0
63973	1.0	0.0
63976	734.0	87.0
222068	4135.0	3970.0
63978	0.0	0.0
63977	469.0	822.0
63979	304.0	1816.0
728524	0.0	0.0
3748	634.0	372.0
163051	6.0	21.0
3749	938.0	744.0
163050	18.0	92.0
3741	318.0	50.0
645548	9.0	14.0
3743	0.0	14.0
3744	6.0	1.0
3745	78.0	24.0
3746	2.0	7.0
3747	0.0	0.0
285671	505.0	138.0
285672	1133.0	1139.0
100873431	0.0	0.0
100873430	0.0	0.0
3760	9.0	4.0
285676	23.0	103.0
3761	1.0	3.0
100128657	0.0	0.0
285679	1.0	10.0
100861449	0.0	1.0
100861443	0.0	0.0
100861445	0.0	0.0
3759	1377.0	367.0
283008	0.0	0.0
3751	125.0	179.0
100873435	0.0	0.0
3752	1332.0	642.0
100873434	0.0	0.0
3753	108.0	9.0
100873433	0.0	0.0
3754	15.0	15.0
100873432	0.0	0.0
3755	65.0	154.0
100873439	0.0	0.0
3756	4.0	53.0
100873438	0.0	0.0
3757	406.0	59.0
100873437	0.0	0.0
3758	10.0	4.0
100873436	0.0	0.0
100873420	0.0	0.0
3770	66.0	297.0
3772	3924.0	3254.0
100861458	0.0	2.0
100861453	16.0	186.0
100861455	0.0	0.0
1107	10851.0	11992.0
1106	5333.0	4987.0
1105	2691.0	2174.0
1104	1376.0	4635.0
100873429	0.0	0.0
1103	2.0	6.0
1102	1249.0	788.0
1101	7.0	26.0
3762	2300.0	585.0
100873424	0.0	0.0
3763	9.0	1.0
100128640	29.0	171.0
100873423	0.0	0.0
3764	1001.0	288.0
100873422	0.0	0.0
3765	1.0	5.0
100873421	1.0	0.0
3766	31.0	49.0
100873428	0.0	0.0
3767	182.0	75.0
100873427	0.0	0.0
3768	349.0	96.0
1109	0.0	53.0
100873426	0.0	1.0
1108	13805.0	22845.0
3769	1.0	1.0
100873425	0.0	0.0
100128637	0.0	0.0
100128639	0.0	0.0
3780	4.0	40.0
100873453	0.0	0.0
3781	98.0	42.0
100873452	0.0	0.0
3782	1104.0	417.0
100873451	0.0	0.0
3783	334.0	176.0
100873450	0.0	0.0
1121	1187.0	4044.0
100861468	0.0	1.0
1120	79.0	114.0
100861469	0.0	0.0
1118	5356.0	665.0
1117	2807.0	67.0
1116	16010.0	2995.0
1114	43.0	192.0
1113	18.0	85.0
1112	5721.0	6869.0
1111	282.0	2355.0
3773	18.0	15.0
100873457	0.0	2.0
100873456	0.0	0.0
3775	591.0	3938.0
100873455	0.0	0.0
3776	52.0	67.0
100873454	0.0	0.0
3777	1764.0	67.0
3778	2192.0	998.0
3779	756.0	244.0
100873459	0.0	1.0
1119	831.0	328.0
100128627	0.0	1.0
100128626	0.0	0.0
3790	1604.0	4343.0
100128628	5.0	13.0
3791	6306.0	1504.0
100873442	0.0	0.0
3792	12.0	26.0
100873441	0.0	0.0
100873440	0.0	0.0
100128625	0.0	0.0
1132	15.0	8.0
1131	145.0	1826.0
1130	2336.0	719.0
100861476	0.0	0.0
1129	84.0	5.0
1128	167.0	20.0
1124	673.0	231.0
1123	1721.0	410.0
1122	442.0	2154.0
100861470	0.0	0.0
3784	4100.0	388.0
100873446	0.0	0.0
3785	3.0	20.0
100873445	0.0	1.0
3786	602.0	73.0
100873444	0.0	0.0
3787	98.0	20.0
100873443	0.0	0.0
3788	81.0	93.0
100873449	0.0	4.0
100873448	0.0	0.0
100873447	0.0	0.0
100873471	0.0	0.0
100873470	0.0	0.0
283050	48.0	30.0
100128618	0.0	1.0
728597	0.0	0.0
100128617	8.0	6.0
100873475	0.0	0.0
100873474	0.0	0.0
728591	12.0	30.0
100873473	0.0	0.0
100873472	0.0	0.0
1143	9.0	493.0
285634	0.0	6.0
1142	8.0	0.0
1141	10.0	99.0
285636	1306.0	2789.0
1140	337.0	192.0
728599	1.0	3.0
1139	16.0	94.0
1138	29.0	317.0
1137	9.0	3.0
100861485	0.0	0.0
1136	47.0	33.0
1135	11.0	2.0
1134	162.0	110.0
1133	13.0	21.0
3795	260.0	532.0
100873479	3.0	9.0
3796	965.0	1588.0
100873478	0.0	0.0
3797	977.0	1648.0
100873477	0.0	2.0
3798	19.0	37.0
100873476	0.0	0.0
3799	10189.0	16448.0
100873460	0.0	0.0
728586	13.0	20.0
285641	2.0	3.0
100873464	1.0	4.0
100873463	0.0	0.0
100873462	3.0	5.0
285643	1.0	5.0
100128603	0.0	0.0
100873461	0.0	0.0
1154	2291.0	462.0
1153	10017.0	9851.0
1152	3103.0	4237.0
285647	8.0	28.0
728589	12.0	11.0
728588	4.0	0.0
1149	2.0	5.0
1147	1145.0	1641.0
1146	1.0	4.0
1145	430.0	552.0
1144	0.0	6.0
100873468	0.0	0.0
100873467	1.0	0.0
100873466	0.0	0.0
100873465	0.0	0.0
283033	0.0	0.0
100873469	0.0	0.0
100873493	0.0	0.0
100873492	0.0	0.0
100873491	0.0	0.0
100873490	0.0	0.0
100873497	0.0	0.0
100873496	0.0	0.0
100873495	0.0	0.0
100873494	0.0	0.0
1164	630.0	4620.0
1163	328.0	3227.0
285659	0.0	0.0
1161	281.0	356.0
1160	86.0	40.0
1159	23.0	1024.0
1158	13.0	7.0
1157	0.0	0.0
1155	2447.0	5993.0
550643	1147.0	1426.0
283025	0.0	0.0
100873499	0.0	0.0
100873498	0.0	0.0
100873482	0.0	0.0
100873481	0.0	0.0
100873480	0.0	0.0
100873486	0.0	0.0
100873485	0.0	0.0
100873484	0.0	0.0
100873483	0.0	0.0
1176	1815.0	1906.0
1175	3981.0	2941.0
285668	7.0	2.0
1174	1219.0	3771.0
1173	18250.0	78478.0
550631	101.0	98.0
100873489	0.0	0.0
283014	5.0	6.0
100873488	0.0	0.0
100873487	0.0	0.0
283093	0.0	0.0
283092	0.0	0.0
1187	4.0	7.0
1186	4827.0	5351.0
1185	1268.0	798.0
1184	820.0	1151.0
1183	622.0	81.0
1182	3621.0	4330.0
1181	195.0	1810.0
440375	40.0	59.0
1180	10.0	4.0
1179	0.0	1.0
1178	146.0	3.0
283089	4.0	8.0
85495	0.0	0.0
85480	72.0	35.0
283080	0.0	0.0
1198	2315.0	2435.0
1197	0.0	1.0
1196	954.0	2560.0
1195	2722.0	2548.0
440366	0.0	1.0
1193	2143.0	811.0
1192	17367.0	16987.0
1191	34368.0	5190.0
1188	14.0	7.0
283078	47.0	169.0
85486	4.0	11.0
128615	0.0	0.0
85481	0.0	0.0
128611	223.0	56.0
440396	22.0	105.0
128609	0.0	0.0
128602	70.0	1.0
440387	1.0	2.0
128674	0.0	1.0
128676	0.0	0.0
114026	0.0	1.0
100861402	1.0	4.0
126014	3221.0	367.0
440335	245.0	31.0
100128690	0.0	0.0
114034	550.0	493.0
126006	4.0	9.0
114036	27.0	34.0
100128696	0.0	0.0
100128688	0.0	0.0
126003	35.0	164.0
100861412	0.0	1.0
105180390	1.0	3.0
100128685	0.0	0.0
100128681	0.0	0.0
105180391	0.0	0.0
100128682	2.0	1.0
100128678	1.0	0.0
100861429	0.0	0.0
128653	1.0	0.0
200728	132.0	518.0
440356	3.0	100.0
440354	45.0	75.0
440352	0.0	1.0
100873419	0.0	0.0
100873418	0.0	0.0
100873413	0.0	1.0
128646	26.0	2.0
100873412	0.0	0.0
100873411	0.0	0.0
100128675	2.0	24.0
100873410	0.0	0.0
100873417	4.0	8.0
100873416	0.0	0.0
100873415	0.0	0.0
100873414	0.0	0.0
440348	4.0	16.0
100861435	0.0	0.0
100861436	0.0	0.0
440345	69.0	140.0
200734	2942.0	4397.0
100861431	0.0	0.0
100861434	0.0	0.0
100873409	0.0	0.0
440350	1.0	4.0
100873408	0.0	0.0
100873407	0.0	0.0
100861430	4.0	0.0
100873402	0.0	0.0
100873401	0.0	1.0
100873400	0.0	0.0
100128665	0.0	0.0
128637	3028.0	4993.0
100873406	0.0	0.0
100873405	0.0	1.0
100873404	0.0	0.0
100873403	0.0	0.0
645440	0.0	0.0
645443	4.0	1.0
165530	20.0	5.0
85409	1801.0	2842.0
106481385	1.0	0.0
106481386	0.0	4.0
85416	0.0	555.0
106481383	0.0	0.0
85417	21.0	32.0
106481384	0.0	0.0
103106903	0.0	1.0
85414	1244.0	340.0
106481389	0.0	0.0
85415	295.0	1330.0
106481387	0.0	0.0
85413	12.0	1.0
106481388	0.0	0.0
645436	0.0	0.0
106481381	0.0	0.0
106481382	0.0	0.0
10	18.0	2.0
106481380	0.0	0.0
11	0.0	0.0
403341	546.0	1546.0
12	82.0	2.0
13	37.0	16.0
14	4232.0	5829.0
15	9.0	12.0
16	7345.0	21781.0
645455	12.0	15.0
18	1128.0	221.0
19	3560.0	3759.0
128580	4.0	10.0
85407	1153.0	311.0
106481396	0.0	0.0
106481397	0.0	0.0
106481394	0.0	0.0
85406	1162.0	2170.0
106481395	0.0	0.0
85403	1920.0	1337.0
106481398	0.0	0.0
106481399	0.0	0.0
403339	0.0	0.0
106481392	0.0	3.0
106481393	0.0	0.0
20	3375.0	2735.0
106481390	0.0	0.0
21	48256.0	1234.0
106481391	0.0	0.0
22	925.0	1916.0
153571	261.0	171.0
153572	693.0	824.0
23	4330.0	5505.0
24	258.0	139.0
25	7584.0	10462.0
26	91.0	43.0
27	4169.0	1955.0
28	357.0	2559.0
29	11813.0	6610.0
153579	1583.0	135.0
728615	1.0	3.0
728614	0.0	0.0
200765	91.0	414.0
106481358	0.0	0.0
106481359	0.0	0.0
728611	25.0	31.0
102466518	0.0	1.0
102466516	0.0	0.0
102466515	0.0	0.0
106481363	0.0	0.0
106481364	0.0	0.0
85438	0.0	0.0
106481361	0.0	0.0
85439	561.0	2154.0
106481362	0.0	0.0
106481367	0.0	1.0
85437	1508.0	2157.0
106481368	0.0	0.0
106481365	0.0	0.0
728609	124.0	312.0
106481366	0.0	0.0
30	2788.0	1792.0
106481360	0.0	0.0
31	5525.0	6061.0
32	1948.0	1106.0
33	221.0	16.0
34	1764.0	1189.0
35	1343.0	938.0
153562	742.0	1389.0
36	2089.0	1771.0
37	9479.0	7523.0
38	2732.0	3090.0
440307	7.0	9.0
39	1049.0	1947.0
165545	13.0	663.0
106481369	0.0	0.0
728606	3.0	0.0
106481374	0.0	0.0
106481375	0.0	0.0
106481372	0.0	0.0
106481373	0.0	0.0
106481378	0.0	2.0
106481379	0.0	0.0
106481376	0.0	0.0
106481377	0.0	0.0
403315	0.0	0.0
40	27.0	5.0
106481370	0.0	0.0
41	231.0	595.0
106481371	0.0	0.0
43	129.0	38.0
645486	0.0	0.0
47	8338.0	13279.0
48	4022.0	4872.0
49	39.0	6.0
106481338	0.0	0.0
106481339	0.0	4.0
106481336	0.0	0.0
106481337	0.0	0.0
106481341	0.0	0.0
106481342	4.0	6.0
106481340	0.0	0.0
85458	1592.0	735.0
106481345	0.0	0.0
85459	350.0	1166.0
