id	9ccbd5f1-d73c-4e77-b876-4cca362218b7	f3bc810a-edc7-4412-9e09-006c0bcf2550
285596	11.0	2.0
285598	149.0	232.0
126133	467.0	1051.0
128790	0.0	0.0
126129	52.0	164.0
126123	4.0	0.0
442862	0.0	0.0
126119	407.0	655.0
442863	0.0	0.0
442864	0.0	0.0
442865	0.0	0.0
442866	0.0	0.0
442867	0.0	0.0
442868	0.0	0.0
128770	0.0	1.0
128774	0.0	0.0
442893	0.0	0.0
442894	0.0	0.0
442895	0.0	0.0
114131	9.0	4.0
442896	0.0	0.0
114132	212.0	6.0
442897	0.0	0.0
442898	0.0	0.0
114134	879.0	374.0
442899	0.0	0.0
100128790	0.0	0.0
128760	4.0	0.0
100128788	5.0	8.0
100128787	0.0	0.0
440225	0.0	0.0
440224	0.0	0.0
442890	0.0	0.0
442891	0.0	0.0
442892	1.0	0.0
128756	0.0	0.0
100128782	114.0	109.0
100128781	0.0	0.0
403230	0.0	0.0
403231	0.0	0.0
403232	0.0	0.0
645560	1.0	1.0
403234	0.0	0.0
403235	0.0	1.0
403236	1.0	0.0
63982	55.0	3.0
102466616	0.0	0.0
126052	0.0	0.0
151009	10.0	8.0
403227	0.0	0.0
403228	0.0	0.0
138046	1.0	0.0
645558	0.0	0.0
403229	0.0	2.0
645573	0.0	0.0
645572	0.0	0.0
645571	1.0	0.0
403223	0.0	0.0
403224	0.0	0.0
403226	0.0	0.0
200634	842.0	585.0
107131122	0.0	0.0
138050	3086.0	5639.0
403219	0.0	0.0
151011	7477.0	3372.0
645587	0.0	0.0
165679	16.0	1491.0
126037	14.0	12.0
114049	2241.0	2295.0
106481479	0.0	0.0
100033818	0.0	0.0
100033819	0.0	0.0
85319	0.0	0.0
106481484	0.0	0.0
106481485	0.0	0.0
106481482	0.0	0.0
106481483	0.0	0.0
85315	911.0	861.0
100033821	0.0	0.0
106481488	0.0	0.0
100033822	0.0	0.0
106481489	0.0	0.0
85313	1730.0	1164.0
106481486	0.0	0.0
106481487	0.0	0.0
645579	160.0	51.0
100033820	0.0	0.0
106481480	0.0	0.0
106481481	0.0	0.0
138065	3.0	2.0
645598	0.0	0.0
163007	5.0	2.0
114038	0.0	0.0
645591	5.0	0.0
106481495	0.0	0.0
114041	2.0	15.0
106481496	0.0	0.0
114042	2.0	0.0
106481493	0.0	0.0
114043	16.0	5.0
106481494	0.0	0.0
106481499	0.0	0.0
114044	43.0	38.0
126017	297.0	323.0
106481497	0.0	0.0
106481498	0.0	0.0
85303	0.0	0.0
85300	0.0	2.0
85301	130.0	308.0
106481491	0.0	0.0
106481492	0.0	0.0
106481490	0.0	0.0
403274	0.0	0.0
102466657	0.0	0.0
403275	0.0	0.0
102466656	0.0	0.0
403276	0.0	0.0
403277	0.0	0.0
403278	0.0	0.0
26996	1478.0	2337.0
106481459	0.0	0.0
26994	9540.0	4388.0
106481457	1.0	0.0
26995	1056.0	1676.0
106481458	0.0	0.0
403271	0.0	0.0
26998	1.0	2394.0
403272	1.0	0.0
102466659	0.0	0.0
26999	2415.0	856.0
403273	0.0	0.0
102466658	0.0	0.0
106481462	0.0	0.0
106481463	0.0	0.0
104310353	0.0	0.0
106481460	0.0	0.0
106481461	0.0	0.0
104310350	0.0	0.0
106481466	0.0	0.0
26993	477.0	556.0
106481467	0.0	0.0
106481464	0.0	0.0
106481465	0.0	0.0
104310351	15.0	0.0
403263	0.0	0.0
403264	0.0	0.0
403265	0.0	0.0
403266	0.0	0.0
138009	0.0	0.0
106481468	0.0	0.0
106481469	0.0	1.0
403260	0.0	0.0
106481473	0.0	0.0
106481474	0.0	0.0
106481471	0.0	0.0
85329	51.0	5.0
106481472	0.0	0.0
106481477	3.0	1.0
106481478	0.0	0.0
106481475	0.0	0.0
106481476	0.0	0.0
85320	1.0	7.0
106481470	0.0	0.0
403252	0.0	0.0
403253	0.0	0.0
403254	0.0	0.0
126070	640.0	541.0
403255	0.0	0.0
403256	0.0	0.0
403257	0.0	0.0
344471	9.0	6.0
106481437	0.0	0.0
26974	81.0	26.0
153657	18.0	3.0
106481438	0.0	0.0
106481435	0.0	0.0
26973	571.0	1347.0
165631	94.0	87.0
106481436	0.0	0.0
26978	7.0	12.0
126075	435.0	376.0
106481439	0.0	0.0
403250	0.0	0.0
126074	119.0	117.0
403251	0.0	0.0
106481440	0.0	0.0
106481441	0.0	0.0
85359	946.0	1150.0
106481444	1.0	1.0
106481445	0.0	0.0
106481442	0.0	0.0
106481443	0.0	0.0
85358	568.0	290.0
85354	0.0	0.0
85352	44.0	79.0
403241	0.0	0.0
344462	2.0	0.0
403244	0.0	0.0
403245	0.0	0.0
153642	584.0	325.0
153643	222.0	30.0
403247	0.0	0.0
403248	0.0	0.0
26985	2538.0	1652.0
106481448	0.0	0.0
26986	35669.0	73644.0
126069	78.0	21.0
106481449	0.0	0.0
126068	676.0	242.0
106481446	0.0	0.0
26983	0.0	0.0
26984	891.0	835.0
106481447	0.0	0.0
106481451	1.0	0.0
106481452	0.0	0.0
106481450	0.0	0.0
114088	17.0	41.0
106481455	0.0	0.0
85349	10.0	0.0
106481456	0.0	0.0
26982	0.0	0.0
106481453	0.0	0.0
85347	0.0	0.0
26980	0.0	1.0
106481454	0.0	0.0
403238	0.0	0.0
85344	0.0	1.0
403239	0.0	0.0
85345	0.0	0.0
85343	0.0	0.0
344454	0.0	0.0
85340	0.0	0.0
100873394	0.0	0.0
100873393	0.0	0.0
100873392	2.0	4.0
100873391	0.0	0.0
100873398	1.0	0.0
100873397	0.0	0.0
100873396	0.0	0.0
100873395	0.0	0.0
100128811	0.0	0.0
106481415	0.0	0.0
106481416	1.0	0.0
106481413	0.0	0.0
106481414	0.0	0.0
63901	1510.0	980.0
100873390	0.0	0.0
728556	33.0	28.0
106481419	0.0	1.0
100128817	0.0	0.0
728558	51.0	26.0
106481417	0.0	0.0
106481418	0.0	0.0
106481422	0.0	0.0
163081	301.0	387.0
106481423	0.0	0.0
106481420	0.0	1.0
106481421	0.0	0.0
100873399	0.0	0.0
100873383	0.0	0.0
100873382	0.0	0.0
100873381	0.0	1.0
100873380	0.0	0.0
100128804	0.0	0.0
100873387	0.0	0.0
100873386	0.0	0.0
100873385	0.0	0.0
100128801	0.0	0.0
285600	178.0	66.0
100873384	0.0	0.0
285601	10.0	22.0
106481426	0.0	0.0
106481427	1.0	0.0
222005	0.0	4.0
63910	38.0	219.0
106481424	0.0	0.0
106481425	0.0	0.0
285605	382.0	233.0
222008	1.0	4.0
106481428	1.0	0.0
106481429	0.0	1.0
63905	2480.0	2081.0
63904	0.0	0.0
106481430	0.0	1.0
163071	35.0	33.0
63906	383.0	387.0
106481433	0.0	0.0
63908	396.0	299.0
106481434	0.0	0.0
106481431	0.0	0.0
106481432	0.0	0.0
100873389	0.0	0.0
100873388	0.0	1.0
285613	13.0	9.0
63920	315.0	248.0
63923	32.0	208.0
63922	40.0	159.0
728577	26.0	24.0
63925	348.0	611.0
63924	2.0	0.0
63916	1939.0	1847.0
63917	2311.0	1329.0
106481400	0.0	0.0
106481401	0.0	0.0
728562	3.0	1.0
728564	0.0	7.0
285622	2.0	0.0
106481404	0.0	0.0
106481405	0.0	0.0
63932	1021.0	605.0
106481402	0.0	0.0
63931	1579.0	939.0
106481403	0.0	0.0
63934	143.0	85.0
728567	1.0	3.0
106481408	0.0	2.0
163088	1.0	4.0
63933	1529.0	2012.0
106481409	0.0	0.0
106481406	0.0	0.0
63935	2105.0	1650.0
163087	594.0	481.0
728568	252.0	234.0
106481407	12.0	11.0
3704	1067.0	1019.0
3705	2477.0	2227.0
63926	393.0	207.0
3706	14.0	51.0
63929	453.0	726.0
3707	1542.0	2281.0
63928	27.0	78.0
3708	1952.0	651.0
106481411	0.0	0.0
3709	1444.0	1355.0
106481412	0.0	0.0
106481410	0.0	0.0
3700	0.0	5.0
3702	935.0	534.0
3703	4564.0	6159.0
645506	2.0	0.0
151050	901.0	400.0
645520	0.0	0.0
63941	1117.0	170.0
63940	2453.0	1970.0
63943	178.0	316.0
728517	0.0	0.0
163033	143.0	220.0
258010	1429.0	779.0
63947	0.0	0.0
63946	0.0	0.0
728513	0.0	0.0
100033803	0.0	0.0
3716	8147.0	6250.0
100033804	0.0	0.0
3717	1876.0	1089.0
100033805	0.0	0.0
3718	397.0	1396.0
63939	963.0	934.0
100033806	0.0	0.0
100190799	2.0	4.0
100033800	0.0	0.0
100033801	0.0	0.0
100033802	0.0	0.0
344405	49.0	39.0
3710	2258.0	1817.0
3712	2964.0	1544.0
3713	0.0	941.0
3714	502.0	1576.0
63950	0.0	1.0
728505	0.0	0.0
63951	325.0	131.0
100033807	0.0	0.0
728501	55.0	18.0
100033808	0.0	0.0
100033809	0.0	0.0
3726	2105.0	3273.0
100033814	0.0	0.0
3727	4167.0	4315.0
63948	0.0	0.0
100033815	0.0	0.0
222052	0.0	0.0
3728	5914.0	66271.0
100033816	0.0	0.0
100033817	0.0	0.0
100033810	0.0	0.0
100033811	0.0	0.0
100033812	0.0	0.0
100033813	0.0	0.0
3720	433.0	1583.0
151056	173.0	103.0
3725	4557.0	3366.0
645528	0.0	1.0
728532	44.0	29.0
163059	219.0	110.0
728538	0.0	0.0
728537	22.0	30.0
63967	15.0	147.0
3737	9.0	6.0
3738	330.0	52.0
3739	88.0	11.0
645538	0.0	0.0
3730	15293.0	1445.0
3732	1831.0	1292.0
3734	0.0	0.0
3735	5684.0	7590.0
3736	0.0	9.0
63970	1.0	23.0
3750	114.0	112.0
63971	3263.0	2357.0
63974	0.0	0.0
163049	1443.0	1321.0
63973	0.0	0.0
63976	437.0	79.0
222068	4843.0	3177.0
63978	0.0	0.0
63977	111.0	186.0
63979	262.0	476.0
728524	0.0	0.0
3748	154.0	78.0
163051	42.0	39.0
3749	234.0	199.0
163050	48.0	22.0
3741	110.0	28.0
645548	10.0	8.0
3743	0.0	0.0
3744	2.0	0.0
3745	89.0	8.0
3746	1.0	1.0
3747	0.0	0.0
285671	950.0	333.0
285672	2562.0	2784.0
100873431	0.0	0.0
100873430	1.0	0.0
3760	14.0	3.0
285676	42.0	18.0
3761	0.0	3.0
100128657	0.0	0.0
285679	0.0	1.0
100861449	0.0	1.0
100861443	0.0	0.0
100861445	0.0	0.0
3759	422.0	441.0
283008	4.0	4.0
3751	16.0	441.0
100873435	0.0	0.0
3752	234.0	1221.0
100873434	0.0	0.0
3753	45.0	13.0
100873433	0.0	0.0
3754	3.0	9.0
100873432	0.0	0.0
3755	2.0	68.0
100873439	0.0	0.0
3756	3.0	46.0
100873438	0.0	0.0
3757	114.0	37.0
100873437	0.0	0.0
3758	5.0	3.0
100873436	0.0	0.0
100873420	2.0	3.0
3770	13.0	58.0
3772	5227.0	740.0
100861458	0.0	0.0
100861453	8.0	20.0
100861455	0.0	0.0
1107	2041.0	2490.0
1106	1302.0	1454.0
1105	949.0	1127.0
1104	560.0	1315.0
100873429	0.0	0.0
1103	0.0	0.0
1102	984.0	770.0
1101	5.0	432.0
3762	324.0	410.0
100873424	0.0	0.0
3763	8.0	44.0
100128640	27.0	28.0
100873423	0.0	0.0
3764	2968.0	810.0
100873422	0.0	0.0
3765	0.0	0.0
100873421	0.0	0.0
3766	15.0	289.0
100873428	0.0	0.0
3767	29.0	52.0
100873427	0.0	0.0
3768	108.0	39.0
1109	1.0	2.0
100873426	0.0	0.0
1108	5136.0	7054.0
3769	1.0	1.0
100873425	1.0	0.0
100128637	1.0	0.0
100128639	0.0	0.0
3780	3.0	10.0
100873453	0.0	0.0
3781	76.0	30.0
100873452	0.0	0.0
3782	208.0	403.0
100873451	0.0	0.0
3783	58.0	390.0
100873450	0.0	0.0
1121	1613.0	678.0
100861468	0.0	0.0
1120	87.0	79.0
100861469	0.0	0.0
1118	407.0	6846.0
1117	3246.0	586.0
1116	1076.0	20344.0
1114	2.0	8.0
1113	4.0	3.0
1112	3301.0	4297.0
1111	119.0	609.0
3773	171.0	16.0
100873457	0.0	1.0
100873456	0.0	0.0
3775	327.0	1223.0
100873455	0.0	0.0
3776	4.0	69.0
100873454	0.0	0.0
3777	1004.0	19.0
3778	883.0	1647.0
3779	229.0	504.0
100873459	0.0	0.0
1119	519.0	312.0
100128627	1.0	1.0
100128626	0.0	1.0
3790	2807.0	5301.0
100128628	6.0	5.0
3791	3226.0	1202.0
100873442	0.0	0.0
3792	5.0	80.0
100873441	0.0	0.0
100873440	0.0	0.0
100128625	0.0	0.0
1132	9.0	4.0
1131	174.0	900.0
1130	1048.0	900.0
100861476	0.0	0.0
1129	239.0	2.0
1128	150.0	8.0
1124	493.0	242.0
1123	1226.0	1300.0
1122	605.0	342.0
100861470	0.0	0.0
3784	1008.0	298.0
100873446	0.0	0.0
3785	0.0	0.0
100873445	0.0	0.0
3786	69.0	45.0
100873444	0.0	0.0
3787	66.0	34.0
100873443	0.0	0.0
3788	3.0	15.0
100873449	0.0	1.0
100873448	0.0	0.0
100873447	0.0	0.0
100873471	0.0	0.0
100873470	1.0	0.0
283050	48.0	36.0
100128618	0.0	1.0
728597	0.0	1.0
100128617	0.0	3.0
100873475	0.0	0.0
100873474	0.0	0.0
728591	2.0	1.0
100873473	0.0	1.0
100873472	0.0	0.0
1143	2.0	42.0
285634	0.0	2.0
1142	0.0	0.0
1141	0.0	8.0
285636	1217.0	1733.0
1140	361.0	296.0
728599	3.0	3.0
1139	1.0	14.0
1138	24.0	33.0
1137	4.0	2.0
100861485	0.0	0.0
1136	28.0	12.0
1135	42.0	0.0
1134	17.0	97.0
1133	3.0	5.0
3795	152.0	118.0
100873479	3.0	6.0
3796	868.0	516.0
100873478	0.0	0.0
3797	260.0	818.0
100873477	2.0	0.0
3798	4.0	27.0
100873476	0.0	0.0
3799	9480.0	5948.0
100873460	0.0	0.0
728586	3.0	6.0
285641	5.0	1.0
100873464	0.0	0.0
100873463	0.0	0.0
100873462	0.0	2.0
285643	1.0	0.0
100128603	0.0	0.0
100873461	0.0	0.0
1154	1948.0	505.0
1153	5848.0	4022.0
1152	3155.0	4472.0
285647	9.0	6.0
728589	6.0	3.0
728588	0.0	0.0
1149	0.0	4.0
1147	1286.0	830.0
1146	1.0	1.0
1145	16.0	26.0
1144	0.0	0.0
100873468	0.0	0.0
100873467	0.0	0.0
100873466	0.0	0.0
100873465	0.0	0.0
283033	0.0	0.0
100873469	1.0	0.0
100873493	0.0	0.0
100873492	0.0	0.0
100873491	0.0	0.0
100873490	0.0	0.0
100873497	0.0	0.0
100873496	0.0	0.0
100873495	0.0	0.0
100873494	0.0	0.0
1164	856.0	2247.0
1163	676.0	749.0
285659	0.0	0.0
1161	363.0	301.0
1160	55.0	23.0
1159	5.0	418.0
1158	7.0	20.0
1157	0.0	0.0
1155	1667.0	2658.0
550643	1465.0	1254.0
283025	0.0	0.0
100873499	0.0	0.0
100873498	0.0	0.0
100873482	0.0	0.0
100873481	0.0	0.0
100873480	0.0	0.0
100873486	0.0	0.0
100873485	0.0	0.0
100873484	0.0	0.0
100873483	0.0	0.0
1176	2366.0	3198.0
1175	2978.0	6305.0
285668	20.0	0.0
1174	1246.0	782.0
1173	11752.0	37793.0
550631	57.0	45.0
100873489	0.0	0.0
283014	3.0	7.0
100873488	0.0	0.0
100873487	0.0	0.0
283093	1.0	0.0
283092	0.0	0.0
1187	3.0	1.0
1186	1012.0	1212.0
1185	630.0	430.0
1184	500.0	640.0
1183	551.0	172.0
1182	2642.0	3173.0
1181	48.0	282.0
440375	12.0	10.0
1180	2.0	5.0
1179	0.0	0.0
1178	25.0	0.0
283089	53.0	6.0
85495	0.0	0.0
85480	126.0	173.0
283080	1.0	0.0
1198	1004.0	1123.0
1197	0.0	1.0
1196	548.0	958.0
1195	895.0	1000.0
440366	0.0	0.0
1193	5386.0	1481.0
1192	19114.0	19085.0
1191	25629.0	21565.0
1188	85.0	5.0
283078	79.0	131.0
85486	7.0	8.0
128615	0.0	0.0
85481	1.0	0.0
128611	174.0	147.0
440396	13.0	19.0
128609	0.0	0.0
128602	828.0	125.0
440387	0.0	0.0
128674	2.0	0.0
128676	0.0	0.0
114026	1.0	0.0
100861402	0.0	10.0
126014	1133.0	482.0
440335	547.0	37.0
100128690	0.0	0.0
114034	405.0	319.0
126006	5.0	2.0
114036	51.0	19.0
100128696	0.0	0.0
100128688	0.0	0.0
126003	19.0	20.0
100861412	0.0	0.0
105180390	0.0	0.0
100128685	0.0	0.0
100128681	0.0	0.0
105180391	0.0	0.0
100128682	0.0	0.0
100128678	1.0	0.0
100861429	0.0	0.0
128653	0.0	0.0
200728	205.0	88.0
440356	5.0	4.0
440354	37.0	62.0
440352	0.0	0.0
100873419	0.0	0.0
100873418	0.0	0.0
100873413	0.0	0.0
128646	33.0	4.0
100873412	0.0	0.0
100873411	0.0	0.0
100128675	1.0	0.0
100873410	0.0	0.0
100873417	1.0	0.0
100873416	0.0	0.0
100873415	0.0	0.0
100873414	0.0	0.0
440348	1.0	7.0
100861435	0.0	0.0
100861436	0.0	0.0
440345	14.0	27.0
200734	1442.0	2222.0
100861431	0.0	0.0
100861434	0.0	0.0
100873409	0.0	0.0
440350	0.0	2.0
100873408	0.0	0.0
100873407	0.0	0.0
100861430	10.0	0.0
100873402	0.0	0.0
100873401	0.0	0.0
100873400	0.0	0.0
100128665	1.0	0.0
128637	2118.0	2133.0
100873406	0.0	0.0
100873405	0.0	0.0
100873404	0.0	0.0
100873403	0.0	0.0
645440	0.0	0.0
645443	2.0	2.0
165530	15.0	1.0
85409	473.0	1553.0
106481385	0.0	0.0
106481386	0.0	0.0
85416	0.0	1.0
106481383	0.0	0.0
85417	33.0	5.0
106481384	0.0	0.0
103106903	2.0	0.0
85414	248.0	163.0
106481389	0.0	0.0
85415	489.0	388.0
106481387	0.0	0.0
85413	6.0	2.0
106481388	0.0	0.0
645436	0.0	1.0
106481381	0.0	0.0
106481382	0.0	0.0
10	19.0	1.0
106481380	0.0	0.0
11	0.0	0.0
403341	475.0	748.0
12	10.0	5.0
13	2213.0	1723.0
14	2520.0	2738.0
15	2.0	0.0
16	3457.0	5894.0
645455	12.0	4.0
18	512.0	541.0
19	3365.0	4324.0
128580	8.0	3.0
85407	657.0	232.0
106481396	0.0	0.0
106481397	0.0	0.0
106481394	0.0	0.0
85406	806.0	570.0
106481395	0.0	0.0
85403	1612.0	761.0
106481398	0.0	0.0
106481399	0.0	0.0
403339	0.0	0.0
106481392	0.0	1.0
106481393	0.0	0.0
20	649.0	912.0
106481390	0.0	0.0
21	13015.0	353.0
106481391	0.0	0.0
22	987.0	587.0
153571	550.0	54.0
153572	1661.0	182.0
23	1852.0	2741.0
24	30.0	16.0
25	1863.0	3244.0
26	185.0	59.0
27	661.0	2417.0
28	1077.0	1466.0
29	2763.0	2132.0
153579	995.0	79.0
728615	0.0	0.0
728614	0.0	0.0
200765	92.0	164.0
106481358	0.0	0.0
106481359	0.0	0.0
728611	40.0	9.0
102466518	0.0	0.0
102466516	3.0	0.0
102466515	0.0	0.0
106481363	0.0	0.0
106481364	0.0	0.0
85438	0.0	0.0
106481361	0.0	0.0
85439	386.0	2286.0
106481362	0.0	0.0
106481367	0.0	0.0
85437	2266.0	2472.0
106481368	0.0	0.0
106481365	0.0	0.0
728609	106.0	78.0
106481366	0.0	0.0
30	1800.0	670.0
106481360	0.0	0.0
31	2279.0	1866.0
32	611.0	216.0
33	1052.0	12.0
34	3114.0	872.0
35	839.0	281.0
153562	1393.0	700.0
36	2060.0	685.0
37	4510.0	2932.0
38	4140.0	1030.0
440307	2.0	1.0
39	1549.0	2328.0
165545	0.0	104.0
106481369	1.0	0.0
728606	1.0	5.0
106481374	0.0	0.0
106481375	0.0	0.0
106481372	0.0	0.0
106481373	0.0	0.0
106481378	1.0	0.0
106481379	0.0	0.0
106481376	0.0	0.0
106481377	0.0	0.0
403315	0.0	0.0
40	3.0	8.0
106481370	0.0	0.0
41	40.0	162.0
106481371	0.0	0.0
43	68.0	46.0
645486	0.0	0.0
47	4265.0	4261.0
48	4818.0	1725.0
49	8.0	3.0
106481338	0.0	0.0
106481339	0.0	0.0
106481336	0.0	0.0
106481337	1.0	0.0
106481341	0.0	0.0
106481342	1.0	1.0
106481340	0.0	0.0
85458	2009.0	849.0
106481345	0.0	0.0
85459	162.0	207.0
106481346	0.0	0.0
85456	2426.0	5152.0
442910	0.0	0.0
106481343	0.0	0.0
85457	1520.0	683.0
442911	0.0	0.0
