id	f490e7cb-8d67-47af-85c0-5dd5c7139efd	a998a5b1-397d-4497-a58c-9b9e1c7f491e
63906	642.0	868.0
106481433	1.0	0.0
63908	854.0	479.0
106481434	0.0	0.0
106481431	0.0	0.0
106481432	0.0	0.0
100873389	1.0	0.0
100873388	6.0	2.0
285613	97.0	327.0
63920	301.0	83.0
63923	43.0	6.0
63922	240.0	1139.0
728577	62.0	6.0
63925	1499.0	1174.0
63924	0.0	1.0
63916	3162.0	2816.0
63917	3112.0	6076.0
106481400	0.0	0.0
106481401	0.0	0.0
728562	0.0	1.0
728564	2.0	3.0
285622	1.0	1.0
106481404	0.0	0.0
106481405	0.0	0.0
63932	1303.0	1715.0
106481402	0.0	0.0
63931	1706.0	1005.0
106481403	0.0	4.0
63934	122.0	19.0
728567	2.0	3.0
106481408	0.0	4.0
163088	8.0	2.0
63933	2020.0	2331.0
106481409	0.0	0.0
106481406	0.0	0.0
63935	3640.0	2870.0
163087	595.0	198.0
728568	325.0	379.0
106481407	7.0	15.0
3704	1847.0	2762.0
3705	4831.0	3918.0
63926	644.0	1482.0
3706	10.0	358.0
63929	1017.0	1479.0
3707	3761.0	3014.0
63928	115.0	37.0
3708	4176.0	901.0
106481411	0.0	2.0
3709	3133.0	764.0
106481412	0.0	0.0
106481410	1.0	0.0
3700	40.0	3.0
3702	1166.0	34.0
3703	5821.0	8752.0
645506	0.0	0.0
151050	1817.0	238.0
645520	0.0	0.0
63941	1739.0	1449.0
63940	4031.0	658.0
63943	178.0	610.0
728517	0.0	0.0
163033	351.0	208.0
258010	1997.0	211.0
63947	0.0	0.0
63946	3.0	2.0
728513	0.0	0.0
100033803	0.0	0.0
3716	13791.0	5655.0
100033804	0.0	0.0
3717	2706.0	514.0
100033805	0.0	0.0
3718	1445.0	630.0
63939	891.0	5446.0
100033806	0.0	0.0
100190799	8.0	12.0
100033800	0.0	0.0
100033801	0.0	0.0
100033802	0.0	0.0
344405	112.0	30.0
3710	8813.0	5309.0
3712	4505.0	262.0
3713	2.0	18312.0
3714	1651.0	3042.0
63950	0.0	9.0
728505	0.0	0.0
63951	251.0	447.0
100033807	0.0	0.0
728501	18.0	7.0
100033808	0.0	0.0
100033809	0.0	0.0
3726	6389.0	5012.0
100033814	0.0	0.0
3727	14749.0	2702.0
63948	0.0	0.0
100033815	0.0	0.0
222052	1.0	0.0
3728	13184.0	123875.0
100033816	0.0	0.0
100033817	0.0	0.0
100033810	0.0	0.0
100033811	0.0	0.0
100033812	0.0	0.0
100033813	0.0	0.0
3720	1411.0	2760.0
151056	229.0	337.0
3725	12030.0	2083.0
645528	4.0	0.0
728532	27.0	32.0
163059	215.0	113.0
728538	0.0	0.0
728537	264.0	48.0
63967	72.0	540.0
3737	19.0	2.0
3738	698.0	8.0
3739	95.0	0.0
645538	0.0	0.0
3730	10805.0	95.0
3732	3820.0	5009.0
3734	31.0	60.0
3735	6269.0	5869.0
3736	25.0	0.0
63970	30.0	1153.0
3750	174.0	54.0
63971	5945.0	8002.0
63974	0.0	0.0
163049	1756.0	943.0
63973	0.0	0.0
63976	1104.0	128.0
222068	5831.0	8576.0
63978	1.0	0.0
63977	420.0	387.0
63979	381.0	2373.0
728524	0.0	0.0
3748	642.0	186.0
163051	35.0	19.0
3749	581.0	339.0
163050	59.0	29.0
3741	171.0	3.0
645548	8.0	14.0
3743	4.0	2.0
3744	16.0	0.0
3745	158.0	2.0
3746	3.0	0.0
3747	0.0	0.0
285671	720.0	48.0
285672	2271.0	1551.0
100873431	0.0	0.0
100873430	1.0	0.0
3760	8.0	0.0
285676	69.0	10.0
3761	7.0	0.0
100128657	0.0	0.0
285679	0.0	2.0
100861449	0.0	1.0
100861443	0.0	0.0
100861445	0.0	0.0
3759	757.0	1061.0
283008	2.0	0.0
3751	46.0	54.0
100873435	0.0	0.0
3752	441.0	95.0
100873434	0.0	0.0
3753	162.0	6.0
100873433	0.0	0.0
3754	12.0	9.0
100873432	0.0	0.0
3755	4.0	22.0
100873439	0.0	0.0
3756	5.0	324.0
100873438	0.0	0.0
3757	195.0	127.0
100873437	0.0	0.0
3758	20.0	9.0
100873436	0.0	0.0
100873420	2.0	7.0
3770	57.0	129.0
3772	5954.0	1050.0
100861458	0.0	1.0
100861453	30.0	108.0
100861455	0.0	0.0
1107	8342.0	3497.0
1106	7416.0	4276.0
1105	2872.0	1617.0
1104	830.0	4281.0
100873429	0.0	0.0
1103	2.0	2.0
1102	1225.0	349.0
1101	44.0	4.0
3762	1484.0	100.0
100873424	0.0	0.0
3763	23.0	2.0
100128640	77.0	41.0
100873423	0.0	0.0
3764	1027.0	249.0
100873422	0.0	0.0
3765	0.0	1.0
100873421	1.0	0.0
3766	13.0	3.0
100873428	0.0	0.0
3767	96.0	755.0
100873427	0.0	0.0
3768	98.0	43.0
1109	2.0	28.0
100873426	1.0	3.0
1108	12319.0	10425.0
3769	2.0	1.0
100873425	0.0	0.0
100128637	0.0	0.0
100128639	0.0	1.0
3780	15.0	9.0
100873453	0.0	0.0
3781	219.0	12.0
100873452	0.0	0.0
3782	1579.0	135.0
100873451	0.0	0.0
3783	394.0	338.0
100873450	0.0	0.0
1121	1538.0	1065.0
100861468	0.0	0.0
1120	270.0	247.0
100861469	1.0	0.0
1118	222.0	2804.0
1117	4245.0	95.0
1116	812.0	8872.0
1114	55.0	107.0
1113	21.0	2.0
1112	6291.0	3953.0
1111	176.0	1569.0
3773	294.0	0.0
100873457	0.0	1.0
100873456	2.0	0.0
3775	877.0	125.0
100873455	0.0	0.0
3776	11.0	15.0
100873454	0.0	0.0
3777	2556.0	12.0
3778	924.0	682.0
3779	449.0	170.0
100873459	0.0	0.0
1119	1991.0	1357.0
100128627	2.0	0.0
100128626	1.0	2.0
3790	3325.0	3251.0
100128628	12.0	3.0
3791	5697.0	1387.0
100873442	0.0	0.0
3792	33.0	29.0
100873441	1.0	0.0
100873440	0.0	0.0
100128625	0.0	0.0
1132	86.0	5.0
1131	388.0	1068.0
1130	3902.0	1707.0
100861476	0.0	2.0
1129	136.0	0.0
1128	464.0	4.0
1124	723.0	56.0
1123	1398.0	737.0
1122	1458.0	1046.0
100861470	0.0	0.0
3784	2610.0	207.0
100873446	0.0	0.0
3785	14.0	3.0
100873445	0.0	0.0
3786	640.0	54.0
100873444	0.0	0.0
3787	36.0	15.0
100873443	0.0	0.0
3788	6.0	3.0
100873449	3.0	0.0
100873448	0.0	0.0
100873447	0.0	0.0
100873471	0.0	0.0
100873470	0.0	0.0
283050	66.0	70.0
100128618	3.0	4.0
728597	0.0	0.0
100128617	3.0	7.0
100873475	0.0	0.0
100873474	0.0	0.0
728591	3.0	0.0
100873473	0.0	0.0
100873472	0.0	0.0
1143	1.0	147.0
285634	2.0	3.0
1142	1.0	3.0
1141	6.0	4.0
285636	1942.0	2513.0
1140	331.0	205.0
728599	4.0	4.0
1139	3.0	10.0
1138	24.0	322.0
1137	2.0	0.0
100861485	0.0	0.0
1136	11.0	108.0
1135	51.0	1.0
1134	8.0	17.0
1133	12.0	28.0
3795	186.0	985.0
100873479	17.0	11.0
3796	1653.0	1274.0
100873478	1.0	0.0
3797	506.0	1027.0
100873477	2.0	2.0
3798	20.0	44.0
100873476	0.0	0.0
3799	14025.0	9033.0
100873460	0.0	0.0
728586	8.0	14.0
285641	0.0	1.0
100873464	1.0	3.0
100873463	0.0	0.0
100873462	2.0	0.0
285643	1.0	2.0
100128603	4.0	0.0
100873461	1.0	0.0
1154	3031.0	519.0
1153	16076.0	5662.0
1152	7124.0	935.0
285647	13.0	20.0
728589	35.0	32.0
728588	2.0	0.0
1149	3.0	1.0
1147	1992.0	2322.0
1146	4.0	1.0
1145	101.0	433.0
1144	0.0	3.0
100873468	0.0	0.0
100873467	0.0	0.0
100873466	0.0	0.0
100873465	0.0	0.0
283033	0.0	0.0
100873469	0.0	0.0
100873493	0.0	0.0
100873492	0.0	0.0
100873491	0.0	0.0
100873490	0.0	0.0
100873497	0.0	0.0
100873496	1.0	0.0
100873495	0.0	0.0
100873494	0.0	0.0
1164	430.0	1944.0
1163	430.0	2329.0
285659	0.0	0.0
1161	369.0	560.0
1160	56.0	8.0
1159	35.0	180.0
1158	6.0	13.0
1157	0.0	0.0
1155	2722.0	1720.0
550643	1755.0	1223.0
283025	0.0	1.0
100873499	0.0	0.0
100873498	0.0	0.0
100873482	1.0	0.0
100873481	0.0	0.0
100873480	0.0	0.0
100873486	0.0	0.0
100873485	0.0	0.0
100873484	0.0	0.0
100873483	0.0	0.0
1176	2295.0	2864.0
1175	2970.0	3755.0
285668	12.0	0.0
1174	1238.0	3134.0
1173	15935.0	58138.0
550631	313.0	106.0
100873489	0.0	0.0
283014	19.0	9.0
100873488	0.0	0.0
100873487	0.0	0.0
283093	0.0	0.0
283092	0.0	0.0
1187	40.0	8.0
1186	2773.0	2711.0
1185	1724.0	724.0
1184	882.0	1038.0
1183	789.0	14.0
1182	4086.0	10739.0
1181	232.0	3673.0
440375	22.0	11.0
1180	5.0	2.0
1179	1.0	0.0
1178	37.0	2.0
283089	28.0	25.0
85495	0.0	0.0
85480	158.0	241.0
283080	0.0	0.0
1198	3023.0	2781.0
1197	1.0	0.0
1196	1830.0	1473.0
1195	5587.0	2088.0
440366	0.0	3.0
1193	4012.0	306.0
1192	21303.0	11838.0
1191	26118.0	10003.0
1188	50.0	9.0
283078	214.0	3.0
85486	5.0	5.0
128615	0.0	0.0
85481	0.0	0.0
128611	298.0	9.0
440396	71.0	78.0
128609	0.0	0.0
128602	4536.0	0.0
440387	0.0	0.0
128674	1.0	0.0
128676	1.0	1.0
114026	0.0	0.0
100861402	0.0	8.0
126014	2115.0	297.0
440335	724.0	87.0
100128690	0.0	0.0
114034	719.0	505.0
126006	23.0	9.0
114036	33.0	3.0
100128696	0.0	0.0
100128688	0.0	0.0
126003	26.0	28.0
100861412	0.0	0.0
105180390	0.0	0.0
100128685	0.0	0.0
100128681	1.0	0.0
105180391	0.0	0.0
100128682	0.0	1.0
100128678	0.0	0.0
100861429	0.0	0.0
128653	0.0	0.0
200728	182.0	302.0
440356	5.0	11.0
440354	65.0	60.0
440352	6.0	0.0
100873419	0.0	0.0
100873418	0.0	1.0
100873413	0.0	0.0
128646	33.0	4.0
100873412	0.0	0.0
100873411	0.0	0.0
100128675	4.0	18.0
100873410	0.0	0.0
100873417	0.0	5.0
100873416	0.0	0.0
100873415	0.0	0.0
100873414	0.0	0.0
440348	176.0	70.0
100861435	0.0	0.0
100861436	0.0	0.0
440345	110.0	54.0
200734	3129.0	3400.0
100861431	0.0	0.0
100861434	0.0	0.0
100873409	0.0	0.0
440350	1.0	2.0
100873408	0.0	0.0
100873407	0.0	0.0
100861430	9.0	0.0
100873402	0.0	0.0
100873401	0.0	3.0
100873400	0.0	0.0
100128665	0.0	0.0
128637	4482.0	2807.0
100873406	0.0	0.0
100873405	0.0	2.0
100873404	0.0	0.0
100873403	0.0	0.0
645440	0.0	0.0
645443	3.0	5.0
165530	117.0	12.0
85409	822.0	309.0
106481385	0.0	0.0
106481386	0.0	3.0
85416	2.0	246.0
106481383	2.0	1.0
85417	65.0	15.0
106481384	0.0	0.0
103106903	3.0	0.0
85414	599.0	323.0
106481389	0.0	0.0
85415	1366.0	213.0
106481387	0.0	0.0
85413	11.0	1.0
106481388	4.0	7.0
645436	0.0	0.0
106481381	7.0	0.0
106481382	0.0	0.0
10	9.0	0.0
106481380	0.0	0.0
11	0.0	0.0
403341	1141.0	692.0
12	27.0	1.0
13	1120.0	11.0
14	4360.0	5808.0
15	6.0	12.0
16	6771.0	9788.0
645455	23.0	3.0
18	828.0	2537.0
19	3606.0	4036.0
128580	2.0	2.0
85407	1016.0	23.0
106481396	0.0	0.0
106481397	1.0	0.0
106481394	0.0	0.0
85406	1193.0	920.0
106481395	1.0	0.0
85403	1881.0	1443.0
106481398	0.0	0.0
106481399	0.0	0.0
403339	0.0	0.0
106481392	4.0	1.0
106481393	0.0	0.0
20	2465.0	1895.0
106481390	0.0	0.0
21	46672.0	2353.0
106481391	0.0	0.0
22	1069.0	832.0
153571	661.0	9.0
153572	2537.0	24.0
23	4926.0	6854.0
24	90.0	22.0
25	4173.0	3105.0
26	36.0	44.0
27	2071.0	2365.0
28	1458.0	412.0
29	7335.0	2599.0
153579	3176.0	45.0
728615	0.0	0.0
728614	0.0	0.0
200765	173.0	330.0
106481358	0.0	0.0
106481359	0.0	0.0
728611	34.0	5.0
102466518	1.0	2.0
102466516	10.0	0.0
102466515	0.0	0.0
106481363	0.0	0.0
106481364	0.0	1.0
85438	0.0	0.0
106481361	0.0	0.0
85439	760.0	2468.0
106481362	0.0	0.0
106481367	0.0	0.0
85437	2024.0	1114.0
106481368	0.0	0.0
106481365	0.0	0.0
728609	330.0	100.0
106481366	0.0	0.0
30	3185.0	1418.0
106481360	2.0	0.0
31	5195.0	7085.0
32	1933.0	86.0
33	1388.0	13.0
34	2835.0	1038.0
35	1260.0	782.0
153562	2118.0	1316.0
36	2704.0	1879.0
37	12734.0	6760.0
38	3573.0	1858.0
440307	12.0	4.0
39	1785.0	2891.0
165545	8.0	492.0
106481369	0.0	0.0
728606	1.0	0.0
106481374	0.0	0.0
106481375	0.0	0.0
106481372	0.0	0.0
106481373	0.0	0.0
106481378	2.0	0.0
106481379	0.0	0.0
106481376	0.0	0.0
106481377	0.0	0.0
403315	0.0	0.0
40	2.0	6.0
106481370	0.0	0.0
41	101.0	404.0
106481371	0.0	0.0
43	249.0	87.0
645486	0.0	0.0
47	7696.0	10600.0
48	4037.0	1654.0
49	23.0	10.0
106481338	0.0	0.0
106481339	0.0	1.0
106481336	0.0	0.0
106481337	2.0	0.0
106481341	0.0	0.0
106481342	6.0	1.0
106481340	0.0	0.0
85458	1978.0	247.0
106481345	0.0	0.0
