id	8ff70f54-8735-40b1-a556-b96e8889cc0f	5a491f56-a9a5-4bae-a85a-c4c316a6b282
3684	7705.0	1322.0
100873351	0.0	0.0
285512	136.0	156.0
1022	1009.0	1039.0
285513	7292.0	549.0
1021	3917.0	12062.0
1020	769.0	4162.0
440299	3.0	4.0
1019	2987.0	11279.0
128709	0.0	0.0
1018	13.0	34.0
1017	1743.0	3721.0
1016	2.0	1.0
1015	5.0	45.0
1014	28.0	0.0
1013	57.0	22.0
1012	3434.0	3434.0
116730	26.0	53.0
3674	153.0	164.0
100873358	0.0	0.0
3675	45517.0	14146.0
100873357	0.0	2.0
3676	2913.0	2689.0
100128731	5368.0	14288.0
100873356	0.0	0.0
3678	12602.0	5656.0
3679	606.0	833.0
100873359	0.0	0.0
728464	64.0	40.0
728463	96.0	362.0
100128725	0.0	0.0
3690	253.0	418.0
3691	4089.0	52987.0
100873343	1.0	0.0
3692	5807.0	36821.0
3693	10736.0	19674.0
285521	1224.0	2094.0
100873342	0.0	0.0
3694	12771.0	1811.0
100873341	0.0	0.0
3695	746.0	376.0
100873340	5.0	0.0
100128723	1.0	0.0
1033	61.0	950.0
1032	734.0	882.0
285525	0.0	7.0
1031	458.0	2125.0
285527	8222.0	5717.0
1030	6057.0	2685.0
728468	1.0	0.0
440288	120.0	247.0
1029	172.0	2032.0
440295	145.0	116.0
1028	2235.0	314.0
1027	6161.0	3245.0
1026	16985.0	21415.0
1025	4260.0	4049.0
1024	776.0	1042.0
3685	7481.0	15688.0
100873347	0.0	0.0
100873346	0.0	0.0
3687	7763.0	1805.0
100873345	0.0	0.0
3688	36392.0	25767.0
100873344	0.0	0.0
3689	25576.0	5884.0
100873349	1.0	0.0
100873348	0.0	0.0
100873372	1.0	11.0
100873371	4.0	1.0
100873370	0.0	0.0
728498	15.0	4.0
100873376	0.0	0.0
728493	0.0	0.0
100128711	0.0	0.0
728492	63.0	30.0
100873375	0.0	0.0
100128710	0.0	0.0
285533	175.0	309.0
100873374	0.0	0.0
728495	0.0	0.0
100873373	0.0	0.0
100128712	0.0	0.0
1044	4.0	37.0
1043	18065.0	1623.0
1041	3.0	8.0
1040	3006.0	4293.0
1039	2623.0	2286.0
1038	5.0	2.0
1036	720.0	90.0
3696	1419.0	11320.0
3697	4.0	12.0
100873379	0.0	0.0
3698	116.0	22.0
100873378	0.0	2.0
3699	391.0	59.0
100873377	0.0	0.0
728486	151.0	10.0
100873361	1.0	0.0
105373869	11.0	210.0
100873360	0.0	1.0
285540	164.0	187.0
100128705	2.0	1.0
100873365	0.0	0.0
100873364	0.0	0.0
728481	0.0	0.0
100873363	0.0	0.0
728484	1.0	0.0
100873362	0.0	0.0
100128701	2.0	2.0
1054	3512.0	5673.0
285547	0.0	1.0
1053	31.0	4.0
285548	0.0	633.0
1052	11235.0	9397.0
1051	7609.0	7939.0
728489	11.0	5.0
1050	3062.0	1474.0
100128707	0.0	0.0
1048	1717.0	9179.0
1047	66.0	3750.0
1046	0.0	1.0
1045	0.0	2.0
100873369	3.0	3.0
100873368	0.0	0.0
100873367	0.0	0.0
100873366	0.0	0.0
105373877	0.0	0.0
1066	21480.0	1643.0
1063	360.0	5295.0
1062	152.0	1184.0
1061	1.0	1.0
1060	1822.0	1191.0
440253	82.0	39.0
1059	9091.0	28768.0
1058	12.0	1227.0
1057	1.0	1.0
85379	8841.0	11872.0
114112	568.0	914.0
1056	28.0	184.0
85377	3523.0	8213.0
85378	2545.0	3579.0
128745	0.0	24.0
85376	52.0	52.0
440248	341.0	237.0
1075	38709.0	20368.0
1074	6.0	14.0
1073	5690.0	2145.0
1072	55327.0	71044.0
1071	209.0	86.0
440243	0.0	0.0
1070	812.0	821.0
1069	3372.0	4113.0
1068	0.0	0.0
85369	2726.0	3621.0
85366	4.0	24.0
85364	2314.0	8988.0
85365	3489.0	1983.0
85363	2667.0	1488.0
85360	1710.0	1049.0
1080	3021.0	471.0
85391	2.0	14.0
403296	0.0	0.0
403297	2.0	0.0
85390	0.0	0.0
403299	0.0	0.0
1088	103.0	1.0
153733	629.0	178.0
1087	9.0	7.0
1086	0.0	0.0
440279	4.0	170.0
1085	2.0	1.0
1084	138.0	31.0
440278	71.0	364.0
1082	0.0	0.0
403294	0.0	0.0
440275	5494.0	11196.0
1081	1.0	13.0
85397	13.0	4.0
85395	482.0	1003.0
403285	0.0	0.0
1091	0.0	0.0
1090	0.0	1.0
403288	0.0	0.0
403289	0.0	0.0
1098	0.0	0.0
1097	0.0	2.0
1096	0.0	1.0
1095	0.0	0.0
403281	0.0	0.0
403282	0.0	0.0
1094	0.0	0.0
1093	0.0	0.0
403283	0.0	0.0
403284	0.0	0.0
1092	7.0	3.0
440270	236.0	197.0
1089	272.0	44.0
85388	0.0	0.0
85389	0.0	0.0
128718	0.0	0.0
285596	117.0	186.0
285598	394.0	679.0
126133	2268.0	2176.0
128790	0.0	8.0
126129	104.0	976.0
126123	4.0	0.0
442862	0.0	0.0
126119	1303.0	1682.0
442863	0.0	0.0
442864	0.0	0.0
442865	0.0	0.0
442866	0.0	0.0
442867	0.0	0.0
442868	0.0	0.0
128770	0.0	0.0
128774	0.0	0.0
442893	0.0	0.0
442894	1.0	0.0
442895	0.0	0.0
114131	65.0	48.0
442896	0.0	0.0
114132	618.0	27.0
442897	0.0	0.0
442898	0.0	1.0
114134	1114.0	1372.0
442899	0.0	0.0
100128790	0.0	0.0
128760	10.0	2.0
100128788	28.0	91.0
100128787	0.0	1.0
440225	0.0	0.0
440224	3.0	1.0
442890	0.0	0.0
442891	0.0	0.0
442892	0.0	0.0
128756	0.0	0.0
100128782	152.0	127.0
100128781	0.0	0.0
403230	0.0	0.0
403231	0.0	0.0
403232	0.0	0.0
645560	0.0	1.0
403234	0.0	0.0
403235	0.0	1.0
403236	0.0	0.0
63982	101.0	131.0
102466616	0.0	0.0
126052	0.0	1.0
151009	42.0	81.0
403227	0.0	0.0
403228	0.0	0.0
138046	0.0	0.0
645558	0.0	0.0
403229	0.0	9.0
645573	0.0	0.0
645572	0.0	0.0
645571	16.0	11.0
403223	0.0	0.0
403224	0.0	0.0
403226	0.0	0.0
200634	942.0	3992.0
107131122	0.0	0.0
138050	9655.0	8212.0
403219	0.0	0.0
151011	8386.0	3048.0
645587	4.0	1.0
165679	9.0	246.0
126037	27.0	35.0
114049	3306.0	9733.0
106481479	0.0	0.0
100033818	0.0	0.0
100033819	0.0	0.0
85319	0.0	78.0
106481484	0.0	0.0
106481485	1.0	0.0
106481482	0.0	0.0
106481483	0.0	0.0
85315	1611.0	1063.0
100033821	0.0	2.0
106481488	0.0	0.0
100033822	0.0	0.0
106481489	0.0	0.0
85313	2113.0	1713.0
106481486	0.0	0.0
106481487	0.0	0.0
645579	280.0	125.0
100033820	0.0	0.0
106481480	2.0	0.0
106481481	0.0	0.0
138065	6.0	41.0
645598	0.0	0.0
163007	6.0	10.0
114038	3.0	1.0
645591	24.0	8.0
106481495	0.0	0.0
114041	2.0	9.0
106481496	0.0	0.0
114042	7.0	7.0
106481493	0.0	0.0
114043	44.0	204.0
106481494	0.0	0.0
106481499	0.0	0.0
114044	132.0	192.0
126017	594.0	1219.0
106481497	1.0	0.0
106481498	0.0	0.0
85303	0.0	0.0
85300	2.0	1.0
85301	940.0	413.0
106481491	1.0	0.0
106481492	0.0	0.0
106481490	0.0	0.0
403274	0.0	0.0
102466657	0.0	0.0
403275	0.0	0.0
102466656	0.0	1.0
403276	0.0	0.0
403277	0.0	0.0
403278	0.0	0.0
26996	1224.0	552.0
106481459	0.0	0.0
26994	9985.0	10185.0
106481457	1.0	1.0
26995	1787.0	2756.0
106481458	0.0	0.0
403271	0.0	0.0
26998	0.0	0.0
403272	0.0	0.0
102466659	0.0	0.0
26999	6266.0	1381.0
403273	0.0	0.0
102466658	0.0	3.0
106481462	0.0	0.0
106481463	0.0	0.0
104310353	0.0	3.0
106481460	3.0	0.0
106481461	0.0	0.0
104310350	0.0	0.0
106481466	0.0	0.0
26993	1850.0	2744.0
106481467	0.0	0.0
106481464	3.0	1.0
106481465	0.0	0.0
104310351	8.0	5.0
403263	0.0	0.0
403264	0.0	0.0
403265	0.0	4.0
403266	0.0	0.0
138009	0.0	130.0
106481468	0.0	0.0
106481469	0.0	0.0
403260	0.0	0.0
106481473	0.0	0.0
106481474	0.0	0.0
106481471	0.0	0.0
85329	85.0	19.0
106481472	0.0	0.0
106481477	0.0	0.0
106481478	0.0	0.0
106481475	0.0	0.0
106481476	0.0	0.0
85320	10.0	61.0
106481470	2.0	0.0
403252	0.0	0.0
403253	0.0	0.0
403254	0.0	0.0
126070	1112.0	1394.0
403255	0.0	0.0
403256	0.0	0.0
403257	0.0	0.0
344471	0.0	3.0
106481437	0.0	0.0
26974	118.0	49.0
153657	27.0	126.0
106481438	0.0	0.0
106481435	0.0	0.0
26973	883.0	1491.0
165631	648.0	267.0
106481436	0.0	0.0
26978	19.0	11.0
126075	845.0	819.0
106481439	0.0	0.0
403250	0.0	0.0
126074	258.0	217.0
403251	0.0	0.0
106481440	0.0	0.0
106481441	0.0	0.0
85359	2100.0	6034.0
106481444	7.0	1.0
106481445	0.0	0.0
106481442	0.0	0.0
106481443	0.0	0.0
85358	5239.0	1918.0
85354	0.0	0.0
85352	82.0	92.0
403241	1.0	0.0
344462	3.0	1.0
403244	0.0	0.0
403245	0.0	0.0
153642	600.0	549.0
153643	221.0	257.0
403247	0.0	0.0
403248	0.0	0.0
26985	4449.0	4922.0
106481448	0.0	0.0
26986	63979.0	87728.0
126069	103.0	50.0
106481449	0.0	0.0
126068	668.0	153.0
106481446	0.0	0.0
26983	0.0	0.0
26984	1095.0	1229.0
106481447	0.0	0.0
106481451	1.0	2.0
106481452	1.0	0.0
106481450	0.0	0.0
114088	23.0	286.0
106481455	0.0	0.0
85349	249.0	99.0
106481456	0.0	0.0
26982	0.0	0.0
106481453	0.0	0.0
85347	0.0	0.0
26980	3.0	5.0
106481454	1.0	2.0
403238	0.0	0.0
85344	3.0	17.0
403239	0.0	0.0
85345	1.0	0.0
85343	0.0	0.0
344454	0.0	2.0
85340	0.0	2.0
100873394	0.0	0.0
100873393	0.0	0.0
100873392	2.0	5.0
100873391	0.0	0.0
100873398	0.0	0.0
100873397	0.0	0.0
100873396	0.0	0.0
100873395	0.0	0.0
100128811	0.0	0.0
106481415	0.0	0.0
106481416	0.0	0.0
106481413	0.0	0.0
106481414	0.0	0.0
63901	3640.0	2072.0
100873390	0.0	0.0
728556	51.0	202.0
106481419	0.0	2.0
100128817	0.0	0.0
728558	111.0	170.0
106481417	0.0	1.0
106481418	0.0	0.0
106481422	0.0	0.0
163081	366.0	340.0
106481423	0.0	0.0
106481420	0.0	0.0
106481421	0.0	0.0
100873399	0.0	0.0
100873383	0.0	0.0
100873382	0.0	0.0
100873381	2.0	1.0
100873380	0.0	0.0
100128804	0.0	0.0
100873387	0.0	0.0
100873386	0.0	0.0
100873385	0.0	0.0
100128801	0.0	0.0
285600	258.0	202.0
100873384	0.0	0.0
285601	37.0	32.0
106481426	0.0	0.0
106481427	0.0	0.0
222005	0.0	0.0
63910	230.0	345.0
106481424	0.0	0.0
106481425	0.0	0.0
285605	690.0	376.0
222008	0.0	0.0
106481428	0.0	0.0
106481429	1.0	0.0
63905	3212.0	9429.0
63904	0.0	0.0
106481430	0.0	0.0
163071	73.0	12.0
63906	1288.0	1992.0
106481433	0.0	0.0
63908	766.0	1056.0
106481434	0.0	0.0
106481431	0.0	0.0
106481432	0.0	0.0
100873389	0.0	0.0
100873388	3.0	1.0
285613	73.0	293.0
63920	265.0	291.0
63923	157.0	108.0
63922	300.0	1651.0
728577	159.0	359.0
63925	1654.0	3424.0
63924	9.0	5.0
63916	4683.0	15224.0
63917	4146.0	9644.0
106481400	0.0	3.0
106481401	0.0	0.0
728562	1.0	2.0
728564	4.0	14.0
285622	0.0	1.0
106481404	0.0	0.0
106481405	0.0	0.0
63932	1955.0	2254.0
106481402	0.0	0.0
63931	1786.0	1959.0
106481403	0.0	7.0
63934	126.0	115.0
728567	1.0	1.0
106481408	0.0	0.0
163088	4.0	1.0
63933	3916.0	2327.0
106481409	0.0	0.0
106481406	0.0	0.0
63935	4914.0	12639.0
163087	911.0	415.0
728568	207.0	553.0
106481407	17.0	24.0
3704	1701.0	7102.0
3705	10819.0	5394.0
63926	758.0	7139.0
3706	36.0	742.0
63929	1021.0	2292.0
3707	9143.0	4831.0
63928	4.0	4.0
3708	7469.0	2141.0
106481411	0.0	3.0
3709	5029.0	2210.0
106481412	0.0	0.0
106481410	0.0	0.0
3700	32.0	15.0
3702	1142.0	261.0
3703	7864.0	12674.0
645506	1.0	0.0
151050	1994.0	1380.0
645520	0.0	0.0
63941	2978.0	1543.0
63940	5956.0	1852.0
63943	367.0	390.0
728517	0.0	0.0
163033	594.0	2990.0
258010	2061.0	3213.0
63947	0.0	0.0
63946	0.0	0.0
728513	2.0	5.0
100033803	0.0	0.0
3716	23954.0	12408.0
100033804	0.0	0.0
3717	2865.0	770.0
100033805	0.0	0.0
3718	995.0	2332.0
63939	1392.0	1649.0
100033806	0.0	0.0
100190799	8.0	3.0
100033800	0.0	0.0
100033801	0.0	0.0
100033802	0.0	0.0
344405	97.0	166.0
3710	15220.0	5395.0
3712	7191.0	7030.0
3713	23.0	484.0
3714	2186.0	16944.0
63950	2.0	7.0
728505	0.0	1.0
63951	267.0	312.0
100033807	0.0	0.0
728501	50.0	37.0
100033808	0.0	0.0
100033809	0.0	0.0
3726	24086.0	10255.0
100033814	0.0	0.0
3727	38574.0	14487.0
63948	0.0	3.0
100033815	0.0	0.0
222052	0.0	5.0
3728	22494.0	34705.0
100033816	0.0	0.0
100033817	0.0	0.0
100033810	0.0	0.0
100033811	0.0	0.0
100033812	0.0	0.0
100033813	0.0	0.0
3720	2060.0	2061.0
151056	415.0	287.0
3725	33666.0	43691.0
645528	4.0	2.0
728532	29.0	25.0
163059	232.0	202.0
728538	0.0	3.0
728537	118.0	104.0
63967	84.0	1180.0
3737	35.0	5.0
3738	1812.0	193.0
3739	305.0	1.0
645538	0.0	0.0
3730	11368.0	4303.0
3732	11324.0	5617.0
3734	38.0	4.0
3735	7991.0	10761.0
3736	1.0	951.0
63970	9.0	40.0
3750	196.0	760.0
63971	9433.0	4928.0
63974	0.0	0.0
163049	2552.0	1346.0
63973	2.0	29.0
63976	2772.0	125.0
222068	7100.0	19071.0
63978	0.0	1.0
63977	643.0	1006.0
63979	423.0	1037.0
728524	0.0	0.0
3748	789.0	218.0
163051	25.0	22.0
3749	926.0	1065.0
163050	63.0	31.0
3741	154.0	22.0
645548	8.0	6.0
3743	1.0	14.0
3744	12.0	0.0
3745	110.0	70.0
3746	0.0	152.0
3747	0.0	1.0
285671	591.0	117.0
285672	2525.0	845.0
100873431	0.0	0.0
100873430	0.0	0.0
3760	6.0	177.0
285676	81.0	27.0
3761	0.0	17.0
100128657	0.0	0.0
285679	2.0	4.0
100861449	0.0	0.0
100861443	0.0	0.0
100861445	0.0	0.0
3759	801.0	2574.0
283008	51.0	48.0
3751	64.0	176.0
100873435	0.0	0.0
3752	736.0	332.0
100873434	0.0	0.0
3753	114.0	38.0
100873433	0.0	0.0
3754	25.0	14.0
100873432	0.0	0.0
3755	8.0	26.0
100873439	0.0	0.0
3756	4.0	1172.0
100873438	0.0	0.0
3757	298.0	38.0
100873437	0.0	0.0
3758	24.0	526.0
100873436	0.0	0.0
100873420	8.0	1.0
3770	101.0	95.0
3772	10976.0	8710.0
100861458	0.0	2.0
100861453	37.0	31.0
100861455	0.0	0.0
1107	15596.0	14990.0
1106	9225.0	6346.0
1105	3812.0	1533.0
1104	1544.0	7107.0
100873429	0.0	0.0
1103	0.0	0.0
1102	1280.0	1176.0
1101	25.0	89.0
3762	3229.0	1215.0
100873424	0.0	0.0
3763	12.0	60.0
100128640	95.0	76.0
100873423	0.0	0.0
3764	3047.0	5366.0
100873422	0.0	2.0
3765	2.0	3.0
100873421	1.0	2.0
3766	27.0	90.0
100873428	0.0	0.0
3767	164.0	196.0
100873427	0.0	0.0
3768	216.0	56.0
1109	4.0	1.0
100873426	1.0	1.0
1108	20314.0	32830.0
3769	3.0	5.0
100873425	1.0	0.0
100128637	2.0	0.0
100128639	2.0	0.0
3780	12.0	14.0
100873453	0.0	0.0
3781	307.0	29.0
100873452	0.0	0.0
3782	1809.0	502.0
100873451	0.0	0.0
3783	166.0	549.0
100873450	0.0	0.0
1121	2308.0	1643.0
100861468	0.0	5.0
1120	135.0	232.0
100861469	0.0	0.0
1118	8909.0	1235.0
1117	4298.0	648.0
1116	2805.0	30258.0
1114	29.0	306.0
1113	6.0	14.0
1112	11797.0	7994.0
1111	259.0	1751.0
3773	31.0	75.0
100873457	1.0	0.0
100873456	0.0	0.0
3775	702.0	3611.0
100873455	0.0	0.0
3776	2.0	481.0
100873454	0.0	0.0
3777	8217.0	989.0
3778	2207.0	618.0
3779	413.0	492.0
100873459	0.0	0.0
1119	1659.0	3093.0
100128627	0.0	1.0
100128626	1.0	0.0
3790	5269.0	4046.0
100128628	4.0	1.0
3791	15416.0	1816.0
100873442	0.0	0.0
3792	18.0	46.0
100873441	0.0	0.0
100873440	0.0	0.0
100128625	0.0	0.0
1132	120.0	45.0
1131	356.0	1620.0
1130	3813.0	1770.0
100861476	0.0	0.0
1129	272.0	4.0
1128	612.0	12.0
1124	720.0	1726.0
1123	2072.0	1762.0
1122	1414.0	766.0
100861470	0.0	0.0
3784	5654.0	764.0
100873446	2.0	0.0
3785	0.0	2.0
100873445	0.0	0.0
3786	759.0	139.0
100873444	0.0	0.0
3787	183.0	16.0
100873443	0.0	0.0
3788	3.0	13.0
100873449	0.0	0.0
100873448	0.0	0.0
100873447	0.0	0.0
100873471	0.0	0.0
100873470	0.0	1.0
283050	89.0	21.0
100128618	0.0	2.0
728597	0.0	0.0
100128617	2.0	0.0
100873475	0.0	0.0
100873474	0.0	0.0
728591	5.0	156.0
100873473	0.0	0.0
100873472	0.0	0.0
1143	6.0	84.0
285634	7.0	1.0
1142	0.0	1.0
1141	13.0	26.0
285636	3555.0	7399.0
1140	462.0	2949.0
728599	0.0	1.0
1139	11.0	10.0
1138	50.0	403.0
1137	7.0	1.0
100861485	0.0	0.0
1136	32.0	44.0
1135	39.0	3.0
1134	209.0	1127.0
1133	10.0	14.0
3795	468.0	1248.0
100873479	9.0	13.0
3796	1943.0	3026.0
100873478	0.0	0.0
3797	841.0	10054.0
100873477	0.0	1.0
3798	16.0	402.0
100873476	0.0	0.0
3799	20381.0	10854.0
100873460	0.0	0.0
728586	9.0	24.0
285641	2.0	0.0
100873464	1.0	0.0
100873463	1.0	0.0
100873462	2.0	2.0
285643	2.0	4.0
100128603	0.0	0.0
100873461	0.0	0.0
1154	4067.0	2093.0
1153	18736.0	8936.0
1152	10246.0	16839.0
285647	21.0	16.0
728589	20.0	8.0
728588	3.0	0.0
1149	0.0	3.0
1147	2628.0	2260.0
1146	1.0	362.0
1145	43.0	98.0
1144	0.0	19.0
100873468	0.0	0.0
100873467	1.0	0.0
100873466	0.0	0.0
100873465	0.0	0.0
283033	0.0	0.0
100873469	0.0	0.0
100873493	0.0	0.0
100873492	0.0	0.0
100873491	1.0	0.0
100873490	0.0	0.0
100873497	0.0	0.0
100873496	0.0	0.0
100873495	0.0	0.0
100873494	0.0	0.0
1164	1001.0	1547.0
1163	584.0	2359.0
285659	0.0	0.0
1161	473.0	565.0
1160	75.0	53.0
1159	8.0	67.0
1158	7.0	31.0
1157	0.0	0.0
1155	3708.0	7651.0
550643	1729.0	1792.0
283025	0.0	2.0
100873499	0.0	0.0
100873498	1.0	0.0
100873482	0.0	0.0
100873481	0.0	0.0
100873480	0.0	0.0
100873486	0.0	0.0
100873485	0.0	1.0
100873484	0.0	0.0
100873483	0.0	0.0
1176	2411.0	2292.0
1175	3426.0	7630.0
285668	18.0	0.0
1174	1625.0	7671.0
1173	23461.0	35181.0
550631	174.0	569.0
100873489	0.0	0.0
283014	0.0	5.0
100873488	0.0	0.0
100873487	0.0	0.0
283093	0.0	0.0
283092	0.0	0.0
1187	17.0	22.0
1186	5211.0	8117.0
1185	2538.0	1996.0
1184	1615.0	2189.0
1183	2937.0	3451.0
1182	7125.0	11164.0
1181	231.0	1328.0
440375	87.0	39.0
1180	17.0	26.0
1179	1.0	1.0
1178	25.0	5.0
283089	43.0	8.0
85495	0.0	0.0
85480	115.0	523.0
283080	0.0	0.0
1198	3152.0	3732.0
1197	0.0	6.0
1196	1515.0	2309.0
1195	2741.0	2567.0
440366	0.0	6.0
1193	4626.0	798.0
1192	23774.0	17909.0
1191	16243.0	37636.0
1188	46.0	52.0
283078	64.0	540.0
85486	4.0	4.0
128615	0.0	0.0
85481	1.0	0.0
128611	395.0	130.0
440396	41.0	105.0
128609	0.0	0.0
128602	748.0	1079.0
440387	6.0	6.0
128674	1.0	1.0
128676	2.0	0.0
114026	0.0	0.0
100861402	1.0	0.0
126014	4688.0	249.0
440335	613.0	498.0
100128690	0.0	0.0
114034	1143.0	1162.0
126006	14.0	31.0
114036	43.0	34.0
100128696	0.0	0.0
100128688	0.0	0.0
126003	75.0	74.0
100861412	0.0	0.0
105180390	0.0	0.0
100128685	0.0	0.0
100128681	0.0	0.0
105180391	0.0	0.0
100128682	2.0	0.0
100128678	5.0	6.0
100861429	0.0	0.0
128653	0.0	19.0
200728	218.0	537.0
440356	0.0	256.0
440354	43.0	41.0
440352	0.0	0.0
100873419	0.0	0.0
100873418	0.0	1.0
100873413	1.0	1.0
128646	62.0	4.0
100873412	0.0	0.0
100873411	0.0	0.0
100128675	0.0	3.0
100873410	0.0	0.0
100873417	6.0	2.0
100873416	0.0	0.0
100873415	0.0	0.0
100873414	0.0	0.0
440348	2.0	1.0
100861435	0.0	0.0
100861436	0.0	0.0
440345	77.0	50.0
200734	6272.0	6872.0
100861431	0.0	0.0
100861434	0.0	0.0
100873409	0.0	0.0
440350	2.0	1.0
100873408	0.0	0.0
100873407	0.0	0.0
100861430	29.0	23.0
100873402	0.0	0.0
100873401	3.0	0.0
100873400	3.0	0.0
100128665	0.0	0.0
128637	7233.0	18053.0
100873406	0.0	0.0
100873405	0.0	0.0
100873404	0.0	0.0
100873403	0.0	0.0
645440	0.0	0.0
645443	5.0	10.0
165530	28.0	21.0
85409	1652.0	1024.0
106481385	0.0	0.0
106481386	1.0	1.0
85416	0.0	283.0
106481383	7.0	2.0
85417	89.0	219.0
106481384	1.0	0.0
103106903	1.0	0.0
85414	694.0	600.0
106481389	0.0	0.0
85415	872.0	4530.0
106481387	0.0	0.0
85413	1.0	58.0
106481388	0.0	0.0
645436	0.0	0.0
106481381	0.0	0.0
106481382	0.0	0.0
10	12.0	14.0
106481380	0.0	0.0
11	0.0	0.0
403341	1869.0	925.0
12	50.0	100.0
13	729.0	70.0
14	7067.0	14448.0
15	7.0	14.0
16	10816.0	20139.0
645455	28.0	12.0
18	1721.0	2105.0
19	21123.0	2251.0
128580	3.0	0.0
85407	2263.0	136.0
106481396	0.0	0.0
106481397	0.0	0.0
106481394	0.0	0.0
85406	2278.0	2515.0
106481395	0.0	0.0
85403	3279.0	1580.0
106481398	0.0	0.0
106481399	0.0	0.0
403339	0.0	0.0
106481392	0.0	0.0
106481393	0.0	0.0
20	3947.0	2716.0
106481390	0.0	0.0
21	95275.0	9170.0
106481391	0.0	0.0
22	1301.0	1514.0
153571	1265.0	52.0
153572	5248.0	179.0
23	7320.0	10870.0
24	90.0	169.0
25	7662.0	6024.0
26	86.0	110.0
27	3660.0	2392.0
28	4036.0	250.0
29	15437.0	6939.0
153579	8334.0	113.0
728615	0.0	0.0
728614	0.0	0.0
200765	151.0	389.0
106481358	0.0	0.0
106481359	0.0	0.0
728611	23.0	35.0
102466518	0.0	0.0
102466516	5.0	1.0
102466515	0.0	0.0
106481363	0.0	0.0
106481364	1.0	0.0
85438	0.0	0.0
106481361	0.0	0.0
85439	1005.0	6345.0
106481362	0.0	0.0
106481367	0.0	0.0
85437	2046.0	3536.0
106481368	0.0	0.0
106481365	0.0	0.0
728609	362.0	213.0
106481366	0.0	0.0
30	4772.0	2908.0
106481360	0.0	0.0
31	11086.0	9380.0
32	2997.0	638.0
33	2098.0	374.0
34	2977.0	2642.0
35	1991.0	1571.0
153562	3905.0	2743.0
36	4942.0	1651.0
37	12366.0	16874.0
38	5459.0	3372.0
440307	6.0	9.0
39	2055.0	2805.0
165545	9.0	627.0
106481369	0.0	0.0
728606	0.0	1.0
106481374	0.0	0.0
106481375	0.0	0.0
106481372	0.0	0.0
106481373	0.0	0.0
106481378	0.0	1.0
106481379	0.0	0.0
106481376	1.0	2.0
106481377	0.0	0.0
403315	0.0	0.0
40	7.0	4.0
106481370	0.0	0.0
41	51.0	466.0
106481371	0.0	0.0
43	308.0	508.0
645486	1.0	0.0
47	13404.0	19170.0
48	7436.0	3427.0
49	22.0	7.0
106481338	0.0	0.0
106481339	0.0	0.0
106481336	0.0	0.0
106481337	1.0	0.0
