id	fa0419a3-7d4d-40fe-aceb-3d70965387e3	7ed7a392-2f66-4187-85bf-b902a8065bc5
106481438	0.0	0.0
106481435	0.0	0.0
26973	725.0	1723.0
165631	177.0	155.0
106481436	0.0	0.0
26978	18.0	11.0
126075	689.0	405.0
106481439	0.0	0.0
403250	0.0	0.0
126074	180.0	307.0
403251	0.0	0.0
106481440	0.0	0.0
106481441	0.0	0.0
85359	1719.0	5164.0
106481444	1.0	1.0
106481445	0.0	0.0
106481442	0.0	0.0
106481443	0.0	0.0
85358	2744.0	1041.0
85354	0.0	0.0
85352	41.0	56.0
403241	0.0	0.0
344462	1.0	0.0
403244	0.0	0.0
403245	0.0	0.0
153642	379.0	254.0
153643	850.0	14.0
403247	0.0	0.0
403248	0.0	0.0
26985	2697.0	3106.0
106481448	0.0	0.0
26986	42528.0	68382.0
126069	92.0	20.0
106481449	0.0	0.0
126068	338.0	131.0
106481446	0.0	0.0
26983	0.0	0.0
26984	695.0	1209.0
106481447	0.0	0.0
106481451	1.0	0.0
106481452	0.0	0.0
106481450	0.0	0.0
114088	39.0	30.0
106481455	0.0	0.0
85349	94.0	27.0
106481456	0.0	0.0
26982	0.0	0.0
106481453	0.0	0.0
85347	0.0	0.0
26980	3.0	4.0
106481454	0.0	0.0
403238	0.0	0.0
85344	1.0	7.0
403239	0.0	0.0
85345	0.0	0.0
85343	0.0	0.0
344454	0.0	0.0
85340	0.0	1.0
100873394	0.0	0.0
100873393	0.0	0.0
100873392	2.0	1.0
100873391	0.0	0.0
100873398	0.0	0.0
100873397	0.0	0.0
100873396	0.0	0.0
100873395	0.0	0.0
100128811	0.0	0.0
106481415	0.0	0.0
106481416	0.0	0.0
106481413	0.0	0.0
106481414	0.0	0.0
63901	1614.0	1988.0
100873390	0.0	0.0
728556	43.0	134.0
106481419	0.0	0.0
100128817	0.0	0.0
728558	68.0	63.0
106481417	0.0	0.0
106481418	0.0	0.0
106481422	0.0	0.0
163081	282.0	580.0
106481423	0.0	1.0
106481420	0.0	0.0
106481421	0.0	0.0
100873399	0.0	0.0
100873383	0.0	0.0
100873382	0.0	0.0
100873381	1.0	2.0
100873380	1.0	0.0
100128804	0.0	0.0
100873387	0.0	0.0
100873386	0.0	0.0
100873385	0.0	0.0
100128801	0.0	0.0
285600	194.0	74.0
100873384	0.0	0.0
285601	12.0	22.0
106481426	0.0	0.0
106481427	0.0	1.0
222005	2.0	4.0
63910	156.0	407.0
106481424	0.0	0.0
106481425	0.0	0.0
285605	509.0	229.0
222008	1.0	0.0
106481428	0.0	0.0
106481429	0.0	0.0
63905	2496.0	10156.0
63904	0.0	0.0
106481430	0.0	0.0
163071	36.0	87.0
63906	815.0	973.0
106481433	1.0	0.0
63908	446.0	706.0
106481434	0.0	0.0
106481431	0.0	0.0
106481432	0.0	0.0
100873389	0.0	0.0
100873388	0.0	0.0
285613	46.0	95.0
63920	238.0	361.0
63923	47.0	57.0
63922	193.0	2145.0
728577	76.0	3.0
63925	1084.0	1676.0
63924	4.0	2.0
63916	3138.0	2394.0
63917	3211.0	4205.0
106481400	0.0	0.0
106481401	0.0	0.0
728562	0.0	4.0
728564	0.0	71.0
285622	3.0	0.0
106481404	0.0	0.0
106481405	0.0	0.0
63932	1266.0	2369.0
106481402	0.0	0.0
63931	1211.0	1963.0
106481403	0.0	0.0
63934	122.0	25.0
728567	1.0	5.0
106481408	0.0	0.0
163088	5.0	2.0
63933	2217.0	2801.0
106481409	0.0	0.0
106481406	0.0	0.0
63935	3721.0	4016.0
163087	498.0	594.0
728568	268.0	1302.0
106481407	12.0	33.0
3704	1567.0	4862.0
3705	8618.0	6133.0
63926	601.0	1222.0
3706	9.0	310.0
63929	736.0	1374.0
3707	4485.0	3942.0
63928	160.0	47.0
3708	3234.0	979.0
106481411	1.0	0.0
3709	2328.0	1224.0
106481412	0.0	0.0
106481410	0.0	1.0
3700	9.0	9.0
3702	217.0	498.0
3703	6765.0	12350.0
645506	0.0	0.0
151050	1301.0	453.0
645520	0.0	0.0
63941	2814.0	1255.0
63940	3749.0	1657.0
63943	269.0	666.0
728517	0.0	0.0
163033	379.0	709.0
258010	1265.0	687.0
63947	0.0	0.0
63946	0.0	1.0
728513	0.0	0.0
100033803	0.0	0.0
3716	12849.0	5565.0
100033804	0.0	0.0
3717	1383.0	709.0
100033805	0.0	0.0
3718	352.0	2216.0
63939	783.0	1415.0
100033806	0.0	0.0
100190799	3.0	4.0
100033800	0.0	0.0
100033801	0.0	0.0
100033802	0.0	0.0
344405	81.0	217.0
3710	14465.0	5793.0
3712	4971.0	2673.0
3713	16.0	1986.0
3714	1611.0	3060.0
63950	4.0	29.0
728505	0.0	1.0
63951	262.0	8.0
100033807	0.0	0.0
728501	40.0	40.0
100033808	0.0	0.0
100033809	0.0	0.0
3726	33868.0	15015.0
100033814	0.0	0.0
3727	19835.0	10731.0
63948	0.0	0.0
100033815	0.0	0.0
222052	0.0	3.0
3728	16227.0	102949.0
100033816	0.0	0.0
100033817	0.0	0.0
100033810	0.0	0.0
100033811	0.0	0.0
100033812	0.0	0.0
100033813	0.0	0.0
3720	1262.0	2287.0
151056	169.0	275.0
3725	32829.0	5455.0
645528	3.0	0.0
728532	17.0	28.0
163059	165.0	136.0
728538	2.0	19.0
728537	93.0	39.0
63967	28.0	333.0
3737	6.0	44.0
3738	1159.0	37.0
3739	122.0	0.0
645538	0.0	0.0
3730	9659.0	615.0
3732	4665.0	6423.0
3734	27.0	4.0
3735	5547.0	12265.0
3736	15.0	2.0
63970	58.0	949.0
3750	104.0	199.0
63971	5422.0	3325.0
63974	0.0	0.0
163049	1348.0	1487.0
63973	1.0	4.0
63976	1691.0	232.0
222068	5810.0	9415.0
63978	0.0	0.0
63977	396.0	468.0
63979	334.0	1571.0
728524	0.0	0.0
3748	619.0	279.0
163051	18.0	21.0
3749	584.0	940.0
163050	47.0	57.0
3741	130.0	10.0
645548	4.0	5.0
3743	0.0	7.0
3744	1.0	0.0
3745	197.0	7.0
3746	1.0	3.0
3747	0.0	0.0
285671	513.0	189.0
285672	1809.0	1531.0
100873431	0.0	0.0
100873430	0.0	0.0
3760	12.0	0.0
285676	38.0	37.0
3761	0.0	2.0
100128657	0.0	5.0
285679	1.0	1.0
100861449	0.0	0.0
100861443	0.0	0.0
100861445	0.0	0.0
3759	428.0	303.0
283008	0.0	0.0
3751	22.0	58.0
100873435	0.0	0.0
3752	547.0	183.0
100873434	0.0	0.0
3753	192.0	12.0
100873433	1.0	0.0
3754	19.0	21.0
100873432	0.0	0.0
3755	6.0	1386.0
100873439	0.0	0.0
3756	11.0	12.0
100873438	0.0	0.0
3757	245.0	746.0
100873437	0.0	0.0
3758	13.0	5.0
100873436	0.0	0.0
100873420	4.0	0.0
3770	49.0	128.0
3772	8846.0	1201.0
100861458	0.0	0.0
100861453	23.0	52.0
100861455	0.0	0.0
1107	10580.0	5987.0
1106	4776.0	1590.0
1105	1721.0	1233.0
1104	1145.0	4656.0
100873429	0.0	0.0
1103	0.0	62.0
1102	799.0	921.0
1101	56.0	23.0
3762	1945.0	337.0
100873424	0.0	0.0
3763	18.0	12.0
100128640	86.0	55.0
100873423	0.0	0.0
3764	1805.0	218.0
100873422	0.0	0.0
3765	0.0	9.0
100873421	1.0	0.0
3766	18.0	120.0
100873428	0.0	0.0
3767	216.0	185.0
100873427	0.0	0.0
3768	176.0	47.0
1109	2.0	11.0
100873426	0.0	1.0
1108	13065.0	19807.0
3769	4.0	0.0
100873425	0.0	2.0
100128637	1.0	0.0
100128639	0.0	0.0
3780	4.0	57.0
100873453	0.0	0.0
3781	87.0	18.0
100873452	1.0	0.0
3782	567.0	271.0
100873451	0.0	0.0
3783	330.0	509.0
100873450	0.0	0.0
1121	1033.0	965.0
100861468	0.0	0.0
1120	90.0	209.0
100861469	0.0	0.0
1118	289.0	362.0
1117	1031.0	179.0
1116	1695.0	4739.0
1114	19.0	53.0
1113	30.0	24.0
1112	4676.0	2699.0
1111	166.0	1996.0
3773	393.0	11.0
100873457	1.0	0.0
100873456	0.0	0.0
3775	829.0	2817.0
100873455	0.0	0.0
3776	8.0	38.0
100873454	0.0	0.0
3777	3251.0	35.0
3778	1332.0	3200.0
3779	225.0	293.0
100873459	0.0	1.0
1119	1419.0	1117.0
100128627	0.0	1.0
100128626	0.0	0.0
3790	3278.0	4156.0
100128628	11.0	8.0
3791	5177.0	566.0
100873442	0.0	0.0
3792	11.0	28.0
100873441	0.0	0.0
100873440	0.0	0.0
100128625	0.0	0.0
1132	11.0	25.0
1131	399.0	675.0
1130	1675.0	1641.0
100861476	0.0	0.0
1129	103.0	0.0
1128	96.0	4.0
1124	491.0	86.0
1123	712.0	872.0
1122	1009.0	739.0
100861470	0.0	1.0
3784	4187.0	408.0
100873446	0.0	0.0
3785	2.0	69.0
100873445	0.0	0.0
3786	267.0	22.0
100873444	0.0	0.0
3787	109.0	65.0
100873443	1.0	0.0
3788	13.0	5.0
100873449	0.0	0.0
100873448	0.0	0.0
100873447	0.0	0.0
100873471	0.0	0.0
100873470	0.0	0.0
283050	44.0	22.0
100128618	0.0	3.0
728597	1.0	0.0
100128617	0.0	16.0
100873475	0.0	0.0
100873474	0.0	0.0
728591	5.0	20.0
100873473	0.0	0.0
100873472	0.0	0.0
1143	1.0	182.0
285634	2.0	3.0
1142	0.0	2.0
1141	8.0	53.0
285636	1663.0	2363.0
1140	344.0	629.0
728599	9.0	2.0
1139	9.0	57.0
1138	59.0	253.0
1137	4.0	12.0
100861485	0.0	0.0
1136	67.0	27.0
1135	75.0	0.0
1134	9.0	17.0
1133	7.0	7.0
3795	411.0	1275.0
100873479	5.0	3.0
3796	974.0	1265.0
100873478	0.0	0.0
3797	509.0	1777.0
100873477	2.0	0.0
3798	14.0	72.0
100873476	0.0	0.0
3799	11258.0	12972.0
100873460	0.0	0.0
728586	7.0	23.0
285641	1.0	1.0
100873464	3.0	4.0
100873463	0.0	0.0
100873462	1.0	0.0
285643	1.0	1.0
100128603	0.0	0.0
100873461	0.0	0.0
1154	4561.0	1100.0
1153	12957.0	9424.0
1152	7207.0	2802.0
285647	12.0	20.0
728589	16.0	1.0
728588	1.0	1.0
1149	1.0	3.0
1147	1584.0	1724.0
1146	4.0	12.0
1145	108.0	103.0
1144	2.0	5.0
100873468	0.0	0.0
100873467	1.0	0.0
100873466	0.0	0.0
100873465	0.0	0.0
283033	0.0	0.0
100873469	0.0	1.0
100873493	0.0	0.0
100873492	0.0	0.0
100873491	0.0	0.0
100873490	0.0	0.0
100873497	0.0	0.0
100873496	0.0	0.0
100873495	0.0	0.0
100873494	0.0	0.0
1164	714.0	4364.0
1163	538.0	6476.0
285659	0.0	2.0
1161	290.0	473.0
1160	84.0	22.0
1159	25.0	376.0
1158	10.0	24.0
1157	0.0	0.0
1155	2725.0	9153.0
550643	1465.0	2547.0
283025	0.0	0.0
100873499	0.0	0.0
100873498	0.0	0.0
100873482	0.0	0.0
100873481	0.0	0.0
100873480	0.0	0.0
100873486	0.0	0.0
100873485	0.0	0.0
100873484	0.0	0.0
100873483	0.0	0.0
1176	1533.0	2812.0
1175	2575.0	9248.0
285668	9.0	0.0
1174	1441.0	4477.0
1173	17456.0	56965.0
550631	229.0	144.0
100873489	0.0	0.0
283014	4.0	5.0
100873488	0.0	0.0
100873487	0.0	0.0
283093	1.0	0.0
283092	0.0	0.0
1187	57.0	5.0
1186	3577.0	3902.0
1185	1730.0	613.0
1184	918.0	1482.0
1183	1485.0	422.0
1182	4180.0	3870.0
1181	138.0	2064.0
440375	53.0	30.0
1180	11.0	22.0
1179	21.0	0.0
1178	4.0	1.0
283089	33.0	15.0
85495	0.0	0.0
85480	94.0	353.0
283080	1.0	2.0
1198	2610.0	2319.0
1197	0.0	1.0
1196	1239.0	3824.0
1195	2679.0	1414.0
440366	1.0	0.0
1193	2467.0	1250.0
1192	17634.0	27841.0
1191	22788.0	10091.0
1188	135.0	34.0
283078	142.0	109.0
85486	3.0	12.0
128615	0.0	0.0
85481	0.0	0.0
128611	96.0	147.0
440396	37.0	125.0
128609	0.0	0.0
128602	3782.0	88.0
440387	3.0	2.0
128674	0.0	0.0
128676	0.0	0.0
114026	0.0	0.0
100861402	2.0	1.0
126014	3471.0	405.0
440335	885.0	410.0
100128690	0.0	0.0
114034	627.0	797.0
126006	18.0	6.0
114036	44.0	11.0
100128696	0.0	0.0
100128688	0.0	0.0
126003	38.0	38.0
100861412	0.0	0.0
105180390	0.0	0.0
100128685	0.0	0.0
100128681	0.0	0.0
105180391	0.0	0.0
100128682	0.0	3.0
100128678	0.0	0.0
100861429	0.0	0.0
128653	0.0	3.0
200728	168.0	613.0
440356	5.0	157.0
440354	38.0	73.0
440352	0.0	0.0
100873419	0.0	0.0
100873418	0.0	0.0
100873413	1.0	0.0
128646	50.0	5.0
100873412	0.0	0.0
100873411	0.0	0.0
100128675	4.0	17.0
100873410	0.0	0.0
100873417	3.0	0.0
100873416	0.0	0.0
100873415	0.0	0.0
100873414	0.0	0.0
440348	48.0	72.0
100861435	0.0	0.0
100861436	0.0	0.0
440345	51.0	68.0
200734	3580.0	3104.0
100861431	0.0	0.0
100861434	0.0	0.0
100873409	0.0	0.0
440350	0.0	1.0
100873408	0.0	0.0
100873407	0.0	0.0
100861430	16.0	0.0
100873402	0.0	0.0
100873401	2.0	0.0
100873400	4.0	0.0
100128665	0.0	0.0
128637	3724.0	3623.0
100873406	0.0	0.0
100873405	0.0	0.0
100873404	0.0	0.0
100873403	0.0	0.0
645440	0.0	0.0
645443	4.0	0.0
165530	31.0	13.0
85409	1078.0	1869.0
106481385	0.0	0.0
106481386	0.0	1.0
85416	0.0	67.0
106481383	0.0	0.0
85417	51.0	52.0
106481384	0.0	1.0
103106903	0.0	0.0
85414	722.0	565.0
106481389	0.0	0.0
85415	1374.0	516.0
106481387	0.0	0.0
85413	6.0	36.0
106481388	1.0	0.0
645436	1.0	0.0
106481381	0.0	0.0
106481382	0.0	0.0
10	3.0	5.0
106481380	0.0	0.0
11	0.0	0.0
403341	915.0	640.0
12	45.0	27.0
13	1126.0	164.0
14	5539.0	10656.0
15	4.0	26.0
16	6804.0	14994.0
645455	11.0	4.0
18	1209.0	193.0
19	4683.0	1381.0
128580	7.0	9.0
85407	1012.0	128.0
106481396	0.0	0.0
106481397	0.0	0.0
106481394	0.0	0.0
85406	1499.0	1855.0
106481395	0.0	0.0
85403	1818.0	1527.0
106481398	0.0	0.0
106481399	0.0	0.0
403339	0.0	0.0
106481392	0.0	0.0
106481393	0.0	0.0
20	2692.0	1587.0
106481390	0.0	0.0
21	73449.0	4604.0
106481391	0.0	0.0
22	897.0	1382.0
153571	809.0	245.0
153572	3691.0	854.0
23	4358.0	5680.0
24	75.0	759.0
25	5096.0	3744.0
26	95.0	193.0
27	1636.0	1425.0
28	2712.0	1900.0
29	10165.0	6014.0
153579	3026.0	557.0
728615	0.0	0.0
728614	0.0	0.0
200765	116.0	507.0
106481358	0.0	0.0
106481359	0.0	0.0
728611	9.0	1.0
102466518	0.0	0.0
102466516	7.0	0.0
102466515	0.0	0.0
106481363	0.0	0.0
106481364	0.0	0.0
85438	0.0	0.0
106481361	0.0	0.0
85439	398.0	1016.0
106481362	0.0	0.0
106481367	0.0	0.0
85437	1843.0	5064.0
106481368	0.0	0.0
106481365	0.0	0.0
728609	244.0	124.0
106481366	0.0	0.0
30	3451.0	2578.0
106481360	0.0	0.0
31	8307.0	4486.0
32	1776.0	471.0
33	1334.0	65.0
34	2243.0	1061.0
35	1747.0	1860.0
153562	2041.0	1618.0
36	3190.0	1351.0
37	10538.0	15152.0
38	3784.0	1668.0
440307	13.0	11.0
39	1787.0	3056.0
165545	9.0	587.0
106481369	0.0	0.0
728606	4.0	5.0
106481374	0.0	0.0
106481375	0.0	0.0
106481372	0.0	0.0
106481373	0.0	0.0
106481378	0.0	2.0
106481379	0.0	0.0
106481376	0.0	0.0
106481377	0.0	0.0
403315	0.0	0.0
40	1.0	7.0
106481370	0.0	0.0
41	130.0	937.0
106481371	0.0	0.0
43	103.0	350.0
645486	0.0	1.0
47	10036.0	11320.0
48	5842.0	4289.0
49	30.0	13.0
106481338	0.0	0.0
106481339	0.0	0.0
106481336	0.0	0.0
106481337	0.0	0.0
106481341	0.0	0.0
106481342	4.0	0.0
106481340	0.0	0.0
85458	1899.0	325.0
