id	5e010a9a-7f65-434b-ae4c-43948461187c	84f304ea-8b50-41e9-89c8-bfca6668b746
100128731	6730.0	9501.0
100873356	0.0	0.0
3678	20949.0	13768.0
3679	2038.0	288.0
100873359	0.0	0.0
728464	180.0	17.0
728463	126.0	6.0
100128725	0.0	1.0
3690	582.0	82.0
3691	8972.0	69357.0
100873343	10.0	1.0
3692	6263.0	14422.0
3693	19408.0	12963.0
285521	1439.0	1524.0
100873342	0.0	0.0
3694	12413.0	8002.0
100873341	0.0	0.0
3695	901.0	176.0
100873340	1.0	0.0
100128723	1.0	0.0
1033	84.0	1323.0
1032	997.0	1554.0
285525	5.0	1.0
1031	1060.0	1048.0
285527	6909.0	3035.0
1030	6471.0	3550.0
728468	0.0	1.0
440288	146.0	250.0
1029	270.0	4365.0
440295	89.0	225.0
1028	2909.0	269.0
1027	6121.0	3249.0
1026	15135.0	27513.0
1025	5696.0	8187.0
1024	880.0	1074.0
3685	10621.0	16969.0
100873347	0.0	0.0
100873346	0.0	0.0
3687	4509.0	481.0
100873345	0.0	0.0
3688	54161.0	26753.0
100873344	0.0	0.0
3689	36387.0	3140.0
100873349	0.0	0.0
100873348	0.0	0.0
100873372	1.0	0.0
100873371	1.0	1.0
100873370	0.0	0.0
728498	21.0	6.0
100873376	0.0	0.0
728493	0.0	0.0
100128711	0.0	0.0
728492	77.0	15.0
100873375	0.0	0.0
100128710	1.0	0.0
285533	131.0	118.0
100873374	0.0	0.0
728495	0.0	0.0
100873373	0.0	0.0
100128712	0.0	0.0
1044	11.0	87.0
1043	9882.0	350.0
1041	0.0	8.0
1040	4337.0	3253.0
1039	3281.0	1146.0
1038	19.0	4.0
1036	2010.0	8.0
3696	1246.0	9480.0
3697	4.0	5.0
100873379	0.0	0.0
3698	114.0	4.0
100873378	6.0	1.0
3699	894.0	14.0
100873377	0.0	0.0
728486	89.0	3.0
100873361	0.0	0.0
105373869	26.0	105.0
100873360	0.0	1.0
285540	181.0	76.0
100128705	2.0	0.0
100873365	0.0	1.0
100873364	0.0	0.0
728481	0.0	0.0
100873363	0.0	0.0
728484	0.0	1.0
100873362	0.0	0.0
100128701	0.0	5.0
1054	3907.0	6631.0
285547	0.0	0.0
1053	24.0	2.0
285548	0.0	22.0
1052	7661.0	4736.0
1051	5429.0	4132.0
728489	13.0	24.0
1050	3010.0	1777.0
100128707	0.0	0.0
1048	345.0	1815.0
1047	123.0	351.0
1046	1.0	0.0
1045	1.0	0.0
100873369	6.0	4.0
100873368	0.0	0.0
100873367	0.0	0.0
100873366	0.0	0.0
105373877	2.0	1.0
1066	27618.0	58071.0
1063	517.0	4107.0
1062	178.0	843.0
1061	1.0	3.0
1060	1945.0	772.0
440253	102.0	74.0
1059	11838.0	14615.0
1058	32.0	662.0
1057	0.0	4.0
85379	10209.0	9089.0
114112	934.0	817.0
1056	53.0	2039.0
85377	4892.0	11580.0
85378	3299.0	2304.0
128745	0.0	0.0
85376	29.0	17.0
440248	492.0	283.0
1075	35034.0	50106.0
1074	13.0	5.0
1073	5464.0	934.0
1072	67030.0	64243.0
1071	696.0	88.0
440243	1.0	2.0
1070	960.0	740.0
1069	5093.0	3903.0
1068	0.0	0.0
85369	3076.0	2740.0
85366	35.0	10.0
85364	2384.0	2876.0
85365	3567.0	3801.0
85363	3285.0	725.0
85360	3972.0	960.0
1080	1564.0	24.0
85391	4.0	10.0
403296	0.0	0.0
403297	1.0	0.0
85390	0.0	0.0
403299	0.0	0.0
1088	551.0	0.0
153733	653.0	308.0
1087	7.0	26.0
1086	0.0	1.0
440279	4.0	10.0
1085	1.0	0.0
1084	75.0	15.0
440278	110.0	161.0
1082	0.0	1.0
403294	0.0	0.0
440275	5806.0	5535.0
1081	1.0	3.0
85397	18.0	1.0
85395	493.0	740.0
403285	0.0	0.0
1091	0.0	0.0
1090	0.0	0.0
403288	0.0	0.0
403289	0.0	0.0
1098	1.0	1.0
1097	0.0	1.0
1096	0.0	0.0
1095	0.0	0.0
403281	0.0	0.0
403282	0.0	0.0
1094	0.0	0.0
1093	0.0	0.0
403283	0.0	0.0
403284	0.0	0.0
1092	0.0	0.0
440270	483.0	456.0
1089	140.0	22.0
85388	0.0	0.0
85389	0.0	0.0
128718	0.0	1.0
285596	71.0	0.0
285598	787.0	948.0
126133	2803.0	2650.0
128790	0.0	0.0
126129	355.0	119.0
126123	6.0	1.0
442862	0.0	0.0
126119	1500.0	1355.0
442863	0.0	0.0
442864	0.0	0.0
442865	0.0	0.0
442866	0.0	0.0
442867	0.0	0.0
442868	0.0	0.0
128770	0.0	0.0
128774	0.0	0.0
442893	0.0	0.0
442894	0.0	0.0
442895	0.0	0.0
114131	347.0	1.0
442896	1.0	0.0
114132	599.0	16.0
442897	0.0	0.0
442898	4.0	1.0
114134	1109.0	286.0
442899	0.0	0.0
100128790	0.0	0.0
128760	3.0	8.0
100128788	30.0	25.0
100128787	0.0	0.0
440225	0.0	0.0
440224	2.0	1.0
442890	0.0	0.0
442891	0.0	1.0
442892	0.0	0.0
128756	0.0	0.0
100128782	216.0	289.0
100128781	0.0	0.0
403230	0.0	0.0
403231	0.0	0.0
403232	0.0	0.0
645560	1.0	3.0
403234	0.0	0.0
403235	0.0	2.0
403236	0.0	0.0
63982	499.0	9.0
102466616	0.0	0.0
126052	0.0	1.0
151009	108.0	54.0
403227	0.0	0.0
403228	0.0	0.0
138046	4.0	6.0
645558	0.0	0.0
403229	0.0	0.0
645573	1.0	1.0
645572	0.0	0.0
645571	15.0	11.0
403223	1.0	0.0
403224	0.0	0.0
403226	0.0	0.0
200634	945.0	4555.0
107131122	0.0	1.0
138050	11964.0	9081.0
403219	0.0	3.0
151011	10163.0	11909.0
645587	0.0	0.0
165679	10.0	318.0
126037	32.0	31.0
114049	4525.0	6892.0
106481479	0.0	0.0
100033818	0.0	0.0
100033819	0.0	0.0
85319	0.0	0.0
106481484	0.0	0.0
106481485	0.0	0.0
106481482	0.0	0.0
106481483	0.0	0.0
85315	2030.0	775.0
100033821	0.0	0.0
106481488	0.0	0.0
100033822	0.0	0.0
106481489	0.0	0.0
85313	2477.0	3060.0
106481486	0.0	0.0
106481487	0.0	0.0
645579	263.0	227.0
100033820	0.0	0.0
106481480	0.0	0.0
106481481	0.0	0.0
138065	8.0	3.0
645598	0.0	0.0
163007	5.0	3.0
114038	3.0	5.0
645591	5.0	1.0
106481495	0.0	0.0
114041	4.0	10.0
106481496	0.0	0.0
114042	5.0	1.0
106481493	0.0	0.0
114043	32.0	5.0
106481494	0.0	0.0
106481499	0.0	0.0
114044	184.0	173.0
126017	671.0	625.0
106481497	1.0	0.0
106481498	0.0	0.0
85303	0.0	0.0
85300	1.0	0.0
85301	1222.0	4949.0
106481491	0.0	0.0
106481492	0.0	0.0
106481490	0.0	0.0
403274	0.0	0.0
102466657	0.0	1.0
403275	0.0	0.0
102466656	1.0	0.0
403276	0.0	0.0
403277	0.0	0.0
403278	0.0	0.0
26996	1107.0	333.0
106481459	0.0	0.0
26994	12611.0	6597.0
106481457	2.0	1.0
26995	2104.0	4720.0
106481458	0.0	0.0
403271	0.0	0.0
26998	0.0	1223.0
403272	1.0	0.0
102466659	0.0	0.0
26999	6093.0	220.0
403273	0.0	0.0
102466658	0.0	0.0
106481462	0.0	0.0
106481463	0.0	0.0
104310353	1.0	0.0
106481460	4.0	0.0
106481461	0.0	0.0
104310350	0.0	0.0
106481466	0.0	0.0
26993	2408.0	2535.0
106481467	0.0	0.0
106481464	1.0	0.0
106481465	0.0	0.0
104310351	4.0	0.0
403263	0.0	0.0
403264	0.0	0.0
403265	0.0	0.0
403266	0.0	0.0
138009	0.0	0.0
106481468	0.0	0.0
106481469	0.0	1.0
403260	0.0	0.0
106481473	0.0	0.0
106481474	0.0	0.0
106481471	0.0	0.0
85329	66.0	36.0
106481472	0.0	0.0
106481477	0.0	0.0
106481478	0.0	0.0
106481475	0.0	0.0
106481476	0.0	0.0
85320	19.0	48.0
106481470	0.0	0.0
403252	0.0	0.0
403253	0.0	0.0
403254	0.0	0.0
126070	1355.0	1263.0
403255	0.0	0.0
403256	0.0	0.0
403257	0.0	0.0
344471	5.0	8.0
106481437	0.0	0.0
26974	96.0	47.0
153657	55.0	47.0
106481438	0.0	0.0
106481435	0.0	0.0
26973	1165.0	2362.0
165631	540.0	23.0
106481436	0.0	0.0
26978	14.0	17.0
126075	888.0	427.0
106481439	0.0	0.0
403250	0.0	0.0
126074	245.0	197.0
403251	0.0	0.0
106481440	0.0	2.0
106481441	0.0	0.0
85359	2303.0	3812.0
106481444	6.0	0.0
106481445	0.0	0.0
106481442	0.0	0.0
106481443	0.0	0.0
85358	9002.0	1442.0
85354	0.0	0.0
85352	968.0	165.0
403241	1.0	0.0
344462	0.0	1.0
403244	0.0	0.0
403245	0.0	0.0
153642	710.0	297.0
153643	568.0	3.0
403247	0.0	0.0
403248	0.0	0.0
26985	5165.0	4209.0
106481448	0.0	0.0
26986	69715.0	140362.0
126069	168.0	60.0
106481449	0.0	0.0
126068	864.0	228.0
106481446	0.0	0.0
26983	0.0	0.0
26984	1149.0	1996.0
106481447	0.0	0.0
106481451	2.0	0.0
106481452	0.0	0.0
106481450	0.0	0.0
114088	44.0	592.0
106481455	0.0	0.0
85349	52.0	2.0
106481456	0.0	0.0
26982	0.0	0.0
106481453	0.0	0.0
85347	0.0	0.0
26980	3.0	6.0
106481454	0.0	0.0
403238	0.0	0.0
85344	3.0	0.0
403239	0.0	0.0
85345	0.0	0.0
85343	0.0	0.0
344454	1.0	0.0
85340	0.0	0.0
100873394	0.0	0.0
100873393	2.0	1.0
100873392	0.0	1.0
100873391	0.0	0.0
100873398	0.0	0.0
100873397	0.0	0.0
100873396	0.0	0.0
100873395	0.0	0.0
100128811	1.0	0.0
106481415	0.0	0.0
106481416	1.0	0.0
106481413	0.0	0.0
106481414	0.0	0.0
63901	3330.0	1213.0
100873390	0.0	0.0
728556	44.0	130.0
106481419	2.0	0.0
100128817	0.0	0.0
728558	129.0	70.0
106481417	0.0	0.0
106481418	0.0	0.0
106481422	0.0	0.0
163081	516.0	348.0
106481423	0.0	0.0
106481420	0.0	0.0
106481421	0.0	0.0
100873399	0.0	0.0
100873383	0.0	0.0
100873382	0.0	0.0
100873381	0.0	0.0
100873380	0.0	0.0
100128804	0.0	0.0
100873387	0.0	0.0
100873386	0.0	0.0
100873385	0.0	0.0
100128801	0.0	0.0
285600	294.0	95.0
100873384	0.0	0.0
285601	20.0	17.0
106481426	0.0	0.0
106481427	0.0	1.0
222005	2.0	2.0
63910	253.0	558.0
106481424	0.0	0.0
106481425	0.0	1.0
285605	628.0	272.0
222008	0.0	1.0
106481428	0.0	0.0
106481429	0.0	0.0
63905	4324.0	6542.0
63904	0.0	0.0
106481430	0.0	1.0
163071	85.0	133.0
63906	1267.0	1263.0
106481433	0.0	0.0
63908	900.0	1593.0
106481434	0.0	0.0
106481431	0.0	0.0
106481432	0.0	0.0
100873389	0.0	0.0
100873388	0.0	1.0
285613	139.0	202.0
63920	338.0	367.0
63923	458.0	49.0
63922	350.0	723.0
728577	48.0	126.0
63925	2108.0	2240.0
63924	17.0	0.0
63916	5496.0	2679.0
63917	5091.0	3719.0
106481400	0.0	0.0
106481401	0.0	0.0
728562	3.0	1.0
728564	4.0	52.0
285622	1.0	0.0
106481404	0.0	0.0
106481405	0.0	0.0
63932	2193.0	1903.0
106481402	0.0	0.0
63931	2165.0	1444.0
106481403	0.0	0.0
63934	265.0	358.0
728567	0.0	1.0
106481408	0.0	1.0
163088	8.0	1.0
63933	3776.0	3466.0
106481409	0.0	0.0
106481406	0.0	0.0
63935	5716.0	4235.0
163087	1025.0	675.0
728568	525.0	537.0
106481407	15.0	18.0
3704	1786.0	5392.0
3705	8719.0	3510.0
63926	610.0	2274.0
3706	28.0	407.0
63929	1516.0	2452.0
3707	9496.0	6036.0
63928	5.0	47.0
3708	11339.0	963.0
106481411	0.0	4.0
3709	4337.0	899.0
106481412	0.0	0.0
106481410	0.0	0.0
3700	58.0	9.0
3702	1366.0	63.0
3703	11277.0	12609.0
645506	0.0	0.0
151050	2113.0	460.0
645520	1.0	0.0
63941	1830.0	1401.0
63940	5689.0	573.0
63943	390.0	431.0
728517	0.0	0.0
163033	649.0	586.0
258010	1754.0	149.0
63947	0.0	0.0
63946	0.0	0.0
728513	1.0	0.0
100033803	0.0	0.0
3716	27643.0	8824.0
100033804	0.0	0.0
3717	3901.0	488.0
100033805	0.0	0.0
3718	1930.0	414.0
63939	1371.0	1252.0
100033806	0.0	0.0
100190799	8.0	4.0
100033800	0.0	0.0
100033801	0.0	0.0
100033802	0.0	0.0
344405	118.0	49.0
3710	19080.0	28730.0
3712	10557.0	3923.0
3713	86.0	8325.0
3714	4127.0	8387.0
63950	6.0	2.0
728505	0.0	0.0
63951	286.0	258.0
100033807	0.0	0.0
728501	38.0	50.0
100033808	0.0	0.0
100033809	0.0	0.0
3726	27356.0	31127.0
100033814	0.0	0.0
3727	24517.0	6294.0
63948	0.0	0.0
100033815	0.0	0.0
222052	4.0	0.0
3728	20755.0	165007.0
100033816	0.0	0.0
100033817	0.0	0.0
100033810	0.0	0.0
100033811	0.0	0.0
100033812	0.0	0.0
100033813	0.0	0.0
3720	2128.0	4554.0
151056	468.0	207.0
3725	44804.0	17736.0
645528	1.0	0.0
728532	43.0	25.0
163059	333.0	152.0
728538	1.0	0.0
728537	122.0	48.0
63967	157.0	504.0
3737	18.0	0.0
3738	1078.0	15.0
3739	414.0	2.0
645538	0.0	0.0
3730	12494.0	209.0
3732	14924.0	3487.0
3734	43.0	121.0
3735	9086.0	12204.0
3736	4.0	17.0
63970	35.0	1466.0
3750	552.0	90.0
63971	11012.0	5211.0
63974	0.0	0.0
163049	2822.0	2310.0
63973	0.0	4.0
63976	1614.0	455.0
222068	8511.0	9641.0
63978	1.0	0.0
63977	620.0	720.0
63979	636.0	2390.0
728524	0.0	0.0
3748	1410.0	322.0
163051	31.0	9.0
3749	1690.0	1157.0
163050	84.0	50.0
3741	555.0	1.0
645548	16.0	8.0
3743	2.0	8.0
3744	8.0	2.0
3745	371.0	1.0
3746	1.0	23.0
3747	0.0	0.0
285671	1151.0	81.0
285672	2399.0	1929.0
100873431	0.0	0.0
100873430	0.0	0.0
3760	30.0	0.0
285676	105.0	8.0
3761	1.0	5.0
100128657	0.0	0.0
285679	2.0	8.0
100861449	0.0	0.0
100861443	0.0	0.0
100861445	0.0	0.0
3759	1840.0	632.0
283008	0.0	3.0
3751	73.0	205.0
100873435	0.0	0.0
3752	941.0	1037.0
100873434	0.0	0.0
3753	281.0	25.0
100873433	0.0	0.0
3754	41.0	12.0
100873432	0.0	0.0
3755	15.0	578.0
100873439	0.0	0.0
3756	6.0	601.0
100873438	0.0	0.0
3757	417.0	355.0
100873437	0.0	0.0
3758	23.0	3.0
100873436	0.0	0.0
100873420	5.0	1.0
3770	46.0	262.0
3772	5640.0	2105.0
100861458	0.0	0.0
100861453	15.0	40.0
100861455	0.0	0.0
1107	19954.0	8104.0
1106	9183.0	4049.0
1105	3382.0	1508.0
1104	1397.0	4446.0
100873429	0.0	0.0
1103	3.0	19.0
1102	2049.0	898.0
1101	58.0	3.0
3762	2089.0	58.0
100873424	0.0	0.0
3763	22.0	10.0
100128640	95.0	43.0
100873423	0.0	0.0
3764	2761.0	315.0
100873422	0.0	0.0
3765	2.0	0.0
100873421	2.0	0.0
3766	36.0	5.0
100873428	0.0	0.0
3767	187.0	128.0
100873427	0.0	0.0
3768	651.0	32.0
1109	3.0	103.0
100873426	0.0	0.0
1108	22035.0	13745.0
3769	1.0	0.0
100873425	0.0	0.0
100128637	1.0	0.0
100128639	0.0	0.0
3780	22.0	12.0
100873453	0.0	0.0
3781	739.0	17.0
100873452	1.0	0.0
3782	2072.0	1014.0
100873451	0.0	0.0
3783	432.0	1452.0
100873450	0.0	0.0
1121	2292.0	1757.0
100861468	0.0	0.0
1120	155.0	281.0
100861469	0.0	0.0
1118	6114.0	529.0
1117	5755.0	23.0
1116	6618.0	669.0
1114	36.0	118.0
1113	44.0	37.0
1112	10635.0	4775.0
1111	314.0	1448.0
3773	235.0	201.0
100873457	0.0	0.0
100873456	0.0	0.0
3775	675.0	3463.0
100873455	0.0	0.0
3776	10.0	21.0
100873454	0.0	0.0
3777	12490.0	19.0
3778	1899.0	679.0
3779	1453.0	193.0
100873459	0.0	0.0
1119	1469.0	555.0
100128627	0.0	0.0
100128626	0.0	0.0
3790	5654.0	1697.0
100128628	5.0	14.0
3791	16565.0	609.0
100873442	0.0	0.0
3792	17.0	7.0
100873441	0.0	0.0
100873440	0.0	0.0
100128625	0.0	0.0
1132	41.0	8.0
1131	517.0	2097.0
1130	4101.0	1838.0
100861476	0.0	1.0
1129	920.0	6.0
1128	1118.0	5.0
1124	1023.0	94.0
1123	3214.0	1264.0
1122	1724.0	633.0
100861470	0.0	0.0
3784	4690.0	152.0
100873446	0.0	0.0
3785	6.0	4.0
100873445	0.0	0.0
3786	319.0	65.0
100873444	0.0	0.0
3787	71.0	5.0
100873443	0.0	0.0
3788	41.0	8.0
100873449	5.0	1.0
100873448	0.0	0.0
100873447	0.0	0.0
100873471	0.0	0.0
100873470	0.0	0.0
283050	112.0	86.0
100128618	0.0	1.0
728597	1.0	0.0
100128617	7.0	5.0
100873475	0.0	0.0
100873474	0.0	0.0
728591	15.0	80.0
100873473	0.0	0.0
100873472	0.0	0.0
1143	9.0	429.0
285634	3.0	6.0
1142	2.0	0.0
1141	25.0	20.0
285636	2855.0	5379.0
1140	902.0	567.0
728599	3.0	3.0
1139	36.0	10.0
1138	34.0	152.0
1137	21.0	9.0
100861485	0.0	0.0
1136	28.0	22.0
1135	24.0	1.0
1134	88.0	31.0
1133	7.0	15.0
3795	369.0	320.0
100873479	10.0	12.0
3796	2027.0	1307.0
100873478	0.0	0.0
3797	1541.0	1262.0
100873477	3.0	1.0
3798	32.0	31.0
100873476	0.0	0.0
3799	23084.0	12653.0
100873460	0.0	0.0
728586	18.0	17.0
285641	1.0	4.0
100873464	4.0	0.0
100873463	1.0	0.0
100873462	4.0	1.0
285643	5.0	2.0
100128603	2.0	1.0
100873461	0.0	0.0
1154	3916.0	616.0
1153	20092.0	12306.0
1152	10415.0	15262.0
285647	12.0	14.0
728589	17.0	23.0
728588	0.0	0.0
1149	4.0	33.0
1147	2775.0	2266.0
1146	0.0	2.0
1145	77.0	59.0
1144	0.0	1.0
100873468	0.0	0.0
100873467	1.0	1.0
100873466	0.0	0.0
100873465	0.0	0.0
283033	0.0	0.0
100873469	0.0	0.0
100873493	0.0	0.0
100873492	0.0	0.0
100873491	0.0	0.0
100873490	0.0	0.0
100873497	0.0	0.0
100873496	0.0	0.0
100873495	0.0	0.0
100873494	0.0	0.0
1164	644.0	3507.0
1163	724.0	3197.0
285659	0.0	0.0
1161	672.0	646.0
1160	185.0	17.0
1159	36.0	1544.0
1158	21.0	6.0
1157	0.0	0.0
1155	4796.0	5629.0
550643	2391.0	2940.0
283025	1.0	0.0
100873499	0.0	0.0
100873498	0.0	0.0
100873482	0.0	0.0
100873481	0.0	0.0
100873480	0.0	0.0
100873486	0.0	0.0
100873485	0.0	0.0
100873484	0.0	0.0
100873483	0.0	0.0
1176	2861.0	3388.0
1175	4124.0	6555.0
285668	27.0	0.0
1174	1946.0	5810.0
1173	30900.0	92008.0
550631	269.0	174.0
100873489	0.0	0.0
283014	5.0	5.0
100873488	0.0	0.0
100873487	0.0	0.0
283093	0.0	0.0
283092	0.0	0.0
1187	37.0	1.0
1186	5948.0	2541.0
1185	2562.0	1338.0
1184	1192.0	1222.0
1183	2349.0	56.0
1182	7797.0	3788.0
1181	295.0	1390.0
440375	93.0	15.0
1180	29.0	44.0
1179	0.0	1.0
1178	250.0	13.0
283089	17.0	4.0
85495	0.0	0.0
85480	259.0	337.0
283080	2.0	0.0
1198	3481.0	4184.0
1197	0.0	1.0
1196	2143.0	2753.0
1195	3669.0	3469.0
440366	0.0	0.0
1193	4323.0	396.0
1192	26718.0	47872.0
1191	58696.0	13192.0
1188	146.0	3.0
283078	135.0	73.0
85486	4.0	7.0
128615	0.0	0.0
85481	0.0	1.0
128611	570.0	13.0
440396	55.0	78.0
128609	0.0	0.0
128602	2651.0	9.0
440387	6.0	2.0
128674	2.0	0.0
128676	1.0	0.0
114026	0.0	2.0
100861402	1.0	12.0
126014	2721.0	186.0
440335	499.0	48.0
100128690	0.0	0.0
114034	1116.0	714.0
126006	12.0	22.0
114036	77.0	17.0
100128696	0.0	0.0
100128688	0.0	0.0
126003	76.0	96.0
100861412	0.0	1.0
105180390	0.0	0.0
100128685	0.0	0.0
100128681	0.0	0.0
105180391	0.0	0.0
100128682	2.0	0.0
100128678	6.0	0.0
100861429	0.0	0.0
128653	0.0	0.0
200728	277.0	624.0
440356	5.0	11.0
440354	94.0	113.0
440352	1.0	0.0
100873419	0.0	0.0
100873418	0.0	0.0
100873413	0.0	0.0
128646	51.0	1.0
100873412	0.0	0.0
100873411	0.0	0.0
100128675	5.0	6.0
100873410	0.0	0.0
100873417	1.0	1.0
100873416	0.0	0.0
100873415	0.0	0.0
100873414	0.0	0.0
440348	77.0	96.0
100861435	0.0	0.0
100861436	0.0	0.0
440345	61.0	51.0
200734	5785.0	2654.0
100861431	0.0	0.0
100861434	0.0	0.0
100873409	0.0	0.0
440350	2.0	5.0
100873408	0.0	0.0
100873407	1.0	0.0
100861430	11.0	0.0
100873402	0.0	0.0
100873401	1.0	0.0
100873400	0.0	0.0
100128665	2.0	0.0
128637	8359.0	6106.0
100873406	0.0	0.0
100873405	0.0	0.0
100873404	0.0	0.0
100873403	0.0	0.0
645440	0.0	0.0
645443	10.0	3.0
165530	74.0	7.0
85409	4294.0	2680.0
106481385	0.0	0.0
106481386	0.0	1.0
85416	0.0	106.0
106481383	1.0	0.0
85417	122.0	16.0
106481384	0.0	0.0
103106903	0.0	1.0
85414	1029.0	385.0
106481389	0.0	0.0
85415	1368.0	524.0
106481387	0.0	0.0
85413	14.0	7.0
106481388	1.0	0.0
645436	0.0	1.0
106481381	2.0	0.0
106481382	0.0	0.0
10	30.0	1.0
106481380	0.0	0.0
11	0.0	0.0
403341	1719.0	1333.0
12	61.0	12.0
13	203.0	390.0
14	8508.0	9570.0
15	9.0	3.0
16	12682.0	13523.0
645455	32.0	9.0
18	1496.0	562.0
19	7353.0	2478.0
128580	6.0	4.0
85407	4061.0	195.0
106481396	0.0	0.0
106481397	0.0	0.0
106481394	0.0	0.0
85406	2668.0	1557.0
106481395	0.0	0.0
85403	3014.0	2043.0
106481398	0.0	0.0
106481399	0.0	0.0
403339	0.0	0.0
106481392	1.0	0.0
106481393	0.0	0.0
20	6613.0	5626.0
106481390	0.0	0.0
21	80863.0	542.0
106481391	0.0	0.0
22	1521.0	1681.0
153571	1112.0	1184.0
153572	3697.0	1560.0
23	7757.0	6331.0
24	264.0	1543.0
25	9698.0	5821.0
26	91.0	81.0
27	2305.0	3356.0
28	2572.0	4241.0
29	16223.0	6765.0
153579	6241.0	158.0
728615	0.0	0.0
728614	0.0	0.0
200765	212.0	950.0
106481358	0.0	0.0
106481359	0.0	0.0
728611	17.0	12.0
102466518	0.0	0.0
102466516	7.0	0.0
102466515	0.0	0.0
106481363	0.0	0.0
106481364	1.0	0.0
85438	0.0	0.0
106481361	0.0	0.0
85439	1692.0	5023.0
106481362	0.0	0.0
106481367	0.0	0.0
85437	2559.0	3734.0
106481368	0.0	0.0
106481365	0.0	0.0
728609	239.0	237.0
106481366	0.0	0.0
30	5156.0	1287.0
106481360	0.0	0.0
31	7552.0	4763.0
32	4502.0	218.0
33	1426.0	20.0
34	3593.0	2549.0
35	2417.0	1468.0
153562	3829.0	1975.0
36	3021.0	1054.0
37	15755.0	14206.0
38	5308.0	2483.0
440307	13.0	6.0
39	2013.0	4886.0
165545	22.0	869.0
106481369	0.0	0.0
728606	1.0	0.0
106481374	0.0	0.0
106481375	0.0	0.0
106481372	0.0	0.0
106481373	0.0	1.0
106481378	2.0	0.0
106481379	0.0	0.0
106481376	0.0	0.0
106481377	0.0	0.0
403315	0.0	0.0
40	22.0	8.0
106481370	0.0	0.0
41	163.0	506.0
106481371	0.0	0.0
43	297.0	49.0
645486	0.0	0.0
47	15921.0	9185.0
48	7166.0	1594.0
49	76.0	25.0
106481338	0.0	0.0
106481339	0.0	0.0
106481336	0.0	0.0
106481337	1.0	0.0
106481341	0.0	0.0
