id	306df79f-3f2c-4631-b527-7d79336bc573	d1b9c517-43bc-47c3-b533-a21c1f2d5fff
403230	0.0	0.0
403231	0.0	0.0
403232	0.0	0.0
645560	4.0	4.0
403234	0.0	0.0
403235	0.0	0.0
403236	0.0	0.0
63982	117.0	12.0
102466616	0.0	0.0
126052	0.0	0.0
151009	37.0	55.0
403227	0.0	0.0
403228	0.0	0.0
138046	2.0	699.0
645558	0.0	0.0
403229	0.0	9.0
645573	1.0	1.0
645572	0.0	0.0
645571	21.0	9.0
403223	0.0	0.0
403224	0.0	0.0
403226	0.0	0.0
200634	1501.0	1315.0
107131122	0.0	1.0
138050	6101.0	8909.0
403219	1.0	0.0
151011	9002.0	847.0
645587	2.0	1.0
165679	34.0	128.0
126037	24.0	18.0
114049	4374.0	26918.0
106481479	0.0	1.0
100033818	0.0	0.0
100033819	0.0	0.0
85319	0.0	0.0
106481484	0.0	0.0
106481485	1.0	0.0
106481482	0.0	0.0
106481483	0.0	0.0
85315	1904.0	1168.0
100033821	0.0	0.0
106481488	0.0	0.0
100033822	0.0	0.0
106481489	0.0	0.0
85313	1976.0	1263.0
106481486	0.0	0.0
106481487	0.0	0.0
645579	134.0	140.0
100033820	0.0	0.0
106481480	3.0	0.0
106481481	0.0	0.0
138065	26.0	2368.0
645598	0.0	0.0
163007	2.0	4.0
114038	4.0	0.0
645591	31.0	0.0
106481495	0.0	1.0
114041	9.0	143.0
106481496	0.0	0.0
114042	1.0	2.0
106481493	0.0	0.0
114043	107.0	15.0
106481494	0.0	0.0
106481499	0.0	0.0
114044	175.0	443.0
126017	437.0	1029.0
106481497	0.0	2.0
106481498	0.0	0.0
85303	0.0	0.0
85300	4.0	472.0
85301	1297.0	3724.0
106481491	0.0	0.0
106481492	0.0	0.0
106481490	0.0	0.0
403274	0.0	0.0
102466657	0.0	0.0
403275	0.0	0.0
102466656	0.0	0.0
403276	0.0	0.0
403277	0.0	0.0
403278	0.0	0.0
26996	1585.0	1427.0
106481459	0.0	0.0
26994	8752.0	4620.0
106481457	6.0	4.0
26995	1765.0	6963.0
106481458	0.0	0.0
403271	0.0	0.0
26998	0.0	5.0
403272	0.0	0.0
102466659	0.0	0.0
26999	4255.0	9583.0
403273	0.0	0.0
102466658	0.0	1.0
106481462	0.0	0.0
106481463	0.0	0.0
104310353	0.0	0.0
106481460	5.0	3.0
106481461	0.0	0.0
104310350	0.0	1.0
106481466	0.0	0.0
26993	2579.0	4462.0
106481467	0.0	0.0
106481464	1.0	1.0
106481465	0.0	0.0
104310351	26.0	2.0
403263	0.0	0.0
403264	0.0	0.0
403265	1.0	0.0
403266	0.0	1.0
138009	0.0	0.0
106481468	0.0	0.0
106481469	0.0	0.0
403260	0.0	0.0
106481473	0.0	1.0
106481474	0.0	0.0
106481471	0.0	0.0
85329	81.0	19.0
106481472	0.0	0.0
106481477	1.0	1.0
106481478	0.0	0.0
106481475	0.0	0.0
106481476	1.0	0.0
85320	38.0	39.0
106481470	3.0	0.0
403252	0.0	0.0
403253	0.0	0.0
403254	0.0	0.0
126070	1668.0	6289.0
403255	0.0	0.0
403256	0.0	0.0
403257	0.0	0.0
344471	2.0	0.0
106481437	0.0	0.0
26974	115.0	651.0
153657	102.0	197.0
106481438	0.0	0.0
106481435	0.0	0.0
26973	1188.0	1934.0
165631	543.0	245.0
106481436	0.0	0.0
26978	39.0	45.0
126075	1166.0	926.0
106481439	0.0	0.0
403250	0.0	0.0
126074	224.0	417.0
403251	0.0	0.0
106481440	0.0	0.0
106481441	0.0	0.0
85359	2191.0	5868.0
106481444	15.0	4.0
106481445	0.0	0.0
106481442	0.0	0.0
106481443	0.0	0.0
85358	3607.0	1089.0
85354	1.0	0.0
85352	29.0	379.0
403241	3.0	0.0
344462	0.0	1.0
403244	0.0	0.0
403245	0.0	1.0
153642	629.0	364.0
153643	1361.0	4.0
403247	0.0	0.0
403248	0.0	0.0
26985	3004.0	5753.0
106481448	0.0	0.0
26986	45749.0	146565.0
126069	135.0	69.0
106481449	0.0	0.0
126068	592.0	415.0
106481446	0.0	0.0
26983	0.0	1.0
26984	928.0	3205.0
106481447	0.0	0.0
106481451	2.0	3.0
106481452	0.0	0.0
106481450	0.0	0.0
114088	54.0	290.0
106481455	0.0	0.0
85349	47.0	33.0
106481456	0.0	2.0
26982	0.0	0.0
106481453	0.0	0.0
85347	0.0	0.0
26980	2.0	0.0
106481454	0.0	1.0
403238	0.0	0.0
85344	2.0	2.0
403239	0.0	0.0
85345	0.0	0.0
85343	0.0	0.0
344454	0.0	0.0
85340	0.0	0.0
100873394	1.0	2.0
100873393	0.0	1.0
100873392	2.0	2.0
100873391	0.0	0.0
100873398	0.0	3.0
100873397	0.0	0.0
100873396	0.0	0.0
100873395	0.0	0.0
100128811	0.0	1.0
106481415	0.0	1.0
106481416	1.0	2.0
106481413	0.0	0.0
106481414	0.0	0.0
63901	3319.0	10904.0
100873390	0.0	0.0
728556	49.0	49.0
106481419	0.0	0.0
100128817	0.0	0.0
728558	104.0	139.0
106481417	0.0	0.0
106481418	0.0	0.0
106481422	0.0	0.0
163081	354.0	1133.0
106481423	0.0	0.0
106481420	0.0	0.0
106481421	0.0	0.0
100873399	2.0	0.0
100873383	0.0	0.0
100873382	0.0	0.0
100873381	2.0	0.0
100873380	0.0	0.0
100128804	0.0	0.0
100873387	0.0	0.0
100873386	0.0	0.0
100873385	0.0	0.0
100128801	0.0	0.0
285600	243.0	136.0
100873384	0.0	0.0
285601	24.0	4.0
106481426	0.0	0.0
106481427	2.0	1.0
222005	1.0	6.0
63910	227.0	196.0
106481424	1.0	1.0
106481425	0.0	0.0
285605	433.0	496.0
222008	1.0	2.0
106481428	1.0	0.0
106481429	0.0	0.0
63905	3939.0	5603.0
63904	0.0	0.0
106481430	3.0	0.0
163071	79.0	23.0
63906	1045.0	1886.0
106481433	0.0	3.0
63908	1041.0	1831.0
106481434	0.0	0.0
106481431	0.0	0.0
106481432	0.0	0.0
100873389	0.0	0.0
100873388	6.0	7.0
285613	93.0	327.0
63920	344.0	977.0
63923	85.0	67.0
63922	392.0	4072.0
728577	46.0	10.0
63925	1597.0	4466.0
63924	5.0	2.0
63916	3075.0	6434.0
63917	4459.0	3291.0
106481400	0.0	0.0
106481401	0.0	0.0
728562	1.0	0.0
728564	3.0	19.0
285622	0.0	1.0
106481404	0.0	0.0
106481405	0.0	0.0
63932	1556.0	3831.0
106481402	0.0	0.0
63931	2036.0	3672.0
106481403	0.0	8.0
63934	181.0	1918.0
728567	1.0	3.0
106481408	0.0	0.0
163088	5.0	8.0
63933	3018.0	3447.0
106481409	0.0	0.0
106481406	0.0	0.0
63935	4679.0	6889.0
163087	760.0	1161.0
728568	360.0	1119.0
106481407	17.0	28.0
3704	2243.0	3532.0
3705	7810.0	3420.0
63926	748.0	2287.0
3706	23.0	98.0
63929	1204.0	2830.0
3707	3775.0	2693.0
63928	385.0	11.0
3708	3563.0	782.0
106481411	1.0	2.0
3709	2900.0	1096.0
106481412	0.0	0.0
106481410	0.0	0.0
3700	57.0	45.0
3702	615.0	873.0
3703	7180.0	10868.0
645506	0.0	0.0
151050	2177.0	1521.0
645520	0.0	0.0
63941	3288.0	1829.0
63940	3857.0	1960.0
63943	351.0	498.0
728517	0.0	0.0
163033	714.0	1471.0
258010	2429.0	5246.0
63947	0.0	0.0
63946	0.0	0.0
728513	1.0	33.0
100033803	0.0	0.0
3716	14286.0	16229.0
100033804	0.0	0.0
3717	2479.0	1543.0
100033805	0.0	0.0
3718	620.0	1816.0
63939	1078.0	6228.0
100033806	0.0	0.0
100190799	1.0	2.0
100033800	0.0	0.0
100033801	0.0	0.0
100033802	0.0	0.0
344405	148.0	180.0
3710	13190.0	14988.0
3712	6019.0	5513.0
3713	12.0	118.0
3714	2307.0	1179.0
63950	5.0	33.0
728505	0.0	0.0
63951	330.0	17.0
100033807	0.0	0.0
728501	23.0	10.0
100033808	0.0	0.0
100033809	0.0	0.0
3726	11236.0	3529.0
100033814	0.0	0.0
3727	20463.0	10590.0
63948	0.0	1.0
100033815	0.0	0.0
222052	0.0	0.0
3728	19071.0	36442.0
100033816	0.0	0.0
100033817	0.0	0.0
100033810	0.0	0.0
100033811	0.0	0.0
100033812	0.0	0.0
100033813	0.0	0.0
3720	1556.0	4546.0
151056	231.0	240.0
3725	31756.0	22963.0
645528	8.0	5.0
728532	24.0	18.0
163059	320.0	478.0
728538	2.0	1.0
728537	250.0	425.0
63967	54.0	4718.0
3737	16.0	13.0
3738	567.0	63.0
3739	495.0	13.0
645538	0.0	0.0
3730	23086.0	318.0
3732	8399.0	6668.0
3734	2.0	0.0
3735	7215.0	10040.0
3736	121.0	956.0
63970	43.0	28.0
3750	128.0	1202.0
63971	6128.0	2394.0
63974	0.0	0.0
163049	2118.0	3544.0
63973	1.0	118.0
63976	2085.0	131.0
222068	7452.0	10259.0
63978	0.0	2.0
63977	524.0	1597.0
63979	325.0	3009.0
728524	0.0	0.0
3748	699.0	439.0
163051	37.0	154.0
3749	672.0	439.0
163050	70.0	88.0
3741	122.0	178.0
645548	9.0	31.0
3743	2.0	10.0
3744	6.0	1.0
3745	247.0	101.0
3746	6.0	156.0
3747	1.0	0.0
285671	797.0	284.0
285672	2586.0	1702.0
100873431	0.0	0.0
100873430	0.0	0.0
3760	11.0	0.0
285676	86.0	15.0
3761	1.0	114.0
100128657	0.0	16.0
285679	1.0	7.0
100861449	0.0	0.0
100861443	0.0	0.0
100861445	0.0	0.0
3759	460.0	684.0
283008	0.0	3.0
3751	12.0	25.0
100873435	0.0	0.0
3752	424.0	524.0
100873434	0.0	0.0
3753	275.0	17.0
100873433	0.0	0.0
3754	14.0	8.0
100873432	0.0	0.0
3755	13.0	421.0
100873439	0.0	0.0
3756	3.0	67.0
100873438	0.0	0.0
3757	299.0	2932.0
100873437	0.0	0.0
3758	18.0	17.0
100873436	0.0	0.0
100873420	1.0	1.0
3770	54.0	277.0
3772	7358.0	352.0
100861458	0.0	2.0
100861453	19.0	19.0
100861455	0.0	0.0
1107	11480.0	13573.0
1106	7418.0	9092.0
1105	2260.0	3264.0
1104	1283.0	5510.0
100873429	0.0	0.0
1103	0.0	22.0
1102	1276.0	1099.0
1101	198.0	317.0
3762	1003.0	534.0
100873424	0.0	0.0
3763	9.0	473.0
100128640	112.0	261.0
100873423	0.0	0.0
3764	2901.0	213.0
100873422	0.0	0.0
3765	0.0	29.0
100873421	1.0	0.0
3766	12.0	420.0
100873428	0.0	0.0
3767	179.0	2222.0
100873427	0.0	0.0
3768	222.0	207.0
1109	9.0	16.0
100873426	0.0	0.0
1108	13193.0	46001.0
3769	5.0	4.0
100873425	0.0	0.0
100128637	2.0	0.0
100128639	0.0	0.0
3780	1.0	431.0
100873453	0.0	0.0
3781	100.0	31.0
100873452	1.0	0.0
3782	1212.0	516.0
100873451	0.0	0.0
3783	329.0	1454.0
100873450	0.0	0.0
1121	1679.0	2396.0
100861468	0.0	0.0
1120	273.0	177.0
100861469	0.0	0.0
1118	804.0	2168.0
1117	5849.0	87.0
1116	2856.0	3787.0
1114	32.0	120.0
1113	14.0	2538.0
1112	6112.0	8581.0
1111	225.0	3574.0
3773	250.0	10.0
100873457	0.0	0.0
100873456	0.0	0.0
3775	838.0	1947.0
100873455	0.0	0.0
3776	11.0	21.0
100873454	0.0	0.0
3777	2834.0	230.0
3778	1238.0	825.0
3779	388.0	442.0
100873459	0.0	0.0
1119	2745.0	2172.0
100128627	0.0	3.0
100128626	0.0	0.0
3790	3993.0	4950.0
100128628	8.0	10.0
3791	3758.0	462.0
100873442	0.0	0.0
3792	58.0	142.0
100873441	0.0	0.0
100873440	0.0	0.0
100128625	0.0	0.0
1132	45.0	84.0
1131	341.0	125.0
1130	2734.0	1709.0
100861476	0.0	1.0
1129	185.0	10.0
1128	587.0	383.0
1124	694.0	1067.0
1123	1175.0	1065.0
1122	991.0	2502.0
100861470	0.0	0.0
3784	4753.0	2461.0
100873446	0.0	0.0
3785	1.0	35.0
100873445	0.0	0.0
3786	316.0	3943.0
100873444	0.0	0.0
3787	271.0	186.0
100873443	0.0	0.0
3788	2.0	13.0
100873449	1.0	7.0
100873448	0.0	0.0
100873447	0.0	0.0
100873471	0.0	0.0
100873470	0.0	0.0
283050	71.0	180.0
100128618	2.0	1.0
728597	2.0	6.0
100128617	1.0	0.0
100873475	0.0	0.0
100873474	0.0	0.0
728591	14.0	79.0
100873473	0.0	0.0
100873472	0.0	0.0
1143	2.0	18.0
285634	3.0	3.0
1142	0.0	1.0
1141	1.0	443.0
285636	2111.0	6820.0
1140	508.0	414.0
728599	3.0	62.0
1139	8.0	47.0
1138	40.0	1064.0
1137	13.0	120.0
100861485	0.0	0.0
1136	54.0	108.0
1135	63.0	4.0
1134	27.0	205.0
1133	13.0	38.0
3795	376.0	592.0
100873479	5.0	2.0
3796	1373.0	4997.0
100873478	0.0	0.0
3797	574.0	7908.0
100873477	8.0	3.0
3798	21.0	468.0
100873476	0.0	0.0
3799	14386.0	11928.0
100873460	0.0	0.0
728586	18.0	19.0
285641	4.0	2.0
100873464	2.0	8.0
100873463	0.0	0.0
100873462	1.0	2.0
285643	0.0	5.0
100128603	1.0	0.0
100873461	0.0	0.0
1154	3930.0	1166.0
1153	25993.0	13000.0
1152	11010.0	9878.0
285647	17.0	36.0
728589	10.0	11.0
728588	1.0	3.0
1149	0.0	0.0
1147	1937.0	1826.0
1146	1.0	15.0
1145	42.0	36.0
1144	0.0	3.0
100873468	0.0	0.0
100873467	0.0	0.0
100873466	0.0	0.0
100873465	0.0	0.0
283033	0.0	0.0
100873469	0.0	0.0
100873493	0.0	0.0
100873492	0.0	0.0
100873491	0.0	1.0
100873490	0.0	0.0
100873497	0.0	0.0
100873496	0.0	0.0
100873495	0.0	0.0
100873494	0.0	0.0
1164	788.0	14254.0
1163	662.0	6511.0
285659	0.0	0.0
1161	363.0	446.0
1160	119.0	42.0
1159	42.0	246.0
1158	7.0	58.0
1157	0.0	0.0
1155	3976.0	11425.0
550643	1916.0	2763.0
283025	0.0	2.0
100873499	0.0	0.0
100873498	0.0	0.0
100873482	0.0	0.0
100873481	0.0	0.0
100873480	0.0	0.0
100873486	0.0	0.0
100873485	0.0	0.0
100873484	0.0	0.0
100873483	0.0	0.0
1176	2252.0	1793.0
1175	3864.0	9333.0
285668	29.0	3.0
1174	2245.0	5378.0
1173	19171.0	48674.0
550631	414.0	372.0
100873489	0.0	0.0
283014	17.0	12.0
100873488	0.0	0.0
100873487	0.0	0.0
283093	0.0	0.0
283092	0.0	0.0
1187	16.0	153.0
1186	3701.0	7119.0
1185	2124.0	3098.0
1184	1011.0	1376.0
1183	1367.0	259.0
1182	4590.0	5534.0
1181	285.0	1413.0
440375	54.0	46.0
1180	2.0	79.0
1179	1.0	3.0
1178	55.0	13.0
283089	87.0	28.0
85495	0.0	0.0
85480	60.0	165.0
283080	1.0	3.0
1198	3526.0	3355.0
1197	2.0	6.0
1196	2105.0	7133.0
1195	5452.0	4041.0
440366	2.0	2.0
1193	4330.0	923.0
1192	22237.0	13005.0
1191	34672.0	5252.0
1188	84.0	254.0
283078	204.0	38.0
85486	3.0	11.0
128615	0.0	0.0
85481	0.0	0.0
128611	191.0	276.0
440396	47.0	241.0
128609	0.0	0.0
128602	6107.0	12.0
440387	0.0	3.0
128674	0.0	3.0
128676	0.0	0.0
114026	0.0	0.0
100861402	1.0	3.0
126014	4669.0	418.0
440335	1206.0	1470.0
100128690	0.0	0.0
114034	948.0	2834.0
126006	54.0	62.0
114036	47.0	26.0
100128696	0.0	0.0
100128688	0.0	0.0
126003	44.0	87.0
100861412	0.0	0.0
105180390	0.0	0.0
100128685	0.0	0.0
100128681	0.0	0.0
105180391	0.0	0.0
100128682	1.0	1.0
100128678	2.0	10.0
100861429	0.0	0.0
128653	0.0	0.0
200728	299.0	688.0
440356	8.0	11.0
440354	77.0	153.0
440352	3.0	0.0
100873419	0.0	0.0
100873418	0.0	2.0
100873413	0.0	0.0
128646	46.0	9.0
100873412	1.0	0.0
100873411	0.0	0.0
100128675	19.0	21.0
100873410	0.0	0.0
100873417	2.0	4.0
100873416	0.0	0.0
100873415	0.0	0.0
100873414	0.0	0.0
440348	14.0	43.0
100861435	0.0	0.0
100861436	0.0	0.0
440345	134.0	237.0
200734	3583.0	3552.0
100861431	1.0	0.0
100861434	0.0	0.0
100873409	0.0	0.0
440350	2.0	4.0
100873408	0.0	0.0
100873407	0.0	1.0
100861430	39.0	30.0
100873402	0.0	0.0
100873401	0.0	1.0
100873400	2.0	0.0
100128665	0.0	3.0
128637	4413.0	5274.0
100873406	0.0	0.0
100873405	0.0	1.0
100873404	0.0	0.0
100873403	0.0	0.0
645440	0.0	0.0
645443	8.0	12.0
165530	55.0	43.0
85409	1633.0	359.0
106481385	1.0	0.0
106481386	0.0	3.0
85416	0.0	2.0
106481383	1.0	1.0
85417	77.0	79.0
106481384	0.0	0.0
103106903	0.0	3.0
85414	663.0	230.0
106481389	0.0	0.0
85415	1571.0	2995.0
106481387	0.0	1.0
85413	19.0	5.0
106481388	3.0	5.0
645436	1.0	1.0
106481381	6.0	0.0
106481382	0.0	0.0
10	15.0	4.0
106481380	0.0	0.0
11	0.0	0.0
403341	1128.0	1999.0
12	8.0	9.0
13	1521.0	142.0
14	6904.0	12592.0
15	7.0	12.0
16	8510.0	10160.0
645455	23.0	8.0
18	1174.0	1150.0
19	8133.0	8837.0
128580	4.0	4.0
85407	1687.0	194.0
106481396	0.0	0.0
106481397	0.0	1.0
106481394	0.0	0.0
85406	1509.0	3609.0
106481395	0.0	0.0
85403	2237.0	2534.0
106481398	2.0	0.0
106481399	0.0	0.0
403339	0.0	0.0
106481392	2.0	0.0
106481393	0.0	0.0
20	2971.0	8036.0
106481390	0.0	0.0
21	74099.0	1210.0
106481391	0.0	0.0
22	1260.0	2063.0
153571	1873.0	582.0
153572	6713.0	2230.0
23	5033.0	7933.0
24	98.0	34.0
25	5323.0	14642.0
26	71.0	203.0
27	1989.0	5273.0
28	2139.0	1940.0
29	9817.0	11507.0
153579	3817.0	99.0
728615	0.0	1.0
728614	0.0	0.0
200765	205.0	1524.0
106481358	0.0	2.0
106481359	0.0	0.0
728611	49.0	28.0
102466518	4.0	0.0
102466516	24.0	1.0
102466515	0.0	0.0
106481363	0.0	0.0
106481364	1.0	1.0
85438	0.0	0.0
106481361	0.0	0.0
85439	853.0	1084.0
106481362	0.0	0.0
106481367	0.0	0.0
85437	2731.0	3613.0
106481368	0.0	0.0
106481365	0.0	0.0
728609	755.0	401.0
106481366	0.0	0.0
30	3883.0	1447.0
106481360	0.0	0.0
31	6259.0	10804.0
32	2583.0	5548.0
33	2933.0	32.0
34	3671.0	7284.0
35	2773.0	1248.0
153562	1896.0	1224.0
36	3350.0	11224.0
37	14620.0	9484.0
38	5376.0	1799.0
440307	5.0	43.0
39	2842.0	5484.0
165545	25.0	43.0
106481369	0.0	0.0
728606	4.0	20.0
106481374	0.0	0.0
106481375	0.0	0.0
106481372	0.0	1.0
106481373	1.0	0.0
106481378	3.0	1.0
106481379	0.0	0.0
106481376	0.0	0.0
106481377	0.0	0.0
403315	1.0	0.0
40	10.0	188.0
106481370	0.0	0.0
41	157.0	1064.0
106481371	0.0	0.0
43	177.0	670.0
645486	0.0	0.0
47	9088.0	22609.0
48	6362.0	10444.0
49	23.0	3.0
106481338	0.0	0.0
106481339	1.0	1.0
106481336	0.0	0.0
