id	5cf4c664-9f98-4e1e-a623-317660ee7f6a	e81fc37c-f65b-4e69-b03a-e522fc76ec08
1006	27.0	339.0
1005	9.0	1.0
1004	1265.0	311.0
1003	18539.0	1846.0
1002	42.0	71.0
1001	4226.0	47338.0
3663	1885.0	1162.0
100873325	0.0	1.0
3664	1654.0	37300.0
100873324	0.0	0.0
3665	2274.0	2675.0
100873323	0.0	0.0
100873322	0.0	0.0
3667	3156.0	5522.0
100873329	0.0	0.0
285590	7164.0	20875.0
100873328	0.0	0.0
3669	1169.0	1159.0
100873327	0.0	0.0
1009	10483.0	17968.0
100873326	0.0	0.0
100873350	0.0	0.0
116729	1.0	5.0
728477	18.0	5.0
3680	3276.0	835.0
3681	47.0	5.0
100128733	0.0	1.0
100873354	0.0	0.0
3682	1937.0	1041.0
100873353	0.0	0.0
3683	5788.0	2010.0
100873352	4.0	1.0
128710	501.0	1293.0
3684	7295.0	3144.0
100873351	0.0	1.0
285512	152.0	135.0
1022	940.0	1067.0
285513	2478.0	1226.0
1021	2223.0	7897.0
1020	624.0	878.0
440299	0.0	0.0
1019	4004.0	3864.0
128709	1.0	0.0
1018	76.0	56.0
1017	2204.0	1868.0
1016	0.0	102.0
1015	9.0	37.0
1014	32.0	2.0
1013	229.0	67.0
1012	2751.0	6246.0
116730	2.0	6.0
3674	203.0	65.0
100873358	0.0	0.0
3675	20951.0	35561.0
100873357	0.0	2.0
3676	1297.0	1995.0
100128731	6010.0	9570.0
100873356	0.0	0.0
3678	22885.0	38288.0
3679	3686.0	468.0
100873359	0.0	0.0
728464	105.0	93.0
728463	71.0	17.0
100128725	0.0	0.0
3690	787.0	389.0
3691	5144.0	53106.0
100873343	0.0	2.0
3692	5934.0	9325.0
3693	10355.0	39951.0
285521	1104.0	1117.0
100873342	0.0	0.0
3694	13588.0	20023.0
100873341	0.0	0.0
3695	428.0	368.0
100873340	0.0	0.0
100128723	0.0	1.0
1033	126.0	298.0
1032	815.0	493.0
285525	4.0	2.0
1031	765.0	794.0
285527	4157.0	5475.0
1030	3878.0	13066.0
728468	0.0	0.0
440288	58.0	126.0
1029	131.0	1957.0
440295	263.0	252.0
1028	885.0	811.0
1027	3579.0	2841.0
1026	27216.0	24432.0
1025	5167.0	3299.0
1024	740.0	1569.0
3685	11466.0	53158.0
100873347	0.0	0.0
100873346	0.0	0.0
3687	8258.0	4028.0
100873345	0.0	1.0
3688	25335.0	49854.0
100873344	0.0	0.0
3689	14994.0	13177.0
100873349	0.0	1.0
100873348	0.0	0.0
100873372	0.0	3.0
100873371	1.0	4.0
100873370	0.0	0.0
728498	19.0	18.0
100873376	0.0	0.0
728493	0.0	0.0
100128711	0.0	0.0
728492	40.0	31.0
100873375	0.0	0.0
100128710	4.0	0.0
285533	253.0	195.0
100873374	0.0	1.0
728495	0.0	0.0
100873373	0.0	0.0
100128712	0.0	0.0
1044	16.0	190.0
1043	10831.0	948.0
1041	1.0	14.0
1040	1410.0	1721.0
1039	2224.0	2278.0
1038	9.0	14.0
1036	717.0	31.0
3696	1156.0	7144.0
3697	6.0	0.0
100873379	0.0	2.0
3698	34.0	11.0
100873378	1.0	6.0
3699	217.0	18.0
100873377	0.0	0.0
728486	59.0	12.0
100873361	1.0	1.0
105373869	53.0	792.0
100873360	0.0	0.0
285540	85.0	59.0
100128705	3.0	2.0
100873365	0.0	0.0
100873364	0.0	0.0
728481	0.0	0.0
100873363	0.0	0.0
728484	0.0	0.0
100873362	0.0	0.0
100128701	2.0	5.0
1054	2687.0	2939.0
285547	0.0	0.0
1053	21.0	14.0
285548	0.0	10.0
1052	7307.0	5210.0
1051	9028.0	7285.0
728489	30.0	12.0
1050	1510.0	945.0
100128707	0.0	0.0
1048	558.0	1992.0
1047	54.0	15.0
1046	0.0	0.0
1045	2.0	0.0
100873369	6.0	5.0
100873368	0.0	1.0
100873367	0.0	0.0
100873366	0.0	0.0
105373877	1.0	1.0
1066	9212.0	3198.0
1063	375.0	3674.0
1062	116.0	733.0
1061	7.0	7.0
1060	1225.0	1185.0
440253	140.0	149.0
1059	7783.0	9748.0
1058	52.0	298.0
1057	0.0	2.0
85379	3388.0	4051.0
114112	582.0	705.0
1056	35.0	46.0
85377	4126.0	17507.0
85378	4465.0	5689.0
128745	0.0	0.0
85376	12.0	25.0
440248	680.0	657.0
1075	16785.0	27079.0
1074	9.0	6.0
1073	3338.0	1025.0
1072	59131.0	57592.0
1071	163.0	74.0
440243	0.0	36.0
1070	595.0	419.0
1069	2537.0	2901.0
1068	0.0	0.0
85369	2489.0	3190.0
85366	6.0	15.0
85364	1810.0	2304.0
85365	3848.0	1879.0
85363	2456.0	1630.0
85360	2708.0	3619.0
1080	2802.0	108.0
85391	10.0	6.0
403296	0.0	0.0
403297	0.0	0.0
85390	0.0	0.0
403299	0.0	0.0
1088	7.0	1.0
153733	461.0	276.0
1087	9.0	596.0
1086	0.0	0.0
440279	1.0	3.0
1085	2.0	1.0
1084	190.0	47.0
440278	99.0	325.0
1082	0.0	1.0
403294	2.0	0.0
440275	3919.0	5609.0
1081	0.0	1.0
85397	15.0	8.0
85395	730.0	562.0
403285	0.0	0.0
1091	0.0	0.0
1090	0.0	0.0
403288	0.0	0.0
403289	0.0	0.0
1098	0.0	2.0
1097	0.0	6.0
1096	0.0	1.0
1095	0.0	0.0
403281	0.0	0.0
403282	0.0	0.0
1094	0.0	0.0
1093	0.0	0.0
403283	0.0	0.0
403284	0.0	0.0
1092	9.0	4.0
440270	649.0	481.0
1089	84.0	63.0
85388	0.0	0.0
85389	0.0	0.0
128718	0.0	5.0
285596	101.0	41.0
285598	639.0	1409.0
126133	2386.0	2741.0
128790	0.0	1.0
126129	507.0	472.0
126123	7.0	0.0
442862	0.0	0.0
126119	1151.0	1701.0
442863	0.0	0.0
442864	0.0	0.0
442865	0.0	0.0
442866	0.0	0.0
442867	0.0	0.0
442868	0.0	0.0
128770	0.0	0.0
128774	0.0	0.0
442893	0.0	0.0
442894	0.0	0.0
442895	1.0	0.0
114131	10.0	0.0
442896	1.0	1.0
114132	608.0	39.0
442897	0.0	0.0
442898	4.0	4.0
114134	669.0	688.0
442899	0.0	0.0
100128790	0.0	0.0
128760	6.0	3.0
100128788	42.0	31.0
100128787	4.0	0.0
440225	0.0	0.0
440224	0.0	0.0
442890	0.0	0.0
442891	2.0	0.0
442892	0.0	0.0
128756	0.0	0.0
100128782	220.0	142.0
100128781	0.0	1.0
403230	0.0	0.0
403231	0.0	0.0
403232	0.0	0.0
645560	0.0	3.0
403234	0.0	0.0
403235	0.0	1.0
403236	0.0	0.0
63982	101.0	60.0
102466616	0.0	0.0
126052	0.0	0.0
151009	73.0	27.0
403227	0.0	1.0
403228	0.0	0.0
138046	0.0	0.0
645558	0.0	0.0
403229	0.0	0.0
645573	1.0	1.0
645572	0.0	0.0
645571	4.0	7.0
403223	0.0	0.0
403224	0.0	0.0
403226	0.0	0.0
200634	863.0	1011.0
107131122	0.0	0.0
138050	6728.0	9598.0
403219	0.0	0.0
151011	5263.0	5872.0
645587	0.0	0.0
165679	6.0	62.0
126037	11.0	10.0
114049	4445.0	4755.0
106481479	0.0	0.0
100033818	0.0	0.0
100033819	0.0	0.0
85319	1.0	14.0
106481484	0.0	0.0
106481485	0.0	1.0
106481482	0.0	0.0
106481483	0.0	0.0
85315	1253.0	772.0
100033821	0.0	0.0
106481488	0.0	0.0
100033822	0.0	0.0
106481489	0.0	0.0
85313	1935.0	1951.0
106481486	0.0	0.0
106481487	0.0	0.0
645579	93.0	109.0
100033820	0.0	0.0
106481480	0.0	0.0
106481481	0.0	0.0
138065	12.0	25.0
645598	0.0	12.0
163007	3.0	1.0
114038	1.0	5.0
645591	1.0	0.0
106481495	0.0	2.0
114041	0.0	10.0
106481496	0.0	0.0
114042	0.0	0.0
106481493	0.0	0.0
114043	30.0	11.0
106481494	0.0	0.0
106481499	0.0	0.0
114044	175.0	183.0
126017	354.0	883.0
106481497	4.0	6.0
106481498	0.0	0.0
85303	0.0	0.0
85300	2.0	1.0
85301	3441.0	9209.0
106481491	0.0	0.0
106481492	0.0	0.0
106481490	0.0	0.0
403274	0.0	0.0
102466657	0.0	2.0
403275	0.0	0.0
102466656	1.0	1.0
403276	0.0	0.0
403277	0.0	0.0
403278	0.0	0.0
26996	419.0	395.0
106481459	0.0	0.0
26994	6920.0	8420.0
106481457	5.0	3.0
26995	1912.0	1548.0
106481458	0.0	0.0
403271	0.0	0.0
26998	0.0	22.0
403272	0.0	0.0
102466659	0.0	0.0
26999	4189.0	876.0
403273	0.0	0.0
102466658	0.0	11.0
106481462	0.0	0.0
106481463	0.0	0.0
104310353	0.0	0.0
106481460	2.0	3.0
106481461	0.0	0.0
104310350	0.0	0.0
106481466	0.0	0.0
26993	2208.0	2055.0
106481467	0.0	0.0
106481464	1.0	6.0
106481465	0.0	0.0
104310351	1.0	0.0
403263	0.0	0.0
403264	0.0	0.0
403265	2.0	0.0
403266	1.0	0.0
138009	2.0	1.0
106481468	0.0	0.0
106481469	1.0	0.0
403260	0.0	0.0
106481473	0.0	0.0
106481474	0.0	0.0
106481471	0.0	0.0
85329	29.0	13.0
106481472	0.0	0.0
106481477	6.0	3.0
106481478	0.0	1.0
106481475	0.0	0.0
106481476	0.0	0.0
85320	9.0	46.0
106481470	2.0	3.0
403252	0.0	0.0
403253	0.0	0.0
403254	0.0	0.0
126070	843.0	745.0
403255	0.0	0.0
403256	0.0	0.0
403257	0.0	0.0
344471	0.0	0.0
106481437	0.0	0.0
26974	45.0	91.0
153657	27.0	38.0
106481438	0.0	0.0
106481435	0.0	0.0
26973	1346.0	1530.0
165631	562.0	236.0
106481436	1.0	0.0
26978	29.0	23.0
126075	1317.0	630.0
106481439	0.0	0.0
403250	0.0	0.0
126074	228.0	105.0
403251	0.0	0.0
106481440	0.0	0.0
106481441	0.0	0.0
85359	1438.0	2276.0
106481444	4.0	0.0
106481445	0.0	0.0
106481442	0.0	0.0
106481443	0.0	0.0
85358	7437.0	2028.0
85354	0.0	0.0
85352	213.0	1566.0
403241	0.0	1.0
344462	2.0	0.0
403244	0.0	0.0
403245	0.0	1.0
153642	343.0	435.0
153643	111.0	0.0
403247	0.0	0.0
403248	0.0	0.0
26985	3699.0	3807.0
106481448	0.0	0.0
26986	41576.0	86480.0
126069	122.0	57.0
106481449	0.0	0.0
126068	486.0	271.0
106481446	0.0	0.0
26983	0.0	1.0
26984	862.0	1316.0
106481447	0.0	0.0
106481451	5.0	8.0
106481452	1.0	0.0
106481450	0.0	0.0
114088	89.0	109.0
106481455	0.0	2.0
85349	39.0	3.0
106481456	1.0	0.0
26982	1.0	0.0
106481453	0.0	1.0
85347	0.0	0.0
26980	3.0	3.0
106481454	1.0	0.0
403238	0.0	0.0
85344	0.0	1.0
403239	0.0	0.0
85345	0.0	0.0
85343	0.0	0.0
344454	0.0	0.0
85340	0.0	2.0
100873394	0.0	0.0
100873393	4.0	2.0
100873392	4.0	0.0
100873391	0.0	0.0
100873398	1.0	0.0
100873397	0.0	0.0
100873396	0.0	0.0
100873395	0.0	0.0
100128811	0.0	0.0
106481415	0.0	0.0
106481416	2.0	3.0
106481413	0.0	0.0
106481414	1.0	1.0
63901	2665.0	2332.0
100873390	0.0	0.0
728556	39.0	56.0
106481419	0.0	0.0
100128817	0.0	0.0
728558	122.0	132.0
106481417	0.0	0.0
106481418	0.0	0.0
106481422	0.0	2.0
163081	365.0	424.0
106481423	0.0	1.0
106481420	0.0	0.0
106481421	0.0	0.0
100873399	2.0	0.0
100873383	0.0	0.0
100873382	0.0	0.0
100873381	4.0	0.0
100873380	0.0	3.0
100128804	0.0	0.0
100873387	0.0	0.0
100873386	0.0	0.0
100873385	0.0	0.0
100128801	0.0	0.0
285600	145.0	93.0
100873384	0.0	0.0
285601	10.0	17.0
106481426	0.0	0.0
106481427	1.0	3.0
222005	3.0	1.0
63910	784.0	1785.0
106481424	0.0	0.0
106481425	0.0	0.0
285605	470.0	365.0
222008	0.0	0.0
106481428	0.0	0.0
106481429	0.0	0.0
63905	3281.0	4457.0
63904	0.0	0.0
106481430	1.0	1.0
163071	66.0	103.0
63906	910.0	1173.0
106481433	0.0	0.0
63908	756.0	1055.0
106481434	0.0	0.0
106481431	1.0	0.0
106481432	0.0	0.0
100873389	0.0	0.0
100873388	0.0	0.0
285613	112.0	110.0
63920	212.0	231.0
63923	100.0	435.0
63922	409.0	1164.0
728577	181.0	33.0
63925	2382.0	2448.0
63924	2.0	0.0
63916	4565.0	3383.0
63917	3263.0	5135.0
106481400	2.0	0.0
106481401	0.0	0.0
728562	1.0	1.0
728564	8.0	5.0
285622	2.0	0.0
106481404	0.0	0.0
106481405	0.0	0.0
63932	1370.0	1425.0
106481402	0.0	1.0
63931	1519.0	1523.0
106481403	0.0	5.0
63934	217.0	350.0
728567	3.0	1.0
106481408	0.0	0.0
163088	6.0	0.0
63933	2388.0	2574.0
106481409	0.0	0.0
106481406	0.0	0.0
63935	3771.0	4132.0
163087	597.0	770.0
728568	430.0	262.0
106481407	13.0	13.0
3704	3051.0	4171.0
3705	6778.0	2928.0
63926	592.0	1258.0
3706	22.0	80.0
63929	859.0	1702.0
3707	4826.0	3608.0
63928	2.0	65.0
3708	4740.0	1495.0
106481411	1.0	1.0
3709	2896.0	3673.0
106481412	0.0	0.0
106481410	0.0	0.0
3700	62.0	24.0
3702	630.0	421.0
3703	10604.0	13829.0
645506	0.0	0.0
151050	1129.0	837.0
645520	0.0	0.0
63941	971.0	1079.0
63940	4052.0	2499.0
63943	302.0	393.0
728517	0.0	0.0
163033	722.0	940.0
258010	1080.0	298.0
63947	0.0	0.0
63946	0.0	0.0
728513	1.0	5.0
100033803	0.0	0.0
3716	16242.0	17161.0
100033804	0.0	0.0
3717	2252.0	1677.0
100033805	0.0	0.0
3718	3698.0	2506.0
63939	806.0	862.0
100033806	0.0	0.0
100190799	6.0	12.0
100033800	0.0	0.0
100033801	0.0	0.0
100033802	0.0	0.0
344405	99.0	68.0
3710	11372.0	12591.0
3712	4484.0	2520.0
3713	11.0	7366.0
3714	2823.0	6922.0
63950	0.0	0.0
728505	0.0	0.0
63951	176.0	225.0
100033807	0.0	0.0
728501	18.0	15.0
100033808	0.0	0.0
100033809	0.0	0.0
3726	33824.0	15509.0
100033814	0.0	0.0
3727	18904.0	6236.0
63948	0.0	0.0
100033815	0.0	0.0
222052	0.0	0.0
3728	11117.0	71111.0
100033816	0.0	0.0
100033817	0.0	0.0
100033810	0.0	0.0
100033811	0.0	0.0
100033812	0.0	0.0
100033813	0.0	0.0
3720	1529.0	4801.0
151056	614.0	1277.0
3725	25516.0	15942.0
645528	11.0	1.0
728532	11.0	13.0
163059	313.0	112.0
728538	0.0	11.0
728537	137.0	114.0
63967	107.0	421.0
3737	24.0	12.0
3738	794.0	160.0
3739	74.0	2.0
645538	0.0	0.0
3730	3690.0	1037.0
3732	7635.0	15152.0
3734	28.0	31.0
3735	8953.0	9227.0
3736	23.0	3.0
63970	7.0	1283.0
3750	391.0	390.0
63971	4178.0	6321.0
63974	0.0	0.0
163049	2051.0	1711.0
63973	0.0	0.0
63976	965.0	71.0
222068	5197.0	11518.0
63978	0.0	0.0
63977	721.0	906.0
63979	479.0	1437.0
728524	0.0	0.0
3748	1306.0	468.0
163051	26.0	13.0
3749	1109.0	2586.0
163050	50.0	38.0
3741	143.0	2.0
645548	6.0	14.0
3743	4.0	113.0
3744	5.0	1.0
3745	124.0	2.0
3746	9.0	10.0
3747	0.0	0.0
285671	542.0	261.0
285672	1947.0	1300.0
100873431	0.0	0.0
100873430	0.0	0.0
3760	6.0	0.0
285676	76.0	74.0
3761	0.0	2.0
100128657	0.0	0.0
285679	6.0	1.0
100861449	0.0	0.0
100861443	0.0	0.0
100861445	0.0	0.0
3759	1146.0	607.0
283008	1.0	0.0
3751	39.0	1228.0
100873435	0.0	0.0
3752	2658.0	913.0
100873434	0.0	0.0
3753	78.0	21.0
100873433	0.0	0.0
3754	24.0	20.0
100873432	0.0	0.0
3755	44.0	87.0
100873439	0.0	0.0
3756	24.0	7.0
100873438	0.0	0.0
3757	292.0	76.0
100873437	0.0	0.0
3758	26.0	20.0
100873436	0.0	0.0
100873420	0.0	4.0
3770	84.0	259.0
3772	6279.0	2371.0
100861458	0.0	3.0
100861453	25.0	25.0
100861455	0.0	0.0
1107	13406.0	15208.0
1106	6598.0	7548.0
1105	3519.0	1964.0
1104	2265.0	2864.0
100873429	0.0	0.0
1103	0.0	2.0
1102	1244.0	1828.0
1101	70.0	29.0
3762	1075.0	631.0
100873424	0.0	0.0
3763	2.0	23.0
100128640	41.0	13.0
100873423	0.0	0.0
3764	1559.0	707.0
100873422	0.0	2.0
3765	1.0	0.0
100873421	0.0	2.0
3766	20.0	19.0
100873428	0.0	0.0
3767	98.0	25.0
100873427	0.0	0.0
3768	483.0	533.0
1109	4.0	4.0
100873426	2.0	0.0
1108	14262.0	18502.0
3769	5.0	5.0
100873425	0.0	0.0
100128637	0.0	0.0
100128639	0.0	1.0
3780	10.0	14.0
100873453	0.0	0.0
3781	231.0	64.0
100873452	0.0	0.0
3782	1182.0	710.0
100873451	0.0	0.0
3783	935.0	2116.0
100873450	0.0	0.0
1121	1426.0	1625.0
100861468	0.0	2.0
1120	370.0	547.0
100861469	0.0	0.0
1118	1855.0	481.0
1117	9344.0	2753.0
1116	8468.0	10076.0
1114	12.0	78.0
1113	11.0	4.0
1112	4394.0	6664.0
1111	282.0	687.0
3773	42.0	6.0
100873457	1.0	2.0
100873456	0.0	0.0
3775	1025.0	1912.0
100873455	0.0	0.0
3776	59.0	14.0
100873454	0.0	0.0
3777	3258.0	144.0
3778	1371.0	632.0
3779	729.0	849.0
100873459	0.0	0.0
1119	1393.0	485.0
100128627	3.0	3.0
100128626	0.0	0.0
3790	2536.0	1768.0
100128628	9.0	13.0
3791	7767.0	1388.0
100873442	0.0	0.0
3792	21.0	15.0
100873441	0.0	0.0
100873440	0.0	0.0
100128625	0.0	1.0
1132	5.0	17.0
1131	242.0	1811.0
1130	2974.0	2627.0
100861476	0.0	1.0
1129	115.0	2.0
1128	96.0	0.0
1124	433.0	200.0
1123	2126.0	3931.0
1122	747.0	596.0
100861470	0.0	0.0
3784	3814.0	950.0
100873446	0.0	0.0
3785	2.0	0.0
100873445	0.0	0.0
3786	2109.0	574.0
100873444	0.0	0.0
3787	27.0	12.0
100873443	0.0	0.0
3788	51.0	9.0
100873449	5.0	1.0
100873448	0.0	0.0
100873447	0.0	0.0
100873471	0.0	0.0
100873470	2.0	1.0
283050	57.0	166.0
100128618	0.0	0.0
728597	1.0	0.0
100128617	0.0	2.0
100873475	0.0	0.0
100873474	0.0	0.0
728591	14.0	14.0
100873473	0.0	0.0
100873472	0.0	0.0
1143	6.0	41.0
285634	3.0	3.0
1142	0.0	6.0
1141	10.0	14.0
285636	2180.0	3211.0
1140	391.0	848.0
728599	0.0	2.0
1139	7.0	7.0
1138	10.0	35.0
1137	20.0	3.0
100861485	0.0	0.0
1136	12.0	3.0
1135	2.0	1.0
1134	98.0	168.0
1133	19.0	27.0
3795	237.0	142.0
100873479	18.0	10.0
3796	1306.0	1933.0
100873478	0.0	0.0
3797	590.0	2304.0
100873477	5.0	4.0
3798	25.0	173.0
100873476	0.0	0.0
3799	14121.0	13395.0
100873460	0.0	0.0
728586	22.0	16.0
285641	2.0	0.0
100873464	5.0	4.0
100873463	0.0	0.0
100873462	2.0	3.0
285643	0.0	5.0
100128603	2.0	0.0
100873461	0.0	0.0
1154	2860.0	1346.0
1153	15275.0	8251.0
1152	3845.0	570.0
285647	10.0	11.0
728589	22.0	59.0
728588	1.0	0.0
1149	1.0	15.0
1147	1932.0	1843.0
1146	6.0	2.0
1145	54.0	49.0
1144	2.0	0.0
100873468	0.0	0.0
100873467	4.0	0.0
100873466	0.0	0.0
100873465	0.0	0.0
283033	0.0	0.0
100873469	0.0	0.0
100873493	0.0	0.0
100873492	0.0	0.0
100873491	0.0	1.0
100873490	0.0	0.0
100873497	0.0	0.0
100873496	0.0	0.0
100873495	0.0	1.0
100873494	0.0	0.0
1164	593.0	598.0
1163	428.0	1120.0
285659	0.0	0.0
1161	446.0	411.0
1160	94.0	64.0
1159	18.0	949.0
1158	13.0	20.0
1157	0.0	0.0
1155	3713.0	4660.0
550643	1692.0	2222.0
283025	0.0	0.0
100873499	0.0	0.0
100873498	0.0	0.0
100873482	0.0	0.0
100873481	0.0	0.0
100873480	0.0	0.0
100873486	0.0	0.0
100873485	0.0	0.0
100873484	0.0	0.0
100873483	0.0	0.0
1176	2781.0	3353.0
1175	4478.0	7989.0
285668	12.0	1.0
1174	1487.0	2519.0
1173	18762.0	35549.0
550631	161.0	153.0
100873489	0.0	0.0
283014	19.0	6.0
100873488	0.0	0.0
100873487	0.0	2.0
283093	0.0	0.0
283092	0.0	0.0
1187	27.0	74.0
1186	4139.0	4926.0
1185	1841.0	1841.0
1184	848.0	754.0
1183	655.0	574.0
1182	4015.0	4363.0
1181	261.0	475.0
440375	70.0	75.0
1180	15.0	67.0
1179	1.0	0.0
1178	2.0	11.0
283089	8.0	5.0
85495	0.0	0.0
85480	167.0	106.0
283080	1.0	0.0
1198	3344.0	3936.0
1197	1.0	1.0
1196	2697.0	4286.0
1195	5146.0	3818.0
440366	1.0	1.0
1193	3687.0	622.0
1192	24982.0	21143.0
1191	48275.0	15815.0
1188	51.0	33.0
283078	72.0	15.0
85486	0.0	4.0
128615	0.0	0.0
85481	0.0	0.0
128611	190.0	76.0
440396	54.0	56.0
128609	0.0	0.0
128602	392.0	1.0
440387	7.0	7.0
128674	0.0	0.0
128676	3.0	2.0
114026	0.0	1.0
100861402	1.0	2.0
126014	2977.0	786.0
440335	695.0	880.0
100128690	0.0	0.0
114034	1001.0	470.0
126006	26.0	19.0
114036	22.0	60.0
100128696	0.0	0.0
100128688	0.0	3.0
126003	55.0	38.0
100861412	0.0	0.0
105180390	0.0	0.0
100128685	0.0	0.0
100128681	0.0	0.0
105180391	0.0	0.0
100128682	4.0	3.0
100128678	0.0	2.0
100861429	0.0	0.0
128653	3.0	4.0
200728	168.0	265.0
440356	4.0	31.0
440354	82.0	83.0
440352	4.0	3.0
100873419	0.0	0.0
100873418	0.0	1.0
100873413	0.0	0.0
128646	24.0	2.0
100873412	0.0	0.0
100873411	0.0	0.0
100128675	6.0	4.0
100873410	0.0	0.0
100873417	5.0	8.0
100873416	0.0	0.0
100873415	0.0	0.0
100873414	0.0	0.0
440348	8.0	11.0
100861435	1.0	0.0
100861436	0.0	0.0
440345	172.0	227.0
200734	3744.0	3363.0
100861431	0.0	0.0
100861434	0.0	0.0
100873409	0.0	0.0
440350	1.0	0.0
100873408	0.0	0.0
100873407	0.0	0.0
100861430	23.0	23.0
100873402	0.0	0.0
100873401	4.0	0.0
100873400	0.0	0.0
100128665	0.0	0.0
128637	4568.0	6366.0
100873406	0.0	0.0
100873405	0.0	0.0
100873404	0.0	0.0
100873403	0.0	0.0
645440	0.0	0.0
645443	7.0	4.0
165530	70.0	11.0
85409	2495.0	2848.0
106481385	1.0	1.0
106481386	2.0	1.0
85416	1.0	245.0
106481383	6.0	7.0
85417	60.0	27.0
106481384	0.0	0.0
103106903	0.0	1.0
85414	1209.0	617.0
106481389	0.0	0.0
85415	595.0	312.0
106481387	0.0	0.0
85413	21.0	10.0
106481388	3.0	16.0
645436	0.0	0.0
106481381	0.0	0.0
106481382	0.0	0.0
10	25.0	2.0
106481380	0.0	0.0
11	0.0	0.0
403341	1100.0	1079.0
12	42.0	37.0
13	332.0	21.0
14	5992.0	6956.0
15	7.0	23.0
16	9230.0	8335.0
645455	18.0	20.0
18	526.0	1012.0
19	5255.0	7251.0
128580	5.0	1.0
85407	738.0	1446.0
106481396	0.0	0.0
106481397	0.0	0.0
106481394	0.0	0.0
85406	1624.0	1560.0
106481395	0.0	0.0
85403	2155.0	2042.0
106481398	0.0	0.0
106481399	0.0	0.0
403339	0.0	0.0
106481392	3.0	1.0
106481393	0.0	0.0
20	3620.0	4366.0
106481390	0.0	0.0
21	73536.0	1044.0
106481391	0.0	0.0
22	1050.0	991.0
153571	623.0	472.0
153572	2130.0	1379.0
23	6803.0	8940.0
24	263.0	2994.0
25	11238.0	8886.0
26	42.0	809.0
27	6793.0	5074.0
28	917.0	425.0
29	9633.0	8114.0
153579	3431.0	74.0
728615	1.0	0.0
728614	0.0	0.0
200765	237.0	208.0
106481358	1.0	0.0
106481359	0.0	0.0
728611	81.0	55.0
102466518	3.0	1.0
102466516	3.0	0.0
102466515	0.0	0.0
106481363	0.0	0.0
106481364	1.0	0.0
85438	0.0	0.0
106481361	0.0	0.0
85439	835.0	2651.0
106481362	0.0	0.0
106481367	1.0	0.0
85437	1788.0	2364.0
106481368	0.0	0.0
106481365	0.0	0.0
728609	283.0	153.0
106481366	0.0	0.0
30	3249.0	1920.0
106481360	0.0	0.0
31	5145.0	6577.0
32	1762.0	530.0
33	430.0	18.0
34	2052.0	2372.0
35	1598.0	944.0
153562	1390.0	564.0
36	2111.0	859.0
37	21622.0	16512.0
38	2632.0	1135.0
440307	15.0	15.0
39	2334.0	1147.0
165545	12.0	1144.0
106481369	0.0	0.0
728606	0.0	0.0
106481374	0.0	0.0
106481375	0.0	0.0
106481372	0.0	2.0
106481373	1.0	1.0
106481378	4.0	1.0
106481379	0.0	0.0
106481376	0.0	0.0
106481377	0.0	0.0
403315	0.0	0.0
40	14.0	4.0
106481370	0.0	0.0
41	392.0	318.0
106481371	0.0	0.0
43	755.0	143.0
645486	0.0	0.0
47	10902.0	13146.0
48	5953.0	5013.0
49	30.0	9.0
106481338	0.0	0.0
106481339	1.0	2.0
106481336	0.0	0.0
106481337	1.0	0.0
106481341	0.0	0.0
106481342	17.0	16.0
