id	045e2535-012c-4cec-b386-9d6f62b91829	085bdf94-a24f-4511-8d3f-d0c91f7e6947
285527	9337.0	1969.0
1030	16161.0	1903.0
728468	0.0	0.0
440288	288.0	265.0
1029	469.0	1889.0
440295	561.0	136.0
1028	4783.0	994.0
1027	7227.0	2990.0
1026	69771.0	14866.0
1025	9075.0	5691.0
1024	1297.0	957.0
3685	11650.0	17983.0
100873347	0.0	0.0
100873346	0.0	0.0
3687	8925.0	1002.0
100873345	1.0	0.0
3688	54948.0	23438.0
100873344	0.0	0.0
3689	21014.0	4692.0
100873349	1.0	1.0
100873348	1.0	0.0
100873372	4.0	0.0
100873371	0.0	4.0
100873370	0.0	0.0
728498	32.0	4.0
100873376	0.0	0.0
728493	0.0	0.0
100128711	0.0	0.0
728492	139.0	50.0
100873375	0.0	0.0
100128710	0.0	0.0
285533	380.0	123.0
100873374	0.0	0.0
728495	0.0	0.0
100873373	0.0	0.0
100128712	0.0	0.0
1044	14.0	15.0
1043	11411.0	663.0
1041	10.0	2.0
1040	4188.0	1498.0
1039	4914.0	1831.0
1038	25.0	2.0
1036	1109.0	10.0
3696	1206.0	6087.0
3697	213.0	1.0
100873379	0.0	0.0
3698	706.0	122.0
100873378	5.0	0.0
3699	1025.0	24.0
100873377	0.0	0.0
728486	46.0	10.0
100873361	0.0	0.0
105373869	14.0	139.0
100873360	0.0	2.0
285540	338.0	73.0
100128705	8.0	0.0
100873365	0.0	0.0
100873364	0.0	0.0
728481	0.0	0.0
100873363	0.0	0.0
728484	3.0	1.0
100873362	0.0	0.0
100128701	5.0	2.0
1054	6768.0	7067.0
285547	0.0	0.0
1053	27.0	1.0
285548	0.0	28.0
1052	64955.0	5006.0
1051	17599.0	4085.0
728489	31.0	7.0
1050	5337.0	1183.0
100128707	0.0	0.0
1048	886.0	8882.0
1047	75.0	190.0
1046	0.0	0.0
1045	1.0	2.0
100873369	14.0	0.0
100873368	0.0	0.0
100873367	0.0	0.0
100873366	0.0	0.0
105373877	0.0	0.0
1066	29898.0	97811.0
1063	419.0	3705.0
1062	136.0	754.0
1061	5.0	0.0
1060	3015.0	779.0
440253	246.0	16.0
1059	18072.0	7135.0
1058	40.0	496.0
1057	8.0	5.0
85379	13675.0	4941.0
114112	1212.0	702.0
1056	60.0	389.0
85377	7991.0	6926.0
85378	7603.0	832.0
128745	0.0	0.0
85376	31.0	3.0
440248	1456.0	107.0
1075	25639.0	31424.0
1074	16.0	2.0
1073	10936.0	1123.0
1072	89375.0	56612.0
1071	872.0	99.0
440243	0.0	0.0
1070	1210.0	620.0
1069	4532.0	4342.0
1068	0.0	0.0
85369	4464.0	896.0
85366	30.0	10.0
85364	4777.0	1720.0
85365	5168.0	3568.0
85363	5969.0	1352.0
85360	7506.0	657.0
1080	4952.0	776.0
85391	22.0	3.0
403296	0.0	0.0
403297	0.0	0.0
85390	0.0	0.0
403299	0.0	0.0
1088	31.0	1.0
153733	740.0	286.0
1087	30.0	1011.0
1086	0.0	1.0
440279	17.0	10.0
1085	3.0	0.0
1084	49.0	32.0
440278	133.0	60.0
1082	3.0	1.0
403294	0.0	1.0
440275	9009.0	2840.0
1081	2.0	0.0
85397	24.0	0.0
85395	927.0	734.0
403285	0.0	0.0
1091	0.0	0.0
1090	1.0	0.0
403288	0.0	0.0
403289	0.0	0.0
1098	0.0	4.0
1097	0.0	0.0
1096	0.0	0.0
1095	0.0	0.0
403281	0.0	0.0
403282	0.0	0.0
1094	0.0	0.0
1093	0.0	0.0
403283	0.0	0.0
403284	0.0	0.0
1092	12.0	3.0
440270	1991.0	258.0
1089	298.0	25.0
85388	0.0	0.0
85389	0.0	0.0
128718	0.0	0.0
285596	80.0	10.0
285598	868.0	229.0
126133	5820.0	2643.0
128790	0.0	0.0
126129	689.0	49.0
126123	22.0	0.0
442862	0.0	0.0
126119	2753.0	827.0
442863	0.0	0.0
442864	0.0	0.0
442865	0.0	0.0
442866	0.0	0.0
442867	0.0	0.0
442868	0.0	0.0
128770	5.0	0.0
128774	0.0	0.0
442893	1.0	0.0
442894	0.0	0.0
442895	0.0	0.0
114131	121.0	16.0
442896	1.0	0.0
114132	140.0	8.0
442897	0.0	0.0
442898	5.0	0.0
114134	1643.0	408.0
442899	0.0	0.0
100128790	0.0	0.0
128760	13.0	2.0
100128788	102.0	29.0
100128787	4.0	3.0
440225	0.0	0.0
440224	1.0	1.0
442890	0.0	0.0
442891	1.0	0.0
442892	4.0	0.0
128756	0.0	1.0
100128782	586.0	133.0
100128781	3.0	0.0
403230	0.0	0.0
403231	0.0	0.0
403232	0.0	0.0
645560	3.0	1.0
403234	0.0	0.0
403235	0.0	1.0
403236	0.0	0.0
63982	241.0	43.0
102466616	0.0	0.0
126052	1.0	0.0
151009	7.0	1.0
403227	0.0	3.0
403228	0.0	0.0
138046	3.0	0.0
645558	0.0	0.0
403229	0.0	0.0
645573	1.0	0.0
645572	0.0	1.0
645571	52.0	6.0
403223	0.0	0.0
403224	0.0	0.0
403226	0.0	0.0
200634	2402.0	2239.0
107131122	0.0	0.0
138050	17780.0	4108.0
403219	1.0	1.0
151011	14049.0	6189.0
645587	2.0	0.0
165679	13.0	18.0
126037	53.0	20.0
114049	7533.0	4764.0
106481479	0.0	0.0
100033818	0.0	0.0
100033819	0.0	0.0
85319	0.0	0.0
106481484	0.0	0.0
106481485	2.0	0.0
106481482	0.0	0.0
106481483	0.0	0.0
85315	2950.0	430.0
100033821	0.0	0.0
106481488	0.0	0.0
100033822	0.0	0.0
106481489	0.0	0.0
85313	3577.0	2052.0
106481486	0.0	0.0
106481487	0.0	0.0
645579	230.0	147.0
100033820	0.0	0.0
106481480	3.0	0.0
106481481	0.0	0.0
138065	15.0	29.0
645598	1.0	0.0
163007	21.0	4.0
114038	7.0	1.0
645591	125.0	1.0
106481495	1.0	0.0
114041	4.0	0.0
106481496	0.0	0.0
114042	12.0	1.0
106481493	0.0	0.0
114043	337.0	6.0
106481494	0.0	0.0
106481499	0.0	0.0
114044	367.0	158.0
126017	736.0	371.0
106481497	1.0	2.0
106481498	0.0	0.0
85303	0.0	0.0
85300	6.0	2.0
85301	3559.0	1146.0
106481491	0.0	0.0
106481492	0.0	0.0
106481490	0.0	0.0
403274	0.0	0.0
102466657	0.0	0.0
403275	0.0	0.0
102466656	2.0	0.0
403276	0.0	0.0
403277	0.0	0.0
403278	0.0	0.0
26996	3008.0	1060.0
106481459	0.0	0.0
26994	16367.0	9975.0
106481457	11.0	1.0
26995	2789.0	4210.0
106481458	0.0	0.0
403271	0.0	0.0
26998	1.0	943.0
403272	2.0	0.0
102466659	1.0	0.0
26999	8780.0	775.0
403273	0.0	0.0
102466658	3.0	3.0
106481462	1.0	0.0
106481463	0.0	0.0
104310353	0.0	0.0
106481460	9.0	1.0
106481461	0.0	0.0
104310350	0.0	0.0
106481466	0.0	0.0
26993	5514.0	1677.0
106481467	0.0	0.0
106481464	2.0	0.0
106481465	1.0	0.0
104310351	37.0	0.0
403263	0.0	0.0
403264	0.0	0.0
403265	2.0	0.0
403266	2.0	0.0
138009	0.0	0.0
106481468	0.0	0.0
106481469	0.0	0.0
403260	0.0	0.0
106481473	0.0	0.0
106481474	0.0	0.0
106481471	0.0	0.0
85329	57.0	5.0
106481472	0.0	0.0
106481477	9.0	0.0
106481478	0.0	2.0
106481475	0.0	0.0
106481476	0.0	0.0
85320	12.0	28.0
106481470	4.0	0.0
403252	0.0	0.0
403253	0.0	0.0
403254	0.0	0.0
126070	1871.0	624.0
403255	0.0	0.0
403256	0.0	0.0
403257	0.0	0.0
344471	13.0	2.0
106481437	0.0	0.0
26974	165.0	28.0
153657	64.0	9.0
106481438	0.0	0.0
106481435	0.0	0.0
26973	1561.0	1544.0
165631	724.0	77.0
106481436	2.0	0.0
26978	67.0	18.0
126075	1586.0	207.0
106481439	0.0	0.0
403250	0.0	0.0
126074	387.0	172.0
403251	0.0	0.0
106481440	0.0	0.0
106481441	0.0	0.0
85359	4233.0	1613.0
106481444	4.0	0.0
106481445	0.0	0.0
106481442	0.0	0.0
106481443	0.0	0.0
85358	18035.0	714.0
85354	0.0	0.0
85352	228.0	74.0
403241	0.0	0.0
344462	6.0	4.0
403244	0.0	0.0
403245	1.0	0.0
153642	803.0	1075.0
153643	226.0	22.0
403247	0.0	0.0
403248	0.0	0.0
26985	5490.0	2613.0
106481448	0.0	0.0
26986	84109.0	76100.0
126069	239.0	19.0
106481449	0.0	0.0
126068	837.0	81.0
106481446	0.0	0.0
26983	0.0	0.0
26984	1516.0	966.0
106481447	0.0	0.0
106481451	4.0	0.0
106481452	1.0	0.0
106481450	0.0	0.0
114088	67.0	204.0
106481455	0.0	0.0
85349	2705.0	7.0
106481456	5.0	0.0
26982	0.0	0.0
106481453	0.0	0.0
85347	0.0	0.0
26980	16.0	5.0
106481454	4.0	0.0
403238	0.0	0.0
85344	4.0	2.0
403239	0.0	0.0
85345	0.0	0.0
85343	0.0	0.0
344454	2.0	0.0
85340	1.0	0.0
100873394	0.0	0.0
100873393	3.0	1.0
100873392	8.0	1.0
100873391	0.0	0.0
100873398	0.0	0.0
100873397	0.0	0.0
100873396	0.0	0.0
100873395	0.0	0.0
100128811	2.0	0.0
106481415	0.0	1.0
106481416	1.0	0.0
106481413	0.0	0.0
106481414	0.0	0.0
63901	6171.0	1215.0
100873390	0.0	0.0
728556	109.0	121.0
106481419	0.0	0.0
100128817	1.0	0.0
728558	230.0	57.0
106481417	1.0	0.0
106481418	0.0	0.0
106481422	0.0	0.0
163081	616.0	256.0
106481423	1.0	1.0
106481420	1.0	0.0
106481421	0.0	0.0
100873399	1.0	0.0
100873383	0.0	0.0
100873382	0.0	0.0
100873381	3.0	0.0
100873380	0.0	0.0
100128804	0.0	0.0
100873387	0.0	0.0
100873386	0.0	0.0
100873385	1.0	0.0
100128801	0.0	0.0
285600	366.0	366.0
100873384	0.0	0.0
285601	75.0	17.0
106481426	0.0	0.0
106481427	1.0	0.0
222005	6.0	0.0
63910	762.0	244.0
106481424	0.0	0.0
106481425	0.0	0.0
285605	805.0	425.0
222008	2.0	1.0
106481428	1.0	0.0
106481429	1.0	0.0
63905	6518.0	4189.0
63904	0.0	0.0
106481430	2.0	0.0
163071	127.0	79.0
63906	2010.0	618.0
106481433	1.0	0.0
63908	1160.0	942.0
106481434	0.0	0.0
106481431	0.0	0.0
106481432	0.0	0.0
100873389	0.0	0.0
100873388	3.0	0.0
285613	289.0	71.0
63920	284.0	178.0
63923	210.0	19.0
63922	1384.0	663.0
728577	131.0	111.0
63925	4027.0	1140.0
63924	16.0	0.0
63916	7552.0	2100.0
63917	6554.0	2874.0
106481400	3.0	3.0
106481401	0.0	0.0
728562	6.0	0.0
728564	10.0	26.0
285622	0.0	0.0
106481404	0.0	0.0
106481405	0.0	0.0
63932	3505.0	1914.0
106481402	1.0	0.0
63931	2851.0	2155.0
106481403	1.0	0.0
63934	298.0	22.0
728567	3.0	4.0
106481408	0.0	0.0
163088	14.0	0.0
63933	4456.0	3279.0
106481409	0.0	0.0
106481406	0.0	0.0
63935	11666.0	2997.0
163087	1272.0	458.0
728568	523.0	377.0
106481407	31.0	5.0
3704	3490.0	3789.0
3705	14413.0	2870.0
63926	1314.0	2078.0
3706	77.0	77.0
63929	2025.0	1505.0
3707	17259.0	3020.0
63928	11.0	161.0
3708	10830.0	1425.0
106481411	1.0	0.0
3709	4961.0	1134.0
106481412	0.0	0.0
106481410	0.0	0.0
3700	160.0	4.0
3702	783.0	142.0
3703	15320.0	8769.0
645506	0.0	0.0
151050	3479.0	488.0
645520	0.0	0.0
63941	6770.0	1081.0
63940	5914.0	954.0
63943	512.0	342.0
728517	0.0	0.0
163033	1582.0	349.0
258010	2860.0	746.0
63947	0.0	0.0
63946	0.0	1.0
728513	0.0	0.0
100033803	0.0	0.0
3716	33248.0	8041.0
100033804	0.0	0.0
3717	4119.0	857.0
100033805	0.0	0.0
3718	1480.0	557.0
63939	1436.0	1156.0
100033806	0.0	0.0
100190799	27.0	5.0
100033800	0.0	0.0
100033801	0.0	0.0
100033802	0.0	0.0
344405	236.0	45.0
3710	33414.0	10595.0
3712	11369.0	2401.0
3713	39.0	5375.0
3714	9084.0	3221.0
63950	7.0	12.0
728505	3.0	0.0
63951	445.0	147.0
100033807	0.0	0.0
728501	49.0	19.0
100033808	0.0	0.0
100033809	0.0	0.0
3726	202059.0	21673.0
100033814	0.0	0.0
3727	114512.0	6409.0
63948	0.0	0.0
100033815	0.0	0.0
222052	2.0	1.0
3728	46648.0	108574.0
100033816	0.0	0.0
100033817	0.0	0.0
100033810	0.0	0.0
100033811	0.0	0.0
100033812	0.0	0.0
100033813	0.0	0.0
3720	3693.0	2896.0
151056	236.0	116.0
3725	129244.0	16787.0
645528	13.0	0.0
728532	72.0	52.0
163059	563.0	130.0
728538	5.0	2.0
728537	477.0	36.0
63967	101.0	676.0
3737	18.0	0.0
3738	1647.0	67.0
3739	609.0	2.0
645538	0.0	0.0
3730	33920.0	965.0
3732	11882.0	2907.0
3734	0.0	0.0
3735	11919.0	6315.0
3736	12.0	1.0
63970	25.0	444.0
3750	695.0	66.0
63971	15032.0	6392.0
63974	0.0	0.0
163049	4016.0	1108.0
63973	0.0	1.0
63976	6405.0	130.0
222068	13625.0	5475.0
63978	1.0	0.0
63977	1129.0	416.0
63979	791.0	1610.0
728524	0.0	0.0
3748	4062.0	321.0
163051	65.0	2.0
3749	3491.0	274.0
163050	106.0	42.0
3741	899.0	4.0
645548	40.0	22.0
3743	3.0	5.0
3744	9.0	0.0
3745	240.0	3.0
3746	2.0	2.0
3747	2.0	0.0
285671	1565.0	116.0
285672	3997.0	1197.0
100873431	0.0	0.0
100873430	1.0	0.0
3760	35.0	0.0
285676	102.0	7.0
3761	2.0	1.0
100128657	0.0	1.0
285679	7.0	0.0
100861449	1.0	0.0
100861443	0.0	0.0
100861445	0.0	0.0
3759	2351.0	512.0
283008	2.0	0.0
3751	106.0	188.0
100873435	0.0	0.0
3752	1065.0	307.0
100873434	0.0	0.0
3753	206.0	15.0
100873433	0.0	0.0
3754	61.0	10.0
100873432	0.0	0.0
3755	15.0	213.0
100873439	0.0	0.0
3756	25.0	53.0
100873438	0.0	0.0
3757	303.0	74.0
100873437	0.0	0.0
3758	59.0	6.0
100873436	0.0	0.0
100873420	6.0	3.0
3770	327.0	236.0
3772	23156.0	2251.0
100861458	0.0	0.0
100861453	109.0	46.0
100861455	0.0	0.0
1107	31824.0	6212.0
1106	18549.0	3419.0
1105	6400.0	1808.0
1104	2233.0	2367.0
100873429	0.0	0.0
1103	0.0	34.0
1102	2016.0	406.0
1101	86.0	6.0
3762	7513.0	196.0
100873424	0.0	0.0
3763	27.0	2.0
100128640	231.0	53.0
100873423	0.0	0.0
3764	6596.0	488.0
100873422	1.0	0.0
3765	11.0	1.0
100873421	0.0	2.0
3766	52.0	59.0
100873428	0.0	0.0
3767	518.0	73.0
100873427	0.0	0.0
3768	826.0	45.0
1109	37.0	41.0
100873426	4.0	1.0
1108	31016.0	13226.0
3769	18.0	2.0
100873425	3.0	1.0
100128637	4.0	1.0
100128639	0.0	0.0
3780	45.0	4.0
100873453	0.0	0.0
3781	1586.0	39.0
100873452	1.0	0.0
3782	3609.0	1033.0
100873451	0.0	0.0
3783	571.0	211.0
100873450	0.0	0.0
1121	3380.0	1599.0
100861468	0.0	1.0
1120	571.0	102.0
100861469	0.0	0.0
1118	12004.0	547.0
1117	23899.0	529.0
1116	3382.0	5195.0
1114	42.0	231.0
1113	47.0	101.0
1112	16252.0	2997.0
1111	450.0	1264.0
3773	64.0	7.0
100873457	13.0	0.0
100873456	0.0	0.0
3775	2879.0	2777.0
100873455	0.0	0.0
3776	7.0	52.0
100873454	0.0	0.0
3777	28424.0	153.0
3778	1548.0	473.0
3779	1749.0	176.0
100873459	0.0	0.0
1119	5310.0	628.0
100128627	1.0	1.0
100128626	0.0	1.0
3790	11228.0	2195.0
100128628	14.0	9.0
3791	26634.0	893.0
100873442	0.0	0.0
3792	21.0	25.0
100873441	3.0	0.0
100873440	0.0	0.0
100128625	0.0	0.0
1132	53.0	17.0
1131	602.0	1011.0
1130	4571.0	737.0
100861476	1.0	0.0
1129	283.0	3.0
1128	1292.0	0.0
1124	659.0	83.0
1123	7879.0	1008.0
1122	2355.0	869.0
100861470	0.0	0.0
3784	9469.0	1152.0
100873446	0.0	0.0
3785	2.0	2.0
100873445	0.0	0.0
3786	1335.0	229.0
100873444	0.0	0.0
3787	307.0	34.0
100873443	0.0	0.0
3788	36.0	2.0
100873449	2.0	1.0
100873448	0.0	0.0
100873447	0.0	0.0
100873471	0.0	0.0
100873470	0.0	0.0
283050	175.0	28.0
100128618	3.0	4.0
728597	0.0	0.0
100128617	88.0	7.0
100873475	0.0	0.0
100873474	0.0	0.0
728591	20.0	62.0
100873473	0.0	0.0
100873472	0.0	0.0
1143	6.0	128.0
285634	6.0	4.0
1142	0.0	1.0
1141	95.0	24.0
285636	3923.0	2422.0
1140	908.0	260.0
728599	8.0	0.0
1139	22.0	18.0
1138	21.0	287.0
1137	29.0	1.0
100861485	0.0	0.0
1136	37.0	18.0
1135	159.0	2.0
1134	173.0	19.0
1133	38.0	12.0
3795	781.0	275.0
100873479	14.0	0.0
3796	1932.0	1543.0
100873478	0.0	0.0
3797	1681.0	798.0
100873477	1.0	0.0
3798	35.0	15.0
100873476	0.0	0.0
3799	25523.0	13746.0
100873460	0.0	0.0
728586	37.0	15.0
285641	0.0	1.0
100873464	5.0	0.0
100873463	0.0	1.0
100873462	19.0	0.0
285643	5.0	4.0
100128603	0.0	0.0
100873461	0.0	0.0
1154	12326.0	990.0
1153	44377.0	5825.0
1152	20838.0	1597.0
285647	23.0	37.0
728589	54.0	15.0
728588	3.0	0.0
1149	4.0	3.0
1147	3207.0	1653.0
1146	10.0	2.0
1145	188.0	46.0
1144	3.0	0.0
100873468	0.0	0.0
100873467	1.0	0.0
100873466	0.0	0.0
100873465	1.0	0.0
283033	0.0	0.0
100873469	1.0	0.0
100873493	0.0	0.0
100873492	0.0	0.0
100873491	3.0	0.0
100873490	0.0	0.0
100873497	0.0	0.0
100873496	0.0	0.0
100873495	2.0	0.0
100873494	0.0	0.0
1164	1306.0	3058.0
1163	1092.0	6522.0
285659	0.0	1.0
1161	711.0	491.0
1160	93.0	38.0
1159	31.0	176.0
1158	12.0	8.0
1157	2.0	0.0
1155	7391.0	3187.0
550643	2994.0	1177.0
283025	0.0	0.0
100873499	0.0	0.0
100873498	0.0	0.0
100873482	1.0	0.0
100873481	0.0	0.0
100873480	0.0	0.0
100873486	0.0	0.0
100873485	0.0	0.0
100873484	0.0	0.0
100873483	0.0	0.0
1176	4447.0	2610.0
1175	5536.0	4965.0
285668	29.0	0.0
1174	3191.0	3836.0
1173	40393.0	33752.0
550631	377.0	85.0
100873489	0.0	0.0
283014	14.0	3.0
100873488	0.0	0.0
100873487	0.0	0.0
283093	0.0	0.0
283092	0.0	0.0
1187	36.0	3.0
1186	9381.0	3129.0
1185	4366.0	389.0
1184	2448.0	462.0
1183	2231.0	70.0
1182	9632.0	3448.0
1181	653.0	632.0
440375	156.0	26.0
1180	6.0	20.0
1179	1.0	0.0
1178	3.0	0.0
283089	65.0	0.0
85495	0.0	0.0
85480	319.0	153.0
283080	0.0	0.0
1198	7471.0	2350.0
1197	0.0	3.0
1196	3343.0	2298.0
1195	12828.0	1845.0
440366	0.0	3.0
1193	10650.0	800.0
1192	33331.0	27181.0
1191	91781.0	23689.0
1188	152.0	6.0
283078	90.0	46.0
85486	7.0	10.0
128615	0.0	0.0
85481	0.0	0.0
128611	257.0	55.0
440396	115.0	61.0
128609	0.0	0.0
128602	536.0	1.0
440387	30.0	1.0
128674	0.0	0.0
128676	7.0	0.0
114026	0.0	1.0
100861402	6.0	1.0
126014	4867.0	391.0
440335	801.0	105.0
100128690	0.0	0.0
114034	2247.0	580.0
126006	48.0	2.0
114036	89.0	6.0
100128696	0.0	0.0
100128688	0.0	0.0
126003	122.0	25.0
100861412	0.0	0.0
105180390	0.0	0.0
100128685	0.0	0.0
100128681	0.0	0.0
105180391	0.0	0.0
100128682	8.0	1.0
100128678	0.0	0.0
100861429	0.0	0.0
128653	0.0	0.0
200728	299.0	2874.0
440356	7.0	3.0
440354	119.0	67.0
440352	4.0	4.0
100873419	0.0	0.0
100873418	0.0	0.0
100873413	0.0	1.0
128646	34.0	1.0
100873412	2.0	0.0
100873411	0.0	0.0
100128675	19.0	4.0
100873410	0.0	0.0
100873417	9.0	0.0
100873416	2.0	0.0
100873415	0.0	0.0
100873414	0.0	0.0
440348	516.0	73.0
100861435	1.0	0.0
100861436	0.0	0.0
440345	266.0	32.0
200734	13540.0	3028.0
100861431	0.0	0.0
100861434	0.0	0.0
100873409	0.0	0.0
440350	3.0	3.0
100873408	0.0	0.0
100873407	0.0	0.0
100861430	32.0	1.0
100873402	0.0	0.0
100873401	0.0	0.0
100873400	2.0	0.0
100128665	0.0	0.0
128637	11450.0	3473.0
100873406	0.0	0.0
100873405	1.0	0.0
100873404	0.0	0.0
100873403	0.0	0.0
645440	1.0	0.0
645443	13.0	1.0
165530	91.0	0.0
85409	6812.0	618.0
106481385	2.0	0.0
106481386	0.0	0.0
85416	3.0	135.0
106481383	5.0	0.0
85417	203.0	11.0
106481384	0.0	0.0
103106903	2.0	0.0
85414	612.0	204.0
106481389	1.0	0.0
85415	1750.0	737.0
106481387	0.0	0.0
85413	25.0	16.0
106481388	3.0	1.0
645436	2.0	0.0
106481381	22.0	0.0
106481382	0.0	0.0
10	17.0	4.0
106481380	0.0	0.0
11	0.0	0.0
403341	1894.0	651.0
12	388.0	65.0
13	781.0	312.0
14	13917.0	7893.0
15	33.0	19.0
16	16623.0	20871.0
645455	41.0	4.0
18	1297.0	230.0
19	15361.0	4905.0
128580	7.0	3.0
85407	3511.0	115.0
106481396	0.0	0.0
106481397	0.0	0.0
106481394	1.0	0.0
85406	3639.0	1704.0
106481395	1.0	1.0
85403	5639.0	2245.0
106481398	0.0	0.0
106481399	1.0	0.0
403339	0.0	0.0
106481392	0.0	1.0
106481393	0.0	0.0
20	9501.0	1505.0
106481390	0.0	0.0
21	151975.0	4927.0
106481391	0.0	0.0
22	2455.0	995.0
153571	2559.0	182.0
153572	7397.0	944.0
23	14037.0	7415.0
24	177.0	2465.0
25	18959.0	5548.0
26	287.0	109.0
27	6851.0	1397.0
28	3443.0	2348.0
29	22504.0	3633.0
153579	12925.0	30.0
728615	0.0	0.0
728614	0.0	0.0
200765	466.0	720.0
106481358	0.0	0.0
106481359	0.0	0.0
728611	27.0	21.0
102466518	7.0	2.0
102466516	20.0	0.0
102466515	0.0	0.0
106481363	0.0	0.0
106481364	1.0	0.0
85438	0.0	0.0
106481361	1.0	0.0
85439	1169.0	2082.0
106481362	0.0	0.0
106481367	1.0	0.0
85437	3664.0	3570.0
106481368	0.0	0.0
106481365	0.0	0.0
728609	1286.0	256.0
106481366	0.0	0.0
30	7377.0	1509.0
106481360	0.0	0.0
31	15086.0	4182.0
32	6775.0	231.0
33	3173.0	86.0
34	4537.0	3016.0
35	4277.0	1094.0
153562	5436.0	1595.0
36	6434.0	1317.0
37	23462.0	10266.0
38	8531.0	1474.0
440307	37.0	7.0
39	3124.0	3095.0
165545	22.0	345.0
106481369	0.0	0.0
728606	5.0	0.0
106481374	0.0	0.0
106481375	0.0	0.0
106481372	0.0	0.0
106481373	8.0	0.0
106481378	3.0	0.0
106481379	0.0	0.0
106481376	0.0	0.0
106481377	0.0	0.0
403315	0.0	0.0
40	108.0	5.0
106481370	0.0	0.0
41	276.0	306.0
106481371	0.0	0.0
43	1247.0	36.0
645486	0.0	0.0
47	19438.0	10801.0
48	6137.0	3281.0
49	79.0	15.0
106481338	0.0	0.0
106481339	0.0	0.0
106481336	0.0	0.0
106481337	1.0	0.0
106481341	0.0	0.0
