id	93b1f14d-cdb5-474f-aeda-b20e3ea8f2fb	c021cbb0-388a-4c5d-8cf3-edc5335a0113
106481465	0.0	0.0
104310351	17.0	0.0
403263	0.0	0.0
403264	0.0	0.0
403265	0.0	0.0
403266	0.0	3.0
138009	0.0	0.0
106481468	0.0	0.0
106481469	0.0	0.0
403260	0.0	0.0
106481473	0.0	1.0
106481474	0.0	0.0
106481471	0.0	0.0
85329	29.0	109.0
106481472	0.0	0.0
106481477	0.0	2.0
106481478	0.0	0.0
106481475	0.0	0.0
106481476	0.0	0.0
85320	5.0	13.0
106481470	1.0	0.0
403252	0.0	0.0
403253	0.0	0.0
403254	0.0	0.0
126070	543.0	349.0
403255	0.0	0.0
403256	0.0	0.0
403257	0.0	0.0
344471	3.0	4.0
106481437	0.0	0.0
26974	50.0	9.0
153657	23.0	71.0
106481438	0.0	0.0
106481435	0.0	0.0
26973	584.0	725.0
165631	279.0	28.0
106481436	0.0	0.0
26978	27.0	16.0
126075	783.0	112.0
106481439	0.0	0.0
403250	0.0	0.0
126074	108.0	77.0
403251	0.0	0.0
106481440	0.0	0.0
106481441	0.0	0.0
85359	1536.0	3329.0
106481444	2.0	2.0
106481445	0.0	0.0
106481442	0.0	0.0
106481443	0.0	0.0
85358	4620.0	3109.0
85354	0.0	0.0
85352	25.0	2261.0
403241	1.0	0.0
344462	1.0	2.0
403244	0.0	0.0
403245	0.0	0.0
153642	385.0	405.0
153643	56.0	4.0
403247	0.0	0.0
403248	0.0	0.0
26985	2016.0	2332.0
106481448	0.0	0.0
26986	29227.0	36802.0
126069	98.0	92.0
106481449	0.0	0.0
126068	426.0	117.0
106481446	0.0	0.0
26983	0.0	0.0
26984	550.0	863.0
106481447	0.0	0.0
106481451	0.0	1.0
106481452	0.0	0.0
106481450	0.0	0.0
114088	37.0	382.0
106481455	0.0	0.0
85349	34.0	5.0
106481456	1.0	0.0
26982	0.0	0.0
106481453	0.0	0.0
85347	0.0	0.0
26980	5.0	0.0
106481454	0.0	0.0
403238	0.0	0.0
85344	4.0	0.0
403239	0.0	0.0
85345	0.0	0.0
85343	0.0	0.0
344454	3.0	2.0
85340	0.0	0.0
100873394	0.0	0.0
100873393	1.0	2.0
100873392	4.0	3.0
100873391	0.0	0.0
100873398	0.0	0.0
100873397	0.0	0.0
100873396	0.0	0.0
100873395	0.0	0.0
100128811	0.0	0.0
106481415	0.0	0.0
106481416	3.0	1.0
106481413	0.0	0.0
106481414	0.0	0.0
63901	2531.0	1985.0
100873390	0.0	0.0
728556	37.0	76.0
106481419	0.0	1.0
100128817	1.0	0.0
728558	73.0	126.0
106481417	0.0	0.0
106481418	0.0	0.0
106481422	0.0	0.0
163081	251.0	628.0
106481423	1.0	0.0
106481420	0.0	3.0
106481421	0.0	0.0
100873399	2.0	0.0
100873383	0.0	0.0
100873382	0.0	0.0
100873381	0.0	1.0
100873380	0.0	0.0
100128804	0.0	0.0
100873387	0.0	0.0
100873386	0.0	0.0
100873385	1.0	0.0
100128801	0.0	7.0
285600	108.0	84.0
100873384	0.0	0.0
285601	14.0	36.0
106481426	0.0	0.0
106481427	1.0	0.0
222005	4.0	1.0
63910	202.0	1511.0
106481424	1.0	0.0
106481425	0.0	1.0
285605	299.0	312.0
222008	1.0	1.0
106481428	0.0	0.0
106481429	0.0	1.0
63905	2328.0	1801.0
63904	0.0	0.0
106481430	1.0	0.0
163071	55.0	508.0
63906	742.0	674.0
106481433	0.0	0.0
63908	575.0	440.0
106481434	0.0	0.0
106481431	0.0	0.0
106481432	0.0	0.0
100873389	0.0	0.0
100873388	4.0	5.0
285613	99.0	51.0
63920	173.0	323.0
63923	55.0	121.0
63922	356.0	3755.0
728577	35.0	147.0
63925	1525.0	2203.0
63924	0.0	1.0
63916	2210.0	1970.0
63917	2783.0	1471.0
106481400	0.0	3.0
106481401	0.0	0.0
728562	4.0	1.0
728564	5.0	25.0
285622	0.0	1.0
106481404	0.0	0.0
106481405	0.0	0.0
63932	1180.0	1149.0
106481402	0.0	0.0
63931	1141.0	720.0
106481403	0.0	6.0
63934	107.0	18.0
728567	1.0	1.0
106481408	0.0	0.0
163088	5.0	2.0
63933	2210.0	1526.0
106481409	0.0	0.0
106481406	0.0	0.0
63935	3816.0	4368.0
163087	525.0	636.0
728568	174.0	374.0
106481407	5.0	14.0
3704	1392.0	2516.0
3705	5888.0	1896.0
63926	292.0	712.0
3706	10.0	377.0
63929	680.0	2923.0
3707	4163.0	3953.0
63928	0.0	94.0
3708	3520.0	517.0
106481411	1.0	2.0
3709	1808.0	1571.0
106481412	0.0	0.0
106481410	0.0	2.0
3700	36.0	12.0
3702	591.0	19.0
3703	4016.0	12629.0
645506	0.0	1.0
151050	1224.0	826.0
645520	0.0	0.0
63941	2301.0	1140.0
63940	2588.0	347.0
63943	147.0	539.0
728517	0.0	0.0
163033	523.0	832.0
258010	1362.0	1826.0
63947	0.0	0.0
63946	0.0	38.0
728513	0.0	55.0
100033803	0.0	0.0
3716	10451.0	6343.0
100033804	0.0	0.0
3717	1404.0	333.0
100033805	0.0	0.0
3718	475.0	457.0
63939	623.0	1115.0
100033806	0.0	0.0
100190799	5.0	6.0
100033800	0.0	0.0
100033801	0.0	0.0
100033802	0.0	0.0
344405	103.0	110.0
3710	10357.0	7579.0
3712	3896.0	4051.0
3713	11.0	15.0
3714	1915.0	4687.0
63950	1.0	400.0
728505	0.0	0.0
63951	213.0	115.0
100033807	0.0	0.0
728501	29.0	20.0
100033808	0.0	0.0
100033809	0.0	0.0
3726	8767.0	1523.0
100033814	0.0	0.0
3727	12867.0	2728.0
63948	0.0	0.0
100033815	0.0	0.0
222052	0.0	0.0
3728	16330.0	23930.0
100033816	0.0	0.0
100033817	0.0	0.0
100033810	0.0	0.0
100033811	0.0	0.0
100033812	0.0	0.0
100033813	0.0	0.0
3720	1345.0	2695.0
151056	149.0	67.0
3725	34118.0	4944.0
645528	7.0	2.0
728532	38.0	35.0
163059	194.0	138.0
728538	2.0	2.0
728537	160.0	76.0
63967	36.0	1014.0
3737	7.0	39.0
3738	332.0	29.0
3739	292.0	21.0
645538	0.0	0.0
3730	9503.0	1952.0
3732	6904.0	2388.0
3734	40.0	104.0
3735	4416.0	7255.0
3736	1.0	284.0
63970	1.0	10.0
3750	111.0	365.0
63971	5229.0	2533.0
63974	0.0	1.0
163049	1424.0	967.0
63973	0.0	253.0
63976	1323.0	1583.0
222068	4730.0	4333.0
63978	1.0	132.0
63977	344.0	736.0
63979	178.0	1316.0
728524	0.0	0.0
3748	541.0	683.0
163051	22.0	18.0
3749	996.0	1310.0
163050	45.0	26.0
3741	209.0	91.0
645548	7.0	2.0
3743	3.0	80.0
3744	2.0	1.0
3745	64.0	8.0
3746	2.0	16.0
3747	0.0	0.0
285671	498.0	247.0
285672	1591.0	480.0
100873431	0.0	0.0
100873430	0.0	0.0
3760	7.0	233.0
285676	36.0	8.0
3761	0.0	709.0
100128657	0.0	0.0
285679	2.0	1.0
100861449	0.0	0.0
100861443	0.0	0.0
100861445	0.0	0.0
3759	304.0	148.0
283008	4.0	2.0
3751	7.0	49.0
100873435	0.0	0.0
3752	306.0	221.0
100873434	0.0	0.0
3753	74.0	4.0
100873433	0.0	0.0
3754	16.0	210.0
100873432	0.0	0.0
3755	16.0	1212.0
100873439	0.0	1.0
3756	2.0	34.0
100873438	0.0	0.0
3757	397.0	1183.0
100873437	0.0	0.0
3758	7.0	13.0
100873436	0.0	0.0
100873420	3.0	1.0
3770	27.0	268.0
3772	2848.0	1478.0
100861458	0.0	0.0
100861453	24.0	27.0
100861455	0.0	2.0
1107	9317.0	11211.0
1106	5670.0	5216.0
1105	1785.0	1096.0
1104	600.0	3316.0
100873429	0.0	0.0
1103	0.0	1.0
1102	685.0	938.0
1101	100.0	390.0
3762	1061.0	149.0
100873424	0.0	0.0
3763	8.0	78.0
100128640	85.0	83.0
100873423	0.0	0.0
3764	1244.0	493.0
100873422	0.0	0.0
3765	1.0	6.0
100873421	0.0	0.0
3766	5.0	76.0
100873428	0.0	0.0
3767	198.0	374.0
100873427	0.0	0.0
3768	173.0	514.0
1109	1.0	1.0
100873426	1.0	2.0
1108	8692.0	17045.0
3769	3.0	4.0
100873425	0.0	0.0
100128637	0.0	0.0
100128639	0.0	0.0
3780	2.0	264.0
100873453	0.0	0.0
3781	125.0	119.0
100873452	1.0	0.0
3782	620.0	309.0
100873451	0.0	0.0
3783	165.0	216.0
100873450	0.0	0.0
1121	1175.0	1233.0
100861468	0.0	0.0
1120	251.0	421.0
100861469	0.0	1.0
1118	1045.0	89.0
1117	740.0	42.0
1116	608.0	906.0
1114	2.0	83.0
1113	12.0	12.0
1112	5652.0	3845.0
1111	125.0	1946.0
3773	22.0	1.0
100873457	4.0	1.0
100873456	0.0	1.0
3775	488.0	3568.0
100873455	0.0	0.0
3776	3.0	1113.0
100873454	0.0	0.0
3777	5059.0	111.0
3778	249.0	2027.0
3779	257.0	39.0
100873459	0.0	0.0
1119	1821.0	1686.0
100128627	2.0	0.0
100128626	0.0	0.0
3790	3657.0	1057.0
100128628	2.0	8.0
3791	7842.0	634.0
100873442	0.0	0.0
3792	5.0	10.0
100873441	0.0	0.0
100873440	0.0	0.0
100128625	0.0	7.0
1132	17.0	23.0
1131	271.0	1436.0
1130	2127.0	1565.0
100861476	0.0	1.0
1129	259.0	3.0
1128	310.0	106.0
1124	360.0	730.0
1123	1501.0	1019.0
1122	1315.0	4255.0
100861470	1.0	0.0
3784	3321.0	1422.0
100873446	1.0	0.0
3785	2.0	632.0
100873445	0.0	0.0
3786	100.0	325.0
100873444	0.0	0.0
3787	77.0	43.0
100873443	0.0	0.0
3788	1.0	4.0
100873449	1.0	5.0
100873448	0.0	0.0
100873447	0.0	0.0
100873471	0.0	0.0
100873470	0.0	0.0
283050	49.0	36.0
100128618	0.0	4.0
728597	5.0	4.0
100128617	7.0	1.0
100873475	0.0	0.0
100873474	0.0	0.0
728591	4.0	213.0
100873473	0.0	0.0
100873472	0.0	0.0
1143	2.0	166.0
285634	2.0	9.0
1142	0.0	33.0
1141	5.0	32.0
285636	1545.0	3614.0
1140	249.0	277.0
728599	3.0	4.0
1139	10.0	143.0
1138	17.0	299.0
1137	9.0	454.0
100861485	0.0	0.0
1136	23.0	207.0
1135	68.0	1.0
1134	1.0	90.0
1133	7.0	26.0
3795	263.0	590.0
100873479	4.0	3.0
3796	709.0	1325.0
100873478	0.0	0.0
3797	469.0	2436.0
100873477	2.0	2.0
3798	8.0	750.0
100873476	0.0	0.0
3799	10835.0	9892.0
100873460	0.0	0.0
728586	14.0	31.0
285641	1.0	1.0
100873464	2.0	7.0
100873463	0.0	0.0
100873462	4.0	2.0
285643	1.0	2.0
100128603	0.0	0.0
100873461	0.0	0.0
1154	3057.0	380.0
1153	19315.0	6026.0
1152	8361.0	3503.0
285647	10.0	32.0
728589	16.0	7.0
728588	1.0	0.0
1149	1.0	33.0
1147	1338.0	1446.0
1146	1.0	6.0
1145	37.0	317.0
1144	0.0	23.0
100873468	0.0	0.0
100873467	0.0	0.0
100873466	0.0	1.0
100873465	0.0	0.0
283033	0.0	0.0
100873469	0.0	0.0
100873493	0.0	0.0
100873492	0.0	1.0
100873491	0.0	0.0
100873490	0.0	0.0
100873497	0.0	0.0
100873496	0.0	0.0
100873495	0.0	0.0
100873494	0.0	0.0
1164	254.0	1256.0
1163	306.0	1822.0
285659	0.0	0.0
1161	269.0	213.0
1160	45.0	26.0
1159	2.0	24.0
1158	0.0	306.0
1157	0.0	0.0
1155	2667.0	3843.0
550643	1101.0	484.0
283025	0.0	0.0
100873499	0.0	0.0
100873498	0.0	0.0
100873482	0.0	0.0
100873481	0.0	0.0
100873480	0.0	0.0
100873486	0.0	0.0
100873485	0.0	0.0
100873484	0.0	0.0
100873483	0.0	0.0
1176	1415.0	1009.0
1175	2180.0	3757.0
285668	10.0	0.0
1174	1076.0	735.0
1173	14378.0	33116.0
550631	132.0	331.0
100873489	0.0	0.0
283014	3.0	2.0
100873488	0.0	0.0
100873487	0.0	0.0
283093	0.0	0.0
283092	0.0	0.0
1187	13.0	58.0
1186	3062.0	3532.0
1185	1692.0	3007.0
1184	621.0	821.0
1183	1154.0	843.0
1182	3061.0	2328.0
1181	223.0	2025.0
440375	46.0	75.0
1180	1.0	69.0
1179	2.0	0.0
1178	17.0	0.0
283089	16.0	7.0
85495	0.0	0.0
85480	83.0	80.0
283080	0.0	30.0
1198	3094.0	2800.0
1197	0.0	2.0
1196	1764.0	2746.0
1195	4813.0	4879.0
440366	0.0	0.0
1193	2505.0	71.0
1192	11926.0	8063.0
1191	14031.0	3055.0
1188	53.0	310.0
283078	58.0	607.0
85486	4.0	7.0
128615	0.0	0.0
85481	2.0	3.0
128611	147.0	31.0
440396	39.0	111.0
128609	0.0	0.0
128602	204.0	25.0
440387	1.0	2.0
128674	1.0	424.0
128676	0.0	1.0
114026	0.0	0.0
100861402	0.0	0.0
126014	2637.0	116.0
440335	200.0	124.0
100128690	0.0	0.0
114034	503.0	738.0
126006	36.0	18.0
114036	22.0	15.0
100128696	0.0	0.0
100128688	0.0	0.0
126003	29.0	15.0
100861412	1.0	0.0
105180390	0.0	0.0
100128685	0.0	22.0
100128681	0.0	0.0
105180391	0.0	0.0
100128682	1.0	1.0
100128678	0.0	0.0
100861429	0.0	0.0
128653	0.0	0.0
200728	191.0	270.0
440356	5.0	57.0
440354	55.0	60.0
440352	2.0	4.0
100873419	0.0	0.0
100873418	0.0	0.0
100873413	0.0	0.0
128646	31.0	0.0
100873412	0.0	0.0
100873411	0.0	0.0
100128675	7.0	26.0
100873410	0.0	0.0
100873417	1.0	4.0
100873416	0.0	0.0
100873415	0.0	0.0
100873414	0.0	0.0
440348	10.0	9.0
100861435	0.0	0.0
100861436	0.0	0.0
440345	64.0	77.0
200734	4014.0	6503.0
100861431	0.0	0.0
100861434	0.0	0.0
100873409	0.0	0.0
440350	1.0	1.0
100873408	0.0	0.0
100873407	0.0	0.0
100861430	12.0	88.0
100873402	0.0	0.0
100873401	0.0	1.0
100873400	1.0	1.0
100128665	0.0	2.0
128637	3259.0	1935.0
100873406	0.0	0.0
100873405	1.0	0.0
100873404	0.0	0.0
100873403	0.0	0.0
645440	0.0	0.0
645443	3.0	5.0
165530	37.0	193.0
85409	1923.0	4252.0
106481385	0.0	0.0
106481386	0.0	0.0
85416	0.0	2222.0
106481383	1.0	1.0
85417	66.0	516.0
106481384	0.0	3.0
103106903	0.0	3.0
85414	305.0	377.0
106481389	0.0	0.0
85415	669.0	2224.0
106481387	0.0	0.0
85413	3.0	99.0
106481388	1.0	2.0
645436	1.0	1.0
106481381	4.0	0.0
106481382	1.0	0.0
10	2.0	4.0
106481380	0.0	0.0
11	0.0	0.0
403341	889.0	662.0
12	35.0	15.0
13	291.0	20.0
14	4592.0	7660.0
15	2.0	7.0
16	5760.0	6914.0
645455	8.0	12.0
18	669.0	416.0
19	5422.0	3001.0
128580	1.0	2.0
85407	2488.0	679.0
106481396	0.0	0.0
106481397	0.0	0.0
106481394	0.0	0.0
85406	1148.0	1876.0
106481395	0.0	0.0
85403	1561.0	853.0
106481398	0.0	0.0
106481399	0.0	0.0
403339	0.0	1.0
106481392	0.0	0.0
106481393	0.0	0.0
20	2285.0	6452.0
106481390	0.0	0.0
21	38928.0	3327.0
106481391	0.0	0.0
22	839.0	1129.0
153571	1280.0	668.0
153572	3940.0	2104.0
23	3991.0	6766.0
24	56.0	143.0
25	6068.0	6668.0
26	11.0	511.0
27	1688.0	1904.0
28	1118.0	1250.0
29	7407.0	2937.0
153579	6575.0	626.0
728615	2.0	1.0
728614	0.0	0.0
200765	153.0	599.0
106481358	0.0	2.0
106481359	0.0	0.0
728611	69.0	67.0
102466518	0.0	1.0
102466516	18.0	0.0
102466515	0.0	0.0
106481363	0.0	1.0
106481364	0.0	0.0
85438	0.0	0.0
106481361	0.0	0.0
85439	687.0	887.0
106481362	0.0	0.0
106481367	0.0	0.0
85437	1393.0	2320.0
106481368	0.0	0.0
106481365	0.0	0.0
728609	508.0	636.0
106481366	0.0	0.0
30	3543.0	643.0
106481360	0.0	0.0
31	3683.0	6113.0
32	3004.0	1482.0
33	1529.0	241.0
34	1977.0	2017.0
35	1580.0	702.0
153562	1541.0	782.0
36	2105.0	1304.0
37	11095.0	4657.0
38	3019.0	1222.0
440307	9.0	5.0
39	986.0	2064.0
165545	3.0	303.0
106481369	0.0	0.0
728606	1.0	5.0
106481374	0.0	0.0
106481375	0.0	0.0
106481372	0.0	0.0
106481373	0.0	1.0
106481378	1.0	2.0
106481379	0.0	0.0
106481376	0.0	0.0
106481377	0.0	0.0
403315	0.0	0.0
40	12.0	811.0
106481370	0.0	0.0
41	45.0	850.0
106481371	0.0	0.0
43	68.0	150.0
645486	0.0	0.0
47	5815.0	9234.0
48	3123.0	1191.0
49	44.0	56.0
106481338	0.0	0.0
106481339	0.0	0.0
106481336	0.0	0.0
106481337	2.0	1.0
106481341	0.0	0.0
106481342	6.0	14.0
106481340	0.0	1.0
85458	2311.0	750.0
106481345	0.0	0.0
85459	474.0	439.0
